Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
21,CUPID.NS,86.9,26818.35K,Consumer Non-Durables,Household/Personal Care,98.0,84.0,87.0,97.0,51634.66K,30444.31K,105.39,11.15,-17.54
25,TAKE.NS,39.74,634.59K,Technology Services,Information Technology Services,98.0,36.0,90.0,98.0,1377.26K,686.80K,49.94,6.51,-20.42
33,MAHASTEEL.NS,1014.7,26.03K,Non-Energy Minerals,Steel,97.0,98.0,94.0,97.0,12.25K,14.19K,1032.0,221.9,-1.68
42,UNIVPHOTO.NS,515.8,6.39K,Consumer Durables,Electronics/Appliances,97.0,99.0,98.0,97.0,16.85K,27.82K,515.8,174.0,0.0
44,BGRENERGY.NS,334.5,52.95K,Industrial Services,Engineering & Construction,97.0,76.0,44.0,95.0,113.83K,91.57K,490.8,74.0,-31.85
53,MTARTECH.NS,3575.3,247.88K,Electronic Technology,Aerospace & Defense,97.0,87.0,97.0,97.0,585.30K,527.51K,3920.0,1155.6,-8.79
56,STLTECH.NS,190.58,14410.65K,Technology Services,Information Technology Services,97.0,97.0,98.0,95.0,7057.81K,9893.19K,194.0,58.86,-1.76
58,NGLFINE.NS,2431.0,8.52K,Health Technology,Pharmaceuticals: Major,97.0,92.0,98.0,95.0,6.25K,5.42K,2575.0,980.0,-5.59
61,HINDCOPPER.NS,542.9,5399.62K,Non-Energy Minerals,Other Metals/Minerals,97.0,45.0,96.0,97.0,38244.31K,11257.19K,760.05,183.82,-28.57
64,PFOCUS.NS,275.55,2640.52K,Consumer Services,Movies/Entertainment,97.0,77.0,96.0,96.0,6362.30K,4072.59K,294.0,85.0,-6.28
76,NATIONALUM.NS,397.75,16595.11K,Non-Energy Minerals,Aluminum,96.0,91.0,96.0,96.0,16660.00K,17689.91K,431.5,137.75,-7.82
77,SALSTEEL.NS,42.27,23.90K,Non-Energy Minerals,Steel,96.0,35.0,92.0,96.0,90.78K,33.19K,49.57,14.37,-14.73
78,PRECWIRE.NS,342.95,866.10K,Producer Manufacturing,Electrical Products,96.0,97.0,96.0,96.0,1427.39K,1571.43K,356.1,118.0,-3.69
79,VENUSREM.NS,861.7,112.19K,Health Technology,Pharmaceuticals: Major,96.0,96.0,88.0,96.0,29.68K,40.54K,861.7,277.95,0.0
82,NORBTEAEXP.NS,91.75,1.27K,Consumer Non-Durables,Food: Specialty/Candy,96.0,92.0,93.0,97.0,3.78K,2.47K,99.35,30.5,-7.65
88,ARFIN.NS,80.28,1364.29K,Non-Energy Minerals,Aluminum,96.0,87.0,94.0,97.0,1040.14K,1066.00K,84.9,31.43,-5.44
96,BAJAJCON.NS,357.45,620.73K,Consumer Non-Durables,Household/Personal Care,96.0,59.0,96.0,95.0,1673.57K,449.06K,408.7,151.0,-12.54
99,FORCEMOT.NS,21665.0,142.78K,Consumer Durables,Motor Vehicles,95.0,69.0,93.0,90.0,103.73K,121.09K,26450.0,7000.0,-18.09
100,BHAGYANGR.NS,161.11,110.46K,Producer Manufacturing,Electrical Products,95.0,65.0,94.0,96.0,178.36K,246.92K,193.0,65.0,-16.52
101,SBC.NS,32.17,9334.63K,Distribution Services,Wholesale Distributors,95.0,87.0,90.0,95.0,11533.50K,11538.24K,32.85,10.95,-2.07
104,KIRLOSENG.NS,1450.4,262.54K,Producer Manufacturing,Electrical Products,95.0,95.0,95.0,95.0,627.00K,449.55K,1530.0,578.5,-5.2
106,MCX.NS,2531.6,2042.88K,Finance,Investment Banks/Brokers,95.0,86.0,92.0,95.0,3797.90K,3277.51K,2705.0,907.0,-6.41
107,GVT&D.NS,3784.1,282.99K,Producer Manufacturing,Electrical Products,95.0,84.0,94.0,92.0,711.94K,596.12K,3999.0,1254.0,-5.37
108,SAKAR.NS,555.5,97.06K,Health Technology,Pharmaceuticals: Major,95.0,93.0,96.0,95.0,92.38K,114.63K,569.95,210.1,-2.54
114,AVANTIFEED.NS,1210.0,702.55K,Process Industries,Agricultural Commodities/Milling,95.0,92.0,96.0,96.0,1614.49K,659.49K,1489.0,601.55,-18.74
115,JINDALPOLY.NS,903.1,728.53K,Process Industries,Containers/Packaging,95.0,98.0,98.0,94.0,441.13K,1868.32K,913.0,365.0,-1.08
116,SOMATEX.NS,104.49,20.71K,Process Industries,Textiles,95.0,49.0,61.0,89.0,11.37K,4.78K,161.25,35.27,-35.2
