Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
12,TANDHANIN.BO,155.0,157.1,1.13K,Finance,Investment Banks/Brokers,98.0,84.0,73.0,98.0,10.0643,7.8429,7.32K,13.06K,175.0,10.48,7.71B,No,144.84,147.5,78.63,148.25,104.39,498
34,PURPLEWAVE.BO,406.8,428.2,2.00K,Technology Services,Packaged Software,98.0,95.0,98.0,98.0,18.6714,11.2429,35.95K,10.60K,431.0,95.1,3.76B,No,368.76,248.21,,260.08,164.24,192
38,SURBHIN.BO,110.18,115.97,2.67K,Process Industries,Textiles,98.0,17.0,14.0,96.0,5.8629,3.0893,3.73K,2.29K,249.65,16.25,378.73M,No,94.08,96.57,81.02,98.13,102.51,498
56,NOVARTIND.NS,2391.3,2428.2,454.54K,Health Technology,Pharmaceuticals: Major,97.0,97.0,96.0,,128.4786,123.05,87.47K,380.81K,2588.8,672.25,59.04B,No,1676.99,1623.87,,1637.83,,107
57,KELENRG.BO,11801.3,12042.0996,0.96K,Process Industries,Industrial Specialties,97.0,69.0,98.0,98.0,317.2035,102.3714,1.94K,0.80K,14800.0,2900.0,11.80B,No,13304.56,10670.17,5751.98,10858.17,6600.54,497
62,WELCORP.NS,2676.6,2776.8999,1221.50K,Producer Manufacturing,Industrial Machinery,97.0,96.0,97.0,97.0,120.5,116.7714,1712.29K,2151.32K,2784.8,710.0,705.83B,No,2394.54,1969.79,1248.46,2010.76,1422.37,501
97,BAFNAPH.NS,301.45,307.6,11.74K,Health Technology,Pharmaceuticals: Major,96.0,83.0,96.0,96.0,10.9393,7.0607,21.71K,12.26K,318.5,94.77,7.13B,No,279.62,256.9,167.17,260.51,179.48,498
103,RGIL.BO,56.0,56.1,0.04K,Process Industries,Pulp & Paper,96.0,42.0,89.0,94.0,1.8164,1.375,43.86K,0.99K,63.8,12.66,3.68B,No,56.65,56.55,37.65,57.21,41.78,500
116,WHEELS.NS,2230.1,2313.0,386.14K,Producer Manufacturing,Auto Parts: Oem,95.0,98.0,88.0,95.0,134.6786,133.2714,348.08K,1481.56K,2498.0,705.85,54.49B,No,1687.6,1538.81,1205.26,1567.44,1353.85,501
119,ASMTEC.BO,6895.1,6993.0498,52.96K,Technology Services,Information Technology Services,95.0,96.0,97.0,97.0,360.3892,298.7536,32.63K,55.19K,7248.0,2099.9,100.59B,No,5143.5,4739.77,3457.06,4892.51,3642.66,497
