Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
23,TAKE.NS,47.49,1254.93K,Technology Services,Information Technology Services,98.0,88.0,96.0,98.0,1731.26K,1314.37K,49.94,6.51,-4.91
29,CUPID.NS,429.55,5819.50K,Consumer Non-Durables,Household/Personal Care,98.0,30.0,94.0,97.0,9692.44K,3687.28K,526.95,55.75,-18.48
54,AQYLON.NS,1713.6,2.41K,Consumer Services,Movies/Entertainment,97.0,8.0,97.0,94.0,76.59K,27.80K,2247.0,435.1,-23.74
71,FORCEMOT.NS,25776.0,200.60K,Consumer Durables,Motor Vehicles,96.0,94.0,95.0,88.0,80.99K,163.06K,25990.0,6408.4,-0.82
74,MAHASTEEL.NS,735.15,3.70K,Non-Energy Minerals,Steel,96.0,18.0,60.0,96.0,11.78K,22.68K,1032.0,221.9,-28.76
78,HINDCOPPER.NS,549.45,15242.06K,Non-Energy Minerals,Other Metals/Minerals,96.0,47.0,96.0,96.0,37243.81K,24218.11K,760.05,183.82,-27.71
80,PFOCUS.NS,273.37,4647.25K,Consumer Services,Movies/Entertainment,96.0,90.0,96.0,95.0,7075.20K,9912.94K,292.0,85.0,-6.38
81,NORBTEAEXP.NS,84.8,3.98K,Consumer Non-Durables,Food: Specialty/Candy,96.0,27.0,94.0,97.0,3.54K,3.01K,99.35,30.5,-14.65
83,SALSTEEL.NS,47.63,130.82K,Non-Energy Minerals,Steel,96.0,88.0,90.0,97.0,113.95K,97.13K,49.57,14.37,-3.91
86,MTARTECH.NS,3758.4,597.93K,Electronic Technology,Aerospace & Defense,96.0,97.0,95.0,97.0,531.12K,640.86K,3822.0,1155.6,-1.66
92,BGRENERGY.NS,329.6,46.45K,Industrial Services,Engineering & Construction,96.0,47.0,20.0,97.0,118.58K,106.63K,490.8,69.05,-32.84
96,INFOBEAN.NS,925.4,1749.32K,Technology Services,Packaged Software,96.0,90.0,96.0,91.0,453.73K,667.04K,1030.0,270.55,-10.16
97,RMDRIP.NS,117.32,4904.17K,Producer Manufacturing,Industrial Machinery,96.0,94.0,96.0,94.0,2930.47K,4972.04K,117.43,33.1,-0.09
101,LUMAXTECH.NS,1635.7,211.65K,Producer Manufacturing,Auto Parts: Oem,95.0,76.0,87.0,93.0,263.45K,495.43K,1823.9,449.0,-10.32
104,LUMAXIND.NS,6162.7,36.98K,Producer Manufacturing,Auto Parts: Oem,95.0,86.0,91.0,95.0,39.72K,127.55K,6934.5,2100.05,-11.13
113,AVANTIFEED.NS,1358.9,1388.03K,Process Industries,Agricultural Commodities/Milling,95.0,98.0,97.0,96.0,1770.00K,6046.20K,1489.0,601.55,-8.74
117,WAAREEINDO.NS,423.0,34.05K,Electronic Technology,Electronic Equipment/Instruments,95.0,21.0,8.0,,89.28K,54.46K,725.0,165.07,-41.66
118,SHARDACROP.NS,1250.4,180.01K,Distribution Services,Wholesale Distributors,95.0,97.0,96.0,87.0,627.47K,670.40K,1297.0,452.25,-3.59
119,RACLGEAR.NS,1631.8,3037.96K,Producer Manufacturing,Auto Parts: Oem,95.0,98.0,95.0,95.0,73.52K,123.84K,1691.9,658.05,-3.55
120,SMLMAH.NS,5115.3,165.87K,Consumer Durables,Motor Vehicles,95.0,90.0,97.0,,92.73K,165.16K,5115.3,2749.0,0.0
122,ATHERENERG.NS,726.35,1117.99K,Consumer Durables,Motor Vehicles,95.0,91.0,84.0,95.0,2216.76K,2074.87K,790.0,288.15,-8.06
124,BHARATSE.NS,211.94,27038.59K,Producer Manufacturing,Auto Parts: Oem,95.0,96.0,89.0,94.0,177.15K,697.24K,239.45,69.84,-11.49
125,SOMATEX.NS,115.87,1.90K,Process Industries,Textiles,95.0,42.0,27.0,92.0,10.73K,12.16K,161.25,34.53,-28.14
127,SBC.NS,31.26,11459.66K,Distribution Services,Wholesale Distributors,95.0,81.0,91.0,94.0,11972.26K,11488.82K,31.49,10.95,-0.73
131,VENUSREM.NS,749.15,16.77K,Health Technology,Pharmaceuticals: Major,94.0,49.0,94.0,92.0,72.47K,22.77K,839.95,277.95,-10.81
132,BAJAJCON.NS,373.95,355.78K,Consumer Non-Durables,Household/Personal Care,94.0,96.0,94.0,94.0,1573.38K,1171.50K,395.75,151.0,-5.51
134,KMEW.NS,1707.6,75.66K,Producer Manufacturing,Trucks/Construction/Farm Machinery,94.0,21.0,92.0,96.0,245.91K,144.15K,1959.3,632.02,-12.85
140,RNBDENIMS.NS,184.54,6838.26K,Process Industries,Textiles,94.0,95.0,96.0,,1281.91K,5554.76K,184.7,97.55,-0.09
142,ARFIN.NS,72.73,510.66K,Non-Energy Minerals,Aluminum,94.0,19.0,92.0,96.0,817.37K,905.79K,84.01,31.43,-13.43
143,SILVERTUC.NS,1277.8,45.80K,Technology Services,Packaged Software,94.0,4.0,96.0,95.0,225.35K,48.62K,1690.2,610.0,-24.4
