Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
18,CUPID.NS,509.0,9497.55K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,98.0,98.0,3862.70K,4126.63K,512.0,55.75,-0.59
23,TAKE.NS,39.64,1738.01K,Technology Services,Information Technology Services,98.0,96.0,98.0,98.0,1761.81K,2254.18K,40.18,6.51,-1.34
39,MAHASTEEL.NS,959.55,44.51K,Non-Energy Minerals,Steel,97.0,96.0,98.0,97.0,42.82K,13.61K,969.0,179.53,-0.98
43,WAAREEINDO.NS,544.8,231.23K,Electronic Technology,Electronic Equipment/Instruments,97.0,53.0,,,165.18K,95.72K,725.0,165.07,-24.86
47,BGRENERGY.NS,356.1,113.15K,Industrial Services,Engineering & Construction,97.0,4.0,95.0,97.0,209.71K,88.78K,490.8,69.05,-27.44
49,SOMATEX.NS,141.15,28.58K,Process Industries,Textiles,97.0,94.0,97.0,97.0,25.70K,15.11K,161.25,34.53,-12.47
58,NORBTEAEXP.NS,90.96,2.43K,Consumer Non-Durables,Food: Specialty/Candy,97.0,95.0,96.0,97.0,2.86K,3.73K,90.96,23.42,0.0
83,JAYNECOIND.NS,92.55,26261.65K,Non-Energy Minerals,Steel,96.0,96.0,94.0,97.0,7850.08K,9040.30K,93.45,28.0,-0.96
86,STALLION.NS,244.66,253.70K,Distribution Services,Wholesale Distributors,96.0,97.0,78.0,97.0,1802.28K,302.35K,423.8,60.0,-42.27
98,VENUSREM.NS,741.5,19.40K,Health Technology,Pharmaceuticals: Major,96.0,86.0,96.0,93.0,99.10K,38.95K,839.9,270.25,-11.72
100,IFBAGRO.NS,1316.6,20.72K,Consumer Non-Durables,Beverages: Alcoholic,95.0,51.0,96.0,94.0,80.71K,24.56K,1640.0,440.0,-19.72
101,MEGASOFT.NS,189.76,56.09K,Technology Services,Information Technology Services,95.0,21.0,91.0,94.0,226.67K,97.91K,231.0,49.06,-17.85
111,INFOBEAN.NS,786.0,79.82K,Technology Services,Packaged Software,95.0,96.0,96.0,96.0,128.81K,262.97K,853.4,270.55,-7.9
118,ATHERENERG.NS,731.9,3395.99K,Consumer Durables,Motor Vehicles,95.0,78.0,92.0,96.0,4051.27K,2322.43K,790.0,288.15,-7.35
119,ASHAPURMIN.NS,887.35,432.42K,Non-Energy Minerals,Other Metals/Minerals,95.0,95.0,93.0,96.0,819.80K,1314.47K,918.0,301.6,-3.34
120,BHAGYANGR.NS,166.98,542.97K,Producer Manufacturing,Electrical Products,95.0,95.0,96.0,96.0,350.41K,124.33K,168.92,65.0,-1.15
121,HINDCOPPER.NS,533.35,153320.55K,Non-Energy Minerals,Other Metals/Minerals,95.0,97.0,96.0,95.0,18096.27K,49561.66K,545.95,183.82,-2.31
122,SALSTEEL.NS,42.53,219.91K,Non-Energy Minerals,Steel,95.0,81.0,95.0,96.0,135.63K,160.67K,44.23,14.37,-3.84
126,KMEW.NS,1865.4,207.43K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,96.0,95.0,96.0,251.93K,412.06K,1959.3,632.02,-4.79
130,CURAA.NS,107.8,0.05K,Technology Services,Information Technology Services,95.0,7.0,0.0,10.0,0.92K,0.20K,337.0,24.43,-68.01
136,FORCEMOT.NS,19845.0,142.85K,Consumer Durables,Motor Vehicles,94.0,88.0,87.0,89.0,67.62K,53.14K,21990.0,6125.0,-9.75
142,LUMAXTECH.NS,1520.0,100.53K,Producer Manufacturing,Auto Parts: Oem,94.0,62.0,85.0,87.0,256.53K,241.64K,1620.0,449.0,-6.17
143,SKMEGGPROD.NS,428.1,113.77K,Process Industries,Agricultural Commodities/Milling,94.0,76.0,94.0,94.0,102.29K,72.14K,465.0,154.0,-7.94
144,PFOCUS.NS,241.86,5344.56K,Consumer Services,Movies/Entertainment,94.0,97.0,92.0,94.0,5310.88K,8501.20K,247.79,85.0,-2.39
150,IMFA.NS,1476.1,209.64K,Non-Energy Minerals,Other Metals/Minerals,94.0,86.0,93.0,95.0,281.08K,249.90K,1485.0,549.8,-0.6
152,GRMOVER.NS,164.4,3376.55K,Process Industries,Agricultural Commodities/Milling,94.0,83.0,94.0,89.0,2550.58K,2837.97K,185.45,58.63,-11.35
153,SABTNL.NS,1570.6,159.72K,Consumer Services,Movies/Entertainment,94.0,93.0,96.0,94.0,62.46K,68.98K,1714.9,352.6,-8.41
