20260728T,0,1000,0,339.6,0
20260729T,0,1000,0,339.6,0
20260730T,0,1000,0,339.6,0
20260731T,0,1000,0,339.6,0
20260803T,0,1000,0,339.6,0
20260728T,0,1000,0,245.88,0
20260729T,0,1000,0,245.88,0
20260730T,0,1000,0,245.88,0
20260731T,0,1000,0,245.88,0
20260803T,0,1000,0,245.88,0
20260728T,0,1000,0,171.62,0
20260729T,0,1000,0,171.62,0
20260730T,0,1000,0,171.62,0
20260731T,0,1000,0,171.62,0
20260803T,0,1000,0,171.62,0
20260728T,0,1000,0,143.97,0
20260729T,0,1000,0,143.97,0
20260730T,0,1000,0,143.97,0
20260731T,0,1000,0,143.97,0
20260803T,0,1000,0,143.97,0
20260728T,0,1000,0,130.19,0
20260729T,0,1000,0,130.19,0
20260730T,0,1000,0,130.19,0
20260731T,0,1000,0,130.19,0
20260803T,0,1000,0,130.19,0
20260728T,0,1000,0,121.73,0
20260729T,0,1000,0,121.73,0
20260730T,0,1000,0,121.73,0
20260731T,0,1000,0,121.73,0
20260803T,0,1000,0,121.73,0
20260728T,0,1000,0,114.6,0
20260729T,0,1000,0,114.6,0
20260730T,0,1000,0,114.6,0
20260731T,0,1000,0,114.6,0
20260803T,0,1000,0,114.6,0
20260728T,0,1000,0,109.71,0
20260729T,0,1000,0,109.71,0
20260730T,0,1000,0,109.71,0
20260731T,0,1000,0,109.71,0
20260803T,0,1000,0,109.71,0
20260728T,0,1000,0,101.85,0
20260729T,0,1000,0,101.85,0
20260730T,0,1000,0,101.85,0
20260731T,0,1000,0,101.85,0
20260803T,0,1000,0,101.85,0
20260728T,0,1000,0,96.21,0
20260729T,0,1000,0,96.21,0
20260730T,0,1000,0,96.21,0
20260731T,0,1000,0,96.21,0
20260803T,0,1000,0,96.21,0
20260728T,0,1000,0,91.66,0
20260729T,0,1000,0,91.66,0
20260730T,0,1000,0,91.66,0
20260731T,0,1000,0,91.66,0
20260803T,0,1000,0,91.66,0
20260728T,0,1000,0,86.79,0
20260729T,0,1000,0,86.79,0
20260730T,0,1000,0,86.79,0
20260731T,0,1000,0,86.79,0
20260803T,0,1000,0,86.79,0
20260728T,0,1000,0,81.53,0
20260729T,0,1000,0,81.53,0
20260730T,0,1000,0,81.53,0
20260731T,0,1000,0,81.53,0
20260803T,0,1000,0,81.53,0
20260728T,0,1000,0,74.55,0
20260729T,0,1000,0,74.55,0
20260730T,0,1000,0,74.55,0
20260731T,0,1000,0,74.55,0
20260803T,0,1000,0,74.55,0
20260728T,0,1000,0,68.06,0
20260729T,0,1000,0,68.06,0
20260730T,0,1000,0,68.06,0
20260731T,0,1000,0,68.06,0
20260803T,0,1000,0,68.06,0
20260728T,0,1000,0,52.66,0
20260729T,0,1000,0,52.66,0
20260730T,0,1000,0,52.66,0
20260731T,0,1000,0,52.66,0
20260803T,0,1000,0,52.66,0
