Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
9,TANDHANIN.BO,157.7,159.0,3.92K,Finance,Investment Banks/Brokers,98.0,94.0,67.0,98.0,10.925,10.6821,7.41K,3.77K,175.0,10.48,7.85B,No,153.72,148.06,82.86,148.66,113.0,496
42,KUBERJI.BO,51.79,51.5,55.34K,Finance,Financial Conglomerates,97.0,94.0,98.0,98.0,3.6686,3.23,31.67K,50.14K,56.22,10.51,177.80M,No,50.2,35.96,21.73,40.43,26.28,495
54,STELLANT.BO,985.7,976.85,1.94K,Finance,Investment Banks/Brokers,97.0,34.0,96.0,81.0,53.9,53.9,8.03K,2.19K,1104.6,135.6,5.60B,No,1028.86,893.94,643.8,957.37,716.22,496
67,SKM.BO,494.35,498.0,4.00K,Process Industries,Chemicals: Major Diversified,97.0,88.0,88.0,98.0,14.9679,13.2964,18.98K,26.00K,507.0,102.05,6.05B,No,464.5,456.02,281.23,461.0,348.64,230
99,HFCL.NS,214.31,215.71,3919.37K,Electronic Technology,Telecommunications Equipment,96.0,37.0,58.0,97.0,11.1871,9.735,20850.51K,7740.80K,256.7,59.82,327.95B,No,232.47,220.37,137.18,219.65,166.46,499
106,VEERHEALTH.BO,49.96,49.99,104.30K,Health Technology,Pharmaceuticals: Other,96.0,67.0,95.0,95.0,2.2064,2.2064,132.50K,75.45K,52.0,16.7,999.12M,No,49.79,46.17,27.84,47.45,32.29,495
109,AVALON.NS,2485.9,2537.7,1046.90K,Electronic Technology,Electronic Production Equipment,96.0,83.0,92.0,96.0,151.9428,148.1214,524.55K,977.38K,2618.0,777.3,166.26B,No,2273.79,2031.24,1376.42,2135.57,1602.24,499
115,SWANDEF.NS,2713.4,2746.3999,9.63K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,87.0,86.0,51.0,128.2928,128.2928,22.27K,21.25K,2764.0,577.1,142.95B,No,2534.48,2461.78,1988.51,2552.67,2182.4,496
117,MTARTECH.NS,7015.5,7202.0,48.85K,Electronic Technology,Aerospace & Defense,95.0,50.0,16.0,91.0,326.25,289.4643,205.90K,122.51K,8714.0,1784.0,215.79B,No,7134.9,6699.08,5230.42,6839.0,6258.39,499
135,ATHERENERG.NS,1593.0,1640.0,2234.42K,Consumer Durables,Motor Vehicles,95.0,81.0,95.0,93.0,62.1714,58.5714,4999.44K,3961.77K,1744.0,534.5,631.02B,No,1602.23,1460.66,982.1,1501.33,1121.15,348
185,AMRAPLIN.BO,37.68,37.31,7.92K,Technology Services,Packaged Software,94.0,80.0,38.0,96.0,2.6379,2.6364,16.64K,16.88K,44.77,12.65,1.94B,No,35.08,35.67,22.83,35.61,26.72,495
201,LTELEVATOR.BO,347.8,341.0,20.80K,Producer Manufacturing,Building Products,93.0,79.0,93.0,91.0,13.4357,9.2786,52.44K,49.76K,380.4,125.33,7.40B,No,340.42,306.04,226.96,320.63,244.82,249
204,JAFINANCE.BO,138.95,139.95,0.35K,Finance,Finance/Rental/Leasing,93.0,89.0,95.0,88.0,6.9714,6.3071,0.82K,2.04K,143.99,50.35,1.48B,No,129.27,114.19,89.24,121.39,96.17,495
216,MUNOTHFI.BO,61.15,61.18,0.00K,Finance,Regional Banks,93.0,87.0,97.0,95.0,0.6229,0.2136,0.08K,0.04K,69.35,16.4,314.02M,No,58.25,49.97,35.85,53.23,36.45,495
