Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
19,CUPID.NS,509.0,9497.55K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,98.0,98.0,3955.12K,4733.44K,512.0,55.75,-0.59
25,TAKE.NS,39.64,1738.01K,Technology Services,Information Technology Services,98.0,94.0,98.0,98.0,1761.68K,2418.49K,40.18,6.51,-1.34
40,MAHASTEEL.NS,959.55,44.51K,Non-Energy Minerals,Steel,97.0,96.0,98.0,97.0,42.85K,17.75K,969.0,179.53,-0.98
44,WAAREEINDO.NS,544.8,231.23K,Electronic Technology,Electronic Equipment/Instruments,97.0,53.0,,,165.18K,95.72K,725.0,165.07,-24.86
48,BGRENERGY.NS,356.1,113.15K,Industrial Services,Engineering & Construction,97.0,4.0,95.0,97.0,208.13K,90.41K,490.8,69.05,-27.44
50,SOMATEX.NS,141.15,28.58K,Process Industries,Textiles,97.0,94.0,97.0,97.0,25.76K,17.41K,161.25,34.53,-12.47
59,NORBTEAEXP.NS,90.96,2.43K,Consumer Non-Durables,Food: Specialty/Candy,97.0,95.0,96.0,97.0,2.86K,3.91K,90.96,23.57,0.0
84,JAYNECOIND.NS,92.55,26261.65K,Non-Energy Minerals,Steel,96.0,96.0,93.0,97.0,8152.51K,11656.41K,93.45,28.0,-0.96
87,STALLION.NS,244.66,253.70K,Distribution Services,Wholesale Distributors,96.0,97.0,78.0,97.0,1776.89K,312.25K,423.8,60.0,-42.27
99,VENUSREM.NS,741.5,19.40K,Health Technology,Pharmaceuticals: Major,96.0,86.0,96.0,93.0,97.80K,34.53K,839.9,270.25,-11.72
101,IFBAGRO.NS,1316.6,20.72K,Consumer Non-Durables,Beverages: Alcoholic,95.0,51.0,96.0,94.0,79.73K,25.33K,1640.0,440.0,-19.72
102,MEGASOFT.NS,189.76,56.09K,Technology Services,Information Technology Services,95.0,21.0,90.0,94.0,223.88K,97.82K,231.0,49.06,-17.85
112,INFOBEAN.NS,786.0,79.82K,Technology Services,Packaged Software,95.0,96.0,96.0,95.0,128.01K,224.18K,853.4,270.55,-7.9
120,ATHERENERG.NS,731.9,3395.99K,Consumer Durables,Motor Vehicles,95.0,78.0,92.0,96.0,4040.53K,2492.35K,790.0,288.15,-7.35
121,ASHAPURMIN.NS,887.35,432.42K,Non-Energy Minerals,Other Metals/Minerals,95.0,95.0,93.0,96.0,813.45K,1286.28K,918.0,301.6,-3.34
122,BHAGYANGR.NS,166.98,542.97K,Producer Manufacturing,Electrical Products,95.0,95.0,96.0,96.0,353.57K,167.62K,168.92,65.0,-1.15
123,HINDCOPPER.NS,533.35,153320.55K,Non-Energy Minerals,Other Metals/Minerals,95.0,97.0,96.0,95.0,20313.24K,65565.48K,545.95,183.82,-2.31
124,SALSTEEL.NS,42.53,219.91K,Non-Energy Minerals,Steel,95.0,81.0,95.0,96.0,137.01K,151.03K,44.23,14.37,-3.84
130,KMEW.NS,1865.4,207.43K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,96.0,95.0,96.0,251.20K,373.36K,1959.3,632.02,-4.79
134,CURAA.NS,107.8,0.05K,Technology Services,Information Technology Services,94.0,7.0,0.0,10.0,0.90K,0.19K,337.0,24.43,-68.01
140,FORCEMOT.NS,19845.0,142.85K,Consumer Durables,Motor Vehicles,94.0,88.0,87.0,88.0,68.86K,66.18K,21990.0,6125.0,-9.75
143,LUMAXTECH.NS,1520.0,100.53K,Producer Manufacturing,Auto Parts: Oem,94.0,67.0,89.0,88.0,253.98K,173.36K,1620.0,449.0,-6.17
147,SKMEGGPROD.NS,428.1,113.77K,Process Industries,Agricultural Commodities/Milling,94.0,75.0,94.0,93.0,102.48K,77.84K,465.0,154.0,-7.94
148,PFOCUS.NS,241.86,5344.56K,Consumer Services,Movies/Entertainment,94.0,97.0,92.0,94.0,5311.48K,7942.23K,247.79,85.0,-2.39
154,IMFA.NS,1476.1,209.64K,Non-Energy Minerals,Other Metals/Minerals,94.0,86.0,93.0,95.0,279.91K,252.49K,1485.0,549.8,-0.6
156,GRMOVER.NS,164.4,3376.55K,Process Industries,Agricultural Commodities/Milling,94.0,83.0,93.0,89.0,2564.12K,2949.16K,185.45,58.63,-11.35
157,SABTNL.NS,1570.6,159.72K,Consumer Services,Movies/Entertainment,94.0,93.0,96.0,94.0,64.06K,75.38K,1714.9,352.6,-8.41
159,KRISHANA.NS,539.2,69.75K,Process Industries,Chemicals: Agricultural,94.0,87.0,86.0,76.0,137.62K,79.55K,619.0,175.15,-12.89
161,ARFIN.NS,70.53,1051.96K,Non-Energy Minerals,Aluminum,94.0,94.0,95.0,,250.69K,418.22K,72.0,31.43,-2.04
163,INDOTHAI.NS,312.05,334.82K,Finance,Investment Banks/Brokers,94.0,2.0,86.0,94.0,532.84K,223.33K,466.35,131.21,-33.09
165,GMBREW.NS,1187.9,199.31K,Consumer Non-Durables,Beverages: Alcoholic,93.0,93.0,96.0,93.0,1321.62K,329.31K,1316.65,579.95,-9.78
167,THANGAMAYL.NS,3204.5,41.68K,Consumer Durables,Other Consumer Specialties,93.0,59.0,96.0,94.0,155.02K,103.08K,3536.3,1523.1,-9.38
168,JINDALPHOT.NS,1506.2,5.03K,Finance,Financial Conglomerates,93.0,79.0,93.0,93.0,23.85K,6.90K,1616.6,536.0,-6.83
169,YATRA.NS,177.23,1340.74K,Consumer Services,Other Consumer Services,93.0,54.0,91.0,96.0,3126.45K,1900.22K,202.0,65.51,-12.26
170,RICOAUTO.NS,130.81,5250.00K,Producer Manufacturing,Auto Parts: Oem,93.0,85.0,94.0,94.0,8453.11K,13260.39K,141.5,54.0,-7.55
174,RELIABLE.NS,140.22,333.51K,Technology Services,Data Processing Services,93.0,10.0,87.0,95.0,51.29K,60.88K,166.0,63.15,-15.53
176,POCL.NS,1454.4,133.84K,Non-Energy Minerals,Other Metals/Minerals,93.0,91.0,91.0,94.0,426.19K,226.95K,1506.0,490.0,-3.43
179,LTF.NS,305.45,25280.83K,Finance,Finance/Rental/Leasing,93.0,61.0,90.0,91.0,7534.28K,6499.23K,315.35,129.2,-3.14
182,SILGO.NS,81.65,272.69K,Consumer Durables,Other Consumer Specialties,93.0,95.0,91.0,92.0,105.63K,300.98K,87.5,26.21,-6.69
189,PRIVISCL.NS,3190.5,114.50K,Process Industries,Chemicals: Major Diversified,93.0,72.0,92.0,90.0,93.34K,69.27K,3440.5,1368.15,-7.27
190,IZMO.NS,813.5,45.41K,Technology Services,Packaged Software,93.0,15.0,3.0,96.0,85.94K,93.59K,1374.7,229.7,-40.82
191,SEJALLTD.NS,869.65,7.99K,Process Industries,Industrial Specialties,93.0,42.0,84.0,95.0,12.67K,3.52K,1036.7,313.5,-16.11
192,NATIONALUM.NS,316.6,24852.18K,Non-Energy Minerals,Aluminum,93.0,94.0,95.0,93.0,12437.58K,13561.63K,318.85,137.75,-0.71
194,SANDUMA.NS,240.96,6829.49K,Non-Energy Minerals,Other Metals/Minerals,93.0,92.0,94.0,92.0,6515.28K,9891.99K,253.3,112.4,-4.87
195,MIDWESTLTD.NS,1788.7,239.53K,Non-Energy Minerals,Construction Materials,93.0,96.0,,,356.95K,251.41K,1842.0,1048.5,-2.89
197,MCX.NS,10889.0,564.88K,Finance,Investment Banks/Brokers,93.0,85.0,94.0,83.0,552.90K,453.03K,11219.0,4408.15,-2.94
198,BELRISE.NS,181.74,6430.02K,Producer Manufacturing,Auto Parts: Oem,92.0,90.0,85.0,94.0,8650.59K,24919.88K,185.5,89.15,-2.03
203,LUMAXIND.NS,5192.5,13.54K,Producer Manufacturing,Auto Parts: Oem,92.0,27.0,75.0,91.0,23.13K,10.61K,5870.0,1960.0,-11.54
204,PROZONER.NS,54.79,37.82K,Finance,Real Estate Development,92.0,73.0,82.0,91.0,1366.59K,72.14K,72.77,27.3,-24.71
205,CUB.NS,297.4,6630.02K,Finance,Regional Banks,92.0,83.0,94.0,87.0,3487.51K,2662.14K,302.2,142.91,-1.59
206,BHARATSE.NS,171.95,63.84K,Producer Manufacturing,Auto Parts: Oem,92.0,38.0,62.0,93.0,204.32K,50.82K,239.45,69.84,-28.19
207,SHRIRAMFIN.NS,979.4,17753.55K,Finance,Finance/Rental/Leasing,92.0,92.0,96.0,90.0,8359.41K,15988.42K,984.6,493.35,-0.53
208,LAURUSLABS.NS,1091.9,2804.58K,Health Technology,Pharmaceuticals: Major,92.0,84.0,92.0,91.0,1898.49K,1618.62K,1098.4,501.15,-0.59
209,APOLLO.NS,259.85,2053.69K,Electronic Technology,Electronic Production Equipment,92.0,50.0,14.0,89.0,3496.72K,3626.43K,354.7,103.77,-26.74
211,DREDGECORP.NS,1005.2,213.23K,Transportation,Marine Shipping,92.0,93.0,96.0,90.0,655.21K,391.67K,1070.5,495.0,-6.1
215,GLOBAL.NS,90.96,32.15K,Commercial Services,Miscellaneous Commercial Services,92.0,88.0,94.0,91.0,166.66K,45.87K,98.4,41.0,-7.56
218,RMDRIP.NS,82.26,631.58K,Producer Manufacturing,Industrial Machinery,92.0,80.0,80.0,89.0,399.90K,475.93K,85.24,33.1,-3.5
220,AUBANK.NS,996.45,10250.38K,Finance,Regional Banks,92.0,81.0,93.0,84.0,2616.15K,2674.28K,1007.25,489.45,-1.07
221,MWL.NS,272.68,91.94K,Non-Energy Minerals,Steel,92.0,89.0,89.0,93.0,68.45K,146.84K,286.5,132.0,-4.82
222,GMDCLTD.NS,595.7,6378.36K,Distribution Services,Wholesale Distributors,92.0,87.0,65.0,90.0,5446.48K,7898.26K,651.0,226.59,-8.49
224,ABCAPITAL.NS,349.3,17641.06K,Finance,Multi-Line Insurance,92.0,57.0,88.0,85.0,4977.67K,5167.45K,368.95,149.01,-5.33
225,ZOTA.NS,1525.1,31.33K,Health Technology,Pharmaceuticals: Major,92.0,50.0,78.0,92.0,74.64K,70.08K,1740.0,752.0,-12.35
