Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
157,SANSERA.NS,2183.0,225.60K,Producer Manufacturing,Auto Parts: Oem,94.0,62.0,94.0,94.0,238.90K,219.74K,2396.0,972.2,-8.89
159,SALSTEEL.NS,37.99,109.05K,Non-Energy Minerals,Steel,94.0,13.0,63.0,89.0,81.38K,73.68K,49.57,14.37,-23.36
160,BLISSGVS.NS,224.08,10435.35K,Health Technology,Pharmaceuticals: Major,94.0,80.0,94.0,94.0,4357.51K,2038.03K,243.9,108.12,-8.13
162,SOMATEX.NS,88.07,5.37K,Process Industries,Textiles,94.0,3.0,30.0,93.0,11.44K,6.91K,161.25,35.82,-45.38
165,NDLVENTURE.NS,117.93,51.84K,Consumer Services,Cable/Satellite Tv,93.0,88.0,95.0,93.0,65.47K,104.44K,134.0,48.94,-11.99
166,KIRLOSENG.NS,1392.4,221.14K,Producer Manufacturing,Electrical Products,93.0,81.0,86.0,94.0,429.39K,348.55K,1530.0,578.5,-8.99
175,WHEELS.NS,1089.55,178.88K,Producer Manufacturing,Auto Parts: Oem,93.0,97.0,94.0,93.0,58.36K,114.56K,1099.0,569.0,-0.86
176,JINDALPOLY.NS,820.8,153.88K,Process Industries,Containers/Packaging,93.0,98.0,97.0,93.0,529.00K,819.98K,1026.45,365.0,-20.04
180,AETHER.NS,1158.55,1512.73K,Process Industries,Chemicals: Major Diversified,93.0,97.0,96.0,95.0,357.18K,678.45K,1250.0,725.0,-7.32
181,JAYNECOIND.NS,73.71,4384.20K,Non-Energy Minerals,Steel,93.0,64.0,71.0,83.0,6149.49K,3469.40K,94.3,29.21,-21.83
183,CURAA.NS,116.37,0.03K,Technology Services,Information Technology Services,93.0,98.0,81.0,16.0,0.28K,0.20K,337.0,28.48,-65.47
185,KMEW.NS,1594.6,83.12K,Producer Manufacturing,Trucks/Construction/Farm Machinery,93.0,87.0,59.0,91.0,157.33K,75.38K,1959.3,632.02,-18.61
189,INDSWFTLAB.NS,136.88,1315.54K,Health Technology,Pharmaceuticals: Major,93.0,58.0,96.0,92.0,674.74K,415.16K,151.98,68.72,-9.94
190,RACLGEAR.NS,1267.4,41.35K,Producer Manufacturing,Auto Parts: Oem,93.0,41.0,93.0,93.0,150.93K,36.40K,1691.9,703.8,-25.09
194,GLOBAL.NS,94.19,33.12K,Commercial Services,Miscellaneous Commercial Services,93.0,27.0,80.0,93.0,98.72K,76.35K,112.35,41.0,-16.16
196,QPOWER.NS,854.45,1631.35K,Producer Manufacturing,Electrical Products,93.0,73.0,91.0,63.0,1223.19K,655.56K,1082.0,267.8,-21.03
197,ATLANTAELE.NS,1195.95,339.58K,Producer Manufacturing,Electrical Products,92.0,98.0,95.0,,159.59K,302.25K,1277.0,707.6,-6.35
198,CPPLUS.NS,1809.4,824.97K,Consumer Durables,Electronics/Appliances,92.0,97.0,92.0,91.0,206.96K,255.04K,1840.7,1015.0,-1.7
199,AGIIL.NS,302.85,2843.17K,Finance,Real Estate Development,92.0,94.0,90.0,91.0,2039.64K,2634.36K,322.4,137.0,-6.06
200,LUMAXIND.NS,5148.5,14.86K,Producer Manufacturing,Auto Parts: Oem,92.0,22.0,63.0,90.0,40.36K,26.83K,6934.5,2100.05,-25.76
201,NETWEB.NS,3251.2,1140.44K,Electronic Technology,Computer Peripherals,92.0,53.0,80.0,72.0,2115.51K,1433.17K,4479.0,1251.55,-27.41
202,GMDCLTD.NS,578.65,2592.41K,Distribution Services,Wholesale Distributors,92.0,86.0,88.0,82.0,4718.39K,6045.08K,651.0,251.0,-11.11
205,MRPL.NS,186.14,12306.82K,Energy Minerals,Oil Refining/Marketing,92.0,73.0,94.0,93.0,17291.04K,37199.11K,212.31,118.01,-12.33
206,GESHIP.NS,1416.5,696.15K,Transportation,Marine Shipping,92.0,93.0,94.0,93.0,540.33K,768.71K,1509.0,802.25,-6.13
207,PASHUPATI.NS,984.4,0.95K,Process Industries,Textiles,92.0,87.0,92.0,93.0,4.88K,4.49K,1035.05,595.95,-4.89
208,CHENNPETRO.NS,1003.35,2073.51K,Energy Minerals,Oil Refining/Marketing,92.0,95.0,92.0,92.0,1959.75K,4103.98K,1103.0,527.0,-9.03
211,INDIANB.NS,909.05,2602.61K,Finance,Major Banks,92.0,57.0,91.0,92.0,2081.32K,1895.70K,1000.0,517.85,-9.1
213,CENTUM.NS,2830.0,41.31K,Electronic Technology,Electronic Components,92.0,91.0,93.0,80.0,93.71K,85.31K,3066.6,1368.6,-7.72
216,PARKHOSPS.NS,200.11,836.84K,Health Services,Hospital/Nursing Management,92.0,87.0,96.0,,1198.83K,824.41K,208.72,138.1,-4.13
218,BHARATFORG.NS,1736.5,1732.83K,Producer Manufacturing,Metal Fabrication,92.0,67.0,92.0,93.0,1420.07K,1290.76K,1935.5,919.1,-10.28
221,GMBREW.NS,1059.0,129.46K,Consumer Non-Durables,Beverages: Alcoholic,92.0,86.0,82.0,94.0,196.03K,119.52K,1328.8,594.0,-20.3
222,KARURVYSYA.NS,284.8,5301.43K,Finance,Regional Banks,92.0,35.0,90.0,92.0,4243.10K,2544.59K,343.45,165.27,-17.08
225,CCL.NS,1077.6,258.69K,Consumer Non-Durables,Food: Specialty/Candy,92.0,89.0,89.0,90.0,306.22K,296.64K,1108.8,525.0,-2.81
226,VEDL.NS,669.65,12913.30K,Non-Energy Minerals,Aluminum,92.0,77.0,90.0,94.0,16631.23K,13831.92K,769.8,363.0,-13.01
227,SGMART.NS,481.15,354.53K,Utilities,Electric Utilities,92.0,94.0,96.0,91.0,317.95K,287.69K,484.25,313.1,-0.64
229,UEL.NS,145.24,13.02K,Utilities,Alternative Power Generation,91.0,7.0,82.0,94.0,10.26K,12.89K,220.0,72.27,-33.98
231,TMB.NS,603.55,245.11K,Finance,Regional Banks,91.0,30.0,92.0,93.0,329.51K,279.69K,721.0,401.0,-16.29
232,BORANA.NS,336.55,31.91K,Process Industries,Textiles,91.0,22.0,89.0,95.0,58.38K,43.41K,420.0,211.0,-19.87
233,TFCILTD.NS,65.25,10580.47K,Finance,Finance/Rental/Leasing,91.0,18.0,80.0,71.0,12098.60K,6661.78K,80.45,27.74,-18.89
234,DBOL.NS,100.31,167.31K,Process Industries,Agricultural Commodities/Milling,91.0,69.0,95.0,90.0,187.80K,112.16K,115.25,65.1,-12.96
235,IZMO.NS,679.3,33.70K,Technology Services,Packaged Software,91.0,17.0,37.0,16.0,187.11K,45.91K,1374.7,259.0,-50.59
237,SYRMA.NS,817.75,2035.46K,Electronic Technology,Electronic Production Equipment,91.0,74.0,89.0,80.0,1296.29K,1390.41K,909.9,370.0,-10.13
240,GODAVARIB.NS,312.35,440.77K,Process Industries,Agricultural Commodities/Milling,91.0,94.0,91.0,87.0,414.83K,566.52K,348.7,145.0,-10.42
245,IMFA.NS,1244.6,137.10K,Non-Energy Minerals,Other Metals/Minerals,91.0,83.0,55.0,86.0,215.12K,100.50K,1510.6,549.8,-17.61
246,DATAPATTNS.NS,3213.3,945.40K,Electronic Technology,Electronic Production Equipment,91.0,89.0,93.0,87.0,908.18K,940.52K,3609.5,1392.25,-10.98
249,BSE.NS,2890.2,4740.72K,Finance,Investment Banks/Brokers,91.0,91.0,85.0,92.0,4733.14K,4387.10K,3227.0,1526.07,-10.44
