Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
11,BGRENERGY.NS,428.75,64.39K,Industrial Services,Engineering & Construction,98.0,61.0,97.0,98.0,334.97K,109.58K,490.8,38.01,-12.64
24,CUPID.NS,349.05,6522.05K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,97.0,97.0,3696.03K,3533.27K,351.8,55.75,-0.78
27,WAAREEINDO.NS,555.5,32.24K,Electronic Technology,Electronic Equipment/Instruments,98.0,97.0,,,200.65K,339.79K,725.0,165.07,-23.38
31,TAKE.NS,32.52,2941.80K,Technology Services,Information Technology Services,98.0,97.0,98.0,97.0,1095.38K,2976.35K,32.53,6.51,-0.03
40,MAHASTEEL.NS,752.25,8.52K,Non-Energy Minerals,Steel,97.0,95.0,97.0,96.0,51.69K,6.42K,792.0,179.53,-5.02
46,INDOTHAI.NS,404.15,298.98K,Finance,Investment Banks/Brokers,97.0,77.0,98.0,96.0,846.87K,327.27K,466.35,108.0,-13.34
59,MEGASOFT.NS,200.82,191.93K,Technology Services,Information Technology Services,97.0,49.0,95.0,96.0,293.71K,131.99K,231.0,49.06,-13.06
62,NORBTEAEXP.NS,69.91,6.15K,Consumer Non-Durables,Food: Specialty/Candy,97.0,88.0,96.0,94.0,3.16K,2.20K,72.82,15.03,-4.0
69,SOMATEX.NS,118.13,18.08K,Process Industries,Textiles,96.0,12.0,94.0,97.0,36.19K,8.86K,161.25,34.53,-26.74
76,IZMO.NS,907.95,35.99K,Technology Services,Packaged Software,96.0,89.0,93.0,97.0,106.83K,57.63K,1374.7,229.7,-33.95
86,CURAA.NS,132.14,1.34K,Technology Services,Information Technology Services,96.0,10.0,0.0,84.0,0.97K,1.73K,337.0,24.43,-60.79
92,SALSTEEL.NS,38.75,335.58K,Non-Energy Minerals,Steel,96.0,77.0,97.0,96.0,260.82K,75.04K,44.23,14.37,-12.39
93,UNITEDPOLY.NS,38.54,53.95K,Process Industries,Textiles,96.0,49.0,86.0,96.0,182.71K,73.99K,51.16,11.9,-24.67
96,TERASOFT.NS,495.9,11.65K,Technology Services,Information Technology Services,95.0,78.0,95.0,95.0,25.29K,26.05K,598.0,159.55,-17.07
97,LUMAXTECH.NS,1519.3,349.98K,Producer Manufacturing,Auto Parts: Oem,95.0,96.0,87.0,93.0,274.99K,281.51K,1584.0,449.0,-4.08
100,ATHERENERG.NS,708.85,2835.57K,Consumer Durables,Motor Vehicles,95.0,77.0,94.0,96.0,4562.74K,3727.28K,790.0,288.15,-10.27
101,IFBAGRO.NS,1296.3,30.47K,Consumer Non-Durables,Beverages: Alcoholic,95.0,62.0,95.0,92.0,73.55K,46.60K,1640.0,440.0,-20.96
104,VENUSREM.NS,727.05,187.32K,Health Technology,Pharmaceuticals: Major,95.0,98.0,95.0,92.0,85.64K,257.20K,758.0,270.25,-4.08
106,LUMAXIND.NS,5669.5,38.84K,Producer Manufacturing,Auto Parts: Oem,95.0,91.0,90.0,95.0,28.17K,38.68K,5789.5,1960.0,-2.07
108,SEJALLTD.NS,911.2,1.96K,Process Industries,Industrial Specialties,95.0,60.0,95.0,94.0,16.44K,11.19K,1036.7,313.5,-12.11
111,NACLIND.NS,189.63,148.14K,Process Industries,Chemicals: Agricultural,95.0,41.0,3.0,67.0,206.20K,160.74K,339.45,50.32,-44.14
118,ZOTA.NS,1630.8,153.52K,Health Technology,Pharmaceuticals: Major,95.0,82.0,91.0,93.0,83.60K,91.88K,1740.0,576.85,-6.28
119,IMFA.NS,1380.1,326.02K,Non-Energy Minerals,Other Metals/Minerals,95.0,91.0,94.0,96.0,256.78K,359.50K,1393.8,549.8,-0.98
123,BAFNAPH.NS,154.28,8.12K,Health Technology,Pharmaceuticals: Major,95.0,85.0,94.0,95.0,13.81K,2.23K,202.06,69.0,-23.65
125,LTF.NS,309.15,3744.16K,Finance,Finance/Rental/Leasing,95.0,91.0,92.0,94.0,7688.85K,7034.58K,315.35,129.2,-1.97
126,AHCL.NS,165.71,108.86K,Health Technology,Pharmaceuticals: Major,95.0,96.0,,,603.72K,202.59K,172.75,90.78,-4.08
132,CARTRADE.NS,3063.6,317.98K,Technology Services,Internet Software/Services,94.0,74.0,87.0,95.0,527.14K,331.00K,3290.5,1294.0,-6.9
