Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
15,LIPPISYS.BO,228.2,235.05,7.86K,Producer Manufacturing,Industrial Machinery,98.0,53.0,64.0,98.0,12.075,11.8321,15.86K,8.40K,281.2,23.81,1.60B,No,216.53,234.85,112.42,234.34,144.83,497
19,STLTECH.NS,823.75,867.1,1029.61K,Technology Services,Information Technology Services,98.0,93.0,90.0,98.0,45.975,41.3964,2056.55K,1985.83K,912.0,84.6,423.45B,No,805.49,683.24,388.9,704.76,496.93,501
22,TBZ.NS,674.85,692.45,626.80K,Consumer Durables,Other Consumer Specialties,98.0,98.0,98.0,98.0,38.4643,31.6393,2999.08K,1340.74K,698.6,110.5,45.03B,No,519.64,369.62,212.34,392.63,238.13,501
33,SHANTAI.BO,90.59,90.59,6.61K,Process Industries,Textiles,98.0,43.0,38.0,90.0,0.3786,0.3786,6.80K,10.81K,102.01,11.69,683.63M,No,90.77,91.69,66.3,91.51,84.49,497
37,RANJITSE.BO,60.0,61.15,0.00K,Finance,Finance/Rental/Leasing,98.0,31.0,43.0,1.0,2.1214,1.5743,0.14K,0.03K,122.1,6.24,161.24M,No,59.88,60.9,61.56,60.89,70.92,204
40,PHCAP.BO,1117.35,1117.8,1.94K,Finance,Investment Banks/Brokers,97.0,74.0,77.0,91.0,47.8393,47.7321,3.92K,3.31K,1158.9,165.05,3.35B,No,1088.18,1043.63,743.07,1054.89,864.33,497
56,KELENRG.BO,12763.85,13024.2998,1.21K,Process Industries,Industrial Specialties,97.0,9.0,96.0,98.0,313.5179,183.8929,1.76K,1.09K,14800.0,2900.0,12.76B,No,12603.46,11352.7,6126.92,11674.54,7220.15,497
58,DATIWARE.BO,65.5,65.45,0.30K,Process Industries,Agricultural Commodities/Milling,97.0,89.0,98.0,96.0,1.0729,0.805,0.27K,0.59K,72.33,19.59,327.50M,No,61.74,53.75,32.03,55.42,36.07,500
72,SKM.BO,473.0,473.6,13.00K,Process Industries,Chemicals: Major Diversified,97.0,85.0,87.0,98.0,15.2607,13.7429,18.46K,24.10K,507.0,102.05,5.79B,No,473.02,457.36,286.33,458.86,347.93,233
81,INDOSMC.BO,495.1,506.8,40.00K,Producer Manufacturing,Electrical Products,96.0,31.0,86.0,97.0,26.7321,25.2964,66.24K,67.60K,533.8,134.0,11.32B,No,496.86,473.72,,487.9,329.51,169
82,NATHUEC.BO,35.75,35.75,1.00K,Transportation,Air Freight/Couriers,96.0,57.0,52.0,97.0,0.8321,0.7343,2.72K,1.06K,40.23,9.15,148.19M,No,38.15,35.64,23.66,35.88,27.98,497
102,AFLTD.BO,104.1,104.7,6.00K,Producer Manufacturing,Auto Parts: Oem,96.0,98.0,98.0,,5.8214,5.0779,30.33K,47.10K,104.7,40.85,1.41B,No,74.99,64.53,,68.26,,84
106,JOJO.BO,230.3,235.0,2.75K,Consumer Services,Movies/Entertainment,96.0,95.0,97.0,94.0,6.7179,4.025,80.40K,68.72K,235.1,72.0,15.88B,No,211.06,172.11,130.75,180.32,135.01,500
110,VIKRAMTH.BO,404.9,426.8,45.99K,Health Technology,Pharmaceuticals: Major,96.0,96.0,95.0,96.0,23.9821,21.0179,26.45K,48.75K,440.0,133.2,12.70B,No,328.44,286.97,199.47,299.43,218.75,497
122,SWASTIKA.BO,146.8,150.0,1.79K,Finance,Investment Banks/Brokers,95.0,2.0,98.0,96.0,8.0893,7.975,93.87K,7.03K,195.0,43.65,2.95B,No,160.64,148.56,85.16,152.12,93.2,497
127,SANSERA.NS,4605.6,4621.3999,268.64K,Producer Manufacturing,Auto Parts: Oem,95.0,90.0,92.0,93.0,183.4,172.1357,256.29K,324.55K,4743.5,1364.2,287.47B,No,4091.35,3800.05,2711.05,3883.39,3052.13,501
128,MANINDS.NS,962.85,986.7,1415.72K,Producer Manufacturing,Industrial Machinery,95.0,95.0,95.0,95.0,61.1893,59.8821,1071.09K,3424.22K,1005.0,302.05,72.22B,No,829.26,684.45,515.15,716.68,572.69,501
136,CRYOGENIC.BO,410.0,402.1,6.00K,Industrial Services,Oilfield Services/Equipment,95.0,73.0,92.0,95.0,8.7821,3.2929,15.52K,19.12K,418.3,151.0,5.85B,No,380.7,354.63,236.71,362.36,264.3,301
138,FILATEX.NS,105.32,108.72,4640.55K,Process Industries,Textiles,95.0,93.0,97.0,96.0,6.3836,6.3836,5864.22K,11962.11K,111.5,36.26,46.77B,No,85.32,81.06,55.76,83.83,59.74,500
140,QUANTDIA.BO,45.5,44.5,0.71K,Process Industries,Containers/Packaging,95.0,91.0,97.0,93.0,2.6986,2.4907,4.36K,3.16K,48.9,16.24,138.09M,No,42.2,36.81,24.72,38.2,26.42,497
152,RATNAVEER.NS,323.95,331.4,2759.22K,Non-Energy Minerals,Steel,94.0,90.0,96.0,94.0,19.9786,19.9643,7334.24K,10236.46K,343.75,130.5,27.19B,No,303.12,251.2,182.25,257.34,193.79,500
156,CORDSCABLE.NS,366.75,369.65,92.94K,Producer Manufacturing,Electrical Products,94.0,97.0,96.0,94.0,34.0714,33.7036,166.05K,301.28K,406.95,127.01,4.74B,No,341.87,269.27,205.6,275.62,217.99,500
158,QMSMEDI.NS,192.54,195.1,55.43K,Distribution Services,Medical Distributors,94.0,95.0,97.0,95.0,8.7721,8.5186,32.96K,53.57K,197.0,68.95,3.72B,No,165.95,139.6,101.63,145.75,108.06,499
170,RUBYMILLS.NS,494.6,490.2,31.88K,Process Industries,Textiles,94.0,93.0,92.0,95.0,41.5607,41.0821,25.53K,40.10K,515.0,169.02,16.54B,No,442.96,409.58,284.93,416.07,318.23,499
184,ANTELOPUS.NS,1130.95,1161.2,379.19K,Energy Minerals,Integrated Oil,94.0,96.0,89.0,93.0,91.8929,91.3,1346.33K,1840.64K,1218.3,357.0,39.77B,No,1045.51,913.49,694.37,921.77,772.2,501
191,KAPSTON.NS,578.1,585.9,34.98K,Commercial Services,Miscellaneous Commercial Services,93.0,85.0,94.0,92.0,21.1714,21.0893,71.98K,50.76K,600.0,244.18,17.59B,No,572.54,530.9,384.7,547.2,403.22,500
210,VTMLTD.NS,42.13,44.5,91.86K,Process Industries,Textiles,93.0,5.0,,,4.4243,4.4243,55.81K,120.80K,61.9,22.95,4.24B,No,51.43,,,,,33
211,MARINE.NS,401.5,425.8,2131.35K,Distribution Services,Wholesale Distributors,93.0,74.0,92.0,94.0,27.1607,26.8,1311.56K,2938.58K,450.0,150.86,56.19B,No,409.79,355.32,249.64,364.28,271.37,501
216,JATTAINDUS.BO,644.9,605.8,0.39K,Process Industries,Textiles,93.0,92.0,93.0,80.0,56.8857,55.2322,0.26K,0.34K,664.0,201.2,2.83B,No,562.08,499.4,431.47,520.07,449.73,499
242,GULFPETRO.NS,63.55,66.38,54.28K,Energy Minerals,Oil Refining/Marketing,92.0,15.0,94.0,93.0,3.2629,3.165,198.70K,92.80K,71.4,23.25,3.24B,No,64.75,58.87,40.49,60.2,43.03,500
274,NRBBEARING.NS,528.9,541.05,342.98K,Producer Manufacturing,Auto Parts: Oem,91.0,82.0,82.0,93.0,24.6036,24.15,690.09K,1783.59K,548.8,212.55,51.26B,No,491.23,463.69,349.31,469.98,379.19,500
278,SICAGEN.NS,52.36,52.98,10.19K,Distribution Services,Wholesale Distributors,91.0,48.0,46.0,,2.2893,2.2893,71.51K,18.47K,74.06,24.35,2.07B,No,54.8,54.81,,55.99,,115
288,EMIL.NS,189.16,191.32,2792.14K,Retail Trade,Electronics/Appliance Stores,91.0,68.0,94.0,92.0,9.4521,9.45,6315.98K,4445.50K,202.86,84.9,72.78B,No,184.36,169.23,122.43,172.67,131.93,501
306,TRISHAKT.BO,240.65,243.55,12.02K,Industrial Services,Oilfield Services/Equipment,90.0,46.0,95.0,91.0,13.7893,13.6036,51.36K,26.65K,284.9,114.9,4.07B,No,246.07,234.63,169.59,235.72,180.5,497
311,CENTUM.NS,4837.6,4826.1001,91.33K,Electronic Technology,Electronic Components,90.0,97.0,87.0,88.0,251.7428,248.25,69.40K,97.41K,4999.5,2044.2,71.41B,No,4157.07,3812.25,3082.73,3853.92,3405.53,499
316,MITSU.BO,178.5,177.25,24.77K,Producer Manufacturing,Miscellaneous Manufacturing,90.0,36.0,82.0,91.0,7.675,7.5964,28.25K,27.68K,201.05,80.3,2.42B,No,178.61,167.17,130.77,169.37,140.29,497
318,HITECHCORP.NS,331.55,334.0,2.56K,Producer Manufacturing,Miscellaneous Manufacturing,90.0,56.0,60.0,95.0,8.8321,8.5679,13.00K,7.18K,345.0,112.0,5.69B,No,333.19,328.24,222.71,329.1,247.03,498
330,DIVGIITTS.NS,1156.6,1177.1,58.66K,Producer Manufacturing,Auto Parts: Oem,90.0,33.0,88.0,86.0,61.7571,61.7571,304.46K,111.00K,1329.8,573.7,35.37B,No,1173.21,1115.58,817.93,1136.06,894.4,499
332,BLSE.NS,326.7,322.45,346.57K,Technology Services,Internet Software/Services,90.0,71.0,91.0,94.0,10.3607,10.3107,875.52K,410.41K,339.8,124.3,29.62B,No,320.09,309.08,221.26,313.1,237.11,501
333,LOKESHMACH.NS,342.9,359.25,43.37K,Technology Services,Information Technology Services,90.0,78.0,80.0,86.0,18.1857,18.1857,36.42K,34.70K,385.8,138.96,7.47B,No,346.62,339.19,252.17,340.18,283.66,500
357,KDDL.NS,4119.8,4251.8999,67.35K,Consumer Durables,Other Consumer Specialties,89.0,78.0,85.0,89.0,133.05,131.9429,44.93K,40.19K,4270.0,1990.0,50.67B,No,3925.56,3735.37,2823.41,3792.47,3019.51,499
358,AKUMS.NS,817.6,823.3,218.83K,Health Technology,Biotechnology,89.0,76.0,88.0,87.0,27.3321,27.125,368.61K,370.85K,838.8,409.3,125.18B,No,776.89,737.13,567.42,743.57,615.45,498
