Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2387,SILINV.NS,432.4,2.49K,Finance,Financial Conglomerates,23.0,44.0,19.0,27.0,2.61K,1.66K,767.0,424.45,4.58B,No
2388,JHACC.BO,166.0,1.14K,Finance,Investment Banks/Brokers,23.0,28.0,53.0,12.0,5.96K,1.26K,289.9,145.9,1.57B,No
2389,ACML.BO,38.99,2.00K,Retail Trade,Food Retail,23.0,56.0,50.0,65.0,4.97K,2.80K,59.0,31.0,570.58M,No
2390,BLUESTONE.NS,432.45,257.76K,Retail Trade,Specialty Stores,23.0,39.0,15.0,35.0,378.24K,388.48K,793.0,399.8,65.62B,No
2391,WESTLIFE.NS,500.8,122.51K,Consumer Services,Restaurants,23.0,57.0,41.0,18.0,358.06K,168.64K,819.2,464.3,77.94B,No
2392,PNCINFRA.NS,211.67,305.70K,Industrial Services,Engineering & Construction,23.0,47.0,29.0,17.0,311.29K,474.29K,331.8,205.45,54.30B,No
2393,BECTORFOOD.NS,211.96,634.50K,Consumer Non-Durables,Food: Specialty/Candy,23.0,36.0,27.0,28.0,540.35K,663.91K,330.8,208.67,65.02B,No
2394,LORDSCHLO.NS,127.86,65.81K,Process Industries,Chemicals: Specialty,23.0,11.0,9.0,12.0,16.62K,25.47K,241.99,116.91,3.66B,No
2395,KEC.NS,595.2,286.77K,Industrial Services,Engineering & Construction,23.0,16.0,34.0,20.0,773.73K,526.30K,947.0,577.65,158.44B,No
2396,GUJARATPOLY.BO,59.93,4.08K,Electronic Technology,Electronic Components,23.0,13.0,41.0,16.0,3.77K,1.92K,111.8,53.5,512.40M,No
2397,GEECEE.NS,291.65,10.60K,Finance,Real Estate Development,23.0,27.0,20.0,38.0,4.30K,6.96K,448.0,285.05,6.10B,No
2398,STARDELTA.BO,490.85,0.73K,Producer Manufacturing,Electrical Products,23.0,80.0,15.0,46.0,3.17K,7.22K,895.35,419.0,1.47B,No
2399,JSLINDL.BO,1092.45,0.19K,Producer Manufacturing,Electrical Products,23.0,86.0,39.0,33.0,0.05K,0.01K,1893.0,900.0,1.28B,No
2400,KIRLOSIND.NS,2820.1,6.92K,Non-Energy Minerals,Steel,23.0,13.0,21.0,26.0,3.87K,3.70K,4726.0,2786.9,29.68B,No
2401,SIYSIL.NS,533.85,22.17K,Process Industries,Textiles,23.0,60.0,14.0,47.0,81.35K,73.69K,848.8,494.1,24.23B,No
2402,ITL.BO,277.85,2.89K,Producer Manufacturing,Industrial Machinery,23.0,76.0,33.0,32.0,1.30K,1.84K,455.0,243.75,890.31M,No
2403,RISHIROOP.BO,91.36,2.25K,Process Industries,Chemicals: Specialty,23.0,48.0,36.0,16.0,2.30K,2.03K,141.0,85.2,837.19M,No
2404,PRIMIND.BO,38.8,10.33K,Finance,Real Estate Development,23.0,45.0,88.0,22.0,14.54K,10.76K,112.3,32.01,814.93M,No
2405,VSTL.NS,116.03,11.06K,Non-Energy Minerals,Steel,23.0,40.0,35.0,18.0,15.14K,12.44K,204.99,114.0,2.20B,No
2406,BRADYM.BO,837.1,0.19K,Producer Manufacturing,Industrial Machinery,23.0,45.0,47.0,8.0,0.25K,0.20K,2018.0,701.0,1.88B,No
2407,KIRIINDUS.NS,456.1,169.22K,Process Industries,Chemicals: Specialty,23.0,34.0,18.0,46.0,2442.21K,854.25K,779.0,445.75,27.40B,No
2408,WHBRADY.BO,542.75,0.09K,Producer Manufacturing,Industrial Machinery,23.0,63.0,38.0,30.0,0.52K,0.32K,1032.0,477.05,1.38B,No
2409,TOLINS.NS,111.98,139.37K,Consumer Durables,Automotive Aftermarket,23.0,26.0,14.0,17.0,95.13K,117.16K,202.0,107.72,4.42B,No
2410,PGCRL.BO,105.45,25.20K,Consumer Services,Hotels/Resorts/Cruise Lines,23.0,54.0,10.0,82.0,21.11K,13.08K,183.65,77.0,282.30M,No
2411,PRAJIND.NS,310.1,3247.97K,Industrial Services,Engineering & Construction,23.0,76.0,63.0,30.0,2834.99K,4662.37K,588.45,273.0,57.00B,No
2412,ITC.NS,318.3,11266.67K,Consumer Non-Durables,Tobacco,23.0,47.0,19.0,33.0,24631.94K,19613.82K,444.2,302.0,3988.05B,No
2413,GUJTERC.BO,39.66,0.34K,Health Technology,Pharmaceuticals: Major,23.0,13.0,30.0,54.0,3.98K,4.95K,79.85,37.2,309.00M,No
2414,GOKEX.NS,679.9,689.85K,Consumer Non-Durables,Apparel/Footwear,22.0,91.0,12.0,69.0,1186.48K,1988.98K,1060.0,531.0,49.80B,No
2415,CLN.BO,336.85,1.20K,Producer Manufacturing,Electrical Products,22.0,18.0,4.0,12.0,2.77K,1.88K,659.05,230.0,3.55B,No
2416,3PLAND.NS,33.68,0.94K,Finance,Real Estate Development,22.0,31.0,33.0,17.0,7.31K,2.66K,58.79,31.7,,No
2417,CONTPTR.BO,88.56,0.51K,Energy Minerals,Oil Refining/Marketing,22.0,26.0,22.0,34.0,4.44K,3.71K,135.0,84.5,838.69M,No
2418,KNAGRI.NS,171.21,25.43K,Process Industries,Agricultural Commodities/Milling,22.0,71.0,27.0,22.0,30.25K,88.04K,273.5,148.3,4.28B,No
2419,GREENPANEL.NS,208.0,166.84K,Non-Energy Minerals,Forest Products,22.0,41.0,26.0,28.0,165.62K,182.69K,335.2,202.81,25.52B,No
2420,JAGSNPHARM.NS,168.65,32.75K,Health Technology,Pharmaceuticals: Generic,22.0,64.0,27.0,20.0,55.51K,53.79K,301.65,155.0,11.31B,No
2421,BIGBLOC.NS,50.68,118.95K,Non-Energy Minerals,Construction Materials,22.0,8.0,13.0,49.0,384.51K,81.48K,80.0,48.25,7.18B,No
2422,ZENITHEXPO.NS,202.21,0.02K,Consumer Non-Durables,Apparel/Footwear,22.0,63.0,25.0,41.0,0.69K,0.43K,351.65,181.5,1.17B,No
2423,LOYAL.BO,166.25,2.95K,Producer Manufacturing,Industrial Machinery,22.0,16.0,41.0,15.0,4.82K,5.16K,363.9,155.0,1.79B,No
