Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
17,CUPID.NS,429.15,3128.69K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,97.0,98.0,3591.10K,3929.89K,430.9,55.75,-0.41
28,TAKE.NS,35.12,1553.42K,Technology Services,Information Technology Services,98.0,95.0,98.0,98.0,1421.69K,1359.35K,35.25,6.51,-0.37
41,MAHASTEEL.NS,801.95,0.86K,Non-Energy Minerals,Steel,97.0,87.0,97.0,97.0,47.15K,12.01K,838.0,179.53,-4.3
43,BGRENERGY.NS,306.05,114.29K,Industrial Services,Engineering & Construction,97.0,1.0,88.0,98.0,256.39K,175.22K,490.8,69.05,-37.64
59,WAAREEINDO.NS,403.5,69.74K,Electronic Technology,Electronic Equipment/Instruments,97.0,0.0,,,171.06K,116.97K,725.0,165.07,-44.34
62,INDOTHAI.NS,379.4,224.02K,Finance,Investment Banks/Brokers,97.0,12.0,97.0,96.0,717.00K,152.49K,466.35,108.0,-18.64
77,VENUSREM.NS,767.15,33.42K,Health Technology,Pharmaceuticals: Major,96.0,97.0,97.0,95.0,96.92K,60.68K,839.8,270.25,-8.65
79,SABTNL.NS,1650.3,45.01K,Consumer Services,Movies/Entertainment,96.0,98.0,97.0,97.0,54.71K,131.85K,1966.6,352.6,-16.08
85,NORBTEAEXP.NS,69.2,0.32K,Consumer Non-Durables,Food: Specialty/Candy,96.0,90.0,94.0,96.0,2.90K,2.93K,76.0,19.45,-8.95
86,MEGASOFT.NS,177.63,51.92K,Technology Services,Information Technology Services,96.0,23.0,89.0,95.0,272.58K,87.28K,231.0,49.06,-23.1
90,SOMATEX.NS,102.72,4.38K,Process Industries,Textiles,96.0,1.0,95.0,96.0,28.62K,9.25K,161.25,34.53,-36.3
93,IFBAGRO.NS,1239.0,12.18K,Consumer Non-Durables,Beverages: Alcoholic,96.0,6.0,96.0,94.0,76.70K,18.33K,1640.0,440.0,-24.45
