Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
6,ARIHANT.NS,1137.9,1.62K,Finance,Real Estate Development,98.0,97.0,82.0,,75.925,75.3143,9.08K,11.71K,1225.0,39.65,12.36B,No,878.08,,910.21,
33,BATLIBOI.NS,82.55,8.75K,Producer Manufacturing,Industrial Machinery,98.0,53.0,49.0,,4.0293,4.0164,43.09K,68.85K,97.45,15.7,3.90B,No,81.76,,81.27,
47,INTEGFD.BO,141.85,6.20K,Process Industries,Agricultural Commodities/Milling,97.0,24.0,87.0,98.0,7.5464,7.2179,3.21K,1.44K,158.3,20.71,2.65B,No,144.62,76.02,145.52,95.55
59,UFBL.NS,700.45,101.66K,Consumer Services,Restaurants,97.0,69.0,97.0,98.0,36.2571,35.8036,405.00K,113.63K,763.35,172.34,27.38B,No,631.31,335.86,665.02,409.32
78,ONELIFECAP.NS,36.09,61.13K,Finance,Investment Managers,96.0,22.0,97.0,96.0,2.1243,2.1243,94.69K,70.03K,40.1,11.15,1.35B,No,32.98,20.0,33.78,22.71
85,AMALGAM.BO,145.55,1.75K,Commercial Services,Miscellaneous Commercial Services,96.0,98.0,98.0,93.0,3.9986,0.6571,0.88K,3.40K,147.91,38.9,404.12M,No,98.46,73.61,107.09,73.55
88,COSPOWER.BO,1960.3,0.50K,Producer Manufacturing,Electrical Products,96.0,67.0,96.0,95.0,88.7821,65.9893,1.46K,0.51K,2140.0,595.0,3.60B,No,1815.7,1153.59,1894.47,1295.77
108,TRUEGREEN.BO,185.35,7.39K,Process Industries,Textiles,95.0,50.0,80.0,97.0,10.8393,10.7714,12.47K,7.70K,200.85,52.75,6.11B,No,183.31,116.0,187.53,140.81
114,DIACABS.NS,322.85,3139.84K,Producer Manufacturing,Electrical Products,95.0,98.0,97.0,97.0,19.9879,19.5764,7870.83K,11914.38K,342.0,115.57,170.13B,No,228.33,165.1,241.33,177.38
156,KIRLOSENG.NS,2225.2,271.60K,Producer Manufacturing,Electrical Products,94.0,52.0,85.0,94.0,96.9643,95.3357,783.78K,381.19K,2720.0,855.8,323.78B,No,2156.2,1515.47,2185.55,1705.83
178,YASHHV.BO,922.75,41.25K,Producer Manufacturing,Electrical Products,93.0,73.0,86.0,96.0,40.5464,40.3536,155.35K,75.65K,1008.75,366.0,26.40B,No,843.28,584.86,867.09,642.75
193,RRKABEL.NS,2631.9,287.06K,Producer Manufacturing,Electrical Products,93.0,85.0,92.0,94.0,116.6643,111.1357,834.79K,1077.70K,2775.0,1165.0,297.68B,No,2300.17,1679.41,2379.16,1818.75
196,MBAPL.NS,160.01,685.63K,Process Industries,Chemicals: Agricultural,93.0,94.0,92.0,94.0,8.5857,8.4464,1431.13K,2671.92K,167.95,74.63,70.11B,No,124.16,99.05,131.1,108.03
213,SIZEMASTER.BO,352.0,0.06K,Producer Manufacturing,Miscellaneous Manufacturing,92.0,36.0,24.0,88.0,17.1,15.8143,0.30K,0.10K,415.0,119.95,3.52B,No,356.4,270.07,351.39,322.35
225,BEEZAASAN.BO,383.5,8.00K,Process Industries,Industrial Specialties,92.0,71.0,95.0,91.0,13.7571,11.4714,38.31K,9.28K,405.0,177.05,5.81B,No,336.46,253.04,351.1,263.44
233,HIRECT.NS,1339.4,80.33K,Producer Manufacturing,Electrical Products,92.0,92.0,91.0,96.0,80.1071,78.4286,253.85K,126.90K,1399.0,565.2,46.04B,No,1163.33,868.62,1190.37,923.17
237,PHRMASI.BO,87.7,0.19K,Health Technology,Pharmaceuticals: Major,92.0,8.0,20.0,15.0,5.7614,4.8471,0.50K,0.32K,131.75,26.0,598.72M,No,92.67,86.52,93.49,94.13
245,SICAGEN.NS,49.97,6.98K,Distribution Services,Wholesale Distributors,92.0,22.0,28.0,,2.39,2.39,14.86K,9.15K,61.5,24.35,1.98B,No,53.35,,52.53,
247,UNIPARTS.NS,737.45,134.58K,Producer Manufacturing,Auto Parts: Oem,91.0,86.0,89.0,92.0,26.6107,26.4679,218.13K,126.97K,752.0,335.0,33.26B,No,664.07,531.89,680.86,554.7
257,CYIENTDLM.NS,671.7,207.99K,Electronic Technology,Electronic Production Equipment,91.0,95.0,95.0,93.0,37.8536,37.5179,656.52K,1825.87K,734.95,265.2,53.31B,No,518.69,418.66,548.77,418.22
259,HANNAH.BO,112.0,8.00K,Health Services,Hospital/Nursing Management,91.0,14.0,94.0,,3.975,3.2893,29.84K,13.20K,128.8,55.99,2.54B,No,103.66,,106.4,
263,AETHER.NS,1509.5,557.50K,Process Industries,Chemicals: Major Diversified,91.0,84.0,79.0,85.0,55.4857,55.3786,446.23K,442.11K,1614.4,726.45,200.33B,No,1307.74,1058.77,1358.08,1167.01
269,ADANIENSOL.NS,1647.0,1133.84K,Utilities,Electric Utilities,91.0,72.0,76.0,93.0,51.9929,51.2143,3100.11K,2424.97K,1789.0,744.9,1978.51B,No,1583.44,1185.96,1602.38,1275.27
271,COLINZ.BO,78.43,0.56K,Health Technology,Pharmaceuticals: Major,91.0,59.0,94.0,81.0,5.8607,5.5321,5.25K,3.50K,87.91,36.11,197.57M,No,69.25,52.83,71.73,56.64
272,APCOTEXIND.NS,617.6,621.00K,Process Industries,Chemicals: Specialty,91.0,90.0,93.0,91.0,38.0393,37.2464,296.71K,1051.50K,712.0,310.45,32.02B,No,533.24,420.8,548.0,444.47
