Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
52,RAJPALAYAM.NS,845.15,3.87K,Process Industries,Textiles,97.0,65.0,,,1.78K,4.32K,875.0,314.45,,No
53,PANKAJPO.BO,65.0,6.14K,Producer Manufacturing,Miscellaneous Manufacturing,97.0,65.0,65.0,98.0,4.67K,5.22K,75.97,14.7,360.35M,No
62,DEEDEV.NS,639.2,213.33K,Producer Manufacturing,Industrial Machinery,97.0,97.0,97.0,97.0,1431.58K,429.31K,681.4,183.0,44.27B,No
70,SICAGEN.NS,57.12,7.72K,Distribution Services,Wholesale Distributors,96.0,80.0,,,18.66K,37.25K,61.5,24.35,2.26B,No
84,BAJAJCON.NS,558.8,312.59K,Consumer Non-Durables,Household/Personal Care,96.0,86.0,90.0,96.0,1376.06K,720.82K,581.0,168.25,72.99B,No
88,SAKAR.NS,814.85,45.64K,Health Technology,Pharmaceuticals: Major,96.0,94.0,94.0,97.0,174.59K,197.82K,871.3,306.35,17.89B,No
102,ATHERENERG.NS,988.15,5990.31K,Consumer Durables,Motor Vehicles,95.0,73.0,91.0,90.0,4681.29K,5255.74K,1047.0,306.15,378.58B,No
105,RUBICON.NS,1298.2,589.51K,Health Technology,Biotechnology,95.0,95.0,95.0,96.0,442.77K,1620.06K,1370.0,570.75,213.88B,No
111,APOLLO.NS,419.2,30114.49K,Electronic Technology,Electronic Production Equipment,95.0,95.0,95.0,93.0,19208.49K,46209.85K,446.9,162.34,149.78B,No
113,INDOSMC.BO,284.2,75.00K,Producer Manufacturing,Electrical Products,95.0,94.0,97.0,,119.03K,205.67K,302.5,134.0,6.50B,No
118,ASTONEALAB.BO,282.0,27.00K,Health Technology,Pharmaceuticals: Major,95.0,98.0,96.0,96.0,16.27K,20.67K,301.3,118.0,2.96B,No
124,ARFIN.NS,89.23,2179.60K,Non-Energy Minerals,Aluminum,95.0,38.0,81.0,93.0,1866.11K,2429.50K,106.2,31.43,15.06B,No
145,UNIVCABLES.NS,1242.7,443.22K,Electronic Technology,Electronic Components,94.0,88.0,96.0,88.0,260.20K,687.10K,1302.5,576.0,43.12B,No
149,BALAMINES.NS,2099.9,486.86K,Process Industries,Chemicals: Specialty,94.0,97.0,97.0,95.0,358.80K,878.69K,2185.0,968.1,68.04B,No
152,ROSSTECH.NS,1055.2,79.78K,Electronic Technology,Telecommunications Equipment,94.0,78.0,92.0,92.0,140.53K,260.48K,1122.0,354.0,39.93B,No
156,SANCF.BO,56.39,0.00K,Finance,Investment Banks/Brokers,94.0,87.0,91.0,97.0,0.07K,0.03K,64.95,24.0,177.63M,No
163,SAFFRON.BO,31.99,0.51K,Finance,Real Estate Development,93.0,50.0,41.0,2.0,5.53K,3.52K,104.13,9.05,229.85M,No
167,ADANIENSOL.NS,1520.0,2705.76K,Utilities,Electric Utilities,93.0,78.0,93.0,93.0,3320.18K,4103.68K,1578.5,744.9,1825.95B,No
180,SCPL.NS,452.55,5.13K,Consumer Non-Durables,Food: Meat/Fish/Dairy,93.0,77.0,91.0,96.0,13.21K,20.54K,480.0,190.03,4.82B,No
184,ESSEX.BO,46.95,2.00K,Consumer Non-Durables,Food: Meat/Fish/Dairy,93.0,54.0,96.0,96.0,60.10K,54.89K,49.3,18.25,716.55M,No
197,HINDCOPPER.NS,541.4,2479.00K,Non-Energy Minerals,Other Metals/Minerals,92.0,63.0,25.0,95.0,8570.21K,4476.35K,760.05,226.7,523.55B,No
198,JAYNECOIND.NS,97.11,3501.04K,Non-Energy Minerals,Steel,92.0,9.0,82.0,89.0,6477.22K,5476.31K,117.0,34.9,94.29B,No
207,SCANPRO.BO,129.95,0.15K,Industrial Services,Engineering & Construction,92.0,69.0,89.0,92.0,0.77K,0.54K,136.4,59.41,373.39M,No
216,GRWRHITECH.NS,5863.5,51.55K,Process Industries,Chemicals: Specialty,92.0,94.0,91.0,93.0,109.56K,108.50K,6166.0,2681.0,136.22B,No
223,KMCSHIL.BO,117.75,200.10K,Health Services,Hospital/Nursing Management,92.0,96.0,89.0,93.0,128.34K,383.38K,124.85,62.5,19.20B,No
233,SKMEGGPROD.NS,239.31,1212.35K,Process Industries,Agricultural Commodities/Milling,91.0,97.0,91.0,75.0,726.96K,3990.00K,247.9,102.75,12.62B,No
235,HRS.BO,246.0,0.40K,Non-Energy Minerals,Aluminum,91.0,80.0,49.0,,37.44K,8.89K,292.6,126.0,4.74B,No
240,APARINDS.NS,13709.0,159.52K,Electronic Technology,Electronic Equipment/Instruments,91.0,77.0,84.0,93.0,124.82K,152.30K,14080.0,6801.0,550.75B,No
253,DIGILOGIC.BO,125.0,134.40K,Electronic Technology,Electronic Equipment/Instruments,91.0,93.0,89.0,,48.04K,157.87K,133.9,72.95,3.62B,No
257,CHENNPETRO.NS,1190.6,1024.35K,Energy Minerals,Oil Refining/Marketing,90.0,81.0,86.0,79.0,2571.33K,1242.10K,1225.0,603.1,177.29B,No
264,NGIL.NS,41.0,7.79K,Consumer Non-Durables,Food: Specialty/Candy,90.0,82.0,94.0,91.0,37.81K,34.25K,43.89,22.01,730.42M,No
277,KESAR.BO,1233.5,19.40K,Finance,Real Estate Development,90.0,50.0,50.0,90.0,11.10K,12.79K,1287.4,530.0,37.13B,No
279,SAMOR.BO,95.95,0.00K,Distribution Services,Wholesale Distributors,90.0,61.0,90.0,93.0,5.56K,4.63K,104.99,48.55,2.17B,No
281,QPOWER.NS,1021.0,274.02K,Producer Manufacturing,Electrical Products,90.0,1.0,69.0,88.0,1056.64K,233.92K,1441.0,456.2,79.07B,No
291,SHAILY.NS,3067.4,262.38K,Process Industries,Chemicals: Specialty,89.0,88.0,94.0,82.0,536.55K,367.09K,3198.0,1535.9,141.09B,No
293,KRISHANA.NS,684.55,198.62K,Process Industries,Chemicals: Agricultural,89.0,79.0,90.0,88.0,284.09K,345.31K,718.5,411.95,42.32B,No
296,REMIEDEL.BO,183.0,0.93K,Non-Energy Minerals,Steel,89.0,86.0,86.0,86.0,4.41K,2.95K,202.0,85.25,2.31B,No
307,NDLVENTURE.NS,131.2,7.31K,Consumer Services,Cable/Satellite Tv,89.0,80.0,74.0,87.0,52.03K,26.07K,140.0,62.01,4.42B,No
308,SHAWGELTIN.BO,502.45,26.00K,Consumer Non-Durables,Food: Specialty/Candy,89.0,89.0,91.0,91.0,10.40K,46.39K,530.0,327.3,3.04B,No
319,MIIL.BO,773.95,46.78K,Finance,Investment Managers,88.0,66.0,87.0,91.0,79.20K,161.21K,804.9,470.1,16.81B,No
321,DECNGOLD.NS,168.55,1582.63K,Non-Energy Minerals,Precious Metals,88.0,95.0,,,1841.21K,3756.21K,181.5,114.8,,No
326,ADFFOODS.NS,288.8,298.99K,Consumer Non-Durables,Food: Specialty/Candy,88.0,81.0,92.0,90.0,378.80K,382.03K,301.65,153.1,31.73B,No
336,JAYBARMARU.NS,126.6,1347.20K,Distribution Services,Wholesale Distributors,88.0,95.0,75.0,91.0,983.14K,4940.25K,132.5,71.01,13.70B,No
341,MAYURUNIQ.NS,734.4,105.53K,Process Industries,Textiles,88.0,94.0,88.0,92.0,236.38K,459.57K,805.75,471.2,31.91B,No
347,MOBAVENUE.BO,1397.05,15.87K,Technology Services,Packaged Software,88.0,90.0,75.0,84.0,3.40K,14.94K,1500.0,649.3,21.60B,No
360,GESHIP.NS,1492.0,699.70K,Transportation,Marine Shipping,87.0,48.0,66.0,89.0,1352.25K,1364.63K,1798.0,913.1,213.01B,No
361,BIMETAL.NS,638.75,0.90K,Producer Manufacturing,Auto Parts: Oem,87.0,83.0,,,0.81K,2.72K,666.0,470.9,,No
364,SJS.NS,1989.8,55.39K,Producer Manufacturing,Auto Parts: Oem,87.0,74.0,63.0,79.0,133.13K,125.27K,2137.8,1102.7,63.67B,No
379,OVOBELE.BO,186.6,8.86K,Consumer Non-Durables,Food: Specialty/Candy,87.0,96.0,78.0,52.0,8.07K,29.39K,206.95,96.5,1.77B,No
384,KTKBANK.NS,262.9,1389.44K,Finance,Regional Banks,86.0,47.0,84.0,83.0,4099.44K,3115.34K,278.4,169.12,99.42B,No
390,IIRM.BO,110.35,6.25K,Producer Manufacturing,Miscellaneous Manufacturing,86.0,92.0,80.0,92.0,22.22K,21.53K,128.99,68.0,7.52B,No
395,NAVINFLUOR.NS,7090.5,77.75K,Process Industries,Chemicals: Specialty,86.0,61.0,63.0,83.0,227.57K,188.48K,7525.0,4348.2,363.64B,No
405,TRITONV.BO,1020.8,10.35K,Consumer Durables,Automotive Aftermarket,86.0,84.0,76.0,92.0,4.31K,4.93K,1095.0,630.5,5.23B,No
425,BLSE.NS,225.17,440.65K,Technology Services,Internet Software/Services,85.0,85.0,92.0,65.0,546.27K,393.60K,232.5,124.3,20.41B,No
427,ANANDRATHI.NS,1750.6,289.80K,Finance,Investment Managers,85.0,44.0,71.0,82.0,659.67K,1352.55K,1867.5,974.45,290.67B,No
