Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,98,28,0,94,RRFIN.BO
2,Discount Stores,Retail Trade,93,87,9,68,SPICELOUNG.BO
3,Computer Processing Hardware,Electronic Technology,86,85,86,91,IDM.BO
4,Cable/Satellite Tv,Consumer Services,86,85,89,81,NDLVENTURE.NS
5,Real Estate Investment Trusts,Finance,80,71,80,76,"FUNDVISER.BO,MINDSPACE.BO,KRT.BO,EMBASSY.BO,BIRET.BO,NXST.BO,INDUSINVIT.BO,ANNAINFRA.BO"
6,Major Banks,Finance,78,58,74,80,"FEDERALBNK.NS,BANKINDIA.NS,UNIONBANK.NS,RBLBANK.NS,SOUTHBANK.NS,INDIANB.NS,CANBK.NS,IDBI.NS,MAHABANK.NS,AXISBANK.NS,BANKBARODA.NS,PNB.NS,INDUSINDBK.NS,BANDHANBNK.NS,KOTAKBANK.NS,CSBBANK.NS,HDFCBANK.NS,CENTRALBK.NS,IOB.NS"
7,Drugstore Chains,Retail Trade,74,66,85,72,MEDPLUS.NS
8,Life/Health Insurance,Finance,74,66,72,71,"CANHLIFE.NS,MFSL.NS,SBILIFE.NS,BAJAJFINSV.NS,ICICIPRULI.NS,STARHEALTH.NS,LICI.NS,NIVABUPA.NS"
9,Wireless Telecommunications,Communications,72,64,62,71,"BHARTIARTL.NS,BHARTIHEXA.NS"
10,Motor Vehicles,Consumer Durables,70,49,62,68,"FORCEMOT.NS,ATHERENERG.NS,SMLMAH.NS,TMCV.NS,EICHERMOT.NS,TVSMOTOR.NS,ZELIO.BO,HEROMOTOCO.NS,SANDHAR.NS,MARUTI.NS,ATULAUTO.NS,M&M.NS,HYUNDAI.NS,TMPV.NS,SEVL.BO,ATLASCYCLE.NS,OLECTRA.NS,OLAELEC.NS"
11,Computer Communications,Electronic Technology,70,26,43,67,KERNEX.NS
12,Precious Metals,Non-Energy Minerals,69,87,84,78,"DECNGOLD.BO,MIDWEST.BO"
13,Medical Distributors,Distribution Services,69,55,70,69,"CHECKPOINT.BO,GUJINJEC.BO,APPL.BO,BIJHANS.BO,RAMAVISION.BO,EVERESTO.BO,ENTERO.NS,APL.BO,ROYAL.BO"
14,Computer Peripherals,Electronic Technology,68,54,39,70,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
