Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
6,ARIHANT.NS,1137.9,1.62K,Finance,Real Estate Development,98.0,97.0,82.0,,9.08K,11.71K,1225.0,39.65,-7.11
10,EASTSILK.NS,62.63,3.52K,Process Industries,Textiles,98.0,94.0,59.0,21.0,0.97K,0.94K,99.25,1.8,-36.9
19,SANGINITA.NS,64.06,103.80K,Process Industries,Chemicals: Specialty,98.0,97.0,98.0,98.0,164.59K,287.35K,68.02,9.09,-5.82
26,CUPID.NS,230.95,11281.44K,Consumer Non-Durables,Household/Personal Care,98.0,89.0,97.0,97.0,29318.58K,29261.03K,234.5,30.21,-1.51
32,STLTECH.NS,584.9,1919.36K,Technology Services,Information Technology Services,98.0,60.0,97.0,98.0,3121.47K,2367.10K,679.9,84.6,-13.97
33,BATLIBOI.NS,82.55,8.75K,Producer Manufacturing,Industrial Machinery,98.0,53.0,49.0,,43.09K,68.85K,97.45,15.7,-15.29
35,SIGMAADV.NS,654.7,146.02K,Technology Services,Information Technology Services,98.0,91.0,98.0,98.0,442.08K,268.44K,654.7,108.75,0.0
43,SWANDEF.NS,2527.2,23.40K,Producer Manufacturing,Trucks/Construction/Farm Machinery,97.0,79.0,89.0,82.0,20.94K,24.66K,2550.0,337.65,-0.89
57,AHLWEST.NS,537.0,0.40K,Consumer Services,Hotels/Resorts/Cruise Lines,97.0,13.0,90.0,98.0,2.11K,0.74K,751.4,137.0,-28.53
59,UFBL.NS,700.45,101.66K,Consumer Services,Restaurants,97.0,69.0,97.0,98.0,405.00K,113.63K,763.35,172.34,-8.24
67,YASHO.NS,3884.8,438.10K,Consumer Non-Durables,Food: Specialty/Candy,97.0,95.0,98.0,97.0,42.39K,45.37K,4223.3,1130.0,-8.02
72,VENUSREM.NS,1584.1,21.24K,Health Technology,Pharmaceuticals: Major,96.0,11.0,94.0,95.0,87.41K,56.37K,2044.3,424.0,-22.51
75,BLISSGVS.NS,466.45,156.26K,Health Technology,Pharmaceuticals: Major,96.0,17.0,96.0,97.0,1797.70K,262.78K,553.0,118.0,-15.65
77,DEEDEV.NS,692.35,56.16K,Producer Manufacturing,Industrial Machinery,96.0,45.0,94.0,98.0,247.91K,67.72K,760.0,183.0,-8.9
78,ONELIFECAP.NS,36.09,61.13K,Finance,Investment Managers,96.0,22.0,97.0,96.0,94.69K,70.03K,40.1,11.15,-10.0
79,RPTECH.NS,883.65,1211.64K,Distribution Services,Electronics Distributors,96.0,89.0,97.0,97.0,1290.89K,465.63K,889.0,275.6,-0.6
81,CLCIND.NS,59.58,1.84K,Process Industries,Textiles,96.0,94.0,98.0,0.0,2.49K,7.89K,280.0,8.54,-78.72
82,OMNI.NS,602.3,920.72K,Producer Manufacturing,Metal Fabrication,96.0,90.0,94.0,,541.35K,288.84K,638.5,176.25,-5.67
83,BHAGYANGR.NS,387.45,73.25K,Producer Manufacturing,Electrical Products,96.0,70.0,89.0,96.0,144.46K,102.52K,432.3,85.62,-10.37
84,BAFNAPH.NS,268.2,0.59K,Health Technology,Pharmaceuticals: Major,96.0,93.0,97.0,96.0,15.64K,5.92K,268.2,78.18,0.0
93,HFCL.NS,202.52,38964.87K,Electronic Technology,Telecommunications Equipment,96.0,26.0,94.0,98.0,48226.97K,31806.63K,229.5,59.82,-11.76
96,CPPLUS.NS,3428.7,164.68K,Consumer Durables,Electronics/Appliances,96.0,31.0,91.0,96.0,315.17K,164.56K,3866.0,1015.0,-11.31
104,SAKAR.NS,922.5,181.60K,Health Technology,Pharmaceuticals: Major,96.0,80.0,90.0,96.0,217.34K,153.12K,960.0,311.0,-3.91
105,SHREEJISPG.NS,666.55,523.84K,Transportation,Other Transportation,96.0,94.0,95.0,94.0,1052.60K,628.18K,673.0,222.0,-0.96
106,KSHINTL.NS,878.2,211.17K,Producer Manufacturing,Electrical Products,95.0,68.0,89.0,96.0,473.02K,192.36K,930.0,330.0,-5.57
110,MTARTECH.NS,6012.0,75.46K,Electronic Technology,Aerospace & Defense,95.0,5.0,42.0,96.0,1343.96K,291.55K,8714.0,1390.5,-31.01
111,NOVARTIND.NS,1635.7,29.82K,Health Technology,Pharmaceuticals: Major,95.0,84.0,94.0,,42.99K,52.73K,1780.0,672.25,-8.11
113,ATHERENERG.NS,1272.7,3918.40K,Consumer Durables,Motor Vehicles,95.0,86.0,88.0,94.0,4559.38K,3097.61K,1345.0,349.35,-5.38
114,DIACABS.NS,322.85,3139.84K,Producer Manufacturing,Electrical Products,95.0,98.0,97.0,97.0,7870.83K,11914.38K,342.0,115.57,-5.6
115,E2E.NS,543.0,539.50K,Technology Services,Information Technology Services,95.0,97.0,97.0,97.0,1921.60K,2617.32K,567.8,183.36,-4.37
119,GVPIL.NS,758.0,156.68K,Industrial Services,Engineering & Construction,95.0,3.0,82.0,97.0,370.13K,180.07K,1084.0,270.9,-30.07
121,RUBICON.NS,1500.8,93.50K,Health Technology,Biotechnology,95.0,88.0,93.0,96.0,524.13K,254.43K,1589.7,570.75,-5.59
122,HITECHCORP.NS,319.2,14.72K,Producer Manufacturing,Miscellaneous Manufacturing,95.0,56.0,98.0,94.0,34.16K,9.71K,333.9,112.0,-4.4
123,SCPL.NS,638.6,137.54K,Consumer Non-Durables,Food: Meat/Fish/Dairy,95.0,88.0,95.0,94.0,51.96K,135.41K,648.0,190.03,-1.45
124,SPECTRUM.NS,2547.4,97.26K,Electronic Technology,Electronic Equipment/Instruments,95.0,96.0,98.0,95.0,50.60K,93.49K,2591.0,1050.0,-1.68
