Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,SELECTRIC.BO,2236.8,13.12K,Electronic Technology,Electronic Production Equipment,98.0,99.0,,,88.5793,24.3714,24.23K,62.87K,2236.8,155.1,27.06B,No,,,,
2,APOLLOIN.BO,104.41,1.21K,Process Industries,Agricultural Commodities/Milling,98.0,97.0,98.0,98.0,1.775,0.27,5.28K,6.89K,104.41,5.16,1.09B,No,68.08,25.95,70.19,34.5
3,SALSAIN.BO,267.05,1.07K,Finance,Financial Conglomerates,98.0,54.0,0.0,98.0,9.6071,7.9821,1.16K,0.66K,828.95,14.58,1.86B,No,260.86,208.51,253.95,294.12
4,TANDHANIN.BO,157.65,15.54K,Finance,Investment Banks/Brokers,98.0,88.0,98.0,98.0,3.7893,2.6429,1.76K,7.10K,157.65,10.48,7.85B,No,119.6,48.93,123.16,64.76
5,JTLDEFENCE.BO,644.6,33.16K,Non-Energy Minerals,Other Metals/Minerals,98.0,98.0,99.0,98.0,14.1929,3.4714,2.96K,3.27K,646.65,55.58,6.79B,No,405.01,153.03,412.0,187.07
6,MODMA.BO,58.8,0.40K,Producer Manufacturing,Metal Fabrication,98.0,2.0,98.0,98.0,2.1407,1.7786,3.68K,1.28K,85.79,1.1,6.85B,No,68.88,25.07,69.1,33.85
7,ARIHANT.NS,816.65,2.81K,Finance,Real Estate Development,98.0,9.0,,,47.3,47.0286,6.85K,10.17K,1100.0,39.65,8.87B,No,851.64,,852.42,
8,SAMTELIN.BO,60.33,4.16K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,72.0,98.0,98.0,1.505,0.92,7.26K,10.73K,62.4,1.89,427.62M,No,48.52,18.95,49.46,26.18
9,ISERA.BO,143.9,3.52K,Technology Services,Packaged Software,98.0,97.0,97.0,98.0,1.92,0.1986,3.04K,3.72K,143.9,1.72,1.21B,No,99.85,44.86,102.34,60.8
10,MRUTR.BO,66.22,0.72K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,1.0543,0.0279,3.05K,15.53K,66.22,0.46,47.84B,No,42.72,16.89,44.29,23.25
11,KETOMOTORS.BO,239.6,40.15K,Process Industries,Chemicals: Agricultural,98.0,97.0,98.0,97.0,5.2,0.0,5.70K,4.19K,252.2,4.57,16.88B,No,155.29,107.37,159.64,114.15
12,LIPPISYS.BO,232.5,42.10K,Producer Manufacturing,Industrial Machinery,98.0,98.0,98.0,98.0,12.7564,9.5736,39.34K,29.38K,235.0,19.9,1.63B,No,129.43,57.52,136.39,70.92
13,PARMSILK.BO,427.45,3.96K,Process Industries,Textiles,98.0,98.0,98.0,98.0,15.075,1.4214,0.47K,2.43K,472.35,31.19,1.28B,No,198.51,112.09,213.04,132.51
14,EASTSILK.NS,48.74,0.50K,Process Industries,Textiles,98.0,16.0,3.0,3.0,2.5479,2.4171,1.20K,0.42K,99.25,1.8,243.70M,No,53.91,65.16,53.3,64.33
15,SESHACHAL.BO,59.45,0.81K,Technology Services,Information Technology Services,98.0,0.0,0.0,77.0,2.1364,0.0,0.37K,0.56K,105.31,2.39,41.28M,No,91.83,66.81,90.85,85.15
16,KARTKIN.BO,9436.0,0.04K,Finance,Financial Conglomerates,98.0,75.0,98.0,98.0,385.4072,206.4929,0.03K,0.05K,10741.85,1087.8,2.30B,No,8563.08,3358.46,8690.74,4293.13
17,CALLISTA.BO,191.85,16.86K,Consumer Durables,Home Furnishings,98.0,59.0,15.0,91.0,1.9357,1.0143,1.90K,1.31K,225.95,8.33,1.45B,No,166.4,134.08,167.14,164.83
18,SMTEL.BO,428.0,0.39K,Commercial Services,Miscellaneous Commercial Services,98.0,31.0,33.0,96.0,26.7821,24.5893,0.37K,0.31K,494.85,23.81,7.73B,No,414.43,288.28,409.48,369.33
19,TRADWIN.BO,584.65,0.00K,Consumer Services,Other Consumer Services,98.0,10.0,54.0,86.0,29.1464,21.7464,0.05K,0.09K,846.45,47.04,1.75B,No,613.61,449.65,618.01,598.92
20,BATLIBOI.NS,83.76,9.76K,Producer Manufacturing,Industrial Machinery,98.0,72.0,,,3.705,3.705,34.51K,27.15K,97.45,15.7,3.96B,No,80.77,,80.38,
21,VINRKLB.BO,34.3,0.01K,Health Technology,Pharmaceuticals: Major,98.0,5.0,14.0,98.0,0.8479,0.5529,2.97K,0.92K,46.65,4.5,206.76M,No,38.26,21.25,38.25,28.67
22,COVANCE.BO,257.15,2.79K,Technology Services,Information Technology Services,98.0,97.0,87.0,97.0,9.5143,6.0857,6.26K,13.66K,257.15,21.3,5.69B,No,172.78,132.5,176.33,160.34
23,SPICEISLIN.BO,522.85,32.14K,Process Industries,Textiles,98.0,83.0,94.0,97.0,29.2929,28.1857,20.38K,14.17K,549.0,42.56,3.26B,No,428.41,243.92,435.92,310.8
24,CUPID.NS,206.83,60531.27K,Consumer Non-Durables,Household/Personal Care,98.0,96.0,97.0,95.0,11.4371,11.1364,25741.36K,55108.24K,226.0,23.8,278.12B,No,153.47,95.59,157.1,111.66
25,SHANTAI.BO,93.21,2.43K,Process Industries,Textiles,98.0,19.0,89.0,98.0,0.1364,0.0,5.90K,1.16K,102.01,11.15,699.08M,No,96.73,46.02,97.47,59.86
26,RANJITSE.BO,59.09,2.07K,Finance,Finance/Rental/Leasing,98.0,2.0,1.0,98.0,0.3729,0.085,0.45K,0.01K,122.1,6.24,158.80M,No,69.48,,68.43,64.39
27,EMROCK.BO,243.9,1.94K,Consumer Durables,Homebuilding,98.0,14.0,44.0,85.0,17.1107,16.9464,3.04K,1.44K,305.95,25.39,3.86B,No,282.15,206.47,279.81,257.8
28,SANGINITA.NS,51.61,148.29K,Process Industries,Chemicals: Specialty,98.0,97.0,98.0,98.0,0.8164,0.0029,186.09K,134.79K,51.61,9.09,1.34B,No,33.51,18.08,34.65,21.44
29,HIKLASS.BO,68.5,0.03K,Finance,Investment Banks/Brokers,98.0,2.0,32.0,97.0,1.705,0.9857,0.32K,0.11K,108.35,6.81,2.07B,No,85.92,46.65,84.62,59.13
30,STLTECH.NS,518.15,1890.44K,Technology Services,Information Technology Services,98.0,12.0,98.0,98.0,32.4464,28.2929,4324.91K,2521.84K,679.9,84.6,266.28B,No,525.11,238.29,536.35,287.88
31,TRANSCHEM.BO,334.4,5.53K,Health Technology,Pharmaceuticals: Other,98.0,78.0,97.0,94.0,8.0643,3.8071,5.43K,7.74K,356.15,38.31,4.09B,No,261.73,164.45,266.75,200.6
32,APPL.BO,235.2,11.60K,Distribution Services,Medical Distributors,98.0,33.0,92.0,98.0,4.1607,2.1357,17.02K,9.44K,238.8,32.32,4.03B,No,205.25,,208.14,143.97
33,SIGMAADV.NS,582.95,580.76K,Technology Services,Information Technology Services,98.0,92.0,98.0,97.0,32.4429,27.8893,489.36K,461.87K,638.1,95.53,102.74B,No,443.23,247.22,460.11,277.4
34,ASIACAP.BO,92.02,0.12K,Finance,Finance/Rental/Leasing,98.0,97.0,96.0,98.0,2.0736,0.4793,1.57K,1.52K,92.02,17.37,284.53M,No,62.58,32.91,64.03,39.88
35,AHLWEST.NS,575.0,0.58K,Consumer Services,Hotels/Resorts/Cruise Lines,98.0,49.0,98.0,98.0,28.2679,23.3,2.44K,0.54K,751.4,137.0,6.70B,No,572.86,260.7,581.02,305.44
36,SHENTRA.BO,115.9,0.25K,Process Industries,Chemicals: Specialty,97.0,92.0,95.0,97.0,0.7564,0.0,0.05K,0.10K,115.9,16.65,514.38M,No,92.71,,94.09,67.66
37,NEWMKTAVE.BO,41.07,0.00K,Finance,Investment Managers,97.0,94.0,97.0,98.0,0.4271,0.0,,,41.07,9.1,202.89M,No,29.73,16.28,30.7,19.49
38,MAGNUS.BO,64.19,12.57K,Commercial Services,Miscellaneous Commercial Services,97.0,0.0,1.0,94.0,4.0157,0.5193,63.94K,94.17K,223.4,8.33,216.98M,No,128.98,68.46,125.18,89.38
39,JETMALL.BO,97.61,18.00K,Distribution Services,Food Distributors,97.0,97.0,98.0,97.0,2.2536,0.0943,17.30K,33.60K,99.56,16.02,584.97M,No,66.17,44.18,69.06,47.55
40,AXISOL.BO,320.25,12.12K,Technology Services,Information Technology Services,97.0,7.0,62.0,98.0,3.35,1.9214,4.17K,1.62K,350.0,15.0,15.10B,No,292.52,164.35,295.43,210.43
41,STELLANT.BO,594.5,3.54K,Finance,Investment Banks/Brokers,97.0,39.0,11.0,92.0,35.0143,32.8679,3.50K,6.27K,683.8,64.11,3.38B,No,558.77,482.65,559.55,579.87
42,INTEGFD.BO,147.85,5.21K,Process Industries,Agricultural Commodities/Milling,97.0,35.0,94.0,98.0,7.8,7.7464,3.59K,2.66K,155.0,20.71,2.77B,No,136.7,66.51,138.74,80.97
43,CDG.BO,293.75,3.98K,Process Industries,Industrial Specialties,97.0,80.0,97.0,96.0,19.6643,19.6643,3.85K,3.81K,298.8,52.6,2.71B,No,222.75,134.03,226.4,166.48
44,HYPERSOFT.BO,210.0,2.78K,Commercial Services,Miscellaneous Commercial Services,97.0,38.0,96.0,97.0,4.8143,4.5071,9.43K,5.84K,216.8,44.21,17.73B,No,180.13,108.51,182.72,122.44
45,GLITTEKG.BO,48.96,8.29K,Non-Energy Minerals,Construction Materials,97.0,55.0,35.0,98.0,0.7857,0.03,22.05K,5.68K,80.2,7.91,1.27B,No,43.32,31.71,43.5,40.51
46,EMAINDIA.BO,800.0,0.21K,Producer Manufacturing,Industrial Machinery,97.0,35.0,94.0,94.0,23.6821,17.4714,3.00K,1.42K,876.75,86.5,804.00M,No,752.25,494.75,762.25,553.68
47,SWANDEF.NS,2254.6,38.11K,Producer Manufacturing,Trucks/Construction/Farm Machinery,97.0,75.0,72.0,91.0,92.6429,91.6643,19.55K,20.55K,2489.0,291.67,118.78B,No,2034.73,1573.02,2053.16,1874.42
48,SIMANDHAR.BO,129.85,0.69K,Distribution Services,Wholesale Distributors,97.0,0.0,12.0,98.0,6.3643,5.1964,2.74K,0.30K,180.95,21.5,396.94M,No,147.79,,145.95,
49,PHCAP.BO,978.2,1.59K,Finance,Investment Banks/Brokers,97.0,55.0,92.0,96.0,26.1179,25.3036,3.35K,2.44K,1005.0,165.05,2.93B,No,864.78,516.58,877.22,660.49
50,MODINSU.BO,533.65,40.44K,Producer Manufacturing,Electrical Products,97.0,96.0,96.0,97.0,30.1179,28.0036,112.37K,55.20K,579.0,97.55,25.16B,No,444.4,263.09,456.31,312.5
51,JLL.BO,159.4,1.61K,Finance,Finance/Rental/Leasing,97.0,98.0,97.0,98.0,5.2471,0.4764,0.56K,1.22K,159.4,31.55,479.62M,No,89.06,60.71,92.11,66.73
52,FILTRON.BO,70.63,0.30K,Producer Manufacturing,Industrial Machinery,97.0,2.0,3.0,15.0,1.2636,0.2371,0.23K,0.24K,106.41,7.0,4.49B,No,87.41,79.59,86.78,94.18
53,BHAGYANGR.NS,375.35,77.50K,Producer Manufacturing,Electrical Products,97.0,88.0,97.0,97.0,21.0,19.1714,280.23K,143.36K,432.3,80.74,12.01B,No,334.5,196.68,334.85,223.95
54,INDUSFINL.BO,144.2,0.48K,Finance,Investment Banks/Brokers,97.0,92.0,98.0,98.0,5.775,5.4071,8.19K,7.77K,162.75,38.94,1.34B,No,118.93,68.15,121.85,77.04
55,JAYATMA.BO,43.8,0.01K,Process Industries,Textiles,97.0,0.0,98.0,98.0,0.7279,0.1507,0.17K,0.10K,70.18,13.33,131.40M,No,53.53,24.9,53.62,29.36
56,MEGAMONT.BO,173.5,0.21K,Non-Energy Minerals,Forest Products,97.0,86.0,76.0,97.0,8.9036,7.6536,1.31K,0.64K,206.0,33.27,2.58B,No,161.64,97.49,163.84,117.21
57,NATHUEC.BO,35.0,11.66K,Transportation,Air Freight/Couriers,97.0,9.0,98.0,97.0,1.1279,0.7414,15.03K,3.58K,39.68,7.52,145.09M,No,32.24,17.44,33.02,19.65
58,IDREAM.BO,599.0,0.30K,Consumer Services,Movies/Entertainment,97.0,98.0,96.0,97.0,18.9679,8.1393,0.19K,0.38K,634.6,138.3,162.06B,No,423.83,293.83,431.39,338.49
59,UFBL.NS,741.4,84.31K,Consumer Services,Restaurants,97.0,95.0,98.0,98.0,36.1822,34.6857,428.19K,157.58K,763.35,172.34,28.98B,No,535.94,301.05,561.15,344.08
60,MTARTECH.NS,6746.0,120.06K,Electronic Technology,Aerospace & Defense,97.0,35.0,94.0,97.0,374.6071,339.2143,1552.68K,182.34K,8714.0,1390.5,207.50B,No,7354.51,4104.96,7483.95,4847.84
61,PARMAX.BO,93.3,91.94K,Health Technology,Pharmaceuticals: Major,97.0,98.0,98.0,97.0,1.48,0.0,5.48K,4.33K,93.3,22.6,349.06M,No,54.13,37.67,56.16,39.74
62,SANCODE.BO,354.75,0.50K,Technology Services,Information Technology Services,97.0,97.0,80.0,97.0,5.4179,0.0036,2.73K,1.05K,354.75,49.97,1.44B,No,267.29,205.09,269.98,218.25
63,AANCHALISP.BO,84.15,3.17K,Producer Manufacturing,Metal Fabrication,97.0,96.0,98.0,98.0,6.2086,4.1029,12.07K,39.58K,508.0,7.62,356.23M,No,67.61,175.77,68.9,36.25
64,HFCL.NS,214.63,11100.63K,Electronic Technology,Telecommunications Equipment,97.0,93.0,98.0,98.0,9.9986,9.18,55290.41K,24747.73K,229.5,59.82,328.44B,No,179.54,100.02,183.26,110.68
65,INDOSMC.BO,423.65,24.00K,Producer Manufacturing,Electrical Products,97.0,97.0,98.0,,19.5964,18.3286,136.90K,80.20K,442.0,134.0,9.68B,No,305.22,,313.13,
66,BLISSGVS.NS,524.1,346.05K,Health Technology,Pharmaceuticals: Major,97.0,90.0,96.0,98.0,27.2821,27.125,2126.72K,851.40K,553.0,118.0,55.68B,No,406.87,241.66,415.76,277.29
67,VENUSREM.NS,1805.4,75.31K,Health Technology,Pharmaceuticals: Major,97.0,58.0,95.0,96.0,104.7,101.4072,91.61K,61.74K,2044.3,424.0,24.16B,No,1444.98,894.33,1483.82,1042.32
68,RAJPALAYAM.NS,822.55,0.97K,Process Industries,Textiles,97.0,49.0,,,28.4179,27.8679,2.01K,1.81K,875.0,314.45,,No,819.47,,823.8,
69,CITURGIA.BO,115.25,0.01K,Process Industries,Chemicals: Specialty,97.0,20.0,8.0,98.0,0.1643,0.0821,0.29K,0.29K,212.0,31.64,15.22B,No,113.14,75.06,113.99,94.98
70,SHARP.BO,118.15,24.50K,Consumer Durables,Electronics/Appliances,97.0,46.0,98.0,97.0,0.2464,0.1643,53.97K,6.63K,118.8,36.0,3.07B,No,108.12,62.81,108.83,67.77
71,ONELIFECAP.NS,38.02,20.66K,Finance,Investment Managers,96.0,97.0,98.0,96.0,2.1007,2.0807,166.77K,46.71K,40.1,11.15,1.42B,No,27.8,18.12,28.58,20.0
72,NEELKAN.BO,42.69,8.65K,Non-Energy Minerals,Construction Materials,96.0,98.0,97.0,97.0,1.14,0.3179,4.16K,4.68K,47.26,13.0,215.32M,No,29.87,20.64,30.91,22.12
73,RGIL.BO,272.45,0.02K,Process Industries,Pulp & Paper,96.0,95.0,97.0,94.0,7.7964,6.2607,3.40K,1.97K,272.45,63.31,3.58B,No,208.17,155.32,210.46,162.33
74,INCON.BO,36.32,12.88K,Producer Manufacturing,Industrial Machinery,96.0,98.0,97.0,97.0,1.195,0.0307,2.75K,11.79K,36.32,9.31,157.16M,No,17.83,14.98,18.84,15.56
75,HIIL.BO,432.1,0.07K,Producer Manufacturing,Electrical Products,96.0,52.0,96.0,97.0,0.6012,0.0,26.31K,0.25K,432.1,121.33,9.35B,No,408.25,224.14,409.75,254.72
76,SKM.BO,432.15,36.00K,Process Industries,Chemicals: Major Diversified,96.0,62.0,96.0,97.0,13.0286,10.9357,42.57K,13.80K,432.15,102.05,5.29B,No,363.1,,373.63,228.82
77,CPPLUS.NS,3639.4,149.28K,Consumer Durables,Electronics/Appliances,96.0,62.0,96.0,97.0,135.6643,134.9714,391.54K,241.78K,3787.0,1015.0,428.91B,No,3104.99,1968.07,3161.7,2179.75
78,KREONFIN.BO,76.98,12.31K,Finance,Finance/Rental/Leasing,96.0,93.0,98.0,96.0,4.2736,4.2186,35.54K,22.91K,83.0,19.26,1.56B,No,50.29,37.46,52.02,38.5
79,PHOTON.BO,275.2,0.04K,Finance,Investment Managers,96.0,98.0,96.0,97.0,8.7786,0.0,0.04K,0.09K,275.2,90.0,748.74M,No,151.07,120.41,156.38,130.02
80,ZELIO.BO,635.35,17.50K,Consumer Durables,Motor Vehicles,96.0,80.0,92.0,84.0,13.5071,8.6179,28.34K,13.90K,635.35,154.9,13.44B,No,524.35,,529.1,417.09
81,SURBHIN.BO,61.85,2.87K,Process Industries,Textiles,96.0,0.0,7.0,97.0,4.5157,1.435,4.52K,3.89K,249.65,13.39,212.60M,No,145.06,63.76,142.96,80.18
82,COSPOWER.BO,1863.0,1.75K,Producer Manufacturing,Electrical Products,96.0,54.0,97.0,95.0,70.925,56.9643,1.66K,0.59K,2092.35,527.65,3.42B,No,1571.83,1050.63,1604.09,1153.86
83,DEEDEV.NS,672.65,86.85K,Producer Manufacturing,Industrial Machinery,96.0,63.0,97.0,98.0,39.6643,36.5071,460.21K,115.09K,760.0,183.0,46.59B,No,605.11,345.02,618.91,385.73
84,VIVAA.BO,90.0,4.00K,Consumer Non-Durables,Apparel/Footwear,96.0,98.0,98.0,96.0,2.1571,0.8464,10.83K,5.20K,90.0,31.84,354.38M,No,53.24,42.63,55.3,42.76
85,TEJASSVI.BO,56.0,47.47K,Process Industries,Textiles,96.0,96.0,92.0,96.0,2.0064,1.8264,32.34K,104.93K,56.0,13.8,392.00M,No,41.94,29.46,42.82,34.39
86,AMRAFIN.BO,30.21,1.20K,Finance,Finance/Rental/Leasing,96.0,93.0,97.0,96.0,0.2336,0.0,0.34K,0.24K,30.21,12.72,406.02M,No,21.34,14.88,21.99,15.81
87,KOVAI.NS,5995.5,4.07K,Health Services,Hospital/Nursing Management,96.0,45.0,,,148.3214,146.2857,5.29K,5.61K,6340.0,2576.65,65.60B,No,5683.02,,5697.35,
88,ISTRNETWK.BO,47.72,9.81K,Commercial Services,Miscellaneous Commercial Services,96.0,24.0,65.0,40.0,2.4321,2.3957,26.07K,32.96K,72.15,10.61,3.43B,No,47.34,45.47,47.45,46.68
89,ACFSL.BO,45.8,1.20K,Finance,Investment Banks/Brokers,96.0,93.0,97.0,96.0,0.3036,0.0,0.34K,0.24K,45.8,20.04,,No,33.04,23.29,34.47,24.85
90,OMAXAUTO.NS,254.36,119.51K,Producer Manufacturing,Auto Parts: Oem,96.0,62.0,97.0,97.0,11.1821,10.9807,213.51K,57.48K,263.4,84.5,5.45B,No,224.49,137.22,228.87,147.06
91,THANGAMAYL.NS,6233.0,148.09K,Consumer Durables,Other Consumer Specialties,96.0,87.0,92.0,95.0,401.3928,394.8929,216.99K,380.48K,7165.0,1750.1,193.73B,No,4949.19,3672.28,5044.25,4086.59
92,TRUEGREEN.BO,187.45,22.40K,Process Industries,Textiles,96.0,64.0,89.0,97.0,6.8714,5.9214,12.29K,16.03K,200.85,52.75,6.18B,No,174.72,106.84,176.56,123.85
93,MAXGROW.BO,70.06,71.26K,Commercial Services,Personnel Services,96.0,97.0,94.0,90.0,2.4307,1.855,20.31K,54.22K,73.36,7.5,2.80B,No,52.77,44.16,53.8,52.34
94,KELENRG.BO,8490.75,0.79K,Process Industries,Industrial Specialties,96.0,98.0,98.0,96.0,403.8393,301.1178,2.09K,3.87K,9109.6,2900.0,8.49B,No,5779.09,4264.21,5902.22,4315.96
95,BAJAJCON.NS,660.45,4341.57K,Consumer Non-Durables,Household/Personal Care,96.0,86.0,94.0,97.0,23.8929,23.7929,1371.35K,717.45K,692.0,220.1,86.27B,No,571.11,380.91,584.21,431.24
96,SJCORP.BO,155.7,0.50K,Consumer Durables,Other Consumer Specialties,96.0,98.0,96.0,96.0,5.4686,1.0071,0.15K,0.57K,155.7,56.14,6.75B,No,86.67,72.46,88.9,76.13
97,CCME.BO,114.95,0.83K,Producer Manufacturing,Miscellaneous Manufacturing,96.0,89.0,71.0,85.0,3.3643,2.025,0.43K,0.18K,181.3,23.39,5.20B,No,115.17,104.56,114.76,96.72
98,NOVARTIND.NS,1664.8,307.55K,Health Technology,Pharmaceuticals: Major,96.0,78.0,,,54.2857,54.1857,27.73K,14.11K,1690.0,672.25,41.11B,No,1348.19,,1372.43,
99,KIRLOSENG.NS,2436.2,655.59K,Producer Manufacturing,Electrical Products,96.0,95.0,93.0,95.0,130.5571,124.0857,839.13K,971.83K,2720.0,855.8,354.48B,No,1972.09,1408.65,2007.04,1575.15
100,TULASEEBIOE.BO,53.79,0.10K,Process Industries,Chemicals: Specialty,96.0,97.0,98.0,80.0,1.1693,0.0214,0.55K,1.55K,71.21,17.32,167.40M,No,39.59,40.63,41.19,34.03
101,AMRAPLIN.BO,37.08,15.05K,Technology Services,Packaged Software,96.0,83.0,96.0,97.0,1.9171,1.315,26.31K,22.30K,44.77,12.65,1.91B,No,25.93,17.78,26.69,18.84
102,GVPIL.NS,808.3,235.60K,Industrial Services,Engineering & Construction,96.0,7.0,95.0,97.0,51.1107,51.0786,372.23K,334.65K,1084.0,270.9,54.34B,No,839.84,490.13,848.7,555.52
103,NITTAGELA.NS,1929.2,27.25K,Consumer Non-Durables,Food: Specialty/Candy,96.0,96.0,,,92.4357,90.7429,20.16K,20.59K,2087.2,882.0,17.52B,No,1539.94,,1586.4,
104,SHAHFOOD.BO,325.35,0.56K,Consumer Non-Durables,Food: Specialty/Candy,96.0,98.0,96.0,96.0,12.4786,3.4786,0.32K,1.86K,325.35,97.55,7.59B,No,192.36,156.02,198.02,169.57
105,YASHHV.BO,994.55,104.00K,Producer Manufacturing,Electrical Products,96.0,95.0,97.0,97.0,49.0321,46.5,175.45K,157.40K,1008.75,366.0,28.45B,No,780.0,550.9,782.62,573.03
106,VEDANTASSET.BO,86.35,6.00K,Finance,Investment Managers,95.0,98.0,98.0,94.0,2.725,0.4864,7.83K,13.50K,93.6,33.0,238.46M,No,55.48,45.63,57.46,46.23
107,INDSWFTLAB.NS,237.7,931.42K,Health Technology,Pharmaceuticals: Major,95.0,97.0,93.0,97.0,11.0771,10.8314,1534.30K,1581.14K,248.45,87.15,20.67B,No,166.82,127.84,172.59,140.74
108,GDLLEAS.BO,58.17,0.73K,Finance,Finance/Rental/Leasing,95.0,7.0,5.0,0.0,3.7907,2.7664,1.69K,0.34K,169.8,8.33,291.44M,No,70.67,88.9,70.26,97.56
109,CEMPRO.NS,1583.7,496.34K,Industrial Services,Engineering & Construction,95.0,92.0,98.0,95.0,67.9071,65.2714,1561.05K,778.22K,1597.4,503.3,272.06B,No,1124.27,814.96,1150.61,812.97
110,SICAGEN.NS,52.61,6.84K,Distribution Services,Wholesale Distributors,95.0,27.0,,,2.0543,2.0436,14.78K,6.70K,61.5,24.35,2.08B,No,54.09,,54.06,
111,SAYAJIHOTL.NS,310.0,0.00K,Consumer Services,Hotels/Resorts/Cruise Lines,95.0,50.0,,,9.5071,9.025,0.11K,0.20K,330.0,138.7,5.43B,No,290.48,,292.65,
112,RPTECH.NS,778.35,451.70K,Distribution Services,Electronics Distributors,95.0,97.0,97.0,96.0,38.8786,38.2607,1277.84K,792.15K,812.85,275.6,51.29B,No,616.9,422.74,630.4,460.12
113,OMNI.NS,547.65,322.61K,Producer Manufacturing,Metal Fabrication,95.0,61.0,91.0,,29.4786,29.3036,674.02K,642.60K,590.1,176.25,67.73B,No,471.0,,478.47,
114,NINSYS.NS,869.75,4.29K,Technology Services,Packaged Software,95.0,91.0,96.0,96.0,40.875,39.975,8.12K,5.83K,935.0,281.05,16.16B,No,704.45,471.15,717.43,488.98
115,BIJHANS.BO,85.62,0.28K,Distribution Services,Medical Distributors,95.0,96.0,91.0,94.0,1.7671,0.0,0.11K,0.13K,85.62,23.0,4.11B,No,61.91,52.59,62.88,55.56
116,AIRLTD.BO,584.45,0.01K,Consumer Durables,Homebuilding,95.0,25.0,15.0,30.0,0.8464,0.0,0.01K,0.00K,713.95,120.08,13.09B,No,601.63,608.29,601.15,625.08
117,RAPICUT.BO,258.35,6.88K,Non-Energy Minerals,Other Metals/Minerals,95.0,93.0,88.0,94.0,14.0929,13.5857,11.21K,17.72K,263.0,66.66,1.39B,No,197.18,141.32,201.25,165.48
118,PANKAJPO.BO,75.32,31.58K,Producer Manufacturing,Miscellaneous Manufacturing,95.0,81.0,70.0,94.0,3.6843,3.6779,7.72K,9.03K,75.97,15.0,417.57M,No,66.47,48.59,67.81,60.87
119,JAYBARMARU.NS,197.15,583.35K,Distribution Services,Wholesale Distributors,95.0,96.0,97.0,96.0,8.9979,8.9979,1530.35K,983.47K,197.15,71.01,21.34B,No,134.85,103.46,137.97,107.28
120,KSHINTL.NS,875.5,413.07K,Producer Manufacturing,Electrical Products,95.0,48.0,94.0,97.0,39.8036,38.625,527.68K,355.01K,908.9,330.0,59.32B,No,772.28,,783.24,
121,ACUTAAS.NS,3495.2,218.53K,Health Technology,Pharmaceuticals: Major,95.0,61.0,88.0,95.0,141.6357,140.6643,491.35K,587.41K,3740.0,1125.0,286.16B,No,3114.94,2200.13,3166.44,2434.6
122,AVAX.BO,48.96,20.00K,Distribution Services,Wholesale Distributors,95.0,17.0,68.0,93.0,1.945,1.3757,11.95K,9.20K,55.4,12.53,407.02M,No,50.53,35.67,50.05,40.91
123,INDOTECH.NS,3396.4,48.92K,Producer Manufacturing,Electrical Products,95.0,93.0,98.0,96.0,147.7857,133.2928,76.63K,55.16K,3469.5,1100.0,36.07B,No,2738.16,1881.11,2759.28,1941.43
124,TITANBIO.BO,400.3,28.22K,Health Technology,Biotechnology,95.0,7.0,6.0,94.0,16.9964,16.5286,39.44K,28.56K,555.65,82.31,16.54B,No,433.96,308.12,431.54,353.54
125,SWITCHTE.BO,145.0,6.96K,Producer Manufacturing,Electrical Products,95.0,98.0,96.0,96.0,7.4507,5.7671,5.93K,17.78K,156.1,40.0,355.25M,No,97.24,75.53,98.43,82.42
126,ATHERENERG.NS,1184.6,3601.23K,Consumer Durables,Motor Vehicles,95.0,85.0,92.0,92.0,47.7929,47.7929,4712.49K,5461.77K,1253.6,329.2,454.07B,No,1001.78,778.51,1008.89,827.37
127,RUBICON.NS,1438.2,319.76K,Health Technology,Biotechnology,95.0,87.0,95.0,96.0,59.3928,57.7143,550.68K,263.54K,1480.5,570.75,236.94B,No,1185.52,,1188.69,906.0
128,PAISALO.NS,72.3,13098.18K,Finance,Finance/Rental/Leasing,95.0,90.0,96.0,95.0,3.0679,2.9836,15593.19K,28074.49K,74.9,29.86,65.76B,No,56.42,41.68,57.86,43.7
129,GRWRHITECH.NS,7041.0,51.15K,Process Industries,Chemicals: Specialty,95.0,77.0,95.0,96.0,262.4643,262.1429,118.02K,61.11K,7185.0,2681.0,163.58B,No,6043.03,4192.4,6150.65,4476.16
130,KRISHNA.BO,42.36,12.92K,Industrial Services,Engineering & Construction,95.0,97.0,96.0,95.0,2.725,2.1093,18.98K,23.18K,51.72,12.44,457.49M,No,32.12,22.7,33.05,25.99
