Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1,SALSAIN.BO,353.85,368.25,0.13K,Finance,Financial Conglomerates,98.0,31.0,89.0,38.0,22.6393,20.0679,0.59K,0.18K,828.95,14.58,2.47B,No,362.07,347.33,283.19,351.11,369.8,498
2,APOLLOIN.BO,88.0,83.81,0.82K,Process Industries,Agricultural Commodities/Milling,98.0,0.0,80.0,98.0,4.645,0.0586,3.40K,5.79K,146.05,5.16,915.20M,No,96.52,111.34,49.54,110.6,65.45,498
3,SOURCEIND.BO,54.17,53.11,0.04K,Consumer Durables,Home Furnishings,98.0,97.0,98.0,98.0,0.9907,0.0036,0.36K,0.30K,54.17,4.18,617.71M,No,44.52,34.79,15.5,36.67,20.13,499
4,SAMTELIN.BO,39.45,40.25,5.97K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,39.0,3.0,95.0,0.835,0.5807,12.42K,4.31K,72.95,1.89,279.62M,No,39.04,46.61,28.47,45.17,37.28,267
5,MRUTR.BO,98.25,100.25,4.01K,Finance,Investment Banks/Brokers,98.0,68.0,98.0,98.0,3.8914,2.0471,21.26K,66.23K,115.3,0.75,70.98B,No,97.79,86.34,36.22,88.35,48.44,498
6,AXISOL.BO,614.65,602.6,19.86K,Technology Services,Information Technology Services,98.0,89.0,96.0,97.0,13.9893,3.2536,6.29K,4.32K,667.75,26.86,29.05B,No,589.89,453.9,258.73,468.9,324.39,499
7,ISERA.BO,143.9,143.9,0.20K,Technology Services,Packaged Software,98.0,53.0,88.0,98.0,0.0,0.0,2.51K,0.03K,143.9,5.16,1.21B,No,143.9,143.46,74.17,143.9,97.43,496
8,JTLDEFENCE.BO,891.6,905.9,10.33K,Non-Energy Minerals,Other Metals/Minerals,98.0,98.0,98.0,98.0,33.9214,11.3179,3.93K,7.71K,924.0,55.58,9.39B,No,642.1,626.28,278.03,646.58,362.75,499
9,ARIHANT.NS,887.75,883.35,3.00K,Finance,Real Estate Development,98.0,3.0,54.0,,56.1536,55.925,6.30K,1.77K,1225.0,39.65,9.64B,No,960.61,966.56,,975.6,,107
10,SESHACHAL.BO,63.33,66.66,0.00K,Technology Services,Information Technology Services,98.0,6.0,2.0,3.0,0.5136,0.0007,0.62K,0.05K,105.31,2.39,4.40M,No,70.99,72.84,76.96,72.03,88.3,497
