Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,EASTINDIA.BO,115.97,7.64K,Process Industries,Containers/Packaging,99.0,74.0,96.0,,3.77K,4.98K,148.0,13.7,1.71B,No
2,VAGHANI.BO,223.3,17.53K,Consumer Durables,Homebuilding,98.0,97.0,98.0,98.0,25.82K,17.36K,223.45,20.91,3.53B,No
3,FILTRON.BO,105.35,11.11K,Producer Manufacturing,Industrial Machinery,98.0,97.0,98.0,,1.49K,4.62K,106.41,11.63,275.65M,No
4,AUTOINT.BO,648.85,0.19K,Finance,Finance/Rental/Leasing,98.0,91.0,26.0,98.0,2.30K,3.00K,1031.0,38.72,2.26B,No
5,ISTRNETWK.BO,52.83,82.54K,Commercial Services,Miscellaneous Commercial Services,98.0,91.0,94.0,98.0,130.62K,59.10K,72.15,4.06,3.51B,No
6,SALSAIN.BO,102.02,0.01K,Finance,Financial Conglomerates,98.0,98.0,98.0,98.0,0.00K,0.00K,102.02,13.89,711.28M,No
7,SERIND.BO,761.9,0.43K,Transportation,Air Freight/Couriers,98.0,97.0,98.0,98.0,0.97K,2.13K,793.05,88.87,753.97M,No
8,CIL.BO,277.85,0.60K,Commercial Services,Advertising/Marketing Services,98.0,92.0,97.0,98.0,3.06K,1.98K,307.0,30.5,1.50B,No
9,CHPLIND.BO,124.0,2.08K,Consumer Durables,Home Furnishings,98.0,94.0,97.0,,4.31K,1.54K,124.45,15.16,377.78M,No
10,AIRLTD.BO,652.5,0.00K,Consumer Durables,Homebuilding,98.0,61.0,94.0,98.0,0.23K,0.00K,713.95,57.81,14.62B,No
11,VEGA.BO,312.25,0.01K,Distribution Services,Wholesale Distributors,98.0,97.0,95.0,96.0,0.00K,0.00K,312.25,19.54,3.18B,No
12,SRICC.BO,65.12,0.17K,Non-Energy Minerals,Construction Materials,98.0,91.0,18.0,91.0,5.17K,1.17K,99.29,8.43,586.08M,No
13,BIZOTIC.BO,1040.0,5.60K,Consumer Non-Durables,Apparel/Footwear,98.0,94.0,97.0,98.0,10.84K,6.40K,1053.0,70.06,8.36B,No
