Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
22,Aerospace & Defense,Electronic Technology,62,77,69,59,"MTARTECH.NS,KRISHNADEF.NS,BEL.NS,SIKA.BO,PARAS.NS,IDEAFORGE.NS,BDL.NS,HAL.NS,AEQUS.NS,TANAA.BO,ROSSELLIND.NS,DRONACHRYA.BO"
23,Marine Shipping,Transportation,62,37,54,76,"GESHIP.NS,PPARIVAH.BO,DREDGECORP.NS,COASTCORP.NS,GPPL.NS,TRANSWORLD.NS,GLOTTIS.NS"
24,Oil Refining/Marketing,Energy Minerals,62,51,57,67,"MRPL.NS,CHENNPETRO.NS,OIL.NS,ONGC.NS,BPCL.NS,RELIANCE.NS,HINDPETRO.NS,CASTROLIND.NS,GULFOILLUB.NS,VEEDOL.NS,GULFPETRO.NS,CONTPTR.BO"
25,Automotive Aftermarket,Consumer Durables,61,43,54,61,"JKTYRE.NS,TRITONV.BO,TVSSRICHAK.NS,CEATLTD.NS,MODIRUBBER.NS,MRF.NS,JTEKTINDIA.NS,DOLFIN.BO,APOLLOTYRE.NS,BALKRISIND.NS,GOODYEAR.BO,KRYPTONQ.BO,BENGALASM.BO,TOLINS.NS"
26,Aluminum,Non-Energy Minerals,61,55,57,66,"HRS.BO,NATIONALUM.NS,ARFIN.NS,VEDL.NS,HINDALUMI.BO,MAANALU.NS,ALUFLUOR.BO,SPINAROO.BO,ORIENTCER.NS,EUROBOND.NS,SUDAI.BO,NIRAVCOM.BO,MAITRI.BO,KANISHK.BO,SAMPAT.BO"
27,Telecommunications Equipment,Electronic Technology,61,54,61,52,"VALIANT.BO,ROSSTECH.NS,MIRCELECTR.NS,ASTRAMICRO.NS,ADCINDIA.BO,AVANTEL.NS,KAVDEFENCE.NS,DCI.NS,HFCL.NS,PUNJCOMMU.BO,DLINKINDIA.NS,PRECISIO.BO,SMARTLINK.NS,TEJASNET.NS,BPL.NS,SALORAINTL.BO"
28,Hospital/Nursing Management,Health Services,61,67,52,56,"PARKHOSPS.NS,ASTERDM.NS,KMCSHIL.BO,YATHARTH.NS,ASARFI.BO,APOLLOHOSP.NS,FORTIS.NS,KIMS.NS,GKSL.NS,CMMHOSP.BO,NH.NS,NGIND.BO,INDRAMEDCO.NS,MAXHEALTH.NS,HCG.NS,ARTEMISMED.NS,SHARMEH.BO,KOVAI.BO,MEDANTA.NS,RAINBOW.NS,GPTHEALTH.NS,JLHL.NS,HANNAH.BO,SHANMUGA.BO,FORTISMLR.BO,AASHKA.BO,SHALBY.NS"
29,Integrated Oil,Energy Minerals,60,53,65,56,"GNRL.BO,ANTELOPUS.NS,IOC.NS,HINDOILEXP.NS,IRMENERGY.NS,SHRAJOI.BO"
30,Multi-Line Insurance,Finance,60,49,50,58,"ABCAPITAL.NS,GODIGIT.NS,RELIGARE.NS,HDFCLIFE.NS,NIACL.NS"
31,Consumer Sundries,Consumer Non-Durables,60,30,56,60,"RADIXIND.BO,BIL.NS,WELSPUNLIV.NS,LINC.NS"
