Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,98,58,1,95,RRFIN.BO
2,Discount Stores,Retail Trade,93,91,11,69,SPICELOUNG.BO
3,Cable/Satellite Tv,Consumer Services,90,88,91,92,NDLVENTURE.NS
4,Computer Processing Hardware,Electronic Technology,84,85,81,90,IDM.BO
5,Real Estate Investment Trusts,Finance,82,66,82,81,"FUNDVISER.BO,MINDSPACE.BO,KRT.BO,BIRET.BO,EMBASSY.BO,NXST.BO,INDUSINVIT.BO"
6,Major Banks,Finance,78,52,75,79,"FEDERALBNK.NS,RBLBANK.NS,SOUTHBANK.NS,BANKINDIA.NS,UNIONBANK.NS,INDIANB.NS,IDBI.NS,CANBK.NS,MAHABANK.NS,AXISBANK.NS,BANKBARODA.NS,PNB.NS,INDUSINDBK.NS,BANDHANBNK.NS,KOTAKBANK.NS,CSBBANK.NS,HDFCBANK.NS,CENTRALBK.NS,IOB.NS"
7,Drugstore Chains,Retail Trade,76,64,87,71,MEDPLUS.NS
8,Life/Health Insurance,Finance,74,63,72,71,"CANHLIFE.NS,MFSL.NS,SBILIFE.NS,ICICIPRULI.NS,BAJAJFINSV.NS,STARHEALTH.NS,LICI.NS,NIVABUPA.NS"
9,Computer Communications,Electronic Technology,74,26,54,70,KERNEX.NS
10,Wireless Telecommunications,Communications,72,58,60,68,"BHARTIARTL.NS,BHARTIHEXA.NS"
11,Precious Metals,Non-Energy Minerals,71,92,84,78,"DECNGOLD.BO,MIDWEST.BO"
12,Medical Distributors,Distribution Services,70,52,75,68,"CHECKPOINT.BO,GUJINJEC.BO,APPL.BO,RAMAVISION.BO,EVERESTO.BO,ENTERO.NS,APL.BO,ROYAL.BO"
13,Motor Vehicles,Consumer Durables,70,50,65,69,"FORCEMOT.NS,ATHERENERG.NS,SMLMAH.NS,TMCV.NS,EICHERMOT.NS,TVSMOTOR.NS,ZELIO.BO,HEROMOTOCO.NS,SANDHAR.NS,MARUTI.NS,ATULAUTO.NS,M&M.NS,HYUNDAI.NS,TMPV.NS,SEVL.BO,ATLASCYCLE.NS,OLECTRA.NS,OLAELEC.NS"
14,Computer Peripherals,Electronic Technology,70,55,40,72,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
15,Financial Publishing/Services,Commercial Services,67,52,65,61,"CARERATING.NS,ICRA.NS"
16,Airlines,Transportation,66,68,63,55,"AFCOM.BO,TAALTECH.BO,INDIGO.NS"
17,Other Consumer Specialties,Consumer Durables,66,61,68,72,"BGJL.BO,RETAGGIO.BO,THANGAMAYL.NS,SKRABUL.BO,DEVLAB.BO,SILGO.NS,AJCJEWEL.BO,GOLKUNDIA.BO,LGHL.NS,SHRINGARMS.NS,TIMEX.BO,TITAN.NS,SWARNSAR.BO,SKYGOLD.NS,VIPIND.NS,VAIBHAVGBL.NS,KOURA.BO,GOLDIAM.NS,BANARBEADS.NS,RBZJEWEL.NS,SENCO.NS,SONAMLTD.NS,RAJESHEXPO.NS,NARBADA.BO,SHANTIGOLD.NS,KDDL.NS,RGL.NS,TBZ.NS,SAFARI.NS,UDAYJEW.BO,RADHIKAJWE.NS,LUXURY.BO"
18,Regional Banks,Finance,66,53,60,72,"CMBL.BO,KARURVYSYA.NS,TMB.NS,SBIN.NS,AUBANK.NS,UJJIVANSFB.NS,DCBBANK.NS,CUB.NS,IDFCFIRSTB.NS,KTKBANK.NS,EQUITASBNK.NS,ICICIBANK.NS,SURYODAY.NS,JAGSONSER.BO,J&KBANK.NS,CAPITALSFB.NS,JSFB.NS,FINOPB.NS,MONEYBOXX.NS,DAMCAPITAL.NS,EMERALD.BO"
19,Other Metals/Minerals,Non-Energy Minerals,65,47,63,66,"SCBL.BO,HINDCOPPER.NS,PARMESHWAR.BO,RAPICUT.BO,IMFA.NS,MCL.NS,HINDALCO.NS,HINDZINC.NS,CUBEXTUB.NS,SANDUMA.NS,POCL.NS,NMDC.NS,JAINREC.NS,MANAKALUCO.NS,MAITHANALL.NS,SBCL.NS,NILE.BO,SERA.BO,ASHAPURMIN.NS,MIDHANI.NS,MMP.NS,CHROME.BO,COCHINM.BO,GRAVITA.NS,MOIL.NS,VIDYAWIRES.NS,SHARVAYA.BO,INDSILHYD.BO,ZODJRDMKJ.BO,NRL.NS,SOUTHMG.BO,SIYARAM.BO"
20,Auto Parts: Oem,Producer Manufacturing,65,64,61,65,"LUMAXTECH.NS,LUMAXIND.NS,SANSERA.NS,BELRISE.NS,RICOAUTO.NS,JAMNAAUTO.NS,SJS.NS,BHARATSE.NS,MOTHERSON.NS,GNA.NS,RACLGEAR.NS,UNIPARTS.NS,TVSHLTD.NS,SHRIPISTON.NS,DIVGIITTS.NS,FIEMIND.NS,ZFCVINDIA.NS,PRICOLLTD.NS,CUMMINSIND.NS,GABRIEL.NS,KROSS.NS,AUTOAXLES.NS,CARRARO.NS,KINETICENG.BO,TENNIND.NS,EMMFORCE.BO,OMAXAUTO.NS,WHEELS.NS,JAYUSH.BO,UNOMINDA.NS,MINDACORP.NS,SONACOMS.NS,PORWAL.BO,CIEINDIA.NS,RML.NS,BOSCHLTD.NS,AUTOIND.NS,SSWL.NS,ESCORTS.NS,MSUMI.NS,HIMTEK.BO,NRBBEARING.NS,INDNIPPON.NS,MUNJALAU.NS,MUNJALSHOW.NS,RANEHOLDIN.NS,SNL.BO,SUPRAJIT.NS,JMA.NS,VARROC.NS,MACPLASQ.BO,MENNPIS.BO,SHARDAMOTR.NS,SUNDRMFAST.NS,KALYANIFRG.NS,HITECHGEAR.NS,ASKAUTOLTD.NS,ACGL.BO,SWARAJENG.NS,GSAUTO.BO,BIMETAL.BO,HINDCOMPOS.NS,ALICON.NS,SKFINDUS.NS,SHANTIGEAR.NS,ASAL.NS,PPAP.NS,EXIDEIND.NS,ISTLTD.BO,JAGANLAM.BO,JBMA.NS,SAMKRG.BO,KRANTI.BO,REMSONSIND.NS,NDRAUTO.NS,ZFSTEERING.BO,ENKEIWHEL.BO,SUNDRMBRAK.NS,SUNCLAY.NS,SALAUTO.BO,UCAL.NS,PRECAM.NS,IGARASHI.NS,RASANDIK.BO,SINTERCOM.NS"
21,Specialty Insurance,Finance,64,74,67,66,"ICICIGI.NS,GICRE.NS"
22,Beverages: Non-Alcoholic,Consumer Non-Durables,64,56,80,64,"ORIBEVER.BO,VBL.NS"
23,Marine Shipping,Transportation,64,60,65,76,"PPARIVAH.BO,DREDGECORP.NS,COASTCORP.NS,GESHIP.NS,GPPL.NS,TRANSWORLD.NS,GLOTTIS.NS"
24,Investment Trusts/Mutual Funds,Miscellaneous,63,55,64,65,"GROWW.NS,CUBEINVIT.BO,PSPLATINA.BO,ENERGYINF.BO,ANANTAM.BO,SUMMITSEC.NS,JINDCAP.BO"
25,Multi-Line Insurance,Finance,62,42,52,56,"ABCAPITAL.NS,RELIGARE.NS,GODIGIT.NS,HDFCLIFE.NS,NIACL.NS"
26,Automotive Aftermarket,Consumer Durables,62,59,61,66,"JKTYRE.NS,TVSSRICHAK.NS,TRITONV.BO,CEATLTD.NS,MODIRUBBER.NS,MRF.NS,BALKRISIND.NS,APOLLOTYRE.NS,JTEKTINDIA.NS,DOLFIN.BO,GOODYEAR.BO,BENGALASM.BO,TOLINS.NS,KRYPTONQ.BO"
27,Biotechnology,Health Technology,62,62,70,65,"TITANBIO.BO,RUBICON.NS,HALEOSLABS.NS,FERMENTA.BO,ANTHEM.NS,AKUMS.NS,ANL.BO,FABTECH.NS"
28,Integrated Oil,Energy Minerals,62,65,70,61,"GNRL.BO,IOC.NS,ANTELOPUS.NS,SHRAJOI.BO,HINDOILEXP.NS,IRMENERGY.NS"
29,Oil Refining/Marketing,Energy Minerals,62,57,57,64,"MRPL.NS,CHENNPETRO.NS,BPCL.NS,ONGC.NS,HINDPETRO.NS,OIL.NS,RELIANCE.NS,GULFOILLUB.NS,CASTROLIND.NS,VEEDOL.NS,GULFPETRO.NS,CONTPTR.BO"
30,Aluminum,Non-Energy Minerals,61,46,61,62,"HRS.BO,ARFIN.NS,NATIONALUM.NS,HINDALUMI.BO,VEDL.NS,MAANALU.NS,ORIENTCER.NS,MAITRI.BO,ALUFLUOR.BO,EUROBOND.NS,NIRAVCOM.BO,SUDAI.BO,SPINAROO.BO,KANISHK.BO,SAMPAT.BO"
31,Electronic Equipment/Instruments,Electronic Technology,60,53,44,60,"CNCRD.BO,WAAREEINDO.NS,APLABPP.BO,NAGPI.BO,POWERINDIA.NS,DIGILOGIC.BO,APLAB.BO,APARINDS.NS,SHRADDHA.BO,HINDHARD.BO,NITIRAJ.NS,WEL.NS,HONAUT.NS,TVSELECT.NS,JGTL.BO,SPECTRUM.NS,GENUSPOWER.NS,DENORA.NS,HPL.NS"
32,Forest Products,Non-Energy Minerals,59,62,62,62,"VRWODAR.BO,ECOBOAR.BO,STYLAMIND.NS,PREMIERPOL.NS,GREENLAM.NS,BIRLANU.NS,RESPONIND.NS,WIPL.NS,AIROLAM.NS,DUROPLY.BO,GREENPANEL.NS"
33,Hospital/Nursing Management,Health Services,58,46,47,54,"ASARFI.BO,PARKHOSPS.NS,KMCSHIL.BO,FORTIS.NS,YATHARTH.NS,NH.NS,SHARMEH.BO,GKSL.NS,APOLLOHOSP.NS,KIMS.NS,ASTERDM.NS,CMMHOSP.BO,HANNAH.BO,NGIND.BO,MEDANTA.NS,MAXHEALTH.NS,ARTEMISMED.NS,HCG.NS,KOVAI.BO,SHANMUGA.BO,INDRAMEDCO.NS,RAINBOW.NS,FORTISMLR.BO,GPTHEALTH.NS,JLHL.NS,SHALBY.NS"
34,Telecommunications Equipment,Electronic Technology,58,52,52,58,"VALIANT.BO,ROSSTECH.NS,MIRCELECTR.NS,KAVDEFENCE.NS,AVANTEL.NS,DCI.NS,PUNJCOMMU.BO,PRECISIO.BO,ADCINDIA.BO,ASTRAMICRO.NS,DLINKINDIA.NS,HFCL.NS,SMARTLINK.NS,BPL.NS,SALORAINTL.BO,TEJASNET.NS"
35,Consumer Sundries,Consumer Non-Durables,58,60,47,57,"BIL.NS,WELSPUNLIV.NS,RADIXIND.BO,GPSL.BO,LINC.NS"
36,Investment Managers,Finance,58,49,54,54,"SPACAPS.BO,DHARNI.BO,JPOLYINVST.NS,ANANDRATHI.NS,ESCORP.BO,ICICIAMC.NS,MIIL.BO,HDFCAMC.NS,360ONE.NS,PRUDENT.NS,EMKAY.NS,AFSL.NS,STANROS.BO,NUVAMA.NS,CREST.NS,BLAL.NS,UTIAMC.NS,WEALTH.NS,VHL.NS,NAHARCAP.NS,CRAMC.NS,VGCL.BO,LADDERUP.BO,CORALFINAC.NS,MEDIASSIST.NS,CMSINFO.NS,SRAMSET.BO"
37,Medical Specialties,Health Technology,55,53,52,57,"HSIL.BO,SHREEPAC.BO,CHOKSI.BO,LENSKART.NS,AMKAY.BO,RAAJMEDI.BO,NURECA.NS,SETL.NS,CSURGSU.BO,EARKART.BO,PREVEST.BO,GKB.BO,VOEPL.BO,MICEL.NS,TRANSPACT.BO,POLYMED.NS"
38,Finance/Rental/Leasing,Finance,55,48,53,57,"AUTOINT.BO,KINETRU.BO,FYNX.BO,TRUSTEDGE.BO,JAFINANCE.BO,TFCILTD.NS,SHRIRAMFIN.NS,CITIPOR.BO,PURPLEFIN.BO,JJFINCOR.BO,LTF.NS,UNTTEMI.BO,MUTHOOTFIN.NS,PIRAMALFIN.NS,CLFL.BO,RELICTEC.BO,M&MFIN.NS,MUFIN.NS,MUTHOOTMF.NS,MANAPPURAM.NS,INDUSTOWER.NS,FEDFINA.NS,IFCI.NS,MANSIFIN.BO,MASFIN.NS,IFINSEC.BO,CANFINHOME.NS,POONAWALLA.NS,IIFL.NS,SUNDARMFIN.NS,SSFLPP.BO,FUSION.NS,BAJFINANCE.NS,CHOLAFIN.NS,PAYTM.NS,NORTHARC.NS,TATACAP.NS,GLANCE.BO,ARMANFIN.NS,KREONFIN.BO,MANGALCOMP.BO,TFSL.BO,FMEC.BO,SANGAMFIN.BO,SONAL.BO,SATIN.NS,HOMEFIRST.NS,CREDITACC.NS,PFC.NS,DHRUVCA.BO,AADHARHFC.NS,REPCOHOME.NS,INDBNK.BO,SAMMAANCAP.NS,ABHICAP.BO,PAISALO.NS,SAINIK.BO,TARACHAND.NS,CGCL.NS,NLFL.BO,SBFC.NS,CIFL.NS,CHOLAHLDNG.NS,MANCREDIT.NS,CEEJAY.BO,PNBHOUSING.NS,SAHARAHOUS.BO,BAZELINTER.BO,GICHSGFIN.NS,HDBFS.NS,RECLTD.NS,SPANDANA.NS,GRANDOAK.BO,AASTAFIN.BO,PFS.NS,HUDCO.NS,PARAGONF.BO,SBICARD.NS,INDIASHLTR.NS,STARTECK.NS,INDIAHOME.BO,MANBA.NS,SRGHFL.NS,SANGHVIMOV.NS,IRFC.NS,LICHSGFIN.NS,CROWN.NS,INDOSTAR.NS,ICDSLTD.NS,MAHAPEXLTD.NS,RAJKOTINV.BO,MUTHOOTCAP.NS,SUJALA.BO,JLL.BO,AVAILFC.BO,ABIRAFN.BO,PRITHVIEXCH.BO,MASKINVEST.NS,RFL.BO,ACME.BO,RTFL.BO,SAHLIBHFI.BO,APTUS.NS,KIFS.BO,BAJAJHFL.NS,IREDA.NS,ADMANUM.BO,VAPIENTER.BO,UGROCAP.NS,APOLLOFI.BO,THACKER.BO,NIYOGIN.BO,AAVAS.NS,INTRGLB.BO,FINKURVE.NS,SALEM.BO,LAXMIINDIA.NS,HARYNACAP.BO,KEYCORP.BO,ECOSMOBLTY.NS,FIVESTAR.NS,NDGL.NS,MKVENTURES.BO,SAKTHIFIN.BO,SRSOLTD.BO,RANJITSE.BO,GDLLEAS.BO"
39,Medical/Nursing Services,Health Services,54,40,44,60,"JSTL.BO,LOTUSEYE.NS,SML.BO,NEPHROPLUS.NS,METROPOLIS.NS,THYROCARE.NS,DRAGARWQ.BO,AGARWALEYE.NS,VIJAYA.NS,ASPIRA.BO,LALPATHLAB.NS,SURAKSHA.NS,KRSNAA.NS,MDRC.BO,MAXIND.NS,JSLL.NS,LAXMIDENTL.NS,STARIMAGIN.BO"
40,Food Distributors,Distribution Services,54,48,58,54,"JETMALL.BO,PURETROP.BO,STANBIK.BO,HALDER.NS,STCINDIA.NS,MONIKA.BO,EMPIND.BO,MRP.BO,FRATELLI.BO,NMSGLOBAL.BO"
41,Electronic Components,Electronic Technology,54,49,49,62,"IIL.BO,BCCFUBA.BO,HEG.NS,CENTUM.NS,FINELINE.BO,UNIVCABLES.NS,ELPROINTL.BO,INCAP.BO,GUJARATPOLY.BO,PANELEC.BO,MEIL.NS"
42,Steel,Non-Energy Minerals,54,52,53,53,"CRIMSON.BO,MAHASTEEL.NS,IMEC.BO,SALSTEEL.NS,UMIYA.BO,MPKSTEELS.BO,MWL.NS,PANCHMAHQ.BO,BGWTATO.BO,JAYNECOIND.NS,APLAPOLLO.NS,KANSHST.BO,TATASTEEL.NS,SAIL.NS,COCKERILL.BO,JINDALSTEL.NS,MAIDEN.BO,GPIL.NS,JSWSTEEL.NS,RAJTUBE.BO,REMIEDEL.BO,GOODLUCK.NS,JSL.NS,STEELCAS.NS,GANDHITUBE.NS,TALBROSENG.BO,GALLANTT.NS,VASWANI.NS,NITINCAST.BO,WELSPLSOL.BO,KIOCL.NS,MUKANDLTD.NS,GUJINTRX.BO,SHAHALLOYS.NS,NELCAST.NS,NSLNISP.NS,SARDAEN.NS,VRUDDHI.BO,MANAKSTEEL.NS,BEDMUTHA.NS,CREATIVE.BO,NCML.BO,VSSL.NS,MANAKCOAT.NS,RATNAVEER.NS,MSPL.NS,JINDALSAW.NS,JTLIND.NS,BLOIN.BO,SUNFLAG.NS,SAMBHV.NS,SGIL.NS,LLOYDSME.NS,KAJARIR.BO,HARIOMPIPE.NS,KSL.NS,MANAKSIA.NS,HISARMETAL.NS,SHBAJRG.BO,VENUSPIPES.NS,RATNAMANI.NS,PENIND.NS,RISHDIGA.BO,KIRLFER.BO,VISASTEEL.NS,PRAKASH.NS,MAHSEAMLES.NS,METALCO.BO,INCREDIBLE.NS,KIRLOSIND.NS,SCODATUBES.NS,UNIAUTO.BO,HITECH.NS,ELECTHERM.NS,BEEKAY.BO,TIINDIA.NS,SUPERIRON.BO,SCANSTL.BO,NATGENI.BO,SURYAROSNI.NS,ORISSAMINE.NS,SHRDAIS.BO,VRAJ.NS,BANSALWIRE.NS,NEETUYOSHI.BO,VSTL.NS,CHENFERRO.BO,BMW.BO,COSMICCRF.BO,GARGFUR.BO,ELECTCAST.NS,KVSCASTING.BO,SMLT.NS,AZADIND.BO,SUPERSHAKT.BO,TULSYAN.BO,SURAJLTD.NS,SURAJ.BO,JAIBALAJI.NS,VMSTMT.NS"
43,Industrial Conglomerates,Producer Manufacturing,53,58,57,47,"GRAMEVA.BO,3MINDIA.NS,FIBERWEB.NS,TIRUPATIFL.NS,DCMSHRIRAM.NS,BALMLAWRIE.NS,KCP.NS,IPRINGLTD.BO,UNIENTER.NS"
44,Metal Fabrication,Producer Manufacturing,53,51,51,54,"SYNTHFO.BO,SIMPLEXCAS.BO,FRONTSP.BO,MMFL.NS,BHARATFORG.NS,HAPPYFORGE.NS,SHREMETAL.BO,PTCIL.NS,KVFORGE.BO,PRADPME.BO,INVPRECQ.BO,NIBL.NS,SIMMOND.BO,RAJRATAN.NS,USHAMART.NS,SHIVAUM.NS,CTCL.BO,ROLEXRINGS.NS,ENDURANCE.NS,NATFIT.BO,ALPHAIND.BO,SHYAMMETL.NS,UNIABEXAL.BO,MENONBE.NS,AZAD.NS,SCHAEFFLER.NS,TIIL.NS,HARSHA.NS,BHARATWIRE.NS,RKFORGE.NS,GALAPREC.NS,MAGNAELQ.BO,KASTURI.BO,GALAGEX.BO,KENNAMET.BO,BANGANGA.BO,TEMBO.NS,AEL.BO,AMIC.BO,SYSTEMATIC.BO,DELTAMAGNT.NS,JYOTICNC.NS,GTIL.BO,BOMBWIR.BO,KPGEL.BO,SKIPPER.NS,AUTOPINS.BO,AUSTENG.BO,VISHALBL.BO,DPWIRES.NS,GALXBRG.BO,STERTOOLS.NS,RELICAB.BO,SKFINDIA.NS,COSMOFE.BO,STAL.BO,NARMADESH.BO"
45,Food: Major Diversified,Consumer Non-Durables,53,40,59,57,"APIS.BO,SVJ.BO,IBINFO.BO,LYKISLTD.BO,BENGALT.BO,NESTLEIND.NS,ZYDUSWELL.NS,TIGLOB.BO,JAMESWARREN.BO,SANSTAR.NS,BBTC.NS,GROBTEA.NS,CHORDIA.BO,NEAGI.BO,TERAI.BO,GILLANDERS.NS,DVL.NS,AVEER.BO,BCLIND.NS,UNIQUEO.BO,SSMD.BO"
46,Electronics/Appliance Stores,Retail Trade,53,65,48,67,"AVL.NS,ROBU.BO,LOGICA.BO,UML.BO,EMIL.NS"
47,Aerospace & Defense,Electronic Technology,53,52,46,50,"MTARTECH.NS,SIKA.BO,KRISHNADEF.NS,BEL.NS,PARAS.NS,HAL.NS,AEQUS.NS,IDEAFORGE.NS,BDL.NS,TANAA.BO,ROSSELLIND.NS,DRONACHRYA.BO"
48,Household/Personal Care,Consumer Non-Durables,53,52,56,48,"CUPID.NS,THRIVE.BO,BAJAJCON.NS,MARICO.NS,GODREJCP.NS,DABUR.NS,RAVEL.BO,STDSFAC.BO,GILLETTE.NS,HINDUNILVR.NS,KAYA.NS,COLPAL.NS,EMAMILTD.NS,PGHH.NS,GALAXYSURF.NS,PCCOSMA.BO,JYOTHYLAB.NS,HIPOLIN.BO,AMWILL.BO"
