Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Computer Communications,Electronic Technology,93,59,94,93,KERNEX.NS
2,Airlines,Transportation,82,48,80,77,"AFCOM.BO,TAALTECH.NS,JETFREIGHT.NS,INDIGO.NS"
3,Computer Processing Hardware,Electronic Technology,79,46,72,72,IDM.BO
4,Precious Metals,Non-Energy Minerals,79,43,51,2,"DECNGOLD.NS,REMAGNET.BO"
5,Biotechnology,Health Technology,68,53,57,73,"RUBICON.NS,TITANBIO.BO,AKUMS.NS,ANL.BO,ANTHEM.NS,HALEOSLABS.NS,FERMENTA.NS,GVBL.BO,VANTABIO.BO,FABTECH.NS"
6,Electronic Production Equipment,Electronic Technology,66,66,66,74,"CYIENTDLM.NS,AVALON.NS,SYRMA.NS,APOLLO.NS,DATAPATTNS.NS,NELCO.NS,PGEL.NS,DIXON.NS,SELECTRIC.BO,CONTAINE.BO,KAYNES.NS,ELIN.NS"
7,Catalog/Specialty Distribution,Retail Trade,65,71,77,50,ETHOSLTD.NS
8,Discount Stores,Retail Trade,63,93,92,57,SPICELOUNG.BO
9,Auto Parts: Oem,Producer Manufacturing,63,57,61,60,"SANSERA.NS,AMS.BO,DIVGIITTS.NS,SEDEMAC.NS,UNIPARTS.NS,EMMFORCE.BO,NRBBEARING.NS,SHRIPISTON.NS,SONACOMS.NS,BHARATSE.NS,GNA.NS,VARROC.NS,BELRISE.NS,SJS.NS,OMAXAUTO.NS,MOTHERSON.NS,MUNJALAU.NS,ASKAUTOLTD.NS,SSWL.NS,INDNIPPON.NS,AUTOIND.NS,LUMAXTECH.NS,PRICOLLTD.NS,EXIDEIND.NS,RICOAUTO.NS,SUNDRMFAST.NS,GABRIEL.NS,WHEELS.NS,MINDACORP.NS,RML.NS,SMAUTO.BO,PPAP.NS,AFLTD.BO,RACLGEAR.NS,BIMETAL.NS,BOSCHLTD.NS,SUNDRMBRAK.NS,HIMTEK.BO,MENNPIS.NS,SUPRAJIT.NS,LUMAXIND.NS,RANEHOLDIN.NS,JAMNAAUTO.NS,CUMMINSIND.NS,SKFINDUS.NS,FIEMIND.NS,UCAL.NS,ZFCVINDIA.NS,KROSS.NS,UNOMINDA.NS,MUNJALSHOW.NS,JMA.NS,SNL.BO,KALYANIFRG.NS,TVSHLTD.NS,AUTOAXLES.NS,JBMA.NS,ASAL.NS,IGARASHI.NS,CARRARO.NS,ACGL.BO,ALICON.NS,ARISINT.BO,MSUMI.NS,TENNIND.NS,MACPLASQ.BO,SWARAJENG.NS,JAYUSH.BO,NDRAUTO.NS,PORWAL.BO,HINDCOMPOS.NS,SAMKRG.BO,ESCORTS.NS,CIEINDIA.NS,KINETICENG.BO,JAGANLAM.BO,SHARDAMOTR.NS,RASANDIK.BO,ISTLTD.BO,HITECHGEAR.NS,SINTERCOM.NS,ENKEIWHEL.BO,ZFSTEERING.NS,SALAUTO.BO,SHANTIGEAR.NS,PRECAM.NS,SUNCLAY.NS,REMSONSIND.NS,KRANTI.BO"
10,Telecommunications Equipment,Electronic Technology,63,44,57,62,"HFCL.NS,ASTRAMICRO.NS,ADCINDIA.BO,SMARTLINK.NS,ROSSTECH.NS,VALIANT.BO,DCI.NS,ONIDA.NS,TEJASNET.NS,AVANTEL.NS,PRECISIO.BO,CATVISION.BO,PUNJCOMMU.BO,DLINKINDIA.NS,KAVDEFENCE.NS,BPL.NS,SALORAINTL.BO"
11,Aerospace & Defense,Electronic Technology,62,52,49,71,"MTARTECH.NS,PARAS.NS,AEQUS.NS,IDEAFORGE.NS,KRISHNADEF.NS,HAL.NS,TANAA.BO,BDL.NS,ROSSELLIND.NS,BEL.NS,SIKA.NS,DRONACHRYA.BO"
12,Department Stores,Retail Trade,62,77,86,57,SHOPERSTOP.NS
13,Miscellaneous,Miscellaneous,62,62,61,60,"INOVSYNTH.BO,ASHIKAG.NS,SCILAL.NS"
14,Computer Peripherals,Electronic Technology,62,40,59,61,"NETWEB.NS,PANACHE.NS,WEPSOLN.BO,INDTONER.BO,CONTROLPR.NS"
15,Motor Vehicles,Consumer Durables,62,69,65,56,"ZELIO.BO,ATHERENERG.NS,SMLMAH.NS,TMCV.NS,TVSMOTOR.NS,SANDHAR.NS,EICHERMOT.NS,HEROMOTOCO.NS,OLECTRA.NS,HYUNDAI.NS,OLAELEC.NS,ATULAUTO.NS,M&M.NS,MARUTI.NS,FORCEMOT.NS,ATLASCYCLE.NS,TMPV.NS,SEVL.BO"
16,Oilfield Services/Equipment,Industrial Services,62,70,63,66,"CRYOGENIC.BO,TRISHAKT.BO,DEEPINDS.NS,SEAMECLTD.NS,ALPHAGEO.NS,DOLPHIN.NS,UNIDT.NS,RVTH.NS,OILCOUNTUB.NS,COCHMAL.BO,GARWAOFFS.BO,GLOBALVECT.NS"
17,Cable/Satellite Tv,Consumer Services,62,34,58,60,"NDLVENTURE.NS,DEN.NS"
18,Restaurants,Consumer Services,61,72,76,58,"UFBL.NS,RBA.NS,SPECIALITY.NS,TRAVELFOOD.NS,WESTLIFE.NS,SAPPHIRE.NS,DEVYANI.NS,COFFEEDAY.NS,JUBLFOOD.NS,KAMATS.BO"
19,Electronics Distributors,Distribution Services,60,48,55,56,"RPTECH.NS,CNL.NS,REDINGTON.NS,ACCEDERE.BO,PANIDPR.BO,PALREDTEC.NS,OPTIEMUS.NS,COLAB.BO,LABELKRAFT.BO,BRISK.BO,SOUTHERNIN.BO,SHRAAITECH.BO,MISQUITA.BO"
20,Regional Banks,Finance,60,52,61,52,"KTKBANK.NS,TMB.NS,J&KBANK.NS,ESAFSFB.NS,UJJIVANSFB.NS,MUNOTHFI.BO,JSFB.NS,KARURVYSYA.NS,AUBANK.NS,EQUITASBNK.NS,IDFCFIRSTB.NS,SBIN.NS,CUB.NS,DCBBANK.NS,SURYODAY.NS,JAGSONSER.BO,ICICIBANK.NS,CAPITALSFB.NS,UCOBANK.NS,FINOPB.NS,DAMCAPITAL.NS,MONEYBOXX.NS,EMERALD.BO,CMBL.BO"
