Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
1,SAMTELIN.BO,33.9,1.05K,Electronic Technology,Computer Peripherals,98.0,95.0,98.0,,1.73K,2.73K,33.91,2.83,240.28M,No,21.84,,23.61,,0.0
2,KARTKIN.BO,8015.85,0.00K,Finance,Financial Conglomerates,98.0,98.0,98.0,98.0,0.01K,0.01K,8015.85,987.0,1.96B,No,3241.37,1670.61,3655.52,2006.05,0.07
3,RANJITSE.BO,91.18,0.00K,Finance,Finance/Rental/Leasing,98.0,45.0,97.0,,0.66K,0.34K,122.1,6.24,245.04M,No,89.08,,86.79,,1.77
4,EASTSILK.NS,59.78,0.24K,Process Industries,Textiles,98.0,3.0,4.0,34.0,3.29K,0.69K,99.25,1.8,298.90M,No,64.97,57.52,64.21,70.94,4.55
5,MODMA.BO,66.75,0.40K,Producer Manufacturing,Metal Fabrication,98.0,98.0,98.0,,2.13K,7.06K,66.75,1.73,7.78B,No,25.65,,30.75,14.01,0.05
6,EMROCK.BO,292.55,2.04K,Consumer Durables,Homebuilding,98.0,76.0,98.0,,8.45K,4.76K,305.95,24.19,4.63B,No,268.61,,266.42,138.39,4.85
7,SALSAIN.BO,327.45,0.97K,Finance,Financial Conglomerates,98.0,0.0,97.0,98.0,0.72K,2.62K,828.95,13.89,2.28B,No,474.3,155.67,508.99,229.46,1.17
8,INDSOYA.BO,51.4,23.26K,Process Industries,Agricultural Commodities/Milling,98.0,98.0,98.0,98.0,2.33K,8.38K,53.48,5.16,534.56M,No,25.79,11.36,28.87,14.75,0.35
9,HIKLASS.BO,106.25,0.06K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,3.21K,0.59K,106.25,6.49,3.21B,No,65.42,30.19,70.99,39.89,0.11
10,MAGNUS.BO,183.9,19.47K,Commercial Services,Miscellaneous Commercial Services,98.0,98.0,98.0,98.0,7.41K,7.92K,185.92,8.33,621.64M,No,102.62,42.55,112.45,59.72,1.36
11,SMTEL.BO,445.95,0.09K,Commercial Services,Miscellaneous Commercial Services,98.0,44.0,95.0,98.0,1.88K,0.18K,494.85,23.81,8.06B,No,433.22,,439.31,282.13,4.57
12,SURBHIN.BO,146.8,5.98K,Process Industries,Textiles,98.0,98.0,98.0,98.0,0.69K,3.27K,146.8,10.52,504.61M,No,71.37,34.09,80.45,44.55,1.34
13,SWANDEF.NS,1865.7,9.05K,Producer Manufacturing,Trucks/Construction/Farm Machinery,98.0,25.0,97.0,98.0,28.57K,25.75K,2489.0,147.38,98.29B,No,1899.51,,1904.97,1533.99,4.42
14,COVIDH.BO,77.49,0.20K,Technology Services,Packaged Software,98.0,88.0,98.0,98.0,2.24K,3.27K,77.49,1.72,651.61M,No,56.02,,61.03,32.23,0.01
15,COVANCE.BO,171.3,1.35K,Technology Services,Information Technology Services,98.0,13.0,85.0,97.0,6.16K,0.73K,171.34,9.42,3.79B,No,171.3,99.54,171.3,131.29,0.0
16,TRADWIN.BO,600.75,0.05K,Consumer Services,Other Consumer Services,98.0,36.0,2.0,,0.07K,0.08K,846.45,56.44,1.80B,No,574.34,,566.9,,4.74
17,ZSANMCOM.BO,82.81,0.10K,Finance,Investment Banks/Brokers,98.0,96.0,98.0,98.0,0.09K,0.17K,82.81,10.48,4.12B,No,53.32,23.05,59.66,30.39,0.0
18,STELLANT.BO,541.0,1.36K,Finance,Investment Banks/Brokers,98.0,1.0,4.0,97.0,6.38K,2.69K,683.8,24.07,2.99B,No,610.39,380.65,627.96,505.18,6.23
19,BELDING.BO,1418.0,0.56K,Producer Manufacturing,Metal Fabrication,98.0,5.0,98.0,98.0,0.58K,0.66K,1847.05,370.0,20.53B,No,1227.56,498.83,1358.16,753.64,4.58
20,SHANTAI.BO,92.41,3.54K,Process Industries,Textiles,98.0,95.0,98.0,98.0,7.55K,6.07K,92.41,11.15,693.08M,No,59.52,27.0,64.39,34.58,0.22
21,SIMANDHAR.BO,150.0,2.82K,Distribution Services,Wholesale Distributors,98.0,51.0,95.0,,9.82K,13.73K,151.95,21.5,458.54M,No,129.72,,132.0,,2.59
22,SPICEISLIN.BO,356.65,40.38K,Process Industries,Textiles,98.0,78.0,95.0,98.0,11.29K,18.04K,357.3,41.66,2.22B,No,281.87,160.55,287.72,205.24,4.55
23,VINRKLB.BO,39.17,0.00K,Health Technology,Pharmaceuticals: Major,98.0,23.0,98.0,,7.63K,2.10K,46.65,6.75,236.12M,No,35.72,,37.62,,0.78
24,EASTINDIA.BO,102.4,0.91K,Process Industries,Containers/Packaging,98.0,7.0,46.0,59.0,3.48K,1.57K,148.0,44.0,1.51B,No,108.08,,107.31,105.45,6.21
25,GLITTEKG.BO,46.44,16.22K,Non-Energy Minerals,Construction Materials,98.0,19.0,92.0,98.0,63.79K,51.21K,80.2,5.29,1.21B,No,51.41,24.47,47.42,31.21,3.76
26,GUJINJEC.BO,113.5,10.04K,Distribution Services,Medical Distributors,98.0,85.0,98.0,98.0,38.92K,24.74K,113.5,17.02,1.66B,No,81.79,42.39,85.23,53.18,1.13
27,EMAINDIA.BO,600.95,0.75K,Producer Manufacturing,Industrial Machinery,98.0,91.0,97.0,98.0,4.35K,7.35K,600.95,86.5,603.95M,No,463.54,237.02,474.32,436.25,1.24
28,CALLISTA.BO,120.1,0.90K,Consumer Durables,Home Furnishings,98.0,0.0,5.0,96.0,3.97K,5.44K,225.95,15.16,365.90M,No,184.75,,187.03,134.82,4.27
29,MSCTC.BO,62.61,5.76K,Non-Energy Minerals,Steel,98.0,0.0,1.0,97.0,1.22K,1.06K,123.4,9.64,4.98B,No,94.91,,87.42,104.29,0.98
30,GDLLEAS.BO,78.87,0.07K,Finance,Finance/Rental/Leasing,98.0,48.0,0.0,80.0,2.92K,2.32K,169.8,9.62,395.15M,No,87.3,,83.1,102.06,2.41
31,APPL.BO,425.0,10.00K,Distribution Services,Medical Distributors,98.0,74.0,97.0,98.0,7.75K,9.60K,446.8,80.8,2.92B,No,328.31,,356.41,245.08,1.6
32,ISTRNETWK.BO,48.43,22.69K,Commercial Services,Miscellaneous Commercial Services,98.0,69.0,52.0,27.0,35.84K,30.22K,72.15,4.92,3.36B,No,44.08,38.54,45.53,47.77,4.78
33,CUPID.NS,133.56,13721.05K,Consumer Non-Durables,Household/Personal Care,98.0,94.0,95.0,97.0,20093.71K,16251.59K,133.92,15.9,179.59B,No,95.13,68.2,97.16,81.87,3.92
34,STLTECH.NS,375.95,5335.48K,Technology Services,Information Technology Services,97.0,98.0,98.0,98.0,9655.40K,6836.65K,375.95,59.26,183.51B,No,224.74,142.95,235.23,154.87,4.36
35,TITANBIO.BO,462.95,19.20K,Health Technology,Biotechnology,97.0,4.0,98.0,97.0,131.25K,56.69K,555.65,74.73,19.13B,No,403.21,236.02,432.82,287.72,4.81
36,VRWODAR.BO,153.0,2.52K,Non-Energy Minerals,Forest Products,97.0,57.0,98.0,98.0,4.07K,1.28K,206.0,22.08,2.28B,No,124.6,69.25,134.16,84.89,2.12
37,HYPERSOFT.BO,134.75,7.62K,Commercial Services,Miscellaneous Commercial Services,97.0,82.0,98.0,96.0,10.11K,7.21K,138.0,21.32,11.38B,No,112.57,82.73,120.25,89.79,4.05
38,AHLWEST.NS,461.5,27.94K,Consumer Services,Hotels/Resorts/Cruise Lines,97.0,99.0,,,1.73K,1.74K,461.5,137.0,5.38B,No,,,,,0.0
39,ASIACAP.BO,54.72,1.41K,Finance,Finance/Rental/Leasing,97.0,80.0,98.0,98.0,3.10K,1.68K,56.48,17.37,169.19M,No,37.65,22.49,41.34,25.57,0.89
40,MTARTECH.NS,6470.0,602.82K,Electronic Technology,Aerospace & Defense,97.0,96.0,97.0,97.0,605.08K,1045.00K,6787.0,1368.0,199.01B,No,4384.83,2767.12,4494.62,3302.63,5.98
41,JETMALL.BO,48.0,24.00K,Distribution Services,Food Distributors,97.0,96.0,89.0,98.0,15.00K,19.80K,48.82,8.51,287.66M,No,37.37,,37.63,36.63,1.48
42,JAYATMA.BO,40.75,0.14K,Process Industries,Textiles,97.0,98.0,98.0,98.0,0.02K,0.02K,40.75,12.7,122.25M,No,20.37,15.35,22.6,16.85,0.01
43,SWADEIN.BO,95.85,2.35K,Process Industries,Textiles,97.0,8.0,10.0,67.0,8.30K,3.05K,164.0,11.6,1.04B,No,106.54,96.33,102.22,116.82,0.14
44,MIDWEST.BO,3956.25,0.99K,Non-Energy Minerals,Precious Metals,97.0,1.0,1.0,96.0,5.01K,1.22K,5900.0,426.3,51.32B,No,4391.71,3390.16,4387.84,4080.23,4.6
45,PHCAP.BO,743.55,3.65K,Finance,Investment Banks/Brokers,97.0,73.0,87.0,98.0,4.38K,2.71K,743.55,148.6,2.23B,No,621.06,361.62,633.88,448.75,4.07
46,CIANAGRO.BO,2079.85,45.72K,Process Industries,Agricultural Commodities/Milling,97.0,98.0,96.0,64.0,93.45K,162.68K,3633.15,378.1,58.21B,No,1176.68,1315.3,1181.24,1415.82,2.6
47,HIIL.BO,1175.05,21.73K,Producer Manufacturing,Electrical Products,97.0,98.0,98.0,97.0,16.97K,15.95K,1175.05,330.26,8.48B,No,664.9,490.33,710.77,522.21,4.09
48,TRANSCHEM.BO,185.9,7.19K,Health Technology,Pharmaceuticals: Other,97.0,79.0,64.0,97.0,3.49K,2.88K,194.25,35.2,2.28B,No,165.45,113.85,165.54,144.08,5.57
49,PANKAJPO.BO,69.91,6.71K,Producer Manufacturing,Miscellaneous Manufacturing,97.0,78.0,39.0,98.0,5.59K,5.05K,75.97,14.7,387.57M,No,60.99,37.51,61.97,46.63,7.4
50,BIZOTIC.BO,835.4,14.40K,Consumer Non-Durables,Apparel/Footwear,97.0,4.0,12.0,88.0,6.76K,9.40K,1053.0,103.55,8.05B,No,918.86,724.07,899.54,890.24,5.5
51,CDG.BO,209.45,10.07K,Process Industries,Industrial Specialties,97.0,97.0,93.0,98.0,3.12K,7.34K,209.55,50.1,1.93B,No,138.73,,145.01,116.31,1.13
52,MODINSU.BO,376.9,174.56K,Producer Manufacturing,Electrical Products,97.0,94.0,97.0,97.0,97.86K,136.15K,402.0,94.33,17.77B,No,272.51,186.59,278.06,221.25,5.94
53,BHAGYANGR.NS,311.45,281.24K,Producer Manufacturing,Electrical Products,97.0,98.0,96.0,97.0,321.14K,582.98K,318.0,65.81,9.96B,No,188.9,141.42,194.09,161.63,6.56
54,AMS.BO,72.02,1.25K,Producer Manufacturing,Auto Parts: Oem,97.0,98.0,,,2.59K,2.12K,81.46,27.05,237.85M,No,,,53.54,,2.47
55,AUTOINT.BO,484.95,1.38K,Finance,Finance/Rental/Leasing,97.0,76.0,11.0,2.0,1.44K,1.60K,1031.0,58.31,1.69B,No,402.95,503.99,404.77,605.09,5.5
56,INTEGFD.BO,114.8,7.82K,Process Industries,Agricultural Commodities/Milling,97.0,95.0,98.0,97.0,2.79K,3.28K,114.8,20.71,2.15B,No,71.82,48.99,79.6,48.12,0.68
57,APIS.BO,61.14,7.42K,Consumer Non-Durables,Food: Major Diversified,97.0,2.0,5.0,94.0,26.49K,13.73K,110.42,11.78,8.42B,No,61.48,47.38,61.74,60.69,5.47
58,SPML.BO,315.5,19.00K,Distribution Services,Medical Distributors,97.0,98.0,,,79.04K,29.70K,381.2,121.1,2.77B,No,,,,,4.18
59,AVAX.BO,45.12,8.00K,Distribution Services,Wholesale Distributors,97.0,39.0,95.0,98.0,22.97K,19.20K,55.1,12.53,375.09M,No,39.8,,43.12,32.66,1.64
60,SISL.BO,562.8,0.80K,Consumer Durables,Homebuilding,97.0,98.0,98.0,96.0,0.47K,0.56K,562.8,152.0,1.01B,No,322.92,289.96,332.75,283.06,0.01
61,AEROFLEX.NS,439.35,18111.27K,Producer Manufacturing,Industrial Machinery,97.0,97.0,98.0,97.0,3226.06K,5423.30K,458.7,152.1,58.14B,No,267.7,205.18,280.37,218.12,6.68
62,PARMESHWAR.BO,199.5,94.00K,Non-Energy Minerals,Other Metals/Minerals,97.0,95.0,85.0,98.0,19.40K,63.80K,223.0,60.01,3.05B,No,139.76,104.77,142.64,124.71,4.35
63,FUNDVISER.BO,458.45,2.14K,Finance,Real Estate Investment Trusts,97.0,43.0,97.0,97.0,3.40K,3.27K,460.7,130.0,3.62B,No,370.36,249.5,390.62,281.21,6.3
64,SIZEMASTER.BO,390.0,0.04K,Producer Manufacturing,Miscellaneous Manufacturing,97.0,54.0,96.0,97.0,0.38K,0.18K,393.7,117.0,3.90B,No,321.15,202.46,331.26,235.61,2.99
65,CRIMSON.BO,48.28,0.10K,Non-Energy Minerals,Steel,97.0,6.0,10.0,91.0,0.01K,0.02K,61.35,10.33,213.79M,No,51.02,39.33,50.57,46.02,0.25
66,AMITSEC.BO,48.03,0.02K,Commercial Services,Miscellaneous Commercial Services,96.0,1.0,8.0,22.0,0.81K,0.56K,67.16,7.28,341.01M,No,53.11,44.17,53.3,49.91,5.3
67,TELECANOR.BO,30.0,17.32K,Technology Services,Packaged Software,96.0,0.0,5.0,97.0,50.90K,42.38K,48.5,7.26,459.63M,No,38.58,24.64,37.21,31.74,7.5
68,VEGA.BO,61.95,0.05K,Distribution Services,Wholesale Distributors,96.0,12.0,33.0,94.0,0.00K,0.00K,62.45,11.75,3.15B,No,62.44,47.37,62.4,52.36,0.0
69,TRUEGREEN.BO,149.05,18.62K,Process Industries,Textiles,96.0,60.0,98.0,97.0,34.86K,10.64K,159.9,52.75,4.91B,No,129.79,81.12,138.75,90.77,2.5
70,SALSTEEL.NS,56.35,81.25K,Non-Energy Minerals,Steel,96.0,91.0,93.0,93.0,154.15K,150.37K,60.0,14.37,8.16B,No,47.14,36.24,47.6,43.18,5.89
71,RAPICUT.BO,195.45,2.68K,Non-Energy Minerals,Other Metals/Minerals,96.0,78.0,96.0,97.0,10.33K,6.88K,204.95,66.66,1.05B,No,164.86,115.5,168.08,132.8,5.38
72,LIPPISYS.BO,55.9,24.60K,Producer Manufacturing,Industrial Machinery,96.0,92.0,97.0,96.0,23.39K,33.02K,61.0,19.75,391.30M,No,46.66,31.74,47.28,35.51,5.1
73,UNIVPHOTO.NS,475.0,0.03K,Consumer Durables,Electronics/Appliances,96.0,84.0,98.0,95.0,36.61K,4.38K,515.8,180.6,5.20B,No,439.08,296.56,438.13,315.66,5.7
74,RAPID.BO,133.8,3.20K,Transportation,Air Freight/Couriers,96.0,7.0,97.0,96.0,2.73K,3.36K,147.35,44.44,509.94M,No,124.78,81.74,140.81,112.71,0.43
75,SKM.BO,313.05,48.00K,Process Industries,Chemicals: Major Diversified,96.0,97.0,98.0,97.0,35.28K,51.00K,325.0,102.05,3.83B,No,185.41,,195.1,160.2,4.08
76,BRRL.BO,960.0,5.20K,Consumer Durables,Homebuilding,96.0,17.0,95.0,97.0,2.33K,2.64K,1007.9,226.0,9.92B,No,849.1,506.86,935.26,659.72,2.3
77,OMNI.NS,437.95,229.43K,Producer Manufacturing,Metal Fabrication,96.0,88.0,,,1385.27K,835.52K,450.4,176.25,54.16B,No,,,308.13,,7.21
78,BAJAJCON.NS,546.25,2089.88K,Consumer Non-Durables,Household/Personal Care,96.0,93.0,94.0,96.0,1339.73K,1398.32K,548.8,161.4,71.35B,No,406.99,302.77,413.51,336.21,5.39
79,CHMBBRW.BO,29.17,12.54K,Consumer Non-Durables,Beverages: Alcoholic,96.0,1.0,89.0,9.0,21.67K,13.66K,45.87,3.5,218.45M,No,30.58,25.67,32.1,28.47,3.08
80,PRECWIRE.NS,421.15,518.45K,Producer Manufacturing,Electrical Products,96.0,92.0,96.0,96.0,1483.99K,795.97K,445.5,129.51,76.99B,No,343.21,248.86,347.03,277.03,4.76
81,OMAXAUTO.NS,235.35,254.42K,Producer Manufacturing,Auto Parts: Oem,96.0,98.0,97.0,97.0,188.37K,960.85K,235.35,80.59,5.05B,No,116.32,117.83,119.73,108.83,5.5
82,GKL.BO,46.42,74.44K,Consumer Durables,Other Consumer Specialties,96.0,81.0,57.0,97.0,61.44K,77.43K,49.49,10.6,698.13M,No,38.88,30.5,38.95,35.34,4.58
83,ZELIO.BO,468.25,2.00K,Consumer Durables,Motor Vehicles,96.0,87.0,96.0,93.0,71.97K,38.60K,610.0,154.9,9.90B,No,382.67,,397.46,372.82,3.87
84,PHRMASI.BO,94.05,0.11K,Health Technology,Pharmaceuticals: Major,96.0,88.0,4.0,98.0,0.86K,0.36K,131.75,26.0,642.08M,No,94.73,65.78,91.07,85.21,2.62
85,VEL.BO,49.95,15.36K,Distribution Services,Wholesale Distributors,96.0,54.0,60.0,93.0,28.34K,14.91K,55.99,12.87,1.17B,No,45.04,36.52,45.1,41.83,6.24
86,RETAGGIO.BO,61.37,30.00K,Consumer Durables,Other Consumer Specialties,96.0,92.0,87.0,98.0,34.55K,9.00K,61.37,18.0,1.18B,No,44.65,,48.68,40.24,1.33
87,TAKE.NS,33.06,63.48K,Technology Services,Information Technology Services,96.0,0.0,3.0,92.0,741.87K,97.51K,50.14,7.3,4.83B,No,41.91,29.09,40.98,37.24,0.27
88,DHRUVCA.BO,357.0,10.06K,Finance,Finance/Rental/Leasing,96.0,91.0,98.0,97.0,3.93K,4.26K,357.0,111.0,1.43B,No,269.45,181.23,283.65,196.95,1.42
89,FREDUN.BO,2374.95,21.54K,Health Technology,Pharmaceuticals: Major,96.0,92.0,93.0,92.0,10.08K,11.22K,2548.0,666.0,13.00B,No,1829.57,1551.59,1861.75,1720.46,6.84
90,APLABPP.BO,88.92,5.16K,Electronic Technology,Electronic Equipment/Instruments,96.0,98.0,96.0,88.0,2.27K,4.91K,92.2,26.75,2.43B,No,60.01,56.18,60.76,62.07,11.92
91,RGIL.BO,190.5,0.04K,Process Industries,Pulp & Paper,96.0,96.0,91.0,81.0,2.45K,10.27K,246.5,57.43,2.51B,No,146.82,122.5,152.02,143.85,3.03
92,ATLANTAELE.NS,1646.1,71.14K,Producer Manufacturing,Electrical Products,96.0,91.0,98.0,95.0,226.18K,393.17K,1846.2,707.6,126.58B,No,1241.73,,1338.68,1054.3,6.15
93,VENUSREM.NS,1006.75,80.39K,Health Technology,Pharmaceuticals: Major,96.0,41.0,82.0,97.0,51.63K,66.16K,1088.8,296.0,13.47B,No,885.31,667.63,918.46,758.21,5.37
94,SAFFRON.BO,34.11,10.01K,Finance,Real Estate Development,96.0,88.0,82.0,0.0,8.55K,4.73K,104.13,5.96,245.09M,No,29.9,36.55,29.94,40.46,7.11
95,DEEDEV.NS,469.25,932.34K,Producer Manufacturing,Industrial Machinery,96.0,95.0,98.0,96.0,5281.17K,690.27K,480.55,183.0,32.50B,No,337.98,268.85,345.67,265.57,5.95
96,MIRCELECTR.NS,42.73,31097.85K,Electronic Technology,Telecommunications Equipment,96.0,93.0,84.0,94.0,1350.36K,1813.67K,44.75,13.1,15.78B,No,29.28,27.32,30.2,28.86,5.72
97,INDUSFINL.BO,91.8,14.03K,Finance,Investment Banks/Brokers,96.0,98.0,97.0,96.0,3.02K,4.24K,92.37,35.08,849.91M,No,59.11,51.43,61.46,54.17,9.88
98,ARFIN.NS,96.49,1738.83K,Non-Energy Minerals,Aluminum,95.0,81.0,85.0,96.0,1164.24K,1192.19K,100.25,31.43,16.28B,No,83.24,,85.07,72.66,4.3
99,CPPLUS.NS,2508.3,200.68K,Consumer Durables,Electronics/Appliances,95.0,88.0,96.0,96.0,393.48K,428.99K,2575.0,1015.0,295.47B,No,1925.77,,1990.05,1660.29,4.96
100,QPOWER.NS,1265.7,646.36K,Producer Manufacturing,Electrical Products,95.0,93.0,96.0,87.0,1303.89K,1222.56K,1441.0,335.05,98.02B,No,1013.13,874.4,1038.9,881.04,6.34
101,TDPOWERSYS.NS,1219.6,947.11K,Producer Manufacturing,Electrical Products,95.0,92.0,93.0,93.0,1195.70K,1379.61K,1289.2,387.05,190.54B,No,948.03,725.96,964.33,812.62,4.73
102,GVPIL.NS,646.35,196.90K,Industrial Services,Engineering & Construction,95.0,96.0,97.0,97.0,1258.10K,255.67K,677.4,270.9,43.45B,No,484.72,,487.78,391.84,5.43
103,YASHHV.BO,697.3,104.75K,Producer Manufacturing,Electrical Products,95.0,96.0,96.0,90.0,101.30K,232.95K,754.8,175.8,19.91B,No,525.8,488.19,543.92,482.95,8.46
104,KMEW.NS,2126.9,67.16K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,84.0,75.0,96.0,135.37K,303.72K,2285.4,672.3,51.99B,No,1687.83,1416.97,1690.19,1596.88,5.57
105,ATHERENERG.NS,915.05,3688.77K,Consumer Durables,Motor Vehicles,95.0,68.0,88.0,89.0,3669.72K,3961.65K,982.35,295.65,350.17B,No,802.45,648.93,816.5,725.9,5.15
106,GARNET.BO,88.74,2.21K,Finance,Real Estate Development,95.0,54.0,83.0,89.0,21.70K,6.32K,116.0,24.11,1.23B,No,87.73,66.46,86.88,76.72,5.0
107,IBINFO.BO,490.1,0.42K,Consumer Non-Durables,Food: Major Diversified,95.0,1.0,80.0,96.0,3.78K,0.50K,820.3,150.3,627.68M,No,609.95,340.06,606.44,410.48,2.83
108,HFCL.NS,141.15,71331.34K,Electronic Technology,Telecommunications Equipment,95.0,98.0,97.0,96.0,38907.32K,110664.49K,147.67,59.82,216.00B,No,85.94,75.26,89.25,76.13,5.62
109,JAYNECOIND.NS,114.69,4590.98K,Non-Energy Minerals,Steel,95.0,94.0,94.0,92.0,6093.90K,11958.73K,117.0,34.9,111.36B,No,86.07,74.12,87.12,79.97,4.96
110,SUBAM.BO,234.95,6.40K,Process Industries,Pulp & Paper,95.0,93.0,85.0,94.0,15.85K,23.68K,236.8,70.77,5.46B,No,182.21,161.32,183.65,182.68,4.01
111,ESSEX.BO,46.41,54.00K,Consumer Non-Durables,Food: Meat/Fish/Dairy,95.0,95.0,98.0,96.0,59.59K,64.80K,49.3,18.25,708.31M,No,31.73,,32.78,27.6,6.12
112,SHIVAM.BO,106.0,9.00K,Non-Energy Minerals,Construction Materials,95.0,1.0,96.0,95.0,27.54K,7.05K,130.4,55.0,1.80B,No,108.89,73.79,113.52,85.54,1.45
113,CNCRD.BO,2680.2,37.00K,Electronic Technology,Electronic Equipment/Instruments,95.0,87.0,67.0,91.0,7.11K,10.38K,2840.0,728.59,27.12B,No,2316.83,2019.14,2314.63,2319.74,4.62
114,HPBL.BO,272.65,2.40K,Process Industries,Containers/Packaging,95.0,96.0,97.0,95.0,7.18K,13.96K,284.45,96.0,2.91B,No,195.2,180.56,199.61,181.87,7.99
115,AXISCADES.NS,2173.6,101.77K,Commercial Services,Miscellaneous Commercial Services,95.0,85.0,97.0,90.0,169.25K,154.69K,2198.0,741.2,92.42B,No,1661.12,1464.76,1700.26,1483.11,4.54
116,APLAB.BO,113.92,28.93K,Electronic Technology,Electronic Equipment/Instruments,95.0,97.0,96.0,88.0,7.33K,17.23K,118.0,37.71,2.86B,No,74.05,71.35,74.88,76.82,8.97
117,SIGMAADV.NS,322.85,395.40K,Technology Services,Information Technology Services,95.0,98.0,97.0,,252.92K,628.25K,322.85,140.1,56.90B,No,191.82,,201.35,,3.99
118,IDEAFORGE.NS,814.15,2927.86K,Electronic Technology,Aerospace & Defense,95.0,98.0,97.0,95.0,1867.05K,4400.80K,849.35,366.0,35.32B,No,484.11,472.36,489.75,463.91,6.04
119,POWERINDIA.NS,34005.0,169.46K,Electronic Technology,Electronic Equipment/Instruments,95.0,87.0,96.0,96.0,139.67K,134.57K,35095.0,14240.0,1515.68B,No,27660.0,21528.8,28216.5,22594.17,3.14
120,ASARFI.BO,252.8,48.00K,Health Services,Hospital/Nursing Management,95.0,88.0,92.0,94.0,48.17K,59.80K,256.95,90.55,4.97B,No,188.46,165.41,193.16,180.3,5.78
121,APEX.NS,492.8,763.70K,Consumer Non-Durables,Food: Meat/Fish/Dairy,95.0,73.0,90.0,97.0,1578.29K,812.83K,514.5,199.01,15.40B,No,411.47,304.22,412.63,336.08,5.85
122,CITURGIA.BO,91.82,1.94K,Process Industries,Chemicals: Specialty,95.0,0.0,,,1.27K,0.36K,212.0,47.4,12.13B,No,125.72,,130.58,,0.85
123,ACUTAAS.NS,2734.3,268.68K,Health Technology,Pharmaceuticals: Major,95.0,78.0,91.0,94.0,525.11K,708.32K,2759.0,1059.0,223.86B,No,2340.99,1782.48,2383.68,1985.1,4.19
124,SATTRIX.BO,399.8,0.50K,Technology Services,Information Technology Services,95.0,7.0,49.0,80.0,6.00K,2.75K,451.0,157.05,4.54B,No,406.23,309.39,408.05,355.68,1.24
125,GVTD.BO,4626.6,35.51K,Producer Manufacturing,Electrical Products,95.0,82.0,90.0,93.0,31.70K,41.45K,4849.85,1252.85,,No,3983.67,3204.28,4063.21,3413.5,3.76
126,VIDYAWIRES.NS,91.34,4344.46K,Non-Energy Minerals,Other Metals/Minerals,95.0,97.0,97.0,,4779.97K,15985.03K,97.0,42.51,19.43B,No,63.92,,65.71,,6.55
127,INDOKEM.BO,617.2,4.13K,Process Industries,Industrial Specialties,95.0,79.0,13.0,51.0,6.58K,12.63K,930.0,144.4,17.21B,No,534.85,584.54,535.85,656.02,5.73
128,SCANPRO.BO,131.95,0.56K,Industrial Services,Engineering & Construction,95.0,42.0,95.0,95.0,0.70K,0.97K,136.4,58.21,379.13M,No,111.59,91.42,115.2,95.94,6.51
129,SPACAPS.BO,208.0,0.01K,Finance,Investment Managers,95.0,35.0,62.0,92.0,0.03K,0.01K,238.0,108.5,639.44M,No,212.45,161.17,212.96,197.68,0.95
130,RRFIN.BO,81.78,4.12K,Finance,Insurance Brokers/Services,94.0,39.0,32.0,0.0,4.54K,2.56K,263.7,15.45,904.54M,No,84.24,116.31,82.1,129.06,6.85
131,BRAHMINFRA.BO,155.0,25.48K,Industrial Services,Engineering & Construction,94.0,21.0,79.0,95.0,25.54K,13.26K,178.9,43.0,4.50B,No,153.95,117.24,153.0,132.19,4.53
132,COSPOWER.BO,1150.0,0.75K,Producer Manufacturing,Electrical Products,94.0,79.0,86.0,97.0,0.98K,1.27K,1150.0,527.65,2.11B,No,954.41,,963.44,890.49,5.26
133,MAHASTEEL.NS,822.5,0.64K,Non-Energy Minerals,Steel,94.0,2.0,55.0,90.0,9.83K,4.19K,1050.0,234.0,13.52B,No,883.97,674.59,905.92,808.3,4.67
134,MEERA.BO,59.2,26.02K,Producer Manufacturing,Industrial Machinery,94.0,91.0,96.0,96.0,47.03K,44.90K,68.0,27.0,1.26B,No,45.92,36.74,48.9,38.45,3.01
135,KIRLOSENG.NS,1728.9,124.05K,Producer Manufacturing,Electrical Products,94.0,66.0,92.0,95.0,527.50K,401.65K,1765.0,664.05,251.33B,No,1508.65,1164.0,1517.96,1277.4,3.65
136,NETWEB.NS,4422.2,1990.63K,Electronic Technology,Computer Peripherals,94.0,89.0,89.0,81.0,2165.83K,1903.34K,4492.0,1548.6,251.80B,No,3563.87,3216.0,3548.48,3428.74,4.64
137,SCHNEIDER.NS,1344.6,168.44K,Distribution Services,Wholesale Distributors,94.0,92.0,97.0,94.0,349.20K,260.48K,1370.0,540.0,321.50B,No,1003.06,855.22,1027.89,850.35,5.51
138,LUMAXTECH.NS,1736.1,210.36K,Producer Manufacturing,Auto Parts: Oem,94.0,19.0,72.0,94.0,326.47K,282.80K,1898.0,541.0,118.33B,No,1640.25,1400.81,1645.93,1517.15,4.24
139,KRN.NS,1300.2,459.60K,Producer Manufacturing,Industrial Machinery,94.0,91.0,97.0,94.0,1945.99K,961.79K,1405.0,589.8,80.82B,No,1040.83,859.43,1051.61,865.37,5.99
