Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
2023,KSOLVES.NS,294.45,47.74K,Technology Services,Packaged Software,36.0,5.0,55.0,51.0,104.35K,223.25K,402.0,245.75,6.98B,No,297.23,305.02,295.86,296.24,5.41
2024,TRIGYN.NS,63.03,73.93K,Technology Services,Information Technology Services,36.0,88.0,65.0,29.0,56.74K,27.55K,102.4,37.55,1.94B,No,52.05,67.59,52.07,61.95,5.36
2025,KGES.BO,38.19,3.00K,Commercial Services,Miscellaneous Commercial Services,36.0,3.0,21.0,9.0,0.47K,1.33K,65.58,33.47,80.45M,No,42.2,44.88,42.38,46.08,0.01
2026,PIONRINV.NS,100.05,2.30K,Finance,Investment Banks/Brokers,36.0,,,,1.68K,1.95K,118.75,92.35,,No,,,,,
2027,PANACEABIO.NS,388.75,91.81K,Health Technology,Pharmaceuticals: Major,36.0,63.0,47.0,45.0,128.78K,167.75K,581.0,292.4,23.81B,No,341.98,382.84,342.27,368.55,5.12
2028,CHOICEIN.NS,688.85,1270.07K,Commercial Services,Miscellaneous Commercial Services,36.0,32.0,17.0,28.0,719.32K,789.80K,860.5,568.7,153.46B,No,679.39,762.68,669.84,751.1,2.86
2029,CEEJAY.BO,183.0,0.11K,Finance,Finance/Rental/Leasing,35.0,36.0,38.0,50.0,0.56K,0.04K,214.75,153.75,631.35M,No,177.13,187.88,179.1,182.14,2.38
2030,SUDEEPPHRM.NS,658.0,79.97K,Health Technology,Pharmaceuticals: Other,35.0,32.0,54.0,,94.31K,83.49K,795.0,524.05,74.32B,No,632.88,,631.54,,3.38
2031,DICIND.NS,548.3,0.41K,Process Industries,Industrial Specialties,35.0,38.0,34.0,72.0,2.09K,0.99K,676.05,450.5,5.03B,No,523.47,535.85,522.61,515.33,4.83
2032,NIMBSPROJ.NS,187.34,122.63K,Finance,Real Estate Development,35.0,6.0,,,230.21K,194.32K,208.8,165.81,3.62B,No,,,,,8.1
2033,TATATECH.NS,630.95,925.33K,Technology Services,Packaged Software,35.0,58.0,29.0,45.0,1591.54K,4306.05K,797.0,507.4,256.20B,No,567.4,647.67,567.39,625.01,3.1
2034,LTTS.NS,3802.6,88.94K,Commercial Services,Miscellaneous Commercial Services,35.0,51.0,34.0,50.0,207.26K,110.49K,4726.0,3010.0,403.08B,No,3396.18,3997.6,3413.78,3874.51,3.07
2035,IFGLEXPOR.NS,189.32,47.75K,Producer Manufacturing,Industrial Machinery,35.0,77.0,48.0,16.0,43.11K,52.11K,338.0,119.68,13.65B,No,164.05,211.72,163.55,193.53,5.49
2036,MERCURYLAB.BO,799.0,0.00K,Health Technology,Pharmaceuticals: Major,35.0,55.0,22.0,44.0,0.06K,0.07K,976.0,620.55,958.80M,No,780.67,830.1,762.09,810.88,4.18
2037,SINCLAIR.NS,81.8,16.92K,Consumer Services,Hotels/Resorts/Cruise Lines,35.0,33.0,47.0,37.0,62.66K,33.80K,114.75,68.82,4.19B,No,76.78,87.78,77.28,81.69,3.39
2038,MEDICAPQ.BO,31.35,0.40K,Health Technology,Pharmaceuticals: Major,35.0,82.0,78.0,19.0,8.54K,5.79K,46.99,21.0,390.93M,No,26.35,33.31,26.63,29.9,10.49
2039,GLANCE.BO,175.0,0.62K,Finance,Finance/Rental/Leasing,35.0,16.0,5.0,28.0,0.51K,0.74K,251.95,125.25,394.78M,No,187.25,188.12,188.31,194.06,3.62
2040,LGEINDIA.NS,1505.3,1236.09K,Consumer Durables,Electronics/Appliances,35.0,26.0,36.0,47.0,832.55K,630.25K,1749.0,1304.1,1021.76B,No,1538.0,,1528.89,1545.26,3.35
2041,MALUPAPER.NS,34.0,3.35K,Process Industries,Pulp & Paper,35.0,24.0,50.0,43.0,10.75K,9.09K,46.3,27.0,594.13M,No,32.0,35.73,32.13,34.4,3.44
2042,POLYSPIN.BO,31.93,2.95K,Process Industries,Containers/Packaging,35.0,71.0,39.0,58.0,2.39K,0.73K,42.98,25.0,319.30M,No,28.68,33.26,28.78,32.26,7.11
2043,LOYAL.BO,188.9,13.82K,Producer Manufacturing,Industrial Machinery,35.0,28.0,71.0,45.0,7.15K,5.66K,363.9,143.8,2.04B,No,180.64,206.93,184.34,188.2,6.63
2044,VIKRAMTH.BO,152.8,2.21K,Health Technology,Pharmaceuticals: Major,35.0,4.0,28.0,50.0,8.09K,4.71K,202.0,126.85,4.79B,No,150.99,159.63,150.32,158.82,3.13
2045,SRMCL.BO,43.8,1.12K,Finance,Real Estate Development,35.0,67.0,48.0,39.0,3.39K,2.88K,64.9,32.6,311.78M,No,41.3,45.98,40.97,42.93,7.82
2046,CASTROLIND.NS,184.88,2051.14K,Energy Minerals,Oil Refining/Marketing,35.0,20.0,35.0,53.0,1729.33K,1544.97K,232.43,170.1,182.87B,No,183.13,193.38,182.76,187.19,1.38
2047,DEEPAKSP.BO,118.3,0.28K,Process Industries,Textiles,35.0,58.0,54.0,48.0,5.17K,5.56K,167.0,88.65,850.50M,No,112.14,126.18,111.79,120.26,4.35
2048,PNB.NS,107.24,26739.24K,Finance,Major Banks,35.0,8.0,9.0,38.0,20677.15K,24157.97K,135.15,89.45,1232.50B,No,113.47,115.86,110.81,118.65,2.06
2049,HILLTONE.BO,48.13,175.03K,Process Industries,Chemicals: Specialty,35.0,19.0,11.0,13.0,60.58K,34.85K,93.0,31.59,634.25M,No,50.9,59.77,50.04,63.4,6.81
2050,ASAHISONG.NS,255.91,17.23K,Process Industries,Chemicals: Specialty,35.0,45.0,74.0,51.0,18.14K,31.31K,491.95,179.64,3.02B,No,220.17,266.24,219.85,241.44,5.55
2051,SRF.NS,2780.8,516.26K,Process Industries,Industrial Specialties,35.0,56.0,24.0,53.0,618.89K,851.38K,3325.0,2355.0,824.25B,No,2526.9,2842.06,2524.88,2788.65,2.61
2052,TCIEXP.NS,566.5,47.03K,Transportation,Air Freight/Couriers,35.0,43.0,59.0,31.0,26.10K,25.47K,848.0,447.55,21.76B,No,518.04,606.94,516.36,561.87,3.56
2053,CENTENKA.NS,441.5,23.58K,Process Industries,Chemicals: Specialty,35.0,46.0,41.0,54.0,18.41K,21.07K,537.9,371.2,9.65B,No,419.76,457.75,418.08,439.15,2.81
2054,GLOBALVECT.NS,184.52,14.32K,Industrial Services,Oilfield Services/Equipment,35.0,35.0,58.0,27.0,13.30K,8.90K,280.5,129.0,2.58B,No,169.59,196.99,169.25,187.35,5.09
2055,PACEDIGITK.NS,189.15,4836.47K,Utilities,Electric Utilities,35.0,84.0,47.0,37.0,1239.09K,1523.12K,231.95,139.81,40.83B,No,166.34,,166.28,186.79,4.44
2056,SKPSEC.BO,104.45,6.68K,Finance,Investment Banks/Brokers,35.0,23.0,47.0,54.0,1.52K,2.30K,143.9,74.0,711.18M,No,97.03,110.64,96.57,105.42,8.51
2057,DPWIRES.NS,182.71,9.85K,Producer Manufacturing,Metal Fabrication,35.0,73.0,62.0,16.0,32.02K,15.40K,306.95,125.02,2.83B,No,160.15,201.69,161.45,185.39,4.91
2058,CAPILLARY.NS,572.9,184.24K,Technology Services,Packaged Software,35.0,44.0,18.0,,126.90K,128.02K,798.95,464.25,45.44B,No,527.26,,535.23,,3.72
2059,GUJRAFFIA.NS,39.64,2.56K,Producer Manufacturing,Miscellaneous Manufacturing,35.0,20.0,39.0,2.0,4.29K,3.53K,88.0,35.1,,No,38.96,44.9,38.8,47.83,5.37
2060,CSURGSU.BO,100.5,0.02K,Health Technology,Medical Specialties,34.0,68.0,43.0,57.0,0.20K,0.09K,189.0,76.27,366.65M,No,91.81,112.28,92.57,96.31,2.38
2061,TRANSVOY.BO,96.03,6.40K,Transportation,Air Freight/Couriers,34.0,1.0,33.0,19.0,2.67K,6.08K,166.78,70.95,255.73M,No,109.43,111.22,109.21,113.78,5.86
2062,TCMLMTD.BO,43.35,1.76K,Process Industries,Chemicals: Specialty,34.0,7.0,7.0,56.0,3.08K,3.22K,81.0,36.53,324.17M,No,45.29,50.2,44.54,53.65,4.65
2063,UCIL.BO,102.0,2.05K,Finance,Investment Banks/Brokers,34.0,45.0,43.0,51.0,28.24K,50.00K,129.99,85.0,4.52B,No,96.18,105.82,97.21,101.35,3.41
2064,GENCON.NS,40.24,30.82K,Industrial Services,Engineering & Construction,34.0,4.0,4.0,59.0,235.25K,28.16K,59.96,30.2,2.29B,No,43.52,44.15,42.38,44.57,3.2
2065,PICCASUG.BO,38.77,3.85K,Process Industries,Agricultural Commodities/Milling,34.0,57.0,74.0,22.0,13.10K,3.36K,40.15,3.26,,No,35.74,43.05,36.09,39.55,5.15
2066,GRPLTD.NS,1895.3,0.53K,Producer Manufacturing,Miscellaneous Manufacturing,34.0,6.0,61.0,54.0,2.35K,1.36K,3157.0,1500.0,10.11B,No,1860.58,1968.76,1876.01,1858.45,4.32
