Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
1,ARIHANT.NS,802.8,18.61K,Finance,Real Estate Development,98.0,14.0,98.0,,7.14K,4.85K,1100.0,39.65,-27.02
16,EASTSILK.NS,46.3,0.22K,Process Industries,Textiles,98.0,18.0,2.0,3.0,0.95K,0.24K,99.25,1.8,-53.35
22,SANGINITA.NS,55.85,48.97K,Process Industries,Chemicals: Specialty,98.0,98.0,98.0,98.0,154.85K,114.47K,55.85,9.09,0.0
29,CUPID.NS,214.78,37947.03K,Consumer Non-Durables,Household/Personal Care,98.0,95.0,97.0,97.0,27852.36K,67347.35K,226.0,25.68,-4.96
30,STLTECH.NS,520.4,1850.97K,Technology Services,Information Technology Services,98.0,4.0,97.0,98.0,3960.25K,2653.86K,679.9,84.6,-23.46
35,SIGMAADV.NS,557.8,89.67K,Technology Services,Information Technology Services,98.0,89.0,98.0,97.0,496.68K,505.34K,638.1,105.0,-12.58
36,BATLIBOI.NS,81.75,13.61K,Producer Manufacturing,Industrial Machinery,97.0,39.0,98.0,,35.27K,22.14K,97.45,15.7,-16.11
42,AHLWEST.NS,573.85,1.31K,Consumer Services,Hotels/Resorts/Cruise Lines,97.0,70.0,98.0,98.0,2.40K,0.58K,751.4,137.0,-23.63
50,SWANDEF.NS,2229.6,6.02K,Producer Manufacturing,Trucks/Construction/Farm Machinery,97.0,77.0,70.0,75.0,19.00K,21.05K,2489.0,291.67,-10.42
52,BHAGYANGR.NS,401.05,125.88K,Producer Manufacturing,Electrical Products,97.0,82.0,97.0,96.0,241.40K,100.17K,432.3,85.62,-7.23
60,VENUSREM.NS,1770.0,30.73K,Health Technology,Pharmaceuticals: Major,97.0,47.0,95.0,97.0,90.80K,53.84K,2044.3,424.0,-13.42
68,UFBL.NS,701.9,94.97K,Consumer Services,Restaurants,97.0,85.0,97.0,98.0,415.55K,112.90K,763.35,172.34,-8.05
70,HFCL.NS,213.17,14634.22K,Electronic Technology,Telecommunications Equipment,97.0,83.0,98.0,98.0,53073.17K,20512.44K,229.5,59.82,-7.12
74,BLISSGVS.NS,483.5,367.19K,Health Technology,Pharmaceuticals: Major,96.0,57.0,96.0,97.0,2064.18K,414.64K,553.0,118.0,-12.57
76,ONELIFECAP.NS,36.88,15.08K,Finance,Investment Managers,96.0,94.0,98.0,96.0,150.57K,38.84K,40.1,11.15,-8.03
85,CPPLUS.NS,3614.4,258.88K,Consumer Durables,Electronics/Appliances,96.0,76.0,95.0,97.0,354.04K,188.84K,3866.0,1015.0,-6.51
88,OMNI.NS,565.6,335.71K,Producer Manufacturing,Metal Fabrication,96.0,87.0,94.0,,653.65K,436.23K,590.1,176.25,-4.15
89,MTARTECH.NS,6046.0,94.62K,Electronic Technology,Aerospace & Defense,96.0,0.0,81.0,96.0,1453.31K,154.56K,8714.0,1390.5,-30.62
90,DEEDEV.NS,691.75,49.85K,Producer Manufacturing,Industrial Machinery,96.0,20.0,96.0,98.0,394.40K,122.16K,760.0,183.0,-8.98
91,THANGAMAYL.NS,6436.0,189.28K,Consumer Durables,Other Consumer Specialties,96.0,86.0,92.0,92.0,220.79K,269.11K,7165.0,1750.1,-10.17
93,CEMPRO.NS,1615.0,687.12K,Industrial Services,Engineering & Construction,96.0,96.0,98.0,96.0,1537.36K,673.38K,1647.3,503.3,-1.96
97,GVPIL.NS,792.95,261.21K,Industrial Services,Engineering & Construction,96.0,1.0,93.0,97.0,377.24K,322.45K,1084.0,270.9,-26.85
98,SAYAJIHOTL.NS,300.0,0.22K,Consumer Services,Hotels/Resorts/Cruise Lines,96.0,64.0,,,0.11K,0.12K,330.0,138.7,-9.09
100,ACUTAAS.NS,3619.4,187.91K,Health Technology,Pharmaceuticals: Major,96.0,91.0,93.0,95.0,474.52K,353.44K,3740.0,1125.0,-3.22
102,ATHERENERG.NS,1282.2,4134.64K,Consumer Durables,Motor Vehicles,96.0,95.0,91.0,94.0,4892.82K,5861.58K,1345.0,329.2,-4.67
103,OMAXAUTO.NS,228.38,35.82K,Producer Manufacturing,Auto Parts: Oem,96.0,51.0,97.0,96.0,206.56K,57.80K,263.4,84.5,-13.3
108,KSHINTL.NS,864.75,349.29K,Producer Manufacturing,Electrical Products,95.0,51.0,92.0,96.0,516.33K,423.45K,930.0,330.0,-7.02
112,GRWRHITECH.NS,6970.5,44.74K,Process Industries,Chemicals: Specialty,95.0,75.0,96.0,96.0,114.39K,51.52K,7185.0,2681.0,-2.99
113,NINSYS.NS,893.6,3.16K,Technology Services,Packaged Software,95.0,95.0,97.0,96.0,7.79K,4.07K,935.0,281.05,-4.43
114,NITTAGELA.NS,1880.0,20.45K,Consumer Non-Durables,Food: Specialty/Candy,95.0,91.0,,,20.66K,25.21K,2087.2,882.0,-9.93
115,NOVARTIND.NS,1570.1,25.14K,Health Technology,Pharmaceuticals: Major,95.0,87.0,,,37.10K,66.58K,1723.0,672.25,-8.87
116,RAJPALAYAM.NS,839.9,0.59K,Process Industries,Textiles,95.0,52.0,,,2.06K,1.65K,875.0,314.45,-4.01
118,SAKAR.NS,877.7,128.02K,Health Technology,Pharmaceuticals: Major,95.0,79.0,92.0,96.0,207.21K,229.19K,960.0,311.0,-8.57
121,INDSWFTLAB.NS,231.47,288.27K,Health Technology,Pharmaceuticals: Major,95.0,97.0,94.0,97.0,1283.42K,1490.38K,248.45,87.15,-6.83
123,RUBICON.NS,1439.6,214.06K,Health Technology,Biotechnology,95.0,69.0,94.0,96.0,535.48K,273.82K,1527.0,570.75,-5.72
124,RPTECH.NS,734.45,688.62K,Distribution Services,Electronics Distributors,95.0,74.0,94.0,95.0,1274.82K,585.68K,812.85,275.6,-9.65
126,HITECHCORP.NS,322.2,9.09K,Producer Manufacturing,Miscellaneous Manufacturing,95.0,54.0,97.0,95.0,34.42K,25.22K,333.9,112.0,-3.5
127,KIRLOSENG.NS,2255.7,531.71K,Producer Manufacturing,Electrical Products,95.0,85.0,89.0,94.0,810.05K,830.84K,2720.0,855.8,-17.07
129,YASHO.NS,3010.7,10.89K,Consumer Non-Durables,Food: Specialty/Candy,95.0,77.0,97.0,97.0,36.97K,19.31K,3180.3,1130.0,-5.33
130,SHREEJISPG.NS,596.3,789.30K,Transportation,Other Transportation,95.0,92.0,94.0,90.0,1065.96K,1239.14K,596.7,222.0,-0.07
131,SKMEGGPROD.NS,318.95,419.32K,Process Industries,Agricultural Commodities/Milling,95.0,95.0,96.0,94.0,1165.46K,1155.64K,372.0,142.5,-14.26
132,MODISONLTD.NS,295.4,85.88K,Industrial Services,Engineering & Construction,95.0,33.0,97.0,94.0,214.95K,54.86K,362.7,114.0,-18.56
134,AEROFLEX.NS,410.6,859.55K,Producer Manufacturing,Industrial Machinery,95.0,2.0,88.0,96.0,2959.43K,1474.79K,521.9,158.0,-21.33
135,PAISALO.NS,71.75,53205.95K,Finance,Finance/Rental/Leasing,95.0,92.0,94.0,95.0,15984.90K,20900.26K,77.39,29.86,-7.29
141,JAYBARMARU.NS,170.79,736.54K,Distribution Services,Wholesale Distributors,94.0,65.0,96.0,93.0,1540.54K,1118.33K,207.0,71.01,-17.49
143,INDOBORAX.NS,465.7,486.47K,Process Industries,Chemicals: Specialty,94.0,95.0,96.0,93.0,275.83K,438.57K,499.0,224.0,-6.67
144,NGLFINE.NS,3131.9,5.13K,Health Technology,Pharmaceuticals: Major,94.0,73.0,89.0,96.0,19.38K,10.85K,3329.0,1175.5,-5.92
145,INDOTECH.NS,3400.9,19.09K,Producer Manufacturing,Electrical Products,94.0,96.0,97.0,96.0,67.67K,26.91K,3550.0,1100.0,-4.2
148,SETL.NS,281.1,393.51K,Health Technology,Medical Specialties,94.0,98.0,97.0,95.0,969.10K,1286.30K,305.3,104.56,-7.93
150,SANSERA.NS,3218.8,246.30K,Producer Manufacturing,Auto Parts: Oem,94.0,82.0,86.0,92.0,308.85K,210.80K,3361.5,1216.3,-4.25
152,BAFNAPH.NS,225.88,5.82K,Health Technology,Pharmaceuticals: Major,94.0,97.0,95.0,91.0,15.48K,4.38K,227.0,78.18,-0.49
155,KOVAI.NS,5986.0,3.78K,Health Services,Hospital/Nursing Management,94.0,60.0,97.0,,5.60K,3.88K,6340.0,2576.65,-5.58
156,SENORES.NS,1405.1,236.38K,Health Technology,Pharmaceuticals: Major,94.0,81.0,93.0,92.0,466.94K,339.29K,1509.8,601.1,-6.93
161,KMEW.NS,2404.9,55.40K,Producer Manufacturing,Trucks/Construction/Farm Machinery,94.0,88.0,85.0,86.0,159.62K,122.24K,2540.0,797.5,-5.32
162,RUBYMILLS.NS,413.6,66.28K,Process Industries,Textiles,94.0,95.0,95.0,94.0,77.69K,36.09K,420.95,169.02,-1.75
163,AEGISLOG.NS,1349.1,2811.31K,Distribution Services,Wholesale Distributors,94.0,96.0,97.0,94.0,2901.04K,2992.43K,1423.5,576.1,-5.23
166,SHADOWFAX.NS,223.25,7760.21K,Technology Services,Packaged Software,94.0,64.0,93.0,,2805.87K,1867.04K,241.63,98.55,-7.61
169,KANORICHEM.NS,141.64,83.94K,Process Industries,Chemicals: Specialty,94.0,95.0,96.0,94.0,42.20K,33.44K,141.78,56.0,-0.1
170,SEDEMAC.NS,2712.3,80.62K,Producer Manufacturing,Auto Parts: Oem,94.0,51.0,94.0,,205.45K,79.90K,2977.7,1413.1,-8.91
171,RPEL.NS,1313.8,74.60K,Process Industries,Chemicals: Major Diversified,94.0,78.0,96.0,88.0,171.72K,94.42K,1371.8,561.3,-4.23
172,SHARDUL.NS,51.32,25.08K,Finance,Investment Banks/Brokers,94.0,98.0,,,4.81K,5.58K,51.32,23.05,0.0
173,NRL.NS,107.84,104.60K,Non-Energy Minerals,Other Metals/Minerals,94.0,97.0,96.0,94.0,132.37K,178.56K,114.0,45.1,-5.4
174,PRECOT.NS,825.3,11.52K,Process Industries,Textiles,94.0,90.0,92.0,96.0,8.46K,5.51K,861.25,300.05,-4.17
175,SPORTKING.NS,197.21,311.60K,Process Industries,Textiles,94.0,81.0,90.0,96.0,585.24K,750.45K,209.9,78.17,-6.05
176,VELJAN.NS,1754.3,0.12K,Producer Manufacturing,Industrial Machinery,93.0,97.0,,,2.42K,2.07K,1980.0,812.0,-11.4
179,RAMCOSYS.NS,789.05,987.28K,Technology Services,Information Technology Services,93.0,97.0,96.0,90.0,2279.03K,2698.81K,967.5,342.1,-18.44
181,SKYGOLD.NS,621.3,804.10K,Consumer Durables,Other Consumer Specialties,93.0,90.0,90.0,94.0,1533.56K,1490.84K,646.0,246.05,-3.82
184,WELCORP.NS,1581.5,1079.43K,Producer Manufacturing,Industrial Machinery,93.0,85.0,91.0,95.0,1165.24K,2088.99K,1698.8,710.0,-6.9
