Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
314,OMAXE.NS,122.42,121.36,741.27K,Finance,Real Estate Development,90.0,96.0,94.0,85.0,10.5986,10.2693,4399.09K,12170.34K,138.89,62.5,22.48B,No,114.06,98.4,81.61,103.65,86.07,499
318,CITIPOR.BO,47.25,47.53,0.01K,Finance,Finance/Rental/Leasing,90.0,66.0,87.0,60.0,1.4414,0.7529,0.12K,0.01K,52.94,17.5,146.48M,No,48.2,42.35,37.33,43.18,41.0,496
329,CHANDNIMACH.BO,96.73,96.18,4.68K,Producer Manufacturing,Industrial Machinery,90.0,11.0,85.0,83.0,7.0179,6.9607,15.23K,7.11K,127.74,31.0,680.82M,No,99.98,100.42,79.09,102.64,81.51,497
338,WELSPUNLIV.NS,210.5,210.28,1878.73K,Consumer Non-Durables,Consumer Sundries,89.0,92.0,92.0,89.0,6.72,6.6836,5702.75K,4564.45K,216.0,107.1,199.57B,No,193.38,175.6,143.84,177.53,148.62,501
347,GSBFIN.BO,52.53,54.9,1.98K,Finance,Investment Banks/Brokers,89.0,92.0,92.0,78.0,3.19,3.0007,8.18K,5.26K,58.45,26.22,315.18M,No,47.49,44.19,37.36,46.41,38.76,497
352,BLUESTONE.NS,855.15,874.4,402.44K,Retail Trade,Specialty Stores,89.0,35.0,94.0,89.0,34.6,34.4857,3968.73K,731.68K,926.0,399.8,130.65B,No,828.49,763.82,559.98,776.71,591.91,266
355,TMB.NS,923.65,922.25,51.37K,Finance,Regional Banks,89.0,73.0,75.0,79.0,25.1393,24.4,362.09K,194.63K,954.2,420.0,146.26B,No,889.6,849.55,689.1,860.12,743.58,499
357,GNA.NS,553.95,539.55,297.52K,Producer Manufacturing,Auto Parts: Oem,89.0,64.0,92.0,70.0,20.125,20.0929,631.27K,235.84K,601.65,295.0,23.78B,No,550.22,530.3,418.58,536.56,449.06,500
370,LANCORHOL.NS,37.93,36.13,99.88K,Finance,Real Estate Development,89.0,96.0,93.0,88.0,2.7929,2.6164,249.02K,687.91K,41.75,18.12,2.79B,No,33.06,28.75,25.67,30.25,25.99,499
378,VENUSPIPES.NS,1949.1,1930.1,171.61K,Non-Energy Minerals,Steel,88.0,90.0,89.0,91.0,85.5071,74.4214,157.42K,260.42K,1998.0,890.0,40.38B,No,1645.37,1679.68,1344.35,1683.52,1416.24,499
385,PANAMAPET.NS,491.65,498.4,169.12K,Process Industries,Industrial Specialties,88.0,62.0,84.0,88.0,17.7429,17.7429,850.45K,305.57K,599.6,229.0,29.74B,No,484.62,468.54,344.65,472.29,366.98,500
394,GROVY.BO,65.54,66.35,0.09K,Finance,Real Estate Development,88.0,84.0,91.0,86.0,3.6579,3.5086,5.20K,2.18K,78.6,32.0,1.15B,No,64.2,56.88,46.56,57.92,47.38,497
397,KDDL.NS,3891.4,3912.2,16.58K,Consumer Durables,Other Consumer Specialties,88.0,58.0,87.0,86.0,119.1571,118.0,47.47K,28.41K,4155.5,1990.0,47.86B,No,3939.62,3591.02,2748.95,3639.4,2917.88,499
400,NEULANDLAB.NS,23800.0,23195.0,55.26K,Health Technology,Pharmaceuticals: Major,88.0,66.0,88.0,90.0,672.2143,642.2143,64.93K,40.44K,24225.0,11500.0,305.35B,No,23267.55,21069.4,16540.19,21467.0,17258.8,500
407,UNIMECH.NS,1568.1,1586.4,132.06K,Producer Manufacturing,Industrial Machinery,88.0,80.0,87.0,89.0,62.7643,62.1286,211.91K,260.36K,1652.8,695.0,79.82B,No,1508.79,1361.57,1048.86,1397.57,1104.82,424
414,CFF.BO,981.95,978.2,15.60K,Industrial Services,Engineering & Construction,87.0,40.0,87.0,90.0,32.0214,31.4643,38.52K,18.24K,1073.0,445.0,20.60B,No,1007.76,963.02,720.09,966.26,786.62,497
416,JASCH.BO,289.0,281.2,1.11K,Process Industries,Textiles,87.0,34.0,80.0,90.0,12.5,11.8929,7.72K,2.92K,343.65,126.05,1.96B,No,292.94,290.61,201.84,289.44,217.6,497
417,PAYTM.NS,1739.0,1751.5,1478.88K,Finance,Finance/Rental/Leasing,87.0,78.0,95.0,87.0,57.9429,56.1714,3850.79K,3304.89K,1758.9,930.6,1114.93B,No,1650.6,1471.05,1240.78,1504.2,1234.36,500
423,HANNAH.BO,113.5,113.9,16.00K,Health Services,Hospital/Nursing Management,87.0,70.0,77.0,91.0,3.5929,2.6357,19.28K,16.60K,128.8,55.99,2.58B,No,113.78,111.83,,110.62,89.46,153
427,GKSL.NS,173.22,176.02,142.02K,Health Services,Hospital/Nursing Management,87.0,93.0,86.0,84.0,6.9121,6.8457,504.62K,848.78K,180.9,98.36,13.66B,No,160.71,142.44,,144.69,128.82,177
429,ARVIND.NS,569.8,570.8,423.68K,Process Industries,Textiles,87.0,56.0,72.0,87.0,20.3679,20.2964,834.29K,732.50K,607.15,277.9,155.01B,No,551.68,542.72,426.03,543.85,464.69,501
434,SIZEMASTER.BO,347.05,342.95,2.41K,Producer Manufacturing,Miscellaneous Manufacturing,87.0,97.0,35.0,72.0,20.3071,17.2214,0.53K,0.78K,415.0,119.95,3.47B,No,260.9,298.49,286.4,295.47,325.91,497
