Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
19,Regional Banks,Finance,61,48,44,59,"TMB.NS,KTKBANK.NS,J&KBANK.NS,KARURVYSYA.NS,AUBANK.NS,UJJIVANSFB.NS,SBIN.NS,SURYODAY.NS,MONEYBOXX.NS,DCBBANK.NS,CUB.NS,EQUITASBNK.NS,JSFB.NS,CMBL.BO,CAPITALSFB.NS,JAGSONSER.BO,IDFCFIRSTB.NS,ICICIBANK.NS,DAMCAPITAL.NS,EMERALD.BO,FINOPB.NS"
20,Motor Vehicles,Consumer Durables,61,45,47,56,"ZELIO.BO,ATHERENERG.NS,FORCEMOT.NS,SMLMAH.NS,TMCV.NS,EICHERMOT.NS,TVSMOTOR.NS,SANDHAR.NS,HEROMOTOCO.NS,ATULAUTO.NS,OLECTRA.NS,M&M.NS,ATLASCYCLE.NS,MARUTI.NS,TMPV.NS,OLAELEC.NS,SEVL.BO,HYUNDAI.NS"
21,Auto Parts: Oem,Producer Manufacturing,60,53,53,57,"AMS.BO,OMAXAUTO.NS,LUMAXTECH.NS,SANSERA.NS,WHEELS.NS,BELRISE.NS,BHARATSE.NS,SHRIPISTON.NS,SJS.NS,CUMMINSIND.NS,RICOAUTO.NS,LUMAXIND.NS,UNIPARTS.NS,RACLGEAR.NS,GNA.NS,SEDEMAC.NS,JAMNAAUTO.NS,GABRIEL.NS,TENNIND.NS,MOTHERSON.NS,CARRARO.NS,DIVGIITTS.NS,PRICOLLTD.NS,JAYUSH.BO,ACGL.BO,RML.NS,SONACOMS.NS,KROSS.NS,FIEMIND.NS,NRBBEARING.NS,ASAL.NS,GSAUTO.BO,CIEINDIA.NS,TVSHLTD.NS,EMMFORCE.BO,MUNJALSHOW.NS,MUNJALAU.NS,INDNIPPON.NS,HIMTEK.BO,AUTOIND.NS,PORWAL.BO,HINDCOMPOS.NS,JMA.NS,ZFCVINDIA.NS,BOSCHLTD.NS,UNOMINDA.NS,VARROC.NS,SNL.BO,SWARAJENG.NS,NDRAUTO.NS,EXIDEIND.NS,MSUMI.NS,MENNPIS.NS,PPAP.NS,PRECAM.NS,JBMA.NS,MINDACORP.NS,BIMETAL.NS,ASKAUTOLTD.NS,AUTOAXLES.NS,SSWL.NS,SUPRAJIT.NS,SHARDAMOTR.NS,SUNCLAY.NS,ALICON.NS,ZFSTEERING.NS,SUNDRMBRAK.NS,ESCORTS.NS,KALYANIFRG.NS,REMSONSIND.NS,SHANTIGEAR.NS,MACPLASQ.BO,SAMKRG.BO,SALAUTO.BO,HITECHGEAR.NS,SUNDRMFAST.NS,RASANDIK.BO,ENKEIWHEL.BO,KINETICENG.BO,IGARASHI.NS,ISTLTD.BO,RANEHOLDIN.NS,UCAL.NS,SKFINDUS.NS,KRANTI.BO,JAGANLAM.BO,SINTERCOM.NS"
22,Integrated Oil,Energy Minerals,60,50,57,66,"IRMENERGY.NS,ANTELOPUS.NS,GNRL.NS,HINDOILEXP.NS,IOC.NS"
23,Marine Shipping,Transportation,60,56,44,62,"COASTCORP.NS,GESHIP.NS,DREDGECORP.NS,PPARIVAH.BO,GPPL.NS,GLOTTIS.NS,TRANSWORLD.NS"
24,Steel,Non-Energy Minerals,60,54,58,58,"MSCTC.BO,CRIMSON.BO,SALSTEEL.NS,JAYNECOIND.NS,MAHASTEEL.NS,MWL.NS,GALLANTT.NS,SUNFLAG.NS,STEELCAS.NS,SAIL.NS,LLOYDSME.NS,NELCAST.NS,UMIYA.BO,GOODLUCK.NS,MPKSTEELS.BO,GPIL.NS,KANSHST.BO,BGWTATO.BO,MSPL.NS,REMIEDEL.BO,TATASTEEL.NS,SAMBHV.NS,PANCHMAHQ.BO,JINDALSAW.NS,RATNAVEER.NS,KIOCL.NS,SARDAEN.NS,JINDALSTEL.NS,BMW.BO,RSL.NS,VENUSPIPES.NS,VISASTEEL.NS,SUPERIRON.BO,JTLIND.NS,IMEC.BO,RATNAMANI.NS,KSL.NS,NCML.BO,JSWSTEEL.NS,GANDHITUBE.NS,SCANSTL.NS,SHAHALLOYS.NS,VASWANI.NS,TIINDIA.NS,NATGENI.BO,TALBROSENG.BO,WELSPLSOL.NS,NEETUYOSHI.BO,MAHSEAMLES.NS,MUKANDLTD.NS,NSLNISP.NS,APLAPOLLO.NS,TULSYAN.BO,KAJARIR.BO,MANAKSTEEL.NS,SGIL.NS,HITECH.NS,JSL.NS,COCKERILL.NS,ELECTCAST.NS,KIRLFER.NS,VSSL.NS,CREATIVE.BO,PRAKASH.NS,SCODATUBES.NS,BEEKAY.NS,BANSALWIRE.NS,BLOIN.BO,GUJINTRX.BO,NITINCAST.BO,SURYAROSNI.NS,MAIDEN.BO,KIRLOSIND.NS,VSTL.NS,SHBAJRG.NS,JAIBALAJI.NS,SURAJ.BO,VRAJ.NS,UNIAUTO.BO,MANAKSIA.NS,CHENFERRO.BO,AZADIND.BO,ORISSAMINE.NS,HISARMETAL.NS,METALCO.BO,GARGFUR.BO,INCREDIBLE.NS,SURAJLTD.NS,RISHDIGA.BO,PENIND.NS,MANAKCOAT.NS,ELECTHERM.NS,KVSCASTING.BO,BEDMUTHA.NS,HARIOMPIPE.NS,SMLT.NS,SHRDAIS.BO,VMSTMT.NS,COSMICCRF.BO,MITTALSTL.BO"
25,Pharmaceuticals: Generic,Health Technology,60,42,50,68,"NUTRICIRCLE.BO,ZIMLAB.NS,JAGSNPHARM.NS,DENISCHEM.BO"
26,Major Banks,Finance,59,33,39,62,"MAHABANK.NS,BANDHANBNK.NS,RBLBANK.NS,FEDERALBNK.NS,SOUTHBANK.NS,DHANBANK.NS,INDIANB.NS,UNIONBANK.NS,INDUSINDBK.NS,CANBK.NS,AXISBANK.NS,BANKINDIA.NS,BANKBARODA.NS,CENTRALBK.NS,PNB.NS,IOB.NS,KOTAKBANK.NS,CSBBANK.NS,HDFCBANK.NS,IDBI.NS"
27,Medical Specialties,Health Technology,59,51,57,55,"HSIL.BO,CHOKSI.BO,SHREEPAC.BO,RAAJMEDI.BO,LENSKART.NS,AMKAY.BO,NURECA.NS,SETL.NS,EARKART.BO,MICEL.NS,GKB.BO,CSURGSU.BO,POLYMED.NS,NOVATEOR.BO,VOEPL.BO,PREVEST.BO"
28,Electronic Production Equipment,Electronic Technology,57,76,68,48,"DATAPATTNS.NS,APOLLO.NS,SYRMA.NS,CONTAINE.BO,AVALON.NS,CYIENTDLM.NS,NELCO.NS,KAYNES.NS,DIXON.NS,PGEL.NS,ELIN.NS"
29,Aluminum,Non-Energy Minerals,56,49,41,53,"ARFIN.NS,NATIONALUM.NS,HRS.BO,HINDALUMI.BO,MAITRI.BO,ALUFLUOR.BO,MAANALU.NS,ORIENTCER.NS,EUROBOND.NS,SUDAI.BO,KANISHK.BO,VEDL.NS,SAMPAT.BO"
