Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
40,Agricultural Commodities/Milling,Process Industries,52,41,56,54,"INDSOYA.BO,CIANAGRO.BO,INTEGFD.BO,AVANTIFEED.NS,NARMADA.NS,GOKULAGRO.NS,ELFIN.BO,DBOL.NS,RDGAIL.BO,PKTEA.NS,AVADHSUGAR.NS,DHAMPURE.BO,GODAVARIB.NS,MEGASTAR.NS,TIMESGREEN.BO,DWARKESH.NS,HARRMALAYA.NS,GRMOVER.NS,SPTRSHI.BO,DHAMPURSUG.NS,KMSUGAR.NS,DALMIASUG.NS,BNAGROCHEM.NS,GODREJIND.NS,SKMEGGPROD.NS,KLRFM.BO,SSLEL.BO,KRISHIVAL.NS,WATERBASE.BO,BALRAMCHIN.NS,TRIVENI.NS,UGARSUGAR.NS,LTFOODS.NS,NATHBIOGEN.NS,KRITINUT.NS,PONNIERODE.NS,KRBL.NS,CLSEL.NS,SUPERBAK.BO,JAYSREETEA.NS,UTTAMSUGAR.NS,GOODRICKE.BO,PICCADIL.NS,INDSUCR.BO,VENKEYS.NS,REGAAL.NS,MAGADSUGAR.NS,SHINDL.NS,MODINATUR.NS,NATRAJPR.BO,NKIND.NS,SIMRAN.BO,UNISEM.BO,LAKESHORE.BO,TIERRA.BO,TGIF.BO,BANARISUG.NS,RAJSREESUG.NS,GOKUL.NS,KANCOTEA.BO,ZUARIIND.NS,KNAGRI.NS,KINGSINFR.BO,JAYAGROGN.NS,KSE.BO,PICCASUG.BO,POONADAL.BO,ACLD.BO,KSCL.NS,JKAGRI.BO,BNALTD.NS,BAJAJST.NS,ROML.NS,SVRL.BO,SUNDROP.NS,DTIL.NS,TYROON.BO,GODREJAGRO.NS,SBECSUG.BO,MSL.BO,OCTAVIUSPL.BO,MCFL.BO,AWL.NS,GANESHCP.NS,SUNILAGR.BO,SURJIND.BO,WARRENTEA.BO,PATANJALI.NS,AMBARPIL.BO,HINDUST.BO,INDOUS.NS,YASHHTEJ.BO,VIJSOLX.BO,SULA.NS,AGRITECH.NS,LELAVOIR.BO,AMIRCHAND.NS,DCMSRIND.NS"
41,Office Equipment/Supplies,Producer Manufacturing,51,56,54,56,"WSTCSTPAPR.NS,FLAIR.NS,EUROPRATIK.NS,NAVNETEDUL.NS,MOHITPPR.BO,DOMS.NS,RDEL.BO"
42,Life/Health Insurance,Finance,51,30,31,62,"STARHEALTH.NS,CANHLIFE.NS,MFSL.NS,NIVABUPA.NS,SBILIFE.NS,LICI.NS,BAJAJFINSV.NS,ICICIPRULI.NS"
43,Industrial Specialties,Process Industries,51,55,50,53,"CDG.BO,INDOKEM.BO,DHINDIA.BO,KOTYARK.NS,SEJALLTD.NS,HSCL.NS,GRAPHITE.NS,AVIVA.BO,KELENRG.BO,BODALCHEM.NS,WAAREE.BO,SOLARINDS.NS,CARBORUNIV.NS,XPROINDIA.NS,SPLPETRO.NS,VIPULORG.BO,GOCLCORP.NS,KAMAHOLD.NS,BORORENEW.NS,HARDCAS.BO,ELANTAS.NS,GANDHAR.NS,AXELPOLY.BO,TINNARUBR.NS,BEEZAASAN.BO,ASIANPAINT.NS,SIRCA.NS,GRINDWELL.NS,BEPL.NS,VISAKAIND.NS,HINDADH.BO,NIKHILAD.BO,ASSOCIATED.BO,PIDILITIND.NS,RUBFILA.NS,JSWDULUX.NS,PODDARMENT.NS,PANAMAPET.NS,BERGEPAINT.NS,SRF.NS,SFL.NS,BRIGHTBR.BO,PCBL.NS,DICIND.NS,DYNAMIND.BO,ESTER.NS,GOACARBON.NS,RAIN.NS,VINYOFL.BO,INDIGOPNTS.NS,RETINA.BO,KANSAINER.NS,MHLXMIRU.NS,INNOVATORS.BO,MULTIBASE.BO,JYOTIRES.BO,GMPL.BO,SHALPAINTS.NS,DUROPACK.BO"
44,Specialty Insurance,Finance,50,24,46,60,"GICRE.NS,ICICIGI.NS"
45,Textiles,Process Industries,50,45,52,52,"SURBHIN.BO,EASTSILK.NS,SHANTAI.BO,SPICEISLIN.BO,SWADEIN.BO,JAYATMA.BO,TRUEGREEN.BO,SHUBHAM.BO,OMNITEX.BO,SPORTKING.NS,TEJASSVI.BO,PRECOT.NS,JATTAINDUS.BO,OSIAJEE.BO,SUNRAKSHAK.BO,NITINSPIN.NS,NAHARSPING.NS,DCMSIL.NS,BINNYMILLS.BO,SOMATEX.NS,ARVIND.NS,VTL.NS,ARMAN.BO,GINNIFILA.NS,AYMSYNTEX.NS,ICL.BO,CHEVIOT.NS,BORANA.NS,LUDLOWJUT.BO,BHUDEVI.BO,UNITEDPOLY.NS,AMBIKCO.NS,SUMEETINDS.NS,SANGAMIND.NS,SHRIDINE.BO,GHCLTEXTIL.NS,RUBYMILLS.NS,PASHUPATI.NS,MAYURUNIQ.NS,SUPER.BO,SALONA.NS,RSWM.NS,ADDIND.BO,PASUPTAC.NS,BETXIND.BO,LEMERITE.NS,LAKHOTIA.BO,SUTLEJTEX.NS,APMIN.BO,NAHARINDUS.NS,PREMCO.NS,ICIL.NS,SUBSM.BO,CANDOUR.BO,MAFATIND.NS,LAKSHMIMIL.BO,GLOSTERLTD.NS,NAHARPOLY.NS,DAMODARIND.NS,LAHOTIOV.NS,GANECOS.NS,HPCOTTON.BO,DIGJAMLMTD.NS,ZBINTXPP.BO,RAJPALAYAM.NS,BANSWRAS.NS,MODTHREAD.NS,DCMNVL.NS,ABREL.NS,SRINACHA.BO,LAGNAM.NS,SURYALAXMI.NS,MODWOOL.BO,AMARJOTHI.BO,BOMDYEING.NS,EVERFIN.BO,MKEXIM.BO,SURYALA.NS,BARODARY.BO,VTMLTD.BO,MARIS.BO,SKYIND.BO,KAMADGIRI.BO,WINSOMTX.BO,SIYSIL.NS,SHIVAMILLS.NS,SANATHAN.NS,MANOMAY.NS,FAZE3Q.NS,VIPPYSP.BO,SARLAPOLY.NS,VOITHPAPR.BO,SHIVATEX.NS,VICTMILL.BO,DONEAR.NS,AICHAMP.BO,PBMPOLY.BO,SAMBANDAM.BO,LOYALTEX.NS,MARALOVER.NS,WEIZMANIND.NS,SELMC.NS,BHILSPIN.BO,SIHORA.BO,HINDMILL.BO,SANTETX.BO,ACSTECH.NS,OLYMPTX.BO,RAYMOND.NS,LAMBODHARA.NS,DEEPAKSP.BO,JASCH.BO,GHCL.NS,SPARKLEGR.BO,FILATEX.NS,VGL.NS,RAGHUSYN.BO,ANIRIT.BO,GINISILK.BO,LKMEHTA.BO,BTTL.NS,RELCHEMQ.NS,SURYAAMBA.BO,INDORAMA.NS,ZENIFIB.BO,DHANFAB.BO,ORBTEXP.NS,KITEX.NS,NIBE.NS,ASHNOOR.BO,RAJKSYN.BO,WIREFABR.BO,RIBATEX.BO,KATRSPG.BO,BSL.NS,BLUECHIPT.BO,SHANTIDENM.BO,RACE.NS,HISARSP.BO,ELITECON.NS,CFEL.BO,GOKAKTEX.BO,SHINEFASH.BO,KGPETRO.BO,SHRJAGP.BO,HINDAPL.BO,HIMATSEIDE.NS,PIOTEX.BO,SWADPOL.BO,NAPSGLOBAL.BO,AREXMIS.BO,SRTL.NS,GARNETINT.BO,YAJUR.BO,TTFL.BO,ARL.BO"
46,Medical/Nursing Services,Health Services,50,55,47,50,"JSTL.BO,GAUDIUMIVF.NS,THYROCARE.NS,VIJAYA.NS,LOTUSEYE.NS,NEPHROPLUS.NS,METROPOLIS.NS,LALPATHLAB.NS,DRAGARWQ.NS,AGARWALEYE.NS,JSLL.NS,SURAKSHA.NS,ASPIRA.BO,MAXIND.NS,MDRC.BO,LAXMIDENTL.NS,KRSNAA.NS,STARIMAGIN.BO,CTLLAB.BO"
47,Airlines,Transportation,50,52,59,52,"AFCOM.BO,TAALTECH.NS,INDIGO.NS"
48,Food: Specialty/Candy,Consumer Non-Durables,50,46,48,53,"TRANSFD.BO,CCL.NS,NITTAGELA.NS,MCLEODRUSS.NS,GAEL.NS,NORBTEAEXP.NS,MAWANASUG.NS,ADFFOODS.NS,NGIL.NS,GULPOLY.NS,SHAWGELTIN.BO,PAJSON.BO,UNITEDTEA.NS,OVOBELE.BO,MANORAMA.NS,ADVENZYMES.NS,SHRIGANG.BO,OCEANIC.BO,IWP.NS,HNDFDS.NS,GPAPL.BO,GOPAL.NS,UNIVSTAR.BO,YASHO.NS,EIFFL.NS,AVTNPL.NS,SUKHJITS.NS,TATACONSUM.NS,BRITANNIA.NS,TASTYBITE.NS,ORKLAINDIA.NS,RAVALSUGAR.BO,BIKAJI.NS,VADILENT.BO,GANGESSECU.NS,MLKFOOD.BO,DIAMONDYD.NS,VADILALIND.NS,DYNPRO.NS,VASUPRADA.BO,PALASHSECU.NS,FOODSIN.NS,VANDU.BO,FLEXFO.BO,VIDHIING.NS,BAMBINO.BO,BECTORFOOD.NS,LOTUSCHO.BO,KFBL.BO,TIRUSTA.BO,VANDAN.BO,ABRFL.BO,NAPL.BO"
49,Investment Banks/Brokers,Finance,50,47,48,51,"HIKLASS.BO,ZSANMCOM.BO,STELLANT.BO,PHCAP.BO,INDUSFINL.BO,VISTARAMAR.BO,MCX.NS,SGFIN.NS,BSE.NS,PESB.BO,WELINV.NS,AUSOMENT.NS,SANCF.BO,MEAPL.BO,GCSL.NS,TITANSEC.BO,NIDHGRN.BO,INDOTHAI.NS,ANGELONE.NS,BERYLSE.BO,ALSL.BO,ARYACAPM.BO,RAMSONS.BO,EDELWEISS.NS,SARTHAKGL.BO,IIFLCAPS.NS,ARSSBL.NS,USHAKIRA.BO,MGIL.BO,REGENCY.BO,TATAINVEST.NS,TAMBOLIIN.NS,SHARDUL.NS,JMFINANCIL.NS,NEXOME.BO,CRESCENTIS.BO,MYMONEY.BO,BERVINL.BO,NDASEC.BO,RAPIDIN.BO,GSBFIN.BO,GAMCO.BO,ELIXIR.BO,PRIMESECU.NS,BIRLAMONEY.NS,AKCAPIT.NS,INDPRUD.NS,KIRANVYPAR.NS,JOINDRE.BO,CHRTEDCA.BO,VLSFINANCE.NS,GAJANANSEC.BO,INDBANK.NS,KEYFINSERV.NS,ASITCFIN.BO,MONARCH.NS,MEHIF.BO,ABHIFIN.BO,PIONRINV.NS,THEINVEST.NS,SPCAPIT.BO,5PAISA.NS,IEX.NS,DAULAT.BO,MUKESHB.BO,SICAPIT.BO,SMCGLOBAL.NS,ARYAMAN.BO,CILSEC.BO,UCIL.BO,SITAENT.BO,GEOJITFSL.NS,DOLATALGO.NS,CDSL.NS,SHAREINDIA.NS,JHACC.BO,RIKHAV.BO,ALGOQUANT.NS,ARIHANTCAP.NS,STEELCITY.NS,HBPOR.BO,SKPSEC.BO,NAM.BO,GOWRALE.BO,SWASTIKA.BO,QUESTCAP.BO,SUMEDHA.BO,1STCUS.BO,HBSL.NS,KJMCCORP.BO,PURSHOTTAM.BO,MODRNSH.BO,WALLFORT.BO,CSLFINANCE.NS,PNBGILTS.NS,UPSURGE.BO,KJMCFIN.BO,DSINVEST.BO,KALIND.BO,SAICAPI.BO,21STCENMGM.NS,MASTERTR.NS,SAUMYA.BO,JSWHL.NS,SODHACAP.BO,TRILIANCE.BO,SYSTMTXC.NS"
50,Oilfield Services/Equipment,Industrial Services,49,33,55,50,"SEAMECLTD.NS,CRYOGENIC.BO,DEEPINDS.NS,DOLPHIN.NS,UNIDT.NS,TRISHAKT.BO,OILCOUNTUB.NS,GLOBALVECT.NS,COCHMAL.BO,ALPHAGEO.NS,GARWAOFFS.BO,RVTH.NS"
51,Oil & Gas Pipelines,Industrial Services,49,60,64,43,RIIL.NS
52,Industrial Conglomerates,Producer Manufacturing,49,44,46,50,"TIRUPATIFL.NS,GRAMEVA.BO,DCMSHRIRAM.NS,3MINDIA.NS,BALMLAWRIE.NS,IPRINGLTD.BO,KCP.NS,FIBERWEB.NS,UNIENTER.NS"
53,Chemicals: Major Diversified,Process Industries,49,59,55,57,"SKM.BO,AETHER.NS,PRIVISCL.NS,CHEMBONDCH.NS,AARTIIND.NS,HARLETH.BO,DMCC.NS,INDGELA.BO,SHIVAAGRO.BO,JUBLINGREA.NS,RPEL.NS,FOSECOIND.NS,CHEMBOND.NS,FINEORG.NS,SUNSHIEL.BO,PATELCHEM.BO,ACI.NS,PLASTIBLEN.NS,PLATIND.NS,AARTISURF.NS,INDOAMIN.NS,POLYCHEM.BO,PAUSHAKLTD.NS,DIAMINESQ.NS,SUDARCOLOR.NS,DDEVPLSTIK.NS,RESGEN.BO,CHEMCRUX.BO,TECHNICHEM.BO,DEEPAKCHEM.BO,GEMAROMA.NS,CHEMPLASTS.NS,DSFCL.NS"
54,Air Freight/Couriers,Transportation,48,48,47,48,"RAPID.BO,CARGOTRANS.BO,SCI.NS,GLOBALLOG.BO,FORINTL.BO,DELHIVERY.NS,MAHLOG.NS,TVSSCS.NS,TIGERLOGS.NS,WCIL.NS,MAHESHWARI.NS,OMFREIGHT.NS,ASPINWALL.NS,BLUEDART.NS,TCIEXP.NS,GBLOGISTIC.BO,AVG.NS,AEGISVOPAK.NS,SVLL.NS,TRANSVOY.BO,TOTAL.NS,FLOMIC.BO,SWIGGY.NS,ABCINDQ.BO,PSPL.BO"
55,Electronics/Appliance Stores,Retail Trade,48,52,47,40,"ROBU.BO,AVL.NS,EMIL.NS,MTL.BO,LOGICA.BO,UML.BO"
56,Beverages: Alcoholic,Consumer Non-Durables,48,47,48,32,"CHMBBRW.BO,ABDL.NS,RADICO.NS,IFBAGRO.NS,TI.NS,GMBREW.NS,GLOBUSSPR.NS,ASALCBR.NS,UNITDSPR.NS,SDBL.NS,NSL.BO,UBL.NS,JAGAJITIND.BO,SILVOAK.BO"
57,Industrial Machinery,Producer Manufacturing,48,57,53,49,"EMAINDIA.BO,AEROFLEX.NS,LIPPISYS.BO,DEEDEV.NS,KRN.NS,MEERA.BO,DYNAMATECH.NS,MANINDS.NS,WELCORP.NS,MACPOWER.NS,INOXINDIA.NS,KIRLPNU.NS,WALCHANNAG.NS,THERMAX.NS,AMBER.NS,AEROENTER.NS,SHREEREF.BO,ACROW.BO,TALBROAUTO.NS,HMT.NS,CHANDNIMACH.BO,SAPL.BO,KSB.NS,ELGIEQUIP.NS,INTEGRAEN.BO,TIMKEN.NS,BANCOINDIA.NS,SUNITATOOL.BO,PATELSAI.BO,DIFFNKG.NS,SEALMATIC.BO,PITTIENG.NS,AIAENG.NS,NESCO.NS,AXTEL.BO,TRUECOLORS.BO,UNIMECH.NS,WINDMACHIN.NS,SAATVIKGL.NS,PERMAGN.BO,FMGOETZE.NS,TRITURBINE.NS,ALFREDHE.BO,CROMPTON.NS,EXPOEAPL.BO,UVDRHOR.BO,VELJAN.NS,IONEXCHANG.NS,KABRAEXTRU.NS,GEE.BO,VOLTAS.NS,ADMACH.BO,ICEMAKE.NS,CHEMTECH.BO,HARISH.BO,EKC.NS,QUESTFLOW.BO,BATLIBOI.NS,WPIL.NS,MAMATA.NS,KIRLOSBROS.NS,AZTEC.BO,ITL.BO,SUBROS.NS,BIRLAPREC.NS,ARTSON.BO,DISAQ.NS,ANUP.NS,PRINCEPIPE.NS,BLUESTARCO.NS,LAKSHMIEW.BO,LMW.NS,EUREKAFORB.NS,EPACK.NS,ATVPR.BO,HLEGLAS.NS,POLYCHMP.BO,BALGOPAL.BO,MAZDA.NS,LOYAL.BO,IFGLEXPOR.NS,MAHSCOOTER.NS,FORBESCO.BO,SBVCL.BO,DUNCANENG.BO,GGDPROP.BO,ROSEMER.BO,ROTO.NS,JASH.NS,SOLIMAC.BO,ATAM.NS,WHBRADY.BO,RUNGTAIR.BO,SHTL.BO,BRADYM.BO,SAMRATFORG.BO,MIVENMACH.BO,WENDT.NS,STOVACQ.BO,BEMHY.BO,CENLUB.BO,GMMPFAUDLR.NS,SUMUKA.BO,YUKEN.NS,HAWAENG.BO,REXNORD.BO,SHAKTIPUMP.NS,TOTEM.BO,AMCOIND.BO,OSWALPUMPS.NS,SYMPHONY.NS,INDIANCARD.NS,JOSTS.BO,SHILGRAVQ.BO,FILTRA.BO,VJLAXMIE.BO,GALLARD.BO,AFFORDABLE.NS,RAJOOENG.NS,ENVAIREL.BO,SRIGEE.BO,GGAUTO.BO,QRIL.BO,COMRADE.BO"
58,Wholesale Distributors,Distribution Services,48,46,46,46,"SIMANDHAR.BO,AVAX.BO,VEL.BO,SCHNEIDER.NS,SBC.NS,NANTA.BO,MRCAGRO.BO,ABANSENT.NS,GMDCLTD.NS,GEL.BO,BUILDPRO.NS,SAMOR.BO,AGRIBIO.BO,STALLION.NS,EFORU.BO,SHARDACROP.NS,SAENTER.BO,INLCM.BO,JAYBARMARU.NS,MARINE.NS,YASHINNO.BO,ARYAVAN.BO,ACEMEN.BO,LLOYDSENT.NS,ADANIENT.NS,MISHKA.BO,ISHANCH.NS,BLACKROSE.NS,MMTC.NS,SICAGEN.NS,BMWVENTLTD.NS,KHAZANCHI.BO,KOTHARIPRO.NS,VINCOFE.NS,PALCO.BO,NVENTURES.BO,THEJO.NS,VOLKAI.BO,AEGISLOG.NS,VINYLINDIA.NS,TEGA.NS,METROGLOBL.NS,IMPAL.NS,HEXATRADEX.NS,JKIPL.NS,HRYNSHP.BO,YSL.BO,ADHHATA.BO,RONI.BO,SHIVTEXCHEM.BO,PARSHVA.BO,MULLER.BO,MYSORPETRO.BO,EBIX.BO,KTIL.BO,CONSTRONIC.BO,SIMPLXPAP.BO,EVERESTIND.NS,HMEML.BO,DHOOTIN.BO,TCC.NS,SSDL.NS,SANBLUE.BO,ANIKINDS.NS,GVL.BO,VERITAS.BO,SRD.NS,MERCURYEV.BO,UVS.BO,EFCIL.NS,MARBLE.BO,RAFL.BO,JOLYPLS.BO,SEML.BO"
59,Medical Distributors,Distribution Services,47,50,43,51,"APPL.BO,GUJINJEC.BO,SPML.BO,RAMAVISION.BO,ENTERO.NS,APL.BO,CHECKPOINT.BO,ROYAL.BO,EVERESTO.BO,CBPL.BO"
60,Miscellaneous Manufacturing,Producer Manufacturing,47,42,50,48,"PANKAJPO.BO,SIZEMASTER.BO,APTPACK.BO,APOLLOPIPE.NS,MITSU.BO,AMEENJI.BO,KANPRPLA.NS,ORICONENT.NS,KISAN.BO,CPL.BO,PYRAMID.NS,DHABRIYA.BO,ASTRAL.NS,ELGIRUBCO.NS,PIXTRANS.NS,NIRAJISPAT.NS,ADOR.NS,IIRM.BO,INTLCONV.NS,ALLTIME.NS,BDI.BO,MOLDTKPAC.NS,SUPREMEIND.NS,AMDIND.NS,HAWKINCOOK.NS,FOSECOC.BO,FINPIPE.NS,DALBHARAT.NS,DHPIND.BO,ALFAICA.BO,GUJRAFFIA.NS,GRPLTD.NS,TEXMOPIPES.NS,DEFRAIL.BO,SONALAD.BO,SOMICONVEY.NS,NATPLAS.BO,KRITI.NS,RHIM.NS,GARFIBRES.NS,VAMSHIRU.BO,BOROLTD.NS,ALKOSIGN.BO,FLUIDOM.BO,MALPANI.BO,HITECHCORP.NS,KAKA.BO,DUTRON.BO,TOKYOPLAST.NS,PPL.NS,INDAG.BO"
61,Commercial Printing/Forms,Commercial Services,47,53,69,36,"INLANPR.BO,DJML.NS,DGCONTENT.NS,TCPLPACK.NS,REPRO.NS"
62,Building Products,Producer Manufacturing,47,55,53,47,"JNKINDIA.NS,ORIENTBELL.NS,LTELEVATOR.BO,SOLEX.NS,KAJARIACER.NS,INTERARCH.NS,POKARNA.NS,ASIANTILES.NS,SOMANYCERA.NS,CEETAIN.BO,IKOMA.BO,CENTURYPLY.NS,BRPL.BO,HINDWAREAP.NS,GREENPLY.NS,REGENCERAM.NS,ELEMARB.BO,ZODIAC.NS,NITCO.NS,ARCHIDPLY.NS,ORIRAIL.BO,RISHILASE.BO,MURUDCERA.NS,MSAFE.BO,FABCLEAN.BO,INDIANHUME.NS,MBEL.NS,AHMDSTE.BO,AHLADA.NS,AARON.NS,TRL.BO"
63,Pulp & Paper,Process Industries,47,48,49,46,"RGIL.BO,SUBAM.BO,SKPMIL.BO,RIDDHI.BO,TNPL.NS,SESHAPAPER.NS,JKPAPER.NS,SAPPL.NS,STHINPA.BO,KSSMART.BO,SATIA.NS,RAMANEWS.NS,RUCHIRA.NS,DHANROTO.BO,ANDHRAPAP.NS,MALUPAPER.NS,STARPAPER.NS,ABRIL.BO,EMAMIPAP.NS,SHREYANIND.NS,PDMJEPAPER.NS,SANPA.BO,KUANTUM.NS,GANGAPA.BO,PAKKA.NS,NATHIND.BO"
64,Investment Trusts,Miscellaneous,47,34,43,47,"GROWW.NS,ALTIUSINVIT.BO,PSPLATINA.BO,CITIUSINVT.BO,JINDCAP.BO,ENERGYINF.BO,SUMMITSEC.NS"
65,Trucks/Construction/Farm Machinery,Producer Manufacturing,46,58,47,45,"SWANDEF.NS,KMEW.NS,CRAFTSMAN.NS,GRSE.NS,INGERRAND.NS,BHARATGEAR.NS,ASHOKLEY.NS,COCHINSHIP.NS,AIRFLOA.BO,CRANEX.BO,BALUFORGE.NS,BEML.NS,VSTTILLERS.NS,ADARSHPL.BO,GUJAPOLLO.NS,QUINT.NS,TITAGARH.NS,LAXMIPATI.BO,MAZDOCK.NS,BAJAJINDEF.NS,HERCULES.BO,AJAXENGG.NS,JWL.NS,MAHEPC.NS,GREAVESCOT.NS,ACE.NS,SEMAC.NS,TEXRAIL.NS,TRF.NS,MHEL.BO,EIMCOELECO.NS,TIL.NS,INDOFARM.NS,INDCTST.BO,JISLJALEQS.NS,SWANAGRO.BO,INTLCOMBQ.BO,ATIL.BO"
66,Chemicals: Specialty,Process Industries,46,59,53,45,"CITURGIA.BO,GRWRHITECH.NS,GUJALKALI.NS,SHAILY.NS,SAYAJIIND.BO,APCOTEXIND.NS,ANDHRSUGAR.NS,INDIAGLYCO.NS,NAVINFLUOR.NS,NPL.BO,MANORG.NS,TATVA.NS,LINDEINDIA.NS,KINGFA.NS,KANORICHEM.NS,ARCHITORG.BO,NEOGEN.NS,IOLCP.NS,VISHNU.NS,BALAMINES.NS,GANESHBE.NS,TANFACIND.BO,NOCIL.NS,SHREEPUSHK.NS,RITESHIN.BO,JGCHEM.NS,VINEETLAB.NS,IGPL.NS,PREMEXPLN.NS,SOTL.NS,TGVSL.BO,INDOBORAX.NS,FLUOROCHEM.NS,ARVEE.NS,RESONANCE.BO,TRUALT.NS,SRHHYPOLTD.NS,TRANSPEK.NS,DAICHI.NS,DEEPAKNTR.NS,HPIL.NS,VITAL.NS,HOCL.BO,VALIANTORG.NS,GRAUWEIL.NS,STYRENIX.NS,GNFC.NS,KRONOX.NS,GUJPETR.BO,SIGIND.NS,ULTRAMAR.NS,KANCHI.NS,SHHARICH.BO,OCCLLTD.NS,LXCHEM.NS,JOCIL.NS,OAL.NS,KOTHARIPET.NS,TUTIALKA.BO,ALKYLAMINE.NS,POLSON.BO,AMAL.BO,TIRUMALCHM.NS,TPLPLASTEH.NS,IVP.NS,PAR.NS,POLYPLEX.NS,POEL.BO,CENTENKA.NS,AEONXDIGI.BO,EIKO.BO,TNPETRO.NS,PNTKYOR.BO,ASAHISONG.NS,BASF.NS,HILLTONE.BO,LAFFANSQ.BO,DEEP.BO,20MICRONS.NS,SUDARSCHEM.NS,YASHCHEM.BO,MANALIPETC.NS,CHAMBLFERT.NS,BHAGERIA.NS,RISHIROOP.BO,TCMLMTD.BO,CLEAN.NS,NATPLASTI.BO,MOL.NS,DCW.NS,ROSSARI.NS,LORDSCHLO.NS,AKSHARCHEM.NS,PIIND.NS,AMNPLST.NS,NAPEROL.BO,VINATIORGA.NS,COROMANDEL.NS,ALKALI.NS,CHEMCON.NS,SHK.NS,FAIRCHEMOR.NS,DHANUKA.NS,SAMRATPH.BO,KIRIINDUS.NS,ARCL.BO,ANDHRAPET.BO,CAMLINFINE.NS,CHEMFAB.NS,NOL.BO,DHUNINV.NS,ELLEN.NS,VIKRAMAR.BO,MEHUL.BO,FISCHER.NS,RSCINT.BO,ZR2.BO,AGARIND.NS,DAIKAFFI.BO,BCCL.BO"
67,Engineering & Construction,Industrial Services,46,59,54,43,"GVPIL.NS,BRAHMINFRA.BO,SCANPRO.BO,BGRENERGY.NS,ENGINERSIN.NS,SHRICON.BO,CEIGALL.NS,CFF.BO,GARUDA.NS,CEMPRO.NS,DARJEELING.BO,DESCO.BO,VINDHYATEL.NS,ACMESOLAR.NS,EKANSH.BO,SRM.NS,ISGEC.NS,WABAG.NS,GTV.BO,PRAJIND.NS,BCPL.NS,KPIL.NS,SUYOG.NS,LLOYDSENGG.NS,TECHNOE.NS,PSPPROJECT.NS,SPMLINFRA.NS,GOELCONS.BO,BLKASHYAP.NS,POWERMECH.NS,MODISONLTD.NS,LIKHITHA.NS,WELENT.NS,LT.NS,KAUSHALYA.NS,MIZVEN.BO,TRANSRAILL.NS,DBL.NS,HECPROJECT.NS,UNIVASTU.NS,GPTINFRA.NS,ATLANTAA.NS,BAJEL.NS,EPACKPEB.NS,OMINFRAL.NS,GMRP&UI.NS,SCDL.BO,TARMAT.NS,MARKOLINES.NS,SAB.BO,IRCON.NS,ABMINTLLTD.NS,SWSOLAR.NS,JSWINFRA.NS,DENTA.NS,CEINSYS.NS,RAMKY.NS,ARTEFACT.BO,CONART.BO,TELGE.BO,GENCON.NS,BFUTILITIE.NS,GKENERGY.NS,AHLUCONT.NS,CAPACITE.NS,GRINFRA.NS,SGFRL.BO,BRGIL.BO,BONDADA.BO,SURAJEST.NS,DMR.BO,RVNL.NS,SUPREMEINF.NS,PIGL.NS,MOLDTECH.NS,SIMPLEXINF.NS,AFCONS.NS,PNCINFRA.NS,VALPLAST.BO,MPDL.BO,NIRAJ.NS,VASCONEQ.NS,KEC.NS,RAUNAQ.BO,RAJESH.BO,JKIL.NS,VVIPIL.BO,JAYANT.BO,EMSLIMITED.NS,VIKRAN.NS,ASHOKA.NS,VSFPROJ.BO,SHRADHA.NS,SOLARWORLD.NS,HGINFRA.NS,KNRCON.NS,RPPINFRA.NS,DBEIL.NS,GLOBECIVIL.NS,KRRAIL.BO,DHRUV.NS,OVAL.BO,RKEC.NS,ADVENTHTL.NS,VPRPL.NS,REPL.NS"
68,Pharmaceuticals: Other,Health Technology,46,42,51,48,"TRANSCHEM.BO,GRANULES.NS,AUROPHARMA.NS,LUPIN.NS,BDH.BO,ISHITADR.BO,CRSTCHM.BO,SUDEEPPHRM.NS,SANDUPHQ.BO,CHEMKART.BO,CIPLA.NS,SOURCENTRL.BO,CORALAB.BO,AMRUTANJAN.NS,NATCAPSUQ.NS,LYKALABS.NS,KERALAYUR.BO"
69,Coal,Energy Minerals,45,23,48,54,"SOUTHWEST.NS,COALINDIA.NS,STRATMONT.BO,REFEX.NS,BHARATCOAL.NS"
70,Contract Drilling,Industrial Services,45,6,70,50,JINDRILL.NS
71,Gas Distributors,Utilities,45,57,47,54,"RAJSEC.BO,ATGL.NS,RUDRAGAS.BO,MGL.NS,PETRONET.NS,GAIL.NS,GSPL.NS,GUJGASLTD.NS,RCCL.BO,IGL.NS"
