Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
24,CUPID.NS,427.45,4956.67K,Consumer Non-Durables,Household/Personal Care,98.0,91.0,97.0,97.0,10037.39K,15950.00K,526.95,55.75,-18.88
27,TAKE.NS,42.05,678.52K,Technology Services,Information Technology Services,98.0,84.0,98.0,98.0,1899.94K,1171.80K,45.0,6.51,-6.56
41,SABTNL.NS,1800.8,62.61K,Consumer Services,Movies/Entertainment,97.0,85.0,98.0,96.0,77.94K,34.83K,2247.0,409.15,-19.86
46,HINDCOPPER.NS,613.65,35133.26K,Non-Energy Minerals,Other Metals/Minerals,97.0,92.0,97.0,97.0,36183.25K,72082.69K,760.05,183.82,-19.26
53,MAHASTEEL.NS,730.6,7.51K,Non-Energy Minerals,Steel,97.0,2.0,93.0,96.0,13.34K,2.88K,1032.0,185.0,-29.21
56,BGRENERGY.NS,338.05,208.99K,Industrial Services,Engineering & Construction,97.0,48.0,22.0,98.0,127.36K,137.85K,490.8,69.05,-31.12
58,NORBTEAEXP.NS,84.97,0.11K,Consumer Non-Durables,Food: Specialty/Candy,97.0,13.0,95.0,97.0,3.62K,1.65K,99.35,27.54,-14.47
65,VENUSREM.NS,773.9,23.19K,Health Technology,Pharmaceuticals: Major,97.0,71.0,97.0,92.0,95.40K,28.73K,839.95,277.95,-7.86
67,WAAREEINDO.NS,449.7,59.14K,Electronic Technology,Electronic Equipment/Instruments,96.0,20.0,92.0,,99.59K,45.24K,725.0,165.07,-37.97
71,INFOBEAN.NS,867.05,739.79K,Technology Services,Packaged Software,96.0,75.0,96.0,94.0,368.43K,801.58K,1030.0,270.55,-15.82
72,SILVERTUC.NS,1407.8,44.93K,Technology Services,Packaged Software,96.0,85.0,98.0,96.0,238.16K,59.81K,1690.2,610.0,-16.71
73,LUMAXTECH.NS,1528.0,283.66K,Producer Manufacturing,Auto Parts: Oem,96.0,38.0,95.0,91.0,273.91K,180.93K,1703.1,449.0,-10.28
76,MTARTECH.NS,3391.9,1123.29K,Electronic Technology,Aerospace & Defense,96.0,97.0,95.0,97.0,552.45K,1044.36K,3448.9,1155.6,-1.65
79,NATIONALUM.NS,374.9,9411.79K,Non-Energy Minerals,Aluminum,96.0,93.0,97.0,96.0,17000.48K,27816.05K,431.5,137.75,-13.12
84,KMEW.NS,1819.5,78.27K,Producer Manufacturing,Trucks/Construction/Farm Machinery,96.0,59.0,95.0,97.0,253.72K,172.78K,1959.3,632.02,-7.14
86,PFOCUS.NS,256.29,12405.28K,Consumer Services,Movies/Entertainment,96.0,91.0,96.0,95.0,6256.27K,6349.61K,267.5,85.0,-4.19
87,RMDRIP.NS,109.36,3524.39K,Producer Manufacturing,Industrial Machinery,96.0,97.0,95.0,94.0,2277.59K,7126.27K,109.47,33.1,-0.1
89,RELIABLE.NS,165.25,56.07K,Technology Services,Data Processing Services,96.0,86.0,92.0,97.0,49.78K,58.29K,175.0,63.15,-5.57
101,BHAGYANGR.NS,173.44,109.07K,Producer Manufacturing,Electrical Products,95.0,81.0,94.0,96.0,231.54K,186.90K,193.0,65.0,-10.13
102,MIRCELECTR.NS,34.0,3300.24K,Electronic Technology,Telecommunications Equipment,95.0,89.0,94.0,97.0,1160.43K,915.26K,36.0,11.06,-5.56
105,ARFIN.NS,75.33,1419.04K,Non-Energy Minerals,Aluminum,95.0,76.0,95.0,97.0,729.88K,1457.29K,84.01,31.43,-10.33
109,MCX.NS,2543.3,4064.95K,Finance,Investment Banks/Brokers,95.0,94.0,95.0,95.0,3425.86K,8211.06K,2705.0,881.63,-5.98
111,SALSTEEL.NS,41.27,96.88K,Non-Energy Minerals,Steel,95.0,46.0,83.0,97.0,120.14K,109.62K,45.12,14.37,-8.53
114,ATHERENERG.NS,696.05,2422.93K,Consumer Durables,Motor Vehicles,95.0,79.0,82.0,96.0,3077.78K,1799.55K,790.0,288.15,-11.89
115,RICOAUTO.NS,130.76,6176.55K,Producer Manufacturing,Auto Parts: Oem,95.0,72.0,97.0,96.0,9716.99K,2272.00K,142.4,54.0,-8.17
116,SOMATEX.NS,116.27,7.08K,Process Industries,Textiles,95.0,10.0,23.0,87.0,17.95K,6.80K,161.25,34.53,-27.89
119,FORCEMOT.NS,20069.0,53.12K,Consumer Durables,Motor Vehicles,95.0,54.0,87.0,85.0,66.51K,55.63K,21990.0,6200.5,-8.74
124,LUMAXIND.NS,5291.5,33.82K,Producer Manufacturing,Auto Parts: Oem,95.0,38.0,85.0,91.0,24.45K,12.03K,5878.0,2100.05,-9.98
125,MEGASOFT.NS,180.53,157.91K,Technology Services,Information Technology Services,95.0,22.0,28.0,94.0,123.18K,87.41K,231.0,49.06,-21.85
126,KAPSTON.NS,410.8,16.61K,Commercial Services,Miscellaneous Commercial Services,95.0,97.0,96.0,94.0,33.62K,67.37K,433.5,190.0,-5.24
129,ASHOKLEY.NS,200.92,22137.99K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,89.0,96.0,95.0,18013.84K,17643.41K,205.19,95.93,-2.08
132,BORANA.NS,389.25,90.81K,Process Industries,Textiles,94.0,97.0,97.0,95.0,215.41K,107.45K,404.9,211.0,-3.87
134,IMFA.NS,1323.7,291.82K,Non-Energy Minerals,Other Metals/Minerals,94.0,31.0,86.0,96.0,323.07K,177.60K,1510.6,549.8,-12.37
135,APEX.NS,376.2,10912.38K,Consumer Non-Durables,Food: Meat/Fish/Dairy,94.0,96.0,97.0,94.0,1433.14K,2130.62K,402.5,186.55,-6.53
136,ROSSTECH.NS,777.8,1365.99K,Electronic Technology,Telecommunications Equipment,94.0,96.0,92.0,90.0,301.71K,439.50K,840.0,231.15,-7.4
139,MCL.NS,79.29,40.94K,Non-Energy Minerals,Other Metals/Minerals,94.0,56.0,97.0,94.0,250.19K,153.17K,93.2,39.6,-14.92
140,SHARDACROP.NS,1143.5,614.27K,Distribution Services,Wholesale Distributors,94.0,97.0,96.0,74.0,593.90K,2089.51K,1200.5,452.25,-4.75
