Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
19,CUPID.NS,486.6,4796.30K,Consumer Non-Durables,Household/Personal Care,98.0,97.0,98.0,98.0,3804.61K,4159.65K,493.25,55.75,-1.35
21,TAKE.NS,38.31,1042.19K,Technology Services,Information Technology Services,98.0,95.0,98.0,98.0,1748.91K,2395.13K,39.99,6.51,-4.2
36,WAAREEINDO.NS,542.15,231.23K,Electronic Technology,Electronic Equipment/Instruments,97.0,52.0,,,163.11K,78.20K,725.0,165.07,-25.22
37,MAHASTEEL.NS,923.55,29.86K,Non-Energy Minerals,Steel,97.0,96.0,98.0,97.0,44.50K,11.46K,950.0,179.53,-2.78
47,BGRENERGY.NS,339.15,78.08K,Industrial Services,Engineering & Construction,97.0,3.0,95.0,97.0,211.97K,120.34K,490.8,69.05,-30.9
52,SOMATEX.NS,134.92,52.51K,Process Industries,Textiles,97.0,89.0,97.0,97.0,25.37K,11.05K,161.25,34.53,-16.33
58,NORBTEAEXP.NS,86.63,3.56K,Consumer Non-Durables,Food: Specialty/Candy,97.0,94.0,96.0,97.0,2.82K,3.59K,86.63,22.3,0.0
84,STALLION.NS,233.01,514.10K,Distribution Services,Wholesale Distributors,96.0,96.0,86.0,97.0,1893.83K,356.12K,423.8,60.0,-45.02
86,IFBAGRO.NS,1346.2,18.54K,Consumer Non-Durables,Beverages: Alcoholic,96.0,64.0,96.0,95.0,80.57K,23.43K,1640.0,440.0,-17.91
87,VENUSREM.NS,760.6,44.54K,Health Technology,Pharmaceuticals: Major,96.0,83.0,96.0,93.0,98.73K,37.62K,839.9,270.25,-9.44
88,MEGASOFT.NS,194.82,129.11K,Technology Services,Information Technology Services,96.0,53.0,91.0,95.0,226.93K,90.07K,231.0,49.06,-15.66
105,INFOBEAN.NS,791.9,167.85K,Technology Services,Packaged Software,95.0,96.0,96.0,96.0,126.49K,336.87K,853.4,270.55,-7.21
109,CURAA.NS,110.0,0.20K,Technology Services,Information Technology Services,95.0,22.0,0.0,13.0,0.91K,0.18K,337.0,24.43,-67.36
110,JAYNECOIND.NS,86.19,24248.57K,Non-Energy Minerals,Steel,95.0,94.0,91.0,96.0,7568.21K,6499.84K,87.72,28.0,-1.74
112,ATHERENERG.NS,717.2,1077.04K,Consumer Durables,Motor Vehicles,95.0,71.0,93.0,96.0,4060.44K,2324.74K,790.0,288.15,-9.22
115,ASHAPURMIN.NS,891.95,1188.42K,Non-Energy Minerals,Other Metals/Minerals,95.0,96.0,93.0,96.0,812.55K,1256.81K,918.0,301.6,-2.84
123,SALSTEEL.NS,41.7,34.12K,Non-Energy Minerals,Steel,95.0,67.0,95.0,97.0,137.08K,162.04K,44.23,14.37,-5.72
125,BHAGYANGR.NS,160.88,467.23K,Producer Manufacturing,Electrical Products,95.0,91.0,96.0,95.0,343.03K,85.82K,167.4,65.0,-3.89
