Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,96,39,1,8,RRFIN.BO
2,Cable/Satellite Tv,Consumer Services,93,49,92,92,NDLVENTURE.NS
3,Real Estate Investment Trusts,Finance,78,52,73,74,"FUNDVISER.BO,ANNAINFRA.BO,INDUSINVIT.BO,MINDSPACE.BO,EMBASSY.BO,NXST.BO,BIRET.BO,KRT.BO"
4,Drugstore Chains,Retail Trade,76,58,79,84,MEDPLUS.NS
5,Precious Metals,Non-Energy Minerals,72,50,68,56,"MIDWEST.BO,DECNGOLD.BO"
6,Motor Vehicles,Consumer Durables,71,44,54,67,"ATHERENERG.NS,ZELIO.BO,FORCEMOT.NS,SMLMAH.NS,TMCV.NS,TVSMOTOR.NS,ATLASCYCLE.NS,EICHERMOT.NS,HEROMOTOCO.NS,ATULAUTO.NS,M&M.NS,OLECTRA.NS,SANDHAR.NS,SEVL.BO,MARUTI.NS,TMPV.NS,HYUNDAI.NS"
7,Biotechnology,Health Technology,71,50,71,73,"TITANBIO.BO,RUBICON.NS,AKUMS.NS,ANL.BO,ANTHEM.NS,FERMENTA.BO,HALEOSLABS.NS,FABTECH.NS"
8,Computer Communications,Electronic Technology,71,83,41,76,KERNEX.NS
9,Aluminum,Non-Energy Minerals,69,64,52,74,"HRS.BO,ARFIN.NS,NATIONALUM.NS,VEDL.NS,HINDALUMI.BO,MAANALU.NS,ALUFLUOR.BO,ORIENTCER.NS,EUROBOND.NS,SUDAI.BO,SAMPAT.BO"
10,Major Banks,Finance,68,30,54,74,"INDIANB.NS,FEDERALBNK.NS,RBLBANK.NS,UNIONBANK.NS,MAHABANK.NS,SOUTHBANK.NS,AXISBANK.NS,CANBK.NS,BANKINDIA.NS,BANDHANBNK.NS,BANKBARODA.NS,INDUSINDBK.NS,PNB.NS,CSBBANK.NS,CENTRALBK.NS,IOB.NS,KOTAKBANK.NS,HDFCBANK.NS,IDBI.NS"
11,Investment Trusts,Miscellaneous,67,51,64,65,"GROWW.NS,CUBEINVIT.BO,ANZEN.BO,RIIT.BO,MIT.BO,ANANTAM.BO,ENERGYINF.BO,SUMMITSEC.NS"
12,Beverages: Non-Alcoholic,Consumer Non-Durables,66,37,55,74,"VALENCIA.BO,ORIBEVER.BO,VBL.NS"
13,Alternative Power Generation,Utilities,64,65,64,62,"UEL.NS,SUGSLLOYD.BO,POWERGRID.NS,NTPCGREEN.NS,CLEANMAX.NS,WAAREERTL.NS,RELTD.NS,INOXGREEN.NS,KPIGREEN.NS,KPEL.NS"
14,Computer Peripherals,Electronic Technology,64,32,55,33,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
15,Medical Distributors,Distribution Services,63,63,55,62,"APPL.BO,GUJINJEC.BO,BIJHANS.BO,RAMAVISION.BO,CHECKPOINT.BO,SPML.BO,ENTERO.NS,APL.BO,ROYAL.BO,EVERESTO.BO,CBPL.BO"
16,Life/Health Insurance,Finance,63,29,54,65,"CANHLIFE.NS,STARHEALTH.NS,MFSL.NS,SBILIFE.NS,NIVABUPA.NS,LICI.NS,BAJAJFINSV.NS,ICICIPRULI.NS"
17,Regional Banks,Finance,63,46,53,65,"TMB.NS,KTKBANK.NS,DCBBANK.NS,UJJIVANSFB.NS,KARURVYSYA.NS,AUBANK.NS,SBIN.NS,J&KBANK.NS,CUB.NS,JAGSONSER.BO,MONEYBOXX.NS,EQUITASBNK.NS,SURYODAY.NS,ICICIBANK.NS,CAPITALSFB.NS,CMBL.BO,IDFCFIRSTB.NS,JSFB.NS,EMERALD.BO,DAMCAPITAL.NS,FINOPB.NS"
18,Pharmaceuticals: Generic,Health Technology,62,58,57,68,"NUTRICIRCLE.BO,JAGSNPHARM.NS,ZIMLAB.NS,DENISCHEM.BO"
19,Marine Shipping,Transportation,61,45,53,63,"GESHIP.NS,DREDGECORP.NS,COASTCORP.NS,PPARIVAH.BO,GPPL.NS,GLOTTIS.NS,TRANSWORLD.NS"
20,Integrated Oil,Energy Minerals,61,40,52,59,"GNRL.BO,ANTELOPUS.NS,HINDOILEXP.NS,IOC.NS,IRMENERGY.NS"
21,Electronic Equipment/Instruments,Electronic Technology,61,45,52,55,"WAAREEINDO.NS,CNCRD.BO,POWERINDIA.NS,APARINDS.NS,NAGPI.BO,APLABPP.BO,DIGILOGIC.BO,APLAB.BO,NITIRAJ.NS,DENORA.NS,TVSELECT.NS,SHRADDHA.BO,GENUSPOWER.NS,SPECTRUM.NS,JGTL.BO,HINDHARD.BO,HONAUT.NS,HPL.NS,WEL.NS"
22,Specialty Insurance,Finance,60,40,61,69,"GICRE.NS,ICICIGI.NS"
23,Multi-Line Insurance,Finance,59,43,48,58,"ABCAPITAL.NS,NIACL.NS,GODIGIT.NS,RELIGARE.NS,HDFCLIFE.NS"
24,Other Metals/Minerals,Non-Energy Minerals,59,47,48,63,"SCBL.BO,RAPICUT.BO,PARMESHWAR.BO,HINDCOPPER.NS,IMFA.NS,VIDYAWIRES.NS,HINDALCO.NS,JAINREC.NS,POCL.NS,NMDC.NS,HINDZINC.NS,SBCL.NS,MCL.NS,SANDUMA.NS,NILE.BO,SERA.BO,MIDHANI.NS,ASHAPURMIN.NS,MAITHANALL.NS,GRAVITA.NS,CHROME.BO,COCHINM.BO,CUBEXTUB.NS,INDSILHYD.BO,MMP.NS,NRL.NS,MOIL.NS,ZODJRDMKJ.BO,SOUTHMG.BO,SHARVAYA.BO,SIYARAM.BO"
25,Auto Parts: Oem,Producer Manufacturing,58,44,50,54,"AMS.BO,LUMAXTECH.NS,SANSERA.NS,BELRISE.NS,RACLGEAR.NS,SHRIPISTON.NS,CUMMINSIND.NS,BHARATSE.NS,LUMAXIND.NS,SJS.NS,WHEELS.NS,GNA.NS,RICOAUTO.NS,SONACOMS.NS,JAMNAAUTO.NS,UNIPARTS.NS,TVSHLTD.NS,DIVGIITTS.NS,CIEINDIA.NS,SEDEMAC.NS,MOTHERSON.NS,FIEMIND.NS,TENNIND.NS,JAYUSH.BO,EMMFORCE.BO,PRICOLLTD.NS,CARRARO.NS,OMAXAUTO.NS,ACGL.BO,BOSCHLTD.NS,GABRIEL.NS,ZFCVINDIA.NS,HIMTEK.BO,SWARAJENG.NS,JMA.NS,GSAUTO.BO,PPAP.NS,SSWL.NS,INDNIPPON.NS,SHANTIGEAR.NS,MUNJALAU.NS,KALYANIFRG.NS,JBMA.NS,KROSS.NS,NRBBEARING.NS,MUNJALSHOW.NS,PORWAL.BO,VARROC.NS,UNOMINDA.NS,RML.NS,AUTOAXLES.NS,SUPRAJIT.NS,SNL.BO,SAMKRG.BO,MENNPIS.BO,HINDCOMPOS.NS,ASKAUTOLTD.NS,MINDACORP.NS,ASAL.NS,MSUMI.NS,KINETICENG.BO,ESCORTS.NS,BIMETAL.BO,SKFINDUS.NS,EXIDEIND.NS,HITECHGEAR.NS,SHARDAMOTR.NS,NDRAUTO.NS,AUTOIND.NS,MACPLASQ.BO,ZFSTEERING.BO,ISTLTD.BO,ALICON.NS,SUNDRMBRAK.NS,SUNDRMFAST.NS,SUNCLAY.NS,ENKEIWHEL.BO,PRECAM.NS,SALAUTO.BO,UCAL.NS,SINTERCOM.NS,REMSONSIND.NS,KRANTI.BO,RANEHOLDIN.NS,JAGANLAM.BO,IGARASHI.NS"
26,Electronic Components,Electronic Technology,58,50,52,51,"CENTUM.NS,NWIL.BO,ELPROINTL.BO,INCAP.BO,UNIVCABLES.NS,HEG.NS,BCCFUBA.BO,FINELINE.BO,GUJARATPOLY.BO,PANELEC.BO,MEIL.NS"
27,Medical Specialties,Health Technology,57,55,54,53,"HSIL.BO,CHOKSI.BO,SDL.BO,LENSKART.NS,GKB.BO,SHREEPAC.BO,KMSMEDI.BO,RAAJMEDI.BO,NURECA.NS,SETL.NS,CSURGSU.BO,PREVEST.BO,EARKART.BO,MICEL.NS,POLYMED.NS,VOEPL.BO"
28,Electrical Products,Producer Manufacturing,57,57,58,53,"MODINSU.BO,BHAGYANGR.NS,PRECWIRE.NS,GVT&D.NS,GVTD.BO,YASHHV.BO,TDPOWERSYS.NS,CLENON.BO,HIIL.BO,QPOWER.NS,KIRLOSENG.NS,ATLANTAELE.NS,COSPOWER.BO,KSHINTL.NS,RISHABH.NS,ADVAIT.NS,CYBELEIND.BO,ABB.NS,HIRECT.NS,VOLTAMP.NS,ACCORDTS.BO,LGBBROSLTD.NS,KEI.NS,SHILCTECH.NS,SWITCHTE.BO,DEL.BO,RNITAI.BO,BHEL.NS,POLYCAB.NS,MARSONS.NS,CGPOWER.NS,RAMRAT.NS,RMC.NS,RRKABEL.NS,JDCABLES.BO,SIEMENS.NS,DIACABS.NS,INDOSMC.BO,HBLENGINE.NS,ESABINDIA.NS,ENRIN.NS,FINCABLES.NS,KECL.NS,S&SPOWER.NS,BIRLACABLE.NS,INTEGSW.BO,BONLON.NS,HIGHENE.BO,SWELECTES.NS,PANCARBON.BO,ALFATRAN.BO,LAKSELEC.BO,HONDAPOWER.NS,CALCOM.BO,PROSTARM.NS,VGUARD.NS,WSI.NS,EVEREADY.NS,VETO.NS,CORDSCABLE.NS,STDBAT.BO,STARDELTA.BO,EPIC.BO,BBL.NS,CLN.BO,HAVELLS.NS,DYCL.NS,PARACABLES.NS,NDMETAL.BO,PANAENERG.BO,KAYCEEI.BO,SUZLON.NS,EXICOM.NS,INDOTECH.NS,PLAZACABLE.NS,SERVOTECH.NS,DCXINDIA.NS,NIPPOBATRY.NS,FOCUS.NS,JSLINDL.BO,RTSPOWR.BO,ELECON.NS,ARE&M.NS,QUADFUTURE.NS,SALZERELEC.NS,TARIL.NS,JYOTI.BO,IKIO.NS,INOXWIND.NS,DLTNCBL.BO,URAVIDEF.NS"
29,Hospital/Nursing Management,Health Services,57,43,53,50,"ASARFI.BO,PARKHOSPS.NS,YATHARTH.NS,KMCSHIL.BO,HANNAH.BO,ASTERDM.NS,APOLLOHOSP.NS,GKSL.NS,KIMS.NS,CMMHOSP.BO,FORTIS.NS,SHARMEH.BO,NH.NS,KOVAI.BO,RAINBOW.NS,GPTHEALTH.NS,INDRAMEDCO.NS,HCG.NS,NGIND.BO,ARTEMISMED.NS,MAXHEALTH.NS,JLHL.NS,MEDANTA.NS,FORTISMLR.BO,SHALBY.NS,AASHKA.BO"
30,Office Equipment/Supplies,Producer Manufacturing,57,54,49,62,"FLAIR.NS,WSTCSTPAPR.NS,DOMS.NS,NAVNETEDUL.NS,EUROPRATIK.NS"
31,Metal Fabrication,Producer Manufacturing,56,55,57,57,"BELDING.BO,SATANIBRG.BO,OMNI.NS,CARNATIN.BO,PRADPME.BO,BHARATFORG.NS,HAPPYFORGE.NS,SIMPLEXCAS.BO,FRONTSP.BO,ALPHAIND.BO,SIMMOND.BO,MMFL.NS,AUTOPINS.BO,INVPRECQ.BO,SHIVAUM.NS,KVFORGE.BO,AZAD.NS,USHAMART.NS,KENNAMET.BO,TEMBO.NS,UNIABEXAL.BO,RAJRATAN.NS,MENONBE.NS,SCHAEFFLER.NS,ROLCOEN.BO,AMIC.BO,NATFIT.BO,ROLEXRINGS.NS,TIIL.NS,SYSTEMATIC.BO,ENDURANCE.NS,CTCL.BO,SHYAMMETL.NS,MAGNAELQ.BO,GALAPREC.NS,GALAGEX.BO,HARSHA.NS,PTCIL.NS,DPWIRES.NS,RKFORGE.NS,BHARATWIRE.NS,SHREMETAL.BO,KPGEL.BO,AEL.BO,AUSTENG.BO,SKIPPER.NS,DELTAMAGNT.NS,BOMBWIR.BO,SWASTIKAAL.BO,STERTOOLS.NS,VISHALBL.BO,GALXBRG.BO,JYOTICNC.NS,BANGANGA.BO,COSMOFE.BO,RELICAB.BO,GTIL.BO,SKFINDIA.NS,STAL.BO,NARMADESH.BO"
32,Other Consumer Specialties,Consumer Durables,56,42,52,60,"RETAGGIO.BO,GKL.BO,THANGAMAYL.NS,GOLKUNDIA.BO,SKRABUL.BO,SJCORP.BO,SONAMLTD.NS,SILGO.NS,TITAN.NS,SKYGOLD.NS,SWARNSAR.BO,AJCJEWEL.BO,TIMEX.BO,KOURA.BO,RBZJEWEL.NS,SENCO.NS,GOLDIAM.NS,VAIBHAVGBL.NS,SHRINGARMS.NS,KDDL.NS,PNGSREVA.NS,UDAYJEW.BO,RGL.NS,VIPIND.NS,EY.BO,BANARBEADS.NS,SHANTIGOLD.NS,LGHL.NS,RADHIKAJWE.NS,TBZ.NS,SAFARI.NS,RAJESHEXPO.NS,LUXURY.BO"
33,Steel,Non-Energy Minerals,56,55,55,53,"MSCTC.BO,MAHASTEEL.NS,SALSTEEL.NS,JAYNECOIND.NS,STEELCAS.NS,PANCHMAHQ.BO,MWL.NS,NATGENI.BO,REMIEDEL.BO,GPIL.NS,GALLANTT.NS,MPKSTEELS.BO,BGWTATO.BO,SAIL.NS,IMEC.BO,UMIYA.BO,JINDALSTEL.NS,TATASTEEL.NS,NCML.BO,SAMBHV.NS,COCKERILL.BO,NELCAST.NS,SARDAEN.NS,APLAPOLLO.NS,GANDHITUBE.NS,LLOYDSME.NS,RSL.NS,TALBROSENG.BO,VASWANI.NS,JSWSTEEL.NS,GOODLUCK.NS,MAIDEN.BO,KANSHST.BO,MUKANDLTD.NS,JSL.NS,RATNAVEER.NS,KIOCL.NS,SHAHALLOYS.NS,WELSPLSOL.BO,SGIL.NS,MAHSEAMLES.NS,JINDALSAW.NS,GUJINTRX.BO,TIINDIA.NS,NSLNISP.NS,CREATIVE.BO,VENUSPIPES.NS,VSSL.NS,JTLIND.NS,VRUDDHI.BO,RATNAMANI.NS,GARGFUR.BO,SUNFLAG.NS,ELECTCAST.NS,SCODATUBES.NS,MANAKSTEEL.NS,BLOIN.BO,MANAKCOAT.NS,PRAKASH.NS,RISHDIGA.BO,BEEKAY.BO,SURAJLTD.NS,VRAJ.NS,NEETUYOSHI.BO,HITECH.NS,SHBAJRG.BO,KSL.NS,SURAJ.BO,BEDMUTHA.NS,BANSALWIRE.NS,KVSCASTING.BO,UNIAUTO.BO,MANAKSIA.NS,KIRLOSIND.NS,METALCO.BO,VSTL.NS,HISARMETAL.NS,PENIND.NS,SURYAROSNI.NS,SUPERSHAKT.BO,CHENFERRO.BO,KIRLFER.BO,ORISSAMINE.NS,AZADIND.BO,ELECTHERM.NS,HARIOMPIPE.NS,SMLT.NS,JAIBALAJI.NS,COSMICCRF.BO,SHRDAIS.BO,VMSTMT.NS,STEELCO.BO"
34,Investment Managers,Finance,56,53,52,54,"ANANDRATHI.NS,DHARNI.BO,ICICIAMC.NS,PHOTON.BO,JPOLYINVST.NS,MIIL.BO,ESCORP.BO,HDFCAMC.NS,AFSL.NS,LADDERUP.BO,PRUDENT.NS,NUVAMA.NS,WEALTH.NS,CREST.NS,360ONE.NS,NAHARCAP.NS,VGCL.BO,VHL.NS,BLAL.NS,CRAMC.NS,EMKAY.NS,UTIAMC.NS,CMSINFO.NS,MEDIASSIST.NS,SRAMSET.BO"
35,Automotive Aftermarket,Consumer Durables,55,41,44,57,"TVSSRICHAK.NS,TRITONV.BO,JKTYRE.NS,CEATLTD.NS,MODIRUBBER.NS,DOLFIN.BO,MRF.NS,BALKRISIND.NS,APOLLOTYRE.NS,JTEKTINDIA.NS,GOODYEAR.BO,BENGALASM.BO,TOLINS.NS"
36,Telecommunications Equipment,Electronic Technology,55,49,58,48,"ROSSTECH.NS,VALIANT.BO,DCI.NS,HFCL.NS,ADCINDIA.BO,ASTRAMICRO.NS,AVANTEL.NS,DLINKINDIA.NS,PUNJCOMMU.BO,SMARTLINK.NS,KAVDEFENCE.NS,TEJASNET.NS,PRECISIO.BO,SALORAINTL.BO,BPL.NS"
37,Aerospace & Defense,Electronic Technology,55,38,61,51,"MTARTECH.NS,BEL.NS,KRISHNADEF.NS,PARAS.NS,AEQUS.NS,SIKA.BO,IDEAFORGE.NS,HAL.NS,ROSSELLIND.NS,BDL.NS,TANAA.BO,DRONACHRYA.BO"
38,Medical/Nursing Services,Health Services,54,47,43,48,"JSTL.BO,GAUDIUMIVF.NS,NEPHROPLUS.NS,LOTUSEYE.NS,THYROCARE.NS,DRAGARWQ.BO,METROPOLIS.NS,VIJAYA.NS,LALPATHLAB.NS,SURAKSHA.NS,AGARWALEYE.NS,JSLL.NS,ASPIRA.BO,MAXIND.NS,KRSNAA.NS,LAXMIDENTL.NS,STARIMAGIN.BO"
39,Semiconductors,Electronic Technology,54,81,59,28,"INA.NS,GRERENEW.BO,WAAREEENER.NS,PREMIERENE.NS,EMMVEE.NS,METSL.BO,UTLSOLAR.NS,SPELS.BO,MOSCHIP.NS,ADTECH.BO,WEBELSOLAR.NS,VIKRAMSOLR.NS,SOLARIUM.BO,RIR.BO"
40,Electronics/Appliances,Consumer Durables,54,41,64,48,"APIL.BO,UNIVPHOTO.NS,CPPLUS.NS,INFLAME.BO,SINGERIND.NS,KHAITANLTD.NS,BUTTERFLY.NS,LGEINDIA.NS,STOVEKRAFT.NS,ORIENTELEC.NS,SHARP.BO,WHIRLPOOL.NS,GORANIN.BO,BAJAJELEC.NS,IFBIND.NS"
