Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1081,VLSFINANCE.NS,265.15,270.35,16.08K,Finance,Investment Banks/Brokers,69.0,69.0,72.0,38.0,8.3679,8.1393,15.75K,13.67K,339.0,198.81,8.32B,No,258.38,251.29,254.26,253.9,246.03,498
1082,INTSTOIL.BO,38.74,39.18,35.39K,Transportation,Trucking,69.0,52.0,69.0,73.0,4.1693,4.0,3.55K,1.12K,47.79,28.0,193.40M,No,39.2,39.73,34.67,39.96,35.26,495
1083,AARNAV.NS,32.91,33.15,35.01K,Finance,Investment Banks/Brokers,69.0,,,,2.0893,2.0636,123.49K,66.12K,37.4,21.0,,No,,,,,,17
1084,GANGAPA.BO,98.0,94.0,0.20K,Process Industries,Pulp & Paper,69.0,87.0,78.0,68.0,2.4314,1.6693,0.09K,0.03K,104.9,61.93,1.06B,No,95.15,79.49,80.31,82.52,78.52,497
1085,KCPSUGIND.NS,30.27,30.54,239.76K,Process Industries,Agricultural Commodities/Milling,69.0,96.0,73.0,79.0,2.4929,2.4671,468.87K,466.96K,36.95,21.45,3.46B,No,28.4,24.84,25.26,25.21,24.38,496
1086,MACH.BO,94.0,83.0,1.50K,Consumer Services,Hotels/Resorts/Cruise Lines,69.0,82.0,62.0,60.0,3.5829,2.0571,1.23K,1.05K,98.55,65.0,597.50M,No,83.58,85.13,83.79,84.94,83.98,498
1087,TEXINFRA.NS,111.08,111.09,73.80K,Utilities,Electric Utilities,69.0,39.0,69.0,64.0,2.7571,2.7571,143.38K,170.50K,118.0,82.5,14.15B,No,113.31,109.99,101.16,110.32,100.82,499
1088,HTMEDIA.NS,26.51,26.74,88.02K,Consumer Services,Publishing: Newspapers,69.0,63.0,79.0,70.0,1.6479,1.6086,239.80K,652.52K,31.3,17.52,6.13B,No,26.13,24.42,23.27,24.69,22.71,496
1089,SAMMAANCAP.NS,161.83,160.79,10038.87K,Finance,Finance/Rental/Leasing,69.0,45.0,70.0,60.0,4.2707,4.2393,15314.55K,5541.22K,192.95,116.7,185.89B,No,162.36,168.18,155.94,167.26,156.16,500
1090,BPLPHARMA.BO,1360.6,1384.6,1.19K,Health Technology,Pharmaceuticals: Major,69.0,35.0,62.0,85.0,66.5964,62.9714,1.65K,0.98K,1559.9,880.25,9.38B,No,1435.65,1390.54,1208.53,1385.02,1223.51,495
1091,DHANCOT.BO,146.4,139.45,0.10K,Finance,Investment Banks/Brokers,69.0,95.0,76.0,85.0,3.2821,1.4143,0.02K,0.03K,215.9,66.85,713.17M,No,121.47,113.85,116.05,115.59,106.78,496
