Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
580,ADVLIFE.BO,30.5,0.05K,Producer Manufacturing,Industrial Machinery,81.0,77.0,88.0,83.0,0.98K,0.51K,34.0,20.05,189.89M,No
581,ANURAS.NS,1361.4,170.55K,Health Technology,Pharmaceuticals: Major,81.0,74.0,56.0,87.0,296.30K,471.28K,1415.0,931.5,154.99B,No
588,UNITEDTEA.NS,539.2,1.01K,Consumer Non-Durables,Food: Specialty/Candy,80.0,47.0,73.0,88.0,5.40K,1.17K,590.0,403.7,2.69B,No
591,SCANSTL.NS,40.13,116.94K,Non-Energy Minerals,Steel,80.0,,,,65.06K,91.43K,41.65,31.35,,No
595,CGPOWER.NS,819.4,2055.10K,Producer Manufacturing,Electrical Products,80.0,74.0,84.0,78.0,3414.84K,5166.83K,886.8,525.5,1290.52B,No
600,RNITAI.BO,67.13,37.15K,Producer Manufacturing,Electrical Products,80.0,76.0,90.0,,150.37K,118.14K,78.9,37.0,5.02B,No
604,LACTOSE.BO,120.35,13.76K,Health Technology,Pharmaceuticals: Major,80.0,93.0,83.0,78.0,7.31K,8.21K,136.7,76.01,1.52B,No
605,LLOYDSENGG.NS,68.44,8240.49K,Industrial Services,Engineering & Construction,80.0,93.0,87.0,83.0,8381.62K,18748.72K,84.27,37.4,97.55B,No
608,PKTEA.NS,825.0,0.02K,Process Industries,Agricultural Commodities/Milling,80.0,82.0,69.0,86.0,0.30K,0.64K,1013.9,567.2,2.55B,No
609,BODALCHEM.NS,68.87,118.35K,Process Industries,Industrial Specialties,80.0,62.0,93.0,81.0,469.90K,439.71K,81.49,42.81,8.67B,No
610,HMT.NS,57.75,7.72K,Producer Manufacturing,Industrial Machinery,80.0,16.0,91.0,74.0,26.95K,11.96K,75.49,41.0,69.54B,No
