Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
27,EASTINDIA.BO,100.15,1.34K,Process Industries,Containers/Packaging,98.0,6.0,25.0,27.0,3.47K,0.98K,148.0,46.2,1.48B,No
39,JETMALL.BO,52.61,36.00K,Distribution Services,Food Distributors,97.0,98.0,94.0,98.0,14.69K,22.20K,55.02,8.51,315.29M,No
54,BIZOTIC.BO,848.0,0.80K,Consumer Non-Durables,Apparel/Footwear,97.0,16.0,11.0,89.0,7.03K,8.56K,1053.0,110.2,8.18B,No
71,DEEDEV.NS,498.4,437.42K,Producer Manufacturing,Industrial Machinery,96.0,95.0,98.0,97.0,5414.55K,654.34K,511.0,183.0,34.52B,No
82,VEL.BO,49.63,12.54K,Distribution Services,Wholesale Distributors,96.0,77.0,76.0,89.0,26.47K,9.44K,55.99,13.0,1.17B,No
85,OMAXAUTO.NS,216.36,107.51K,Producer Manufacturing,Auto Parts: Oem,96.0,98.0,97.0,97.0,203.29K,973.50K,240.0,82.91,4.64B,No
97,TDPOWERSYS.NS,1184.0,710.72K,Producer Manufacturing,Electrical Products,96.0,92.0,95.0,92.0,1151.61K,1165.91K,1289.2,453.1,184.97B,No
103,VENUSREM.NS,937.7,21.64K,Health Technology,Pharmaceuticals: Major,95.0,7.0,87.0,97.0,53.75K,47.10K,1088.8,314.55,12.55B,No
106,VIDYAWIRES.NS,98.33,8147.90K,Non-Energy Minerals,Other Metals/Minerals,95.0,96.0,97.0,,5376.96K,7482.14K,102.6,42.51,20.91B,No
109,SUBAM.BO,224.4,16.00K,Process Industries,Pulp & Paper,95.0,90.0,86.0,94.0,16.67K,20.88K,244.0,70.77,5.22B,No
125,JAYNECOIND.NS,106.23,3324.08K,Non-Energy Minerals,Steel,95.0,88.0,92.0,92.0,6205.30K,6097.40K,117.0,34.9,103.15B,No
127,GARNET.BO,83.51,6.93K,Finance,Real Estate Development,95.0,27.0,45.0,89.0,15.13K,7.26K,116.0,24.9,1.16B,No
142,SCANPRO.BO,128.85,0.00K,Industrial Services,Engineering & Construction,94.0,49.0,95.0,94.0,0.76K,1.08K,136.4,59.3,370.22M,No
147,VALIANT.BO,1103.25,11.29K,Electronic Technology,Telecommunications Equipment,94.0,72.0,66.0,90.0,12.07K,14.83K,1160.0,392.0,12.90B,No
167,GVTD.BO,4338.45,64.25K,Producer Manufacturing,Electrical Products,93.0,57.0,83.0,91.0,31.70K,41.45K,4410.0,1252.85,,No
169,KESAR.BO,1249.0,10.00K,Finance,Real Estate Development,93.0,49.0,67.0,94.0,11.38K,11.60K,1287.4,530.0,37.51B,No
170,WELINV.NS,1726.3,0.53K,Finance,Investment Banks/Brokers,93.0,94.0,90.0,93.0,0.80K,1.65K,1953.0,784.0,6.33B,No
172,SGMART.NS,603.05,326.36K,Utilities,Electric Utilities,93.0,72.0,96.0,95.0,364.97K,640.84K,618.0,313.1,75.98B,No
176,ELPROINTL.NS,164.16,125.29K,Electronic Technology,Electronic Components,93.0,,,,399.59K,620.52K,170.7,86.0,27.82B,No
180,INDOKEM.BO,573.55,3.03K,Process Industries,Industrial Specialties,93.0,78.0,6.0,26.0,6.60K,9.13K,930.0,178.0,16.00B,No
184,GVT&D.NS,4337.8,257.62K,Producer Manufacturing,Electrical Products,93.0,57.0,83.0,91.0,682.84K,674.55K,4849.0,1730.2,1110.68B,No
185,IMFA.NS,1500.0,210.43K,Non-Energy Minerals,Other Metals/Minerals,93.0,64.0,74.0,85.0,195.42K,300.89K,1679.9,610.85,80.93B,No
190,SAKAR.NS,599.8,126.64K,Health Technology,Pharmaceuticals: Major,93.0,21.0,91.0,95.0,142.65K,262.08K,661.95,305.05,13.17B,No
206,ARIS.NS,144.53,596.30K,Technology Services,Packaged Software,92.0,91.0,97.0,,1341.48K,2002.83K,159.0,82.18,11.82B,No
211,PURPLEFIN.BO,69.98,147.91K,Finance,Finance/Rental/Leasing,92.0,84.0,87.0,95.0,69.67K,77.70K,75.1,33.0,4.12B,No
212,GLOBAL.NS,105.95,70.84K,Commercial Services,Miscellaneous Commercial Services,92.0,52.0,85.0,93.0,130.40K,204.20K,121.9,55.3,5.39B,No
216,BHASKAGR.BO,165.7,0.56K,Process Industries,Chemicals: Agricultural,92.0,30.0,86.0,95.0,3.27K,1.44K,199.9,70.03,863.24M,No
220,BGRENERGY.NS,264.75,41.75K,Industrial Services,Engineering & Construction,92.0,1.0,7.0,7.0,105.95K,123.79K,490.8,94.0,19.10B,No
236,THERMAX.NS,4597.7,235.52K,Producer Manufacturing,Industrial Machinery,91.0,84.0,96.0,92.0,279.98K,689.62K,4880.0,2742.7,517.92B,No
238,BHARATFORG.NS,1948.9,1194.67K,Producer Manufacturing,Metal Fabrication,91.0,65.0,85.0,93.0,1566.32K,2177.97K,2044.0,1100.5,931.75B,No
251,NITINSPIN.NS,501.95,238.00K,Process Industries,Textiles,91.0,90.0,94.0,94.0,841.68K,445.44K,544.95,302.2,28.22B,No
260,RISHABH.NS,488.25,68.17K,Producer Manufacturing,Electrical Products,90.0,60.0,71.0,87.0,109.77K,144.95K,548.8,270.2,18.82B,No
278,STAR.NS,1155.4,121.71K,Health Technology,Pharmaceuticals: Major,90.0,80.0,90.0,85.0,277.70K,331.96K,1231.0,654.4,106.50B,No
287,VGCL.BO,55.51,1.99K,Finance,Investment Managers,90.0,97.0,95.0,90.0,17.16K,11.88K,58.9,28.1,1.27B,No
301,ABSLAMC.NS,1068.2,379.75K,Technology Services,Internet Software/Services,89.0,57.0,89.0,90.0,613.67K,536.72K,1123.5,676.6,308.81B,No
309,SEDEMAC.NS,2002.9,135.76K,Producer Manufacturing,Auto Parts: Oem,89.0,87.0,,,301.85K,263.68K,2132.0,1413.1,88.45B,No
316,SKYGOLD.NS,437.35,1359.59K,Consumer Durables,Other Consumer Specialties,89.0,75.0,91.0,85.0,1056.80K,2429.28K,549.9,246.05,67.73B,No
328,GAUDIUMIVF.NS,109.52,139.72K,Health Services,Medical/Nursing Services,88.0,78.0,,,1565.13K,332.44K,133.0,69.18,7.97B,No
330,RAMRAT.NS,423.65,85.53K,Producer Manufacturing,Electrical Products,88.0,91.0,93.0,90.0,207.62K,224.75K,474.15,268.0,39.55B,No
348,BHARATWIRE.NS,238.18,431.22K,Producer Manufacturing,Metal Fabrication,88.0,96.0,92.0,82.0,1082.13K,1177.98K,262.0,148.01,16.34B,No
349,EXATO.BO,394.9,2.00K,Technology Services,Packaged Software,88.0,42.0,84.0,,31.89K,24.60K,475.0,266.0,3.97B,No
355,MANORG.NS,589.9,3.98K,Process Industries,Chemicals: Specialty,87.0,95.0,91.0,82.0,15.04K,41.23K,637.85,356.25,5.05B,No
361,ADVAIT.NS,1976.4,27.85K,Producer Manufacturing,Electrical Products,87.0,53.0,82.0,,54.00K,50.55K,2163.0,1351.0,21.62B,No
369,KERNEX.NS,1400.1,159.04K,Electronic Technology,Computer Communications,87.0,87.0,79.0,79.0,194.53K,398.69K,1626.0,798.0,23.53B,No
370,CHENNPETRO.NS,1029.5,562.86K,Energy Minerals,Oil Refining/Marketing,87.0,67.0,75.0,74.0,2770.05K,1606.90K,1159.7,603.1,153.30B,No
373,MAITRI.BO,37.51,0.01K,Non-Energy Minerals,Aluminum,87.0,61.0,89.0,45.0,0.07K,0.08K,44.7,22.1,165.04M,No
384,CRAFTSMAN.NS,8567.0,61.26K,Producer Manufacturing,Trucks/Construction/Farm Machinery,87.0,81.0,68.0,87.0,117.55K,498.05K,9738.0,5100.0,204.37B,No
385,UTLSOLAR.NS,273.1,299.33K,Electronic Technology,Semiconductors,87.0,87.0,90.0,,555.61K,428.53K,313.0,172.0,83.81B,No
390,STYLAMIND.NS,2547.1,16.52K,Non-Energy Minerals,Forest Products,86.0,79.0,77.0,86.0,59.06K,103.71K,2740.0,1593.7,43.20B,No
391,ANNAINFRA.BO,34.27,0.04K,Finance,Real Estate Investment Trusts,86.0,80.0,93.0,82.0,1.17K,0.55K,39.9,21.9,130.23M,No
408,J&KBANK.NS,132.05,3345.36K,Finance,Regional Banks,86.0,59.0,88.0,87.0,7425.69K,6347.09K,145.0,97.35,145.41B,No
420,STYLEBAAZA.NS,414.9,581.85K,Retail Trade,Apparel/Footwear Retail,85.0,95.0,88.0,87.0,788.93K,1352.84K,427.0,229.95,30.96B,No
430,NRBBEARING.NS,339.6,1061.30K,Producer Manufacturing,Auto Parts: Oem,85.0,94.0,84.0,86.0,381.97K,1328.37K,353.5,212.55,32.91B,No
434,ALSL.BO,72.54,6.91K,Finance,Investment Banks/Brokers,85.0,84.0,95.0,87.0,74.48K,147.74K,79.3,42.93,3.38B,No
444,MEGASTAR.NS,306.4,31.76K,Process Industries,Agricultural Commodities/Milling,85.0,71.0,88.0,73.0,27.44K,35.02K,315.75,203.0,3.46B,No
447,ASTERDM.NS,746.6,358.39K,Health Services,Hospital/Nursing Management,85.0,74.0,90.0,78.0,951.35K,2158.14K,770.0,519.1,385.94B,No
463,EMCURE.NS,1675.7,83.11K,Health Technology,Pharmaceuticals: Major,84.0,45.0,69.0,88.0,327.88K,475.38K,1830.0,1040.0,317.70B,No
464,NELCAST.NS,145.49,106.99K,Non-Energy Minerals,Steel,84.0,80.0,81.0,88.0,263.46K,464.97K,180.9,85.98,12.69B,No
484,GOLKUNDIA.BO,243.05,0.58K,Consumer Durables,Other Consumer Specialties,83.0,12.0,78.0,84.0,7.22K,2.74K,314.9,156.0,1.69B,No
486,HALEOSLABS.NS,1611.0,2.90K,Health Technology,Biotechnology,83.0,91.0,87.0,,1.56K,4.02K,1774.0,1091.1,4.87B,No
487,NEOINFRA.BO,42.98,0.24K,Finance,Real Estate Development,83.0,37.0,69.0,86.0,1.69K,2.94K,54.99,24.78,228.09M,No
508,SPARC.NS,170.08,1500.17K,Health Technology,Pharmaceuticals: Major,83.0,86.0,83.0,87.0,2374.89K,6710.43K,204.4,108.0,55.19B,No
519,JBCHEPHARM.NS,2137.8,231.50K,Health Technology,Pharmaceuticals: Major,82.0,60.0,77.0,87.0,366.37K,364.24K,2224.9,1603.5,343.24B,No
521,NEOGEN.NS,1687.1,29.42K,Process Industries,Chemicals: Specialty,82.0,88.0,85.0,82.0,101.21K,69.82K,1883.0,966.7,46.20B,No
530,ANURAS.NS,1375.3,237.88K,Health Technology,Pharmaceuticals: Major,82.0,63.0,58.0,88.0,299.93K,520.74K,1415.0,889.8,156.58B,No
553,GODAVARIB.NS,297.6,114.39K,Process Industries,Agricultural Commodities/Milling,81.0,16.0,62.0,80.0,465.47K,183.17K,353.0,183.5,15.23B,No
562,FEDERALBNK.NS,280.25,8573.19K,Finance,Major Banks,81.0,22.0,41.0,84.0,8624.53K,9140.73K,302.0,185.11,690.56B,No
563,CCL.NS,1111.8,125.12K,Consumer Non-Durables,Food: Specialty/Candy,81.0,39.0,72.0,87.0,361.31K,406.13K,1217.5,723.0,148.09B,No
566,IFCI.NS,65.1,35248.68K,Finance,Finance/Rental/Leasing,81.0,79.0,65.0,83.0,22404.59K,31676.60K,74.5,44.11,175.40B,No
568,GTV.BO,75.1,70.00K,Industrial Services,Engineering & Construction,81.0,88.0,89.0,71.0,113.97K,181.54K,96.22,41.55,3.52B,No
582,BNAGROCHEM.NS,293.13,1.53K,Process Industries,Agricultural Commodities/Milling,80.0,,,,11.00K,17.69K,312.0,224.0,,No
586,SAHYADRI.NS,321.2,6.42K,Non-Energy Minerals,Construction Materials,80.0,94.0,84.0,87.0,8.82K,31.93K,338.4,200.1,3.52B,No
587,SILGO.NS,74.27,659.75K,Consumer Durables,Other Consumer Specialties,80.0,28.0,45.0,79.0,278.94K,776.23K,85.0,49.02,1.94B,No
591,UNITEDPOLY.NS,32.76,187.73K,Process Industries,Textiles,80.0,85.0,75.0,20.0,177.61K,229.75K,51.16,14.5,7.52B,No
592,LINDEINDIA.NS,7413.5,21.21K,Process Industries,Chemicals: Specialty,80.0,43.0,83.0,86.0,61.16K,79.45K,8049.0,5673.0,632.25B,No
600,NEULANDLAB.NS,16680.0,109.26K,Health Technology,Pharmaceuticals: Major,80.0,79.0,88.0,60.0,56.44K,132.82K,19747.0,10578.0,214.00B,No
609,HARRMALAYA.NS,214.04,18.48K,Process Industries,Agricultural Commodities/Milling,80.0,75.0,90.0,80.0,23.55K,18.93K,237.9,153.66,3.95B,No
