Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
17,TAKE.NS,47.22,729.90K,Technology Services,Information Technology Services,98.0,89.0,97.0,98.0,1731.26K,1314.37K,49.94,6.51,-5.45
21,CUPID.NS,425.35,4784.06K,Consumer Non-Durables,Household/Personal Care,98.0,82.0,93.0,97.0,9692.44K,3687.28K,526.95,55.75,-19.28
51,NORBTEAEXP.NS,96.43,6.92K,Consumer Non-Durables,Food: Specialty/Candy,97.0,71.0,96.0,97.0,3.54K,3.01K,99.35,30.5,-2.94
52,HINDCOPPER.NS,569.05,8024.54K,Non-Energy Minerals,Other Metals/Minerals,97.0,51.0,97.0,97.0,37243.81K,24218.11K,760.05,183.82,-25.13
65,MAHASTEEL.NS,746.3,11.81K,Non-Energy Minerals,Steel,96.0,17.0,76.0,97.0,11.88K,19.17K,1032.0,221.9,-27.68
66,MTARTECH.NS,3657.6,417.38K,Electronic Technology,Aerospace & Defense,96.0,97.0,95.0,97.0,533.06K,493.04K,3822.0,1155.6,-4.3
67,FORCEMOT.NS,24475.0,146.68K,Consumer Durables,Motor Vehicles,96.0,91.0,96.0,85.0,80.99K,163.06K,25050.0,6408.4,-2.3
68,PFOCUS.NS,259.22,3702.48K,Consumer Services,Movies/Entertainment,96.0,88.0,97.0,94.0,7075.20K,9912.94K,292.0,85.0,-11.23
70,RMDRIP.NS,120.33,8496.46K,Producer Manufacturing,Industrial Machinery,96.0,91.0,96.0,95.0,2930.47K,4972.04K,120.5,33.1,-0.14
72,LUMAXTECH.NS,1720.2,267.59K,Producer Manufacturing,Auto Parts: Oem,96.0,91.0,92.0,93.0,265.95K,500.59K,1823.9,449.0,-5.69
73,SALSTEEL.NS,45.77,25.19K,Non-Energy Minerals,Steel,96.0,86.0,83.0,98.0,113.95K,97.13K,48.71,14.37,-6.04
74,BGRENERGY.NS,329.85,163.62K,Industrial Services,Engineering & Construction,96.0,19.0,19.0,97.0,118.58K,106.63K,490.8,69.05,-32.79
76,INFOBEAN.NS,886.25,543.00K,Technology Services,Packaged Software,96.0,64.0,97.0,89.0,453.73K,667.04K,1030.0,270.55,-13.96
82,SOMATEX.NS,122.55,43.12K,Process Industries,Textiles,96.0,73.0,46.0,93.0,10.73K,12.16K,161.25,34.53,-24.0
83,SILVERTUC.NS,1392.5,50.41K,Technology Services,Packaged Software,96.0,28.0,97.0,96.0,225.35K,48.62K,1690.2,610.0,-17.61
84,IZMO.NS,872.1,202.17K,Technology Services,Packaged Software,96.0,94.0,51.0,97.0,182.33K,705.84K,1374.7,229.7,-36.56
85,AQYLON.NS,1469.3,11.08K,Consumer Services,Movies/Entertainment,96.0,1.0,92.0,87.0,76.59K,27.80K,2247.0,435.1,-34.61
94,BAJAJCON.NS,383.0,723.71K,Consumer Non-Durables,Household/Personal Care,96.0,97.0,96.0,94.0,1573.38K,1171.50K,395.75,151.0,-3.22
95,SBC.NS,31.98,12638.07K,Distribution Services,Wholesale Distributors,96.0,79.0,92.0,95.0,11972.26K,11488.82K,32.39,10.95,-1.27
96,NGLFINE.NS,2346.4,12.41K,Health Technology,Pharmaceuticals: Major,96.0,98.0,97.0,94.0,5.40K,8.48K,2575.0,980.0,-8.88
97,LUMAXIND.NS,6133.5,32.22K,Producer Manufacturing,Auto Parts: Oem,95.0,93.0,92.0,94.0,40.83K,130.25K,6934.5,2100.05,-11.55
103,AVANTIFEED.NS,1350.7,582.37K,Process Industries,Agricultural Commodities/Milling,95.0,98.0,97.0,96.0,1770.00K,6046.20K,1489.0,601.55,-9.29
105,APEX.NS,437.55,1156.79K,Consumer Non-Durables,Food: Meat/Fish/Dairy,95.0,98.0,94.0,96.0,2107.71K,5520.28K,487.95,186.55,-10.33
106,RNBDENIMS.NS,193.13,11714.39K,Process Industries,Textiles,95.0,96.0,96.0,,1281.91K,5554.76K,193.32,97.55,-0.1
108,TDPOWERSYS.NS,882.55,551.41K,Producer Manufacturing,Electrical Products,95.0,96.0,92.0,95.0,935.08K,1498.29K,899.0,293.0,-1.83
112,NETWEB.NS,3636.5,7164.54K,Electronic Technology,Computer Peripherals,95.0,86.0,85.0,96.0,1331.73K,2582.97K,4479.0,1251.55,-18.81
113,COMSYN.NS,191.46,51.95K,Process Industries,Containers/Packaging,95.0,93.0,94.0,91.0,20.98K,41.44K,192.0,65.0,-0.28
114,BHARATSE.NS,210.32,2934.25K,Producer Manufacturing,Auto Parts: Oem,95.0,97.0,90.0,94.0,177.15K,697.24K,239.45,69.84,-12.17
116,ATHERENERG.NS,708.8,1059.62K,Consumer Durables,Motor Vehicles,95.0,85.0,76.0,95.0,2216.76K,2074.87K,790.0,288.15,-10.28
118,SANSERA.NS,2285.4,123.81K,Producer Manufacturing,Auto Parts: Oem,95.0,95.0,95.0,95.0,209.23K,484.38K,2300.0,972.2,-0.63
119,SAKAR.NS,519.2,599.77K,Health Technology,Pharmaceuticals: Major,95.0,91.0,95.0,94.0,48.43K,156.56K,543.5,210.1,-4.47
121,VENUSREM.NS,759.35,12.57K,Health Technology,Pharmaceuticals: Major,95.0,59.0,85.0,94.0,72.47K,22.77K,839.95,277.95,-9.6
123,RELIABLE.NS,149.55,12.15K,Technology Services,Data Processing Services,95.0,61.0,87.0,96.0,45.69K,67.49K,175.0,63.7,-14.54
125,ARFIN.NS,71.21,605.27K,Non-Energy Minerals,Aluminum,95.0,25.0,92.0,96.0,817.37K,905.79K,84.01,31.43,-15.24
126,SMLMAH.NS,4876.7,97.47K,Consumer Durables,Motor Vehicles,95.0,94.0,97.0,,92.73K,165.16K,5180.0,2749.0,-5.86
127,SHARDACROP.NS,1202.9,153.67K,Distribution Services,Wholesale Distributors,95.0,97.0,96.0,88.0,627.47K,670.40K,1297.0,452.25,-7.26
128,UNIVPHOTO.NS,376.39,94.00K,Consumer Durables,Electronics/Appliances,94.0,98.0,97.0,93.0,5.90K,9.64K,384.0,174.0,-1.98
