Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
3079,GANESHCP.NS,177.8,193.38K,Process Industries,Agricultural Commodities/Milling,10.0,11.0,23.0,22.0,7.8579,6.9529,115.62K,266.02K,309.95,152.0,7.19B,No,192.28,211.68,187.82,188.42
3080,PANELEC.BO,25.36,1.45K,Electronic Technology,Electronic Components,10.0,30.0,61.0,2.0,2.4436,2.1879,2.58K,0.84K,70.94,21.73,101.44M,No,26.16,37.31,26.24,32.22
3081,DEVIT.NS,27.12,27.66K,Technology Services,Information Technology Services,10.0,30.0,15.0,20.0,1.4286,1.3721,74.50K,112.10K,50.89,22.25,1.53B,No,27.75,31.78,27.22,28.22
3082,CHEMFAB.NS,376.95,1.55K,Process Industries,Chemicals: Specialty,10.0,63.0,25.0,32.0,19.3714,19.3714,5.68K,2.83K,764.0,290.35,5.42B,No,380.36,424.26,378.59,387.12
3083,KAMATS.BO,39.49,0.36K,Consumer Services,Restaurants,10.0,36.0,14.0,4.0,2.78,2.7671,6.57K,1.25K,69.29,30.2,718.69M,No,40.22,49.71,39.49,45.42
3084,GULFLLOYDS.BO,73.53,30.00K,Commercial Services,Miscellaneous Commercial Services,10.0,,,,,,19.44K,19.44K,100.0,73.53,494.80M,No,,,,
3085,EPIC.BO,33.64,1.74K,Producer Manufacturing,Electrical Products,10.0,20.0,6.0,28.0,2.4064,2.3821,7.17K,4.40K,55.79,25.2,267.26M,No,35.64,38.72,35.24,36.8
3086,XELPMOC.NS,83.4,12.43K,Technology Services,Information Technology Services,10.0,44.0,8.0,2.0,4.0507,4.0493,22.31K,9.59K,155.5,76.0,1.23B,No,87.18,112.3,84.74,103.15
3087,KRSNAA.NS,540.8,220.31K,Health Services,Medical/Nursing Services,10.0,34.0,26.0,7.0,16.1214,16.1214,69.61K,52.79K,894.4,515.0,17.54B,No,542.58,648.8,542.83,593.58
3088,KITEX.NS,146.34,346.34K,Process Industries,Textiles,10.0,15.0,17.0,12.0,3.3286,3.2807,879.04K,315.76K,232.7,138.2,29.19B,No,154.87,174.36,153.91,163.94
3089,LOGICA.BO,154.0,18.60K,Retail Trade,Electronics/Appliance Stores,10.0,29.0,11.0,9.0,5.9536,4.4286,11.49K,14.70K,243.55,146.4,2.74B,No,165.59,194.33,163.44,183.3
3090,UNIENTER.NS,97.08,4.10K,Producer Manufacturing,Industrial Conglomerates,10.0,9.0,21.0,7.0,4.4986,4.3714,13.27K,10.35K,161.99,87.51,13.50B,No,105.1,119.67,103.4,106.67
3091,AEIM.BO,88.68,32.23K,Commercial Services,Miscellaneous Commercial Services,10.0,14.0,7.0,12.0,3.6071,3.5786,60.95K,26.05K,195.0,83.43,2.45B,No,102.71,124.13,98.15,111.68
3092,GUJCRAFT.BO,92.6,0.44K,Process Industries,Containers/Packaging,10.0,35.0,19.0,13.0,3.4136,3.2221,3.15K,0.59K,149.0,89.95,452.66M,No,95.35,109.52,94.46,101.7
3093,DRONACHRYA.BO,35.19,32.00K,Electronic Technology,Aerospace & Defense,10.0,9.0,34.0,38.0,1.2021,1.2021,66.65K,26.40K,79.99,28.97,844.16M,No,39.5,41.63,38.97,37.11
3094,NIPPOBATRY.NS,327.15,2.18K,Producer Manufacturing,Electrical Products,10.0,17.0,32.0,15.0,11.0429,10.8679,12.98K,2.31K,505.9,257.0,2.45B,No,345.62,368.7,339.67,342.85
3095,ZODIAC.NS,256.3,32.59K,Producer Manufacturing,Building Products,10.0,37.0,7.0,44.0,9.9821,9.8679,8.41K,7.15K,462.35,205.55,,No,273.27,294.23,267.54,271.95
