Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,98,1,46,97,RRFIN.BO
2,Discount Stores,Retail Trade,94,0,33,69,SPICELOUNG.BO
3,Major Banks,Finance,83,73,83,80,"CSBBANK.NS,SOUTHBANK.NS,CANBK.NS,RBLBANK.NS,INDIANB.NS,UNIONBANK.NS,FEDERALBNK.NS,IDBI.NS,PNB.NS,INDUSINDBK.NS,HDFCBANK.NS,CENTRALBK.NS"
4,Real Estate Investment Trusts,Finance,79,64,76,81,"FUNDVISER.BO,MINDSPACE.BO,EMBASSY.BO,BIRET.BO,INDUSINVIT.BO"
5,Life/Health Insurance,Finance,78,72,76,70,"CANHLIFE.NS,SBILIFE.NS,MFSL.NS,ICICIPRULI.NS,STARHEALTH.NS,NIVABUPA.NS"
6,Motor Vehicles,Consumer Durables,76,65,69,78,"ZELIO.BO,FORCEMOT.NS,SMLMAH.NS,TVSMOTOR.NS,SEVL.BO,EICHERMOT.NS,HEROMOTOCO.NS,SANDHAR.NS,HYUNDAI.NS,OLECTRA.NS,OLAELEC.NS"
7,Marine Shipping,Transportation,73,58,74,86,"DREDGECORP.NS,PPARIVAH.BO,GPPL.NS,GESHIP.NS,COASTCORP.NS,GLOTTIS.NS"
8,Drugstore Chains,Retail Trade,73,80,85,59,MEDPLUS.NS
9,Financial Publishing/Services,Commercial Services,72,70,72,52,"CARERATING.NS,ICRA.NS"
10,Savings Banks,Finance,69,46,39,0,NSDL.BO
11,Automotive Aftermarket,Consumer Durables,68,66,64,66,"TVSSRICHAK.NS,CEATLTD.NS,APOLLOTYRE.NS,MRF.NS,MODIRUBBER.NS,DOLFIN.BO,GOODYEAR.BO"
12,Consumer Sundries,Consumer Non-Durables,67,32,57,66,"GPSL.BO,RADIXIND.BO,WELSPUNLIV.NS"
13,Multi-Line Insurance,Finance,66,52,59,63,"ABCAPITAL.NS,HDFCLIFE.NS,GODIGIT.NS,RELIGARE.NS,NIACL.NS"
14,Catalog/Specialty Distribution,Retail Trade,65,16,61,71,ETHOSLTD.NS
15,Computer Peripherals,Electronic Technology,65,40,33,69,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
16,Medical Distributors,Distribution Services,65,74,69,72,"CHECKPOINT.BO,APPL.BO,GUJINJEC.BO,EVERESTO.BO,RAMAVISION.BO,ENTERO.NS,VIVOBIOT.BO,APL.BO,ROYAL.BO"
17,Investment Trusts/Mutual Funds,Miscellaneous,64,62,54,64,"GROWW.NS,ENERGYINF.BO,ANANTAM.BO,SUMMITSEC.NS"
18,Internet Retail,Retail Trade,64,66,61,64,"NYKAA.NS,SASTASUNDR.NS,INDIAMART.NS,MSTCLTD.NS"
19,Industrial Conglomerates,Producer Manufacturing,64,40,60,62,"SFSL.BO,3MINDIA.NS,DCMSHRIRAM.NS,GRAMEVA.BO,UNIENTER.NS,FIBERWEB.NS"
20,Oil Refining/Marketing,Energy Minerals,63,51,62,61,"CHENNPETRO.NS,BPCL.NS,RELIANCE.NS,HINDPETRO.NS,OIL.NS,MRPL.NS,ONGC.NS,GULFOILLUB.NS,VEEDOL.NS,CASTROLIND.NS,CONTPTR.BO,GULFPETRO.NS"
21,Aluminum,Non-Energy Minerals,62,60,55,61,"HINDALUMI.BO,NATIONALUM.NS,VEDL.NS,HRS.BO,ORIENTCER.NS,SUDAI.BO,EUROBOND.NS,ALUFLUOR.BO,NIRAVCOM.BO,SAMPAT.BO,SPINAROO.BO"
22,Food: Meat/Fish/Dairy,Consumer Non-Durables,62,53,66,60,"SCAGRO.BO,PARAGMILK.NS,APEX.NS,SCPL.NS,HATSUN.NS,HERITGFOOD.NS,DODLA.NS,CHATHA.BO,MODAIRY.BO"
23,Other Metals/Minerals,Non-Energy Minerals,62,59,62,60,"PARMESHWAR.BO,HINDCOPPER.NS,SCBL.BO,POCL.NS,IMFA.NS,HINDALCO.NS,RAPICUT.BO,HINDZINC.NS,SANDUMA.NS,CUBEXTUB.NS,NMDC.NS,SERA.BO,CHROME.BO,MIDHANI.NS,COCHINM.BO,MOIL.NS,GRAVITA.NS,VIDYAWIRES.NS,NILE.BO,SBCL.NS,INDSILHYD.BO,MMP.NS,SHARVAYA.BO,NRL.NS,ZODJRDMKJ.BO,SOUTHMG.BO,SIYARAM.BO"
