Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1,MRUTR.BO,96.3,98.25,1.16K,Finance,Investment Banks/Brokers,98.0,73.0,98.0,98.0,3.445,1.4614,21.66K,64.85K,115.3,0.85,69.57B,No,98.07,87.08,36.69,91.49,51.28,496
2,SOURCEIND.BO,55.25,54.17,0.17K,Consumer Durables,Home Furnishings,98.0,97.0,98.0,98.0,1.0107,0.0036,0.37K,0.31K,55.25,4.18,630.02M,No,45.46,35.45,15.76,39.79,21.8,497
3,APOLLOIN.BO,92.4,88.0,0.79K,Process Industries,Agricultural Commodities/Milling,98.0,0.0,85.0,98.0,4.5521,0.0586,3.38K,5.84K,146.05,5.16,960.96M,No,94.79,111.34,49.97,109.6,68.2,496
4,SALSAIN.BO,337.0,353.85,1.34K,Finance,Financial Conglomerates,98.0,9.0,88.0,28.0,22.7607,21.3,0.59K,0.16K,828.95,14.58,2.35B,No,360.12,349.55,284.72,358.78,372.45,496
5,SAMTELIN.BO,38.99,39.45,4.65K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,33.0,3.0,95.0,0.8907,0.6043,12.66K,4.86K,72.95,1.89,276.36M,No,38.94,46.26,28.65,43.32,38.15,268
6,ARIHANT.NS,858.8,887.75,6.74K,Finance,Real Estate Development,98.0,3.0,48.0,,58.5464,58.3179,6.30K,1.94K,1225.0,39.65,9.33B,No,951.13,967.91,,980.62,,108
7,JTLDEFENCE.BO,873.8,891.6,2.39K,Non-Energy Minerals,Other Metals/Minerals,98.0,98.0,98.0,98.0,33.4607,12.5893,4.10K,8.60K,924.0,55.58,9.20B,No,659.98,633.12,282.08,672.37,389.73,497
8,AXISOL.BO,616.5,614.65,14.48K,Technology Services,Information Technology Services,98.0,87.0,96.0,98.0,14.8429,5.0036,6.21K,6.25K,667.75,28.2,29.14B,No,592.43,459.99,261.52,500.05,339.77,497
9,ISERA.BO,143.9,143.9,0.20K,Technology Services,Packaged Software,98.0,55.0,88.0,98.0,0.0,0.0,2.55K,0.02K,143.9,5.36,1.21B,No,143.9,143.79,75.51,143.9,101.08,495
10,SESHACHAL.BO,63.33,66.66,0.00K,Technology Services,Information Technology Services,98.0,6.0,2.0,2.0,0.25,0.0,0.63K,0.63K,105.31,2.39,4.40M,No,69.33,71.61,77.64,72.44,88.12,497
