Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
21,CUPID.NS,433.8,32375.36K,Consumer Non-Durables,Household/Personal Care,98.0,82.0,97.0,98.0,6104.69K,18322.28K,526.95,55.75,-17.68
29,TAKE.NS,42.79,1627.70K,Technology Services,Information Technology Services,98.0,95.0,98.0,98.0,1850.68K,1695.48K,42.85,6.51,-0.14
45,MAHASTEEL.NS,923.1,6.22K,Non-Energy Minerals,Steel,97.0,91.0,97.0,97.0,33.90K,18.44K,1032.0,179.53,-10.55
51,WAAREEINDO.NS,479.35,68.15K,Electronic Technology,Electronic Equipment/Instruments,97.0,10.0,,,170.19K,157.58K,725.0,165.07,-33.88
54,BGRENERGY.NS,342.65,30.31K,Industrial Services,Engineering & Construction,97.0,9.0,84.0,98.0,204.49K,80.32K,490.8,69.05,-30.19
55,SOMATEX.NS,130.1,8.32K,Process Industries,Textiles,97.0,92.0,97.0,97.0,25.21K,22.12K,161.25,34.53,-19.32
60,TCIFINANCE.NS,34.89,68.70K,Finance,Finance/Rental/Leasing,97.0,99.0,98.0,97.0,85.60K,143.42K,34.89,10.0,0.0
63,INFOBEAN.NS,1004.9,1156.47K,Technology Services,Packaged Software,97.0,97.0,97.0,97.0,178.72K,449.87K,1030.0,270.55,-2.44
65,NORBTEAEXP.NS,94.93,15.67K,Consumer Non-Durables,Food: Specialty/Candy,97.0,95.0,97.0,97.0,3.29K,6.36K,99.35,23.57,-4.45
69,IFBAGRO.NS,1633.0,118.35K,Consumer Non-Durables,Beverages: Alcoholic,96.0,96.0,96.0,96.0,84.97K,57.32K,1650.0,440.0,-1.03
79,SILVERTUC.NS,1581.6,1186.26K,Technology Services,Packaged Software,96.0,98.0,97.0,96.0,171.12K,702.04K,1581.6,610.0,0.0
86,MEGASOFT.NS,201.29,66.12K,Technology Services,Information Technology Services,96.0,74.0,92.0,95.0,220.05K,147.93K,231.0,49.06,-12.86
88,LUMAXTECH.NS,1669.7,88.44K,Producer Manufacturing,Auto Parts: Oem,96.0,82.0,94.0,92.0,266.30K,240.04K,1703.1,449.0,-1.96
89,HINDCOPPER.NS,551.25,35372.28K,Non-Energy Minerals,Other Metals/Minerals,96.0,97.0,95.0,96.0,23015.27K,81636.07K,575.0,183.82,-4.13
90,BHAGYANGR.NS,181.27,559.64K,Producer Manufacturing,Electrical Products,96.0,97.0,97.0,96.0,361.66K,243.30K,186.64,65.0,-2.88
97,JAYNECOIND.NS,90.18,4387.89K,Non-Energy Minerals,Steel,96.0,95.0,91.0,97.0,8004.85K,12723.54K,94.3,28.0,-4.37
98,RELIABLE.NS,168.87,25.39K,Technology Services,Data Processing Services,95.0,64.0,95.0,97.0,53.28K,77.45K,171.8,63.15,-1.71
101,SABTNL.NS,1769.3,50.58K,Consumer Services,Movies/Entertainment,95.0,93.0,97.0,91.0,66.66K,57.43K,1778.0,352.6,-0.49
105,VENUSREM.NS,744.3,14.81K,Health Technology,Pharmaceuticals: Major,95.0,30.0,96.0,94.0,95.60K,27.84K,839.9,270.25,-11.38
111,THANGAMAYL.NS,3835.7,750.09K,Consumer Durables,Other Consumer Specialties,95.0,92.0,97.0,96.0,158.92K,78.60K,3835.7,1523.1,0.0
116,FORCEMOT.NS,20655.0,48.21K,Consumer Durables,Motor Vehicles,95.0,92.0,93.0,86.0,74.44K,112.40K,21990.0,6125.0,-6.07
117,ASHAPURMIN.NS,902.45,724.19K,Non-Energy Minerals,Other Metals/Minerals,95.0,94.0,93.0,95.0,778.75K,830.81K,924.9,301.6,-2.43
118,STALLION.NS,237.72,291.26K,Distribution Services,Wholesale Distributors,95.0,90.0,4.0,97.0,1488.57K,419.88K,423.8,60.0,-43.91
121,SALSTEEL.NS,41.42,100.90K,Non-Energy Minerals,Steel,95.0,91.0,95.0,96.0,136.61K,102.07K,45.12,14.37,-8.2
123,KMEW.NS,1762.0,189.04K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,84.0,96.0,96.0,255.51K,232.11K,1959.3,632.02,-10.07
124,MIRCELECTR.NS,34.69,8922.82K,Electronic Technology,Telecommunications Equipment,95.0,97.0,94.0,97.0,722.02K,2253.57K,36.0,11.06,-3.64
129,NATIONALUM.NS,352.6,31377.04K,Non-Energy Minerals,Aluminum,95.0,96.0,95.0,95.0,13001.65K,18240.41K,357.6,137.75,-1.4
132,ARFIN.NS,76.28,974.31K,Non-Energy Minerals,Aluminum,94.0,93.0,96.0,,356.77K,1191.25K,77.67,31.43,-1.79
138,ATHERENERG.NS,692.45,1311.68K,Consumer Durables,Motor Vehicles,94.0,72.0,83.0,96.0,3936.11K,2294.92K,790.0,288.15,-12.35
