Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
DHABRIYA,Dhabriya Polywood Ltd,558.05,INR,10.647367899276281,122906,,Producer manufacturing,Miscellaneous manufacturing,586.9,INR,499.2,INR,NSE,26.8293,0.5857966834895458
EVERESTO,Everest Organics Ltd.,317.4,INR,10.611604809200205,12002,13.112640664263084,Distribution services,Medical distributors,536.4,INR,197,INR,BSE,,-36.52000000000001
INDSWFTLAB,Ind-Swift Laboratories Ltd.,346.45,INR,10.580912863070532,222270,1.8453499290569346,Health technology,Pharmaceuticals: major,350,INR,87,INR,BSE,46.7144,293.2016797185336
ELDEHSG,Eldeco Housing & Industries Ltd.,818.6,INR,10.316016440940647,717,0.9509283819628647,Finance,Real estate development,1060.95,INR,690,INR,BSE,21.800199999999997,-18.041649979975965
SHREEKARNI,Shree Karni Fabcom Limited,355.25,INR,10.308958236298707,20850,3.6103896103896105,Process industries,Textiles,712,INR,317.1,INR,NSE,,-29.211915911128827
BIOPOL,Biopol Chemicals Ltd.,99.7,INR,10.226644555002764,84000,0.8728179551122195,Process industries,Chemicals: major diversified,133.75,INR,84,INR,NSE,,-10.180180180180178
BRIGHTBR,Bright Brothers Limited,255.13,INR,10.159758203799656,3986,,Process industries,Industrial specialties,260,INR,231,INR,NSE,,5.9950145409223135
SUGSLLOYD,Sugs Lloyd Limited,202.05,INR,10.078997548351946,148000,1.9733333333333334,Utilities,Alternative power generation,205,INR,82.5,INR,BSE,29.9993,92.33698238933843
KERALAYUR,Kerala Ayurveda Limited,188.2,INR,10.058479532163735,58608,1.3076421922551753,Health technology,Pharmaceuticals: other,511.5,INR,145,INR,BSE,53.2695,-39.39784253743359
REGAAL,Regaal Resources Limited,99.53,INR,10.026531063453469,2975990,15.745820544661191,Process industries,Agricultural commodities/Milling,145.7,INR,57.27,INR,NSE,28.751500000000004,40.47988708539169
