Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
234,STALLION.NS,268.55,1700.87K,Distribution Services,Wholesale Distributors,92.0,97.0,96.0,79.0,14.3193,14.0021,2953.46K,6060810.0,423.8,99.32,31.17B,No,203.57,188.49,213.02,170.06,170.39,-36.63
889,VIMTALABS.NS,642.25,441.29K,Commercial Services,Miscellaneous Commercial Services,73.0,81.0,88.0,71.0,33.975,32.5607,501.22K,1270380.0,902.65,376.05,28.70B,No,553.98,535.5,580.09,497.08,70.79,-28.85
