Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
352,STALLION.NS,229.85,253.35,546.97K,Distribution Services,Wholesale Distributors,89.0,92.0,91.0,86.0,15.9057,14.4457,3024.23K,2106800.0,423.8,99.32,26.68B,No,248.95,213.03,185.29,215.81,170.13,131.42,-45.76
767,MANAKALUCO.NS,39.33,39.32,55.95K,Non-Energy Minerals,Other Metals/Minerals,78.0,84.0,65.0,42.0,2.5364,2.2821,157.62K,338500.0,68.12,21.73,2.58B,No,37.3,37.24,32.93,37.48,34.05,80.99,-42.26
1039,BLUEJET.NS,584.5,587.1,571.06K,Health Technology,Pharmaceuticals: Major,70.0,55.0,79.0,83.0,24.5143,24.1572,1054.13K,1637180.0,802.05,325.0,101.39B,No,587.59,550.4,490.24,567.5,461.72,79.85,-27.12
