Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
316,STALLION.NS,249.69,2102.74K,Distribution Services,Wholesale Distributors,89.0,96.0,94.0,70.0,14.685,14.2593,2902.58K,6093560.0,423.8,99.32,28.99B,No,195.08,190.72,202.47,167.92,151.4,-41.08
856,VIMTALABS.NS,601.95,443.73K,Commercial Services,Miscellaneous Commercial Services,74.0,66.0,86.0,62.0,33.0214,32.125,499.46K,1250830.0,902.65,376.05,26.90B,No,541.09,537.38,562.15,494.69,60.07,-33.31
