Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
237,STALLION.NS,254.0,256.5,1652.98K,Distribution Services,Wholesale Distributors,92.0,93.0,95.0,89.0,14.6164,14.3371,3035.24K,2709530.0,423.8,99.32,29.49B,No,244.26,210.31,186.04,218.23,170.94,155.74,-40.07
864,HLEGLAS.NS,474.5,467.05,487.17K,Producer Manufacturing,Industrial Machinery,75.0,83.0,89.0,74.0,20.0143,20.0143,507.44K,345460.0,661.95,250.0,32.96B,No,427.43,400.45,392.95,414.41,355.33,89.8,-28.32
764,VIMTALABS.NS,645.65,651.25,112.75K,Commercial Services,Miscellaneous Commercial Services,78.0,85.0,86.0,85.0,27.1643,26.8929,442.56K,315980.0,902.65,376.05,28.85B,No,597.88,572.15,534.33,591.12,500.78,71.69,-28.47
