Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
577,STALLION.NS,214.76,1712.70K,Distribution Services,Wholesale Distributors,82.0,86.0,91.0,42.0,10.9979,10.635,2292.57K,3694710.0,423.8,99.25,24.93B,No,181.35,191.73,184.1,167.52,116.38,-49.33
774,EPACKPEB.NS,244.11,586.63K,Industrial Services,Engineering & Construction,76.0,42.0,84.0,38.0,15.805,15.3886,1884.70K,1025750.0,344.0,132.17,24.57B,No,226.16,,229.68,207.62,84.69,-29.04
961,TARSONS.NS,287.45,122.78K,Process Industries,Containers/Packaging,71.0,63.0,86.0,80.0,18.3114,18.3114,790.72K,1213810.0,393.75,164.45,15.29B,No,243.03,230.56,243.02,217.26,74.79,-27.0
982,INDORAMA.NS,50.07,310.48K,Process Industries,Textiles,70.0,81.0,83.0,65.0,2.875,2.8293,266.15K,565730.0,75.0,29.0,13.07B,No,43.87,45.44,44.46,40.59,72.66,-33.24
