Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
369,STALLION.NS,240.9,229.85,769.71K,Distribution Services,Wholesale Distributors,88.0,84.0,95.0,89.0,15.0907,14.4879,2988.80K,1667120.0,423.8,99.32,27.97B,No,251.72,215.01,184.73,221.55,171.58,142.55,-43.16
849,MANAKALUCO.NS,38.11,39.33,68.57K,Non-Energy Minerals,Other Metals/Minerals,75.0,59.0,65.0,76.0,2.5593,2.305,156.10K,348400.0,68.12,21.73,2.50B,No,37.53,37.43,33.07,37.33,33.56,75.38,-44.05
