Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
320,STALLION.NS,253.22,5237.41K,Distribution Services,Wholesale Distributors,89.0,95.0,93.0,71.0,13.3093,13.0207,2768.98K,7033700.0,423.8,99.32,29.40B,No,189.13,191.38,195.32,168.56,154.95,-40.25
795,EPACKPEB.NS,243.08,298.91K,Industrial Services,Engineering & Construction,76.0,27.0,85.0,47.0,14.9721,14.7064,1911.22K,902120.0,344.0,132.17,24.46B,No,230.21,228.02,233.95,205.89,83.91,-29.34
