Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
604,STALLION.NS,217.1,1792.09K,Distribution Services,Wholesale Distributors,81.0,85.0,87.0,50.0,11.0143,10.66,2246.23K,3563230.0,423.8,99.32,25.20B,No,182.65,191.67,191.71,167.36,118.59,-48.77
700,EPACKPEB.NS,247.36,995.91K,Industrial Services,Engineering & Construction,78.0,14.0,84.0,44.0,15.8707,15.5129,1905.88K,979300.0,344.0,132.17,24.89B,No,227.13,,234.38,206.04,87.15,-28.09
981,TARSONS.NS,281.35,86.60K,Process Industries,Containers/Packaging,70.0,70.0,85.0,79.0,18.3643,18.3643,791.86K,1215400.0,393.75,164.45,14.97B,No,244.26,230.42,250.46,218.95,71.09,-28.55
