Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKL,%_From_52WKH
289,STALLION.NS,265.45,4438.63K,Distribution Services,Wholesale Distributors,90.0,96.0,95.0,80.0,14.4529,14.055,2939.98K,6060810.0,423.8,99.32,30.81B,No,201.82,189.12,212.71,169.95,167.27,-37.36
908,VIMTALABS.NS,620.15,200.46K,Commercial Services,Miscellaneous Commercial Services,72.0,74.0,88.0,65.0,32.4643,31.5679,497.11K,1270380.0,902.65,376.05,27.71B,No,550.55,535.77,577.54,496.23,64.91,-31.3
