RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1064,ABMINTLLTD.NS,52.56,43.8,20.0,16.37,YES,YES,YES,17.56K,Industrial Services,Engineering & Construction,70.0,94.0,86.0,80.0,4.0864,3.6629,1.19K,2.03K,62.85,34.0,494.48M,No,42.99,42.06,43.82,42.51,43.36,498
81,INDSWFTLAB.NS,284.68,237.24,20.0,0.0,YES,YES,YES,9122.23K,Health Technology,Pharmaceuticals: Major,96.0,87.0,97.0,96.0,13.5186,11.9979,1122.95K,380.48K,284.68,87.15,24.76B,No,233.29,206.72,141.65,220.38,164.55,497
379,LUMAXTECH.NS,2076.3,1738.2,19.45,0.46,YES,YES,YES,5660.84K,Producer Manufacturing,Auto Parts: Oem,88.0,97.0,82.0,81.0,77.4214,72.2571,162.75K,168.99K,2085.8,990.0,141.52B,No,1571.91,1575.91,1553.02,1609.72,1617.02,498
822,ALPHAGEO.NS,284.94,244.69,16.45,2.96,YES,YES,YES,360.46K,Industrial Services,Oilfield Services/Equipment,76.0,97.0,78.0,78.0,19.4786,19.3957,14.90K,56.55K,293.62,164.8,1.81B,No,219.44,209.4,217.55,214.92,210.62,498
1228,VIKRAMAR.BO,82.88,71.4,16.08,28.71,YES,YES,YES,20.70K,Process Industries,Chemicals: Specialty,65.0,90.0,87.0,69.0,5.0921,5.0264,2.30K,2.07K,116.25,53.11,259.89M,No,71.87,69.54,68.88,70.64,67.0,353
281,CHENNPETRO.NS,1426.1,1240.1,15.0,1.58,YES,YES,YES,17235.92K,Energy Minerals,Oil Refining/Marketing,91.0,92.0,90.0,90.0,78.2857,77.0071,1396.01K,1706.74K,1449.0,620.85,212.36B,No,1255.62,1189.7,1010.47,1202.17,1062.12,499
1272,LACTOSE.BO,114.55,100.25,14.26,16.2,YES,YES,YES,71.10K,Health Technology,Pharmaceuticals: Major,64.0,86.0,60.0,70.0,5.8321,5.7929,7.77K,5.39K,136.7,76.01,1.44B,No,102.47,104.15,105.54,104.63,102.02,495
586,ROLEXRINGS.NS,177.29,155.26,14.19,1.51,YES,YES,YES,56022.90K,Producer Manufacturing,Metal Fabrication,83.0,92.0,78.0,83.0,7.3407,7.1929,1979.51K,5288.16K,180.0,99.79,46.51B,No,147.54,144.65,132.08,148.23,138.11,499
545,FINCABLES.NS,1207.85,1058.05,14.16,1.36,YES,YES,YES,8833.55K,Producer Manufacturing,Electrical Products,84.0,86.0,62.0,90.0,41.2071,40.025,447.51K,223.23K,1224.5,700.8,184.73B,No,1019.93,1057.48,899.55,1069.29,963.35,498
1401,ARVEE.NS,176.76,155.1,13.97,39.21,YES,YES,YES,77.72K,Process Industries,Chemicals: Specialty,60.0,83.0,64.0,54.0,10.6593,10.3364,2.30K,0.62K,290.78,129.11,1.95B,No,157.85,161.75,167.71,162.93,159.9,497
498,UNICHEMLAB.NS,573.8,507.15,13.14,16.5,YES,YES,YES,3187.38K,Health Technology,Pharmaceuticals: Major,85.0,12.0,93.0,83.0,27.9536,27.5429,845.91K,55.00K,687.2,278.2,40.40B,No,542.57,490.92,418.8,515.03,407.07,498
1194,SERA.BO,44.2,39.18,12.81,15.73,YES,YES,YES,732.36K,Non-Energy Minerals,Other Metals/Minerals,66.0,76.0,40.0,61.0,1.8964,1.8721,70.99K,31.24K,52.45,31.31,2.89B,No,40.23,40.54,39.69,40.78,39.95,495
1163,WINDLAS.NS,943.1,839.65,12.32,14.1,YES,YES,YES,2342.30K,Health Technology,Pharmaceuticals: Major,67.0,85.0,77.0,61.0,36.7072,36.4107,53.12K,36.37K,1097.9,697.4,19.46B,No,863.91,847.42,817.19,858.92,818.72,497
1268,MATRIMONY.NS,537.1,480.35,11.81,6.27,YES,YES,YES,1197.86K,Technology Services,Internet Software/Services,64.0,93.0,81.0,48.0,20.2321,20.2036,24.24K,35.83K,573.0,364.05,11.10B,No,444.17,422.34,464.0,435.21,441.66,498
561,KOLTEPATIL.NS,516.6,462.2,11.77,6.85,YES,YES,YES,12112.49K,Finance,Real Estate Development,83.0,96.0,90.0,84.0,24.7786,21.9286,92.89K,265.51K,554.6,292.25,45.81B,No,402.72,380.87,375.36,395.6,369.12,496
1406,ASSAMENT.BO,798.95,715.85,11.61,17.46,YES,YES,YES,0.00K,Finance,Investment Banks/Brokers,60.0,89.0,48.0,19.0,14.1821,2.9321,0.01K,0.01K,968.0,485.05,1.15B,No,674.06,652.59,756.19,666.29,757.42,496
1354,RIR.NS,176.13,157.96,11.5,5.3,,,,2174.02K,Electronic Technology,Semiconductors,62.0,,,,6.2679,5.7657,89.26K,80.37K,185.99,154.3,,No,,,,,,19
711,TCPLPACK.NS,3675.8,3300.1001,11.38,7.18,YES,YES,YES,68.99K,Commercial Services,Commercial Printing/Forms,79.0,91.0,86.0,80.0,155.3428,154.6571,5.75K,3.43K,3960.0,2200.0,33.38B,No,3251.87,2987.41,2859.73,3094.49,2765.94,497
1008,MRPL.NS,181.14,162.96,11.16,14.68,YES,YES,YES,57502.29K,Energy Minerals,Oil Refining/Marketing,71.0,80.0,74.0,43.0,7.9864,7.9464,11742.58K,7059.02K,212.31,120.45,317.47B,No,169.45,161.06,166.24,164.41,171.62,499
587,SUSAN.BO,258.9,233.05,11.09,5.85,YES,,,653.00K,Producer Manufacturing,Electrical Products,83.0,88.0,,,13.0321,11.5893,392.08K,204.80K,275.0,180.6,5.26B,No,232.85,,,,,38
