RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
998,APL.BO,105.44,82.36,28.02,7.51,YES,YES,YES,387.00K,Distribution Services,Medical Distributors,71.0,97.0,85.0,64.0,4.0164,3.4121,20.71K,41.40K,114.0,60.0,897.54M,No,80.46,76.58,79.85,77.01,77.96,277
148,KALYANI.BO,1094.3,872.95,25.36,2.19,YES,YES,YES,47.50K,Process Industries,Containers/Packaging,95.0,94.0,94.0,95.0,64.0714,54.95,13.16K,19.00K,1118.8,438.65,7.86B,No,819.82,759.41,593.58,796.57,646.95,497
457,RAMBHAJO.NS,263.57,213.2,23.63,5.64,YES,,,16411.13K,Consumer Durables,Other Consumer Specialties,86.0,95.0,,,15.2957,15.0307,1158.04K,2559.42K,279.33,161.6,,No,188.98,,,,,41
732,OAL.NS,428.95,349.35,22.79,0.83,YES,YES,YES,565.31K,Process Industries,Chemicals: Specialty,79.0,72.0,77.0,83.0,17.15,16.9714,37.38K,75.08K,432.55,228.0,14.44B,No,363.19,350.85,307.6,354.82,312.47,499
80,PARMESHWAR.BO,298.1,244.1,22.12,1.42,YES,YES,YES,127.00K,Non-Energy Minerals,Other Metals/Minerals,96.0,96.0,89.0,95.0,11.5,9.85,15.54K,46.10K,302.4,64.71,4.56B,No,202.43,196.23,157.56,200.77,172.42,402
115,PVP.NS,62.12,51.35,20.97,0.0,YES,YES,YES,6578.82K,Technology Services,Information Technology Services,95.0,98.0,97.0,94.0,3.5671,3.3557,1489.16K,3879.17K,62.12,20.1,16.18B,No,37.07,31.97,31.26,34.05,30.56,499
405,RAMRAT.NS,569.6,489.55,16.35,1.88,YES,YES,YES,3785.26K,Producer Manufacturing,Electrical Products,88.0,88.0,68.0,89.0,18.7607,18.6464,239.95K,233.19K,580.5,268.0,53.17B,No,467.45,436.36,365.23,443.01,390.06,499
249,MAYUR.BO,31.83,27.57,15.45,0.0,YES,YES,YES,4.98K,Consumer Non-Durables,Apparel/Footwear,92.0,95.0,92.0,78.0,3.1979,3.12,23.11K,28.57K,31.83,12.75,153.89M,No,23.91,23.03,21.23,23.68,21.57,497
594,VOEPL.NS,572.7,498.75,14.83,3.5,YES,,,291.10K,Health Technology,Medical Specialties,82.0,88.0,,,32.6214,32.4821,185.73K,340.25K,593.45,428.65,19.62B,No,498.24,,,,,41
355,INOXINDIA.NS,2177.9,1900.0,14.63,2.07,YES,YES,YES,4484.15K,Producer Manufacturing,Industrial Machinery,89.0,52.0,83.0,91.0,55.8572,55.85,381.17K,104.25K,2224.0,1068.2,197.67B,No,1932.66,1935.53,1439.83,1936.87,1560.56,499
370,PHRMASI.BO,86.9,76.0,14.34,34.04,YES,NO,NO,1.49K,Health Technology,Pharmaceuticals: Major,88.0,9.0,59.0,11.0,6.1636,5.15,0.55K,0.43K,131.75,30.01,593.26M,No,80.6,89.4,90.4,87.78,90.93,497
827,DTIL.NS,173.94,152.69,13.92,12.55,YES,YES,YES,277.13K,Process Industries,Agricultural Commodities/Milling,76.0,96.0,86.0,76.0,8.9243,7.9571,14.13K,56.17K,198.9,102.0,1.83B,No,137.79,137.52,142.7,140.68,137.34,498
459,OMAXE.NS,113.38,99.63,13.8,1.41,YES,YES,YES,4979.73K,Finance,Real Estate Development,86.0,91.0,90.0,81.0,7.1393,6.81,2546.52K,6387.17K,115.0,62.5,20.82B,No,93.52,88.88,79.02,91.23,81.98,499
384,INTSTOIL.BO,53.66,47.59,12.75,3.32,YES,YES,YES,57.77K,Transportation,Trucking,88.0,95.0,87.0,89.0,4.275,4.0921,5.11K,20.07K,55.5,28.0,267.89M,No,40.16,39.93,35.2,41.16,36.39,497
1061,DIANATEA.BO,33.2,29.59,12.2,4.46,YES,YES,YES,58.73K,Process Industries,Agricultural Commodities/Milling,70.0,95.0,82.0,65.0,2.06,1.8857,11.13K,34.40K,34.75,22.75,497.70M,No,27.33,26.37,26.86,26.85,26.35,497
158,IOLCP.NS,193.07,172.37,12.01,1.31,YES,YES,YES,10359.25K,Process Industries,Chemicals: Specialty,94.0,91.0,90.0,96.0,9.9943,9.7543,4762.96K,4272.20K,195.64,67.19,56.67B,No,162.39,154.6,105.47,158.05,115.1,500
200,RATNAVEER.NS,294.89,263.43,11.94,0.68,YES,YES,YES,7097.89K,Non-Energy Minerals,Steel,93.0,97.0,94.0,91.0,16.0629,15.8798,5733.53K,11107.04K,296.9,130.5,21.15B,No,228.1,199.74,166.64,205.62,173.1,499
1181,SHAHALLOYS.NS,85.96,76.82,11.9,2.73,YES,YES,YES,213.08K,Non-Energy Minerals,Steel,66.0,83.0,59.0,66.0,5.5086,5.4871,24.22K,91.81K,88.37,53.1,1.70B,No,72.89,71.23,68.69,71.37,68.2,499
1031,HATSUN.NS,1152.5,1030.5,11.84,2.25,YES,YES,YES,284.11K,Consumer Non-Durables,Food: Meat/Fish/Dairy,71.0,91.0,76.0,69.0,43.6857,43.3214,41.00K,94.66K,1179.0,855.3,256.72B,No,955.24,927.73,946.55,942.18,934.27,499
