RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1378,ALKALI.NS,87.34,65.55,33.24,18.66,YES,YES,YES,516.66K,Process Industries,Chemicals: Specialty,61.0,93.0,36.0,81.0,4.455,3.0164,5.51K,10.39K,107.38,46.8,889.34M,No,68.21,73.81,73.05,72.97,70.93,497
192,NEXUSSURGL.BO,33.74,25.5,32.31,0.0,YES,YES,YES,96.02K,Distribution Services,Medical Distributors,93.0,98.0,95.0,88.0,2.9929,2.5971,5.32K,19.55K,33.74,13.26,184.62M,No,21.32,20.16,18.65,21.62,20.14,496
432,HSIL.BO,480.55,372.35,29.06,3.31,YES,YES,YES,200.80K,Health Technology,Medical Specialties,87.0,94.0,83.0,89.0,23.1536,17.2071,20.64K,41.00K,497.0,215.0,6.99B,No,368.17,371.08,323.12,381.16,343.26,496
780,EIGHTY.BO,46.0,36.92,24.59,7.82,YES,YES,YES,9.00K,Consumer Durables,Other Consumer Specialties,78.0,89.0,63.0,82.0,1.3686,0.1429,3.70K,6.30K,49.9,22.2,469.17M,No,37.48,40.63,34.79,40.65,35.45,498
1118,MARBLE.BO,125.0,102.5,21.95,28.37,YES,YES,YES,15.70K,Distribution Services,Wholesale Distributors,68.0,65.0,89.0,60.0,7.1893,5.8393,42.84K,119.23K,174.5,83.9,3.25B,No,118.04,122.75,120.22,119.99,107.52,496
908,PKTEA.NS,972.75,802.65,21.19,12.76,YES,YES,YES,61.69K,Process Industries,Agricultural Commodities/Milling,74.0,96.0,77.0,68.0,65.5821,53.5964,0.91K,2.17K,1115.0,605.0,3.01B,No,745.58,732.31,767.91,742.53,773.78,497
889,PODDARMENT.NS,311.45,257.1,21.14,6.58,YES,YES,YES,276.74K,Process Industries,Industrial Specialties,75.0,89.0,76.0,76.0,13.2107,11.4429,6.48K,4.41K,333.4,201.1,3.30B,No,258.01,252.57,249.43,257.88,247.72,497
147,WHEELS.NS,2106.4,1755.4,20.0,0.0,YES,YES,YES,3912.92K,Producer Manufacturing,Auto Parts: Oem,95.0,97.0,84.0,95.0,93.5929,92.4429,151.89K,185.19K,2106.4,705.85,51.47B,No,1547.87,1494.52,1183.32,1555.07,1349.73,500
611,AFLTD.BO,62.65,52.25,19.9,11.76,YES,YES,,126.00K,Producer Manufacturing,Auto Parts: Oem,82.0,76.0,86.0,,2.5557,1.6779,27.42K,10.80K,71.0,40.85,846.75M,No,56.17,56.95,,57.93,,73
378,VENUSPIPES.NS,1949.9,1631.0,19.55,1.87,YES,YES,YES,1040.58K,Non-Energy Minerals,Steel,88.0,90.0,87.0,91.0,78.2571,67.1714,138.08K,160.58K,1987.0,890.0,40.39B,No,1609.47,1672.85,1337.8,1683.6,1416.27,498
160,CORDSCABLE.NS,372.75,313.35,18.96,0.86,YES,YES,YES,1936.68K,Producer Manufacturing,Electrical Products,94.0,98.0,96.0,94.0,25.5307,25.1979,71.47K,317.16K,376.0,127.01,4.82B,No,264.83,231.47,195.39,243.38,205.03,499
200,MMP.NS,478.5,404.15,18.4,1.34,YES,YES,YES,482.28K,Non-Energy Minerals,Other Metals/Minerals,93.0,96.0,96.0,92.0,28.0107,24.75,82.75K,116.71K,485.0,185.2,12.16B,No,385.87,327.72,271.85,349.71,284.73,497
43,BODALCHEM.NS,184.05,155.62,18.27,1.05,YES,YES,YES,5495.23K,Process Industries,Industrial Specialties,97.0,98.0,98.0,98.0,11.7914,9.5836,1311.89K,7382.35K,186.0,42.81,23.18B,No,98.67,78.86,62.99,91.61,71.99,498
134,ASMTEC.BO,6345.2,5370.4502,18.15,1.61,YES,YES,YES,63.48K,Technology Services,Information Technology Services,95.0,94.0,97.0,97.0,268.3856,210.9143,30.10K,34.69K,6449.0,2099.9,92.57B,No,4859.48,4577.46,3409.79,4837.52,3624.33,496
1292,ATLASCYCLE.NS,113.03,96.18,17.52,13.05,YES,YES,YES,1077.45K,Consumer Durables,Motor Vehicles,64.0,83.0,69.0,70.0,4.2564,4.2564,5.83K,4.02K,130.0,76.15,735.13M,No,97.4,97.62,96.28,98.84,96.9,497
1036,ARVEE.NS,193.74,165.1,17.35,33.37,YES,YES,YES,59.04K,Process Industries,Chemicals: Specialty,71.0,91.0,74.0,68.0,13.1186,13.0436,4.88K,7.41K,290.78,129.11,2.14B,No,170.83,163.55,168.46,164.46,161.8,497
821,MVGJL.NS,210.72,179.9,17.13,9.94,YES,YES,YES,3734.16K,Retail Trade,Specialty Stores,76.0,91.0,88.0,74.0,11.855,9.9414,156.68K,608.17K,233.99,129.1,10.29B,No,159.14,160.07,165.41,165.78,159.77,497
254,RAYMOND.NS,857.8,740.85,15.79,1.29,YES,YES,YES,13357.29K,Process Industries,Textiles,92.0,95.0,93.0,94.0,34.8393,31.8429,903.82K,2623.18K,869.0,320.0,57.09B,No,656.8,626.2,490.81,652.4,525.82,499
