RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
976,ORIENTCER.NS,46.73,43.12,8.37,17.5,YES,YES,YES,352.73K,Non-Energy Minerals,Aluminum,71.0,80.0,71.0,59.0,2.1329,2.0071,63.93K,74.74K,56.64,34.0,5.59B,No,41.94,40.98,41.13,41.79,40.52,497
1029,KRYSTAL.NS,681.35,629.45,8.25,6.6,YES,YES,YES,686.36K,Commercial Services,Miscellaneous Commercial Services,69.0,83.0,73.0,54.0,17.4536,16.8071,21.46K,41.22K,729.5,500.0,9.52B,No,612.31,603.76,580.08,611.75,594.4,498
1201,INDSUCR.BO,89.41,82.6,8.24,11.03,YES,YES,YES,56.89K,Process Industries,Agricultural Commodities/Milling,64.0,85.0,80.0,72.0,4.3093,3.84,6.17K,10.05K,100.5,61.31,1.55B,No,76.46,75.42,75.67,75.96,74.71,497
664,KMSUGAR.NS,35.3,32.63,8.18,1.94,YES,YES,YES,1972.00K,Process Industries,Agricultural Commodities/Milling,80.0,90.0,81.0,82.0,1.6271,1.5429,146.64K,332.25K,36.0,23.0,3.25B,No,28.85,27.86,27.05,28.27,27.18,500
342,PHRMASI.BO,77.04,71.25,8.13,41.53,NO,NO,NO,0.36K,Health Technology,Pharmaceuticals: Major,89.0,6.0,22.0,4.0,5.86,5.0,0.56K,0.46K,131.75,28.42,525.95M,No,83.55,91.87,88.99,89.95,91.64,496
1246,JNPR.NS,273.76,253.71,7.9,0.64,,,,7026.56K,Utilities,Alternative Power Generation,63.0,,,,,,9962.04K,9962.04K,275.52,232.11,155.77B,No,,,,,,10
1059,INTSTOIL.BO,40.4,37.46,7.85,15.46,YES,YES,YES,10.27K,Transportation,Trucking,68.0,60.0,75.0,63.0,3.1807,3.0271,4.07K,4.32K,47.79,28.0,201.69M,No,38.89,39.7,34.92,39.96,35.64,497
440,DHAMPURSUG.NS,189.76,176.18,7.71,1.62,YES,YES,YES,6605.89K,Process Industries,Agricultural Commodities/Milling,86.0,94.0,83.0,89.0,9.5271,8.9636,387.42K,1017.61K,192.89,110.0,12.20B,No,154.23,146.82,134.43,148.57,138.74,501
756,EPL.NS,270.1,250.8,7.7,1.06,YES,YES,YES,6479.65K,Process Industries,Containers/Packaging,77.0,83.0,80.0,73.0,9.3364,9.1914,871.16K,2950.55K,273.0,176.4,86.51B,No,237.63,234.73,216.79,237.62,222.02,499
1031,VIPPYSP.BO,192.8,179.05,7.68,4.37,YES,YES,YES,3.57K,Process Industries,Textiles,69.0,80.0,73.0,76.0,11.6321,10.6786,0.91K,1.72K,201.6,130.6,1.13B,No,173.84,174.35,164.04,173.59,163.94,497
