RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
716,QUADFUTURE.NS,405.35,337.8,20.0,19.32,YES,YES,YES,7457.27K,Producer Manufacturing,Electrical Products,78.0,68.0,90.0,77.0,20.8071,20.7214,961.00K,297.50K,502.4,248.55,16.21B,No,357.0,396.14,327.33,398.01,334.15,401
581,SAMBANDAM.BO,151.2,126.0,20.0,0.0,YES,YES,YES,9.03K,Process Industries,Textiles,82.0,96.0,87.0,85.0,7.5179,3.4893,0.50K,0.44K,151.2,87.0,644.81M,No,108.48,108.26,104.82,112.35,106.01,498
473,VICTMILL.BO,8580.75,7373.4502,16.37,1.93,YES,YES,YES,1.71K,Process Industries,Textiles,85.0,98.0,91.0,76.0,360.5572,297.5572,0.04K,0.11K,8750.0,4501.0,845.72M,No,5457.4,5301.95,5798.74,5476.4,5690.93,498
322,KRONOX.NS,215.18,186.19,15.57,3.69,YES,YES,YES,24328.54K,Process Industries,Chemicals: Specialty,89.0,96.0,93.0,91.0,12.5857,11.5843,271.25K,834.24K,223.42,96.0,7.98B,No,162.3,156.13,137.4,160.15,137.23,500
82,WELCORP.NS,2311.9,2005.2,15.3,1.58,YES,YES,YES,19962.90K,Producer Manufacturing,Industrial Machinery,96.0,96.0,96.0,97.0,69.4643,58.8,1012.72K,717.93K,2348.9,710.0,609.66B,No,1827.26,1644.85,1126.64,1678.44,1246.23,501
235,MARC.NS,136.45,121.1,12.68,,YES,YES,,,Industrial Services,Engineering & Construction,92.0,82.0,90.0,96.0,5.8893,4.7857,,,,,,No,123.21,102.15,,106.6,83.55,159
196,TBZ.NS,279.5,248.85,12.32,5.48,YES,YES,YES,7128.16K,Consumer Durables,Other Consumer Specialties,93.0,64.0,97.0,92.0,15.9464,14.975,2030.67K,1269.94K,295.7,110.5,18.65B,No,267.32,236.41,176.04,239.27,177.9,501
1030,MRTX.BO,341.3,304.8,11.98,29.47,YES,NO,,380.00K,Electronic Technology,Electronic Components,69.0,25.0,,,19.6571,18.2607,214.88K,115.60K,483.9,283.1,5.97B,No,339.04,374.77,,379.5,,55
1284,MODIRUBBER.NS,134.24,120.07,11.8,19.86,YES,YES,YES,40.79K,Consumer Durables,Automotive Aftermarket,62.0,73.0,53.0,57.0,6.7829,6.34,2.40K,3.19K,167.5,98.41,3.36B,No,121.74,126.17,122.99,127.38,125.06,500
214,KWIL.NS,48.35,43.47,11.23,2.32,YES,YES,,240276.69K,Consumer Non-Durables,Food: Meat/Fish/Dairy,92.0,97.0,96.0,,2.43,2.4271,17565.19K,33509.90K,49.5,22.24,113.60B,No,35.38,34.61,,35.24,,130
745,KJMCCORP.BO,74.06,66.94,10.64,14.87,YES,YES,YES,11.18K,Finance,Investment Banks/Brokers,77.0,95.0,84.0,86.0,5.3736,4.8921,0.65K,0.88K,87.0,41.0,290.79M,No,56.73,55.72,54.24,56.77,53.2,498
1254,PARAGONF.BO,56.75,51.46,10.28,10.87,YES,YES,YES,0.05K,Finance,Finance/Rental/Leasing,63.0,66.0,62.0,59.0,4.6593,3.6507,1.73K,2.08K,63.67,37.25,241.19M,No,50.3,50.18,50.67,51.05,50.41,499
776,KOTARISUG.NS,33.29,30.25,10.05,11.65,YES,YES,YES,1324.67K,Process Industries,Agricultural Commodities/Milling,76.0,95.0,83.0,76.0,1.6814,1.6407,67.64K,224.63K,37.68,22.5,2.76B,No,26.61,25.9,26.24,26.34,25.69,501
553,ISTRNETWK.BO,45.55,41.41,10.0,36.87,NO,NO,NO,209.77K,Commercial Services,Miscellaneous Commercial Services,83.0,33.0,50.0,52.0,3.4179,3.4164,22.37K,23.76K,72.15,14.76,3.31B,No,45.84,47.46,47.42,47.94,46.11,498
571,MAITRI.BO,46.1,42.0,9.76,0.97,YES,YES,YES,0.01K,Non-Energy Minerals,Aluminum,82.0,64.0,56.0,78.0,2.0379,1.24,0.10K,0.04K,46.55,22.1,202.84M,No,41.52,40.83,35.24,41.31,35.97,499
237,ATLANTAELE.NS,1846.9,1688.6,9.37,14.2,YES,YES,YES,402.65K,Producer Manufacturing,Electrical Products,92.0,88.0,64.0,95.0,88.8286,86.7072,118.07K,170.71K,2152.6,707.6,142.02B,No,1639.65,1711.25,1300.06,1707.37,1466.44,224
164,BLUSPRING.NS,128.98,117.96,9.34,2.15,YES,YES,YES,2549.30K,Commercial Services,Miscellaneous Commercial Services,94.0,90.0,96.0,95.0,7.0993,7.0536,1077.29K,486.89K,131.82,43.98,19.28B,No,114.81,111.99,76.81,114.09,80.11,300
408,KVSCASTING.BO,86.57,79.25,9.24,3.69,YES,YES,YES,396.00K,Non-Energy Minerals,Steel,87.0,95.0,92.0,89.0,6.1179,5.8143,47.19K,172.00K,89.89,48.01,1.62B,No,71.43,66.68,61.05,68.37,59.9,219
895,URBANCO.NS,158.6,145.49,9.01,21.17,YES,YES,YES,65636.61K,Technology Services,Packaged Software,73.0,89.0,85.0,79.0,5.9979,5.6043,6015.94K,7971.30K,201.18,100.7,233.54B,No,140.71,135.55,129.43,136.09,127.83,233
273,FCL.NS,47.43,43.55,8.91,0.98,YES,YES,YES,34485.46K,Process Industries,Industrial Specialties,91.0,81.0,90.0,94.0,2.52,2.5143,18437.78K,13703.85K,47.9,19.1,55.23B,No,41.67,40.64,29.35,41.06,31.15,501
220,MAWANASUG.NS,152.54,140.1,8.88,4.0,YES,YES,YES,1990.69K,Consumer Non-Durables,Food: Specialty/Candy,92.0,95.0,92.0,94.0,9.1336,8.4243,165.91K,675.71K,158.9,75.08,5.97B,No,117.62,112.91,95.27,114.5,100.25,501
362,KENNAMET.NS,4044.7,3719.6001,8.74,2.66,YES,YES,,216.68K,Producer Manufacturing,Metal Fabrication,88.0,97.0,88.0,,195.4071,190.4214,24.34K,81.03K,4155.1,2405.2,88.90B,No,3273.92,3057.79,,3103.27,,93
133,VEL.BO,69.37,63.85,8.65,0.9,YES,YES,YES,175.47K,Distribution Services,Wholesale Distributors,95.0,78.0,87.0,89.0,3.98,3.8057,33.79K,21.48K,70.0,19.3,1.77B,No,63.35,61.83,48.7,62.63,52.61,498
517,AIRFLOA.BO,423.1,389.75,8.56,2.05,YES,YES,YES,263.00K,Producer Manufacturing,Trucks/Construction/Farm Machinery,84.0,92.0,85.0,86.0,19.7929,19.3464,96.51K,104.25K,431.95,246.0,10.14B,No,337.89,329.54,319.9,335.79,313.81,230
1273,MNIL.BO,35.23,32.55,8.23,34.76,YES,YES,NO,3.02K,Finance,Real Estate Development,62.0,89.0,17.0,16.0,3.9507,3.8621,5.28K,8.14K,54.0,20.0,903.56M,No,32.68,33.61,37.68,33.49,38.67,498
609,MODTHREAD.NS,58.31,53.9,8.18,11.18,YES,YES,YES,40.83K,Process Industries,Textiles,81.0,86.0,84.0,78.0,4.4686,4.02,8.96K,47.52K,65.65,35.61,2.03B,No,49.9,47.84,45.68,48.28,46.6,499
1305,JBMA.NS,673.95,623.35,8.12,14.69,YES,YES,YES,13183.96K,Producer Manufacturing,Auto Parts: Oem,61.0,54.0,58.0,64.0,16.0071,14.4107,923.05K,184.04K,790.0,477.0,159.39B,No,647.6,672.02,617.8,673.89,622.13,501
396,JINDALSAW.NS,291.65,269.75,8.12,2.26,YES,YES,YES,16800.85K,Non-Energy Minerals,Steel,87.0,79.0,85.0,88.0,9.1107,8.9786,1981.50K,1104.87K,298.4,153.0,185.96B,No,266.28,263.22,210.58,267.03,228.45,501
