RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
468,LADDERUP.NS,74.31,61.93,19.99,0.0,,,,59.23K,Finance,Investment Managers,86.0,,,,5.1071,3.84,1.32K,2.18K,74.31,42.7,787.87M,No,,,,,,19
1117,MODAIRY.BO,42.87,35.73,19.98,15.18,YES,YES,YES,297.84K,Consumer Non-Durables,Food: Meat/Fish/Dairy,68.0,96.0,80.0,69.0,2.875,2.7207,21.30K,10.24K,50.54,26.56,1.29B,No,36.55,33.04,35.29,33.39,34.56,497
467,GRAVISSHO.NS,42.7,35.59,19.98,0.0,,,,433.90K,Consumer Services,Hotels/Resorts/Cruise Lines,86.0,,,,2.6843,2.2793,55.09K,98.08K,42.7,27.9,3.01B,No,,,,,,19
171,RAYMOND.NS,1002.8,853.85,17.44,2.12,YES,YES,YES,16244.81K,Process Industries,Textiles,94.0,98.0,95.0,96.0,53.1679,48.4893,1205.56K,4704.68K,1024.5,320.0,66.74B,No,695.8,644.23,496.89,666.9,530.66,500
389,MARBLE.BO,169.15,144.45,17.1,3.07,YES,YES,YES,252.31K,Distribution Services,Wholesale Distributors,88.0,95.0,96.0,87.0,12.4429,10.6393,85.81K,387.56K,174.5,83.9,4.40B,No,121.47,123.39,120.14,124.41,108.99,497
1271,PINELABS.NS,202.17,173.17,16.75,28.81,YES,YES,YES,276653.79K,Technology Services,Packaged Software,64.0,90.0,86.0,60.0,9.4914,9.2993,22382.50K,22514.95K,284.0,134.73,233.28B,No,165.68,157.59,183.84,159.29,165.33,209
1320,MDRC.BO,77.07,66.17,16.47,22.93,YES,YES,,187.20K,Health Services,Medical/Nursing Services,63.0,97.0,84.0,62.0,5.3343,4.9836,16.60K,50.40K,100.0,45.0,1.16B,No,53.02,51.86,,54.19,62.5,170
829,GARGFUR.BO,172.5,150.1,14.92,12.88,YES,YES,YES,35.84K,Non-Energy Minerals,Steel,76.0,91.0,91.0,56.0,15.2571,14.3071,11.04K,19.40K,198.0,108.65,864.00M,No,151.25,133.29,134.9,138.89,136.31,497
243,FILATEX.NS,87.41,76.25,14.64,3.84,YES,YES,YES,38897.23K,Process Industries,Textiles,92.0,73.0,95.0,94.0,4.8,4.6993,4291.78K,1433.82K,90.9,36.26,38.82B,No,79.23,75.23,53.8,77.3,56.09,500
605,AMDIND.NS,64.03,56.04,14.26,5.94,YES,YES,YES,483.36K,Producer Manufacturing,Miscellaneous Manufacturing,82.0,85.0,88.0,86.0,4.0736,4.0736,32.62K,60.39K,68.07,33.77,1.23B,No,55.87,50.82,46.5,51.89,46.23,499
1143,JAIHIND.BO,49.76,43.56,14.23,17.07,YES,YES,YES,50.69K,Process Industries,Textiles,68.0,94.0,82.0,35.0,5.3564,5.2964,27.75K,52.51K,60.0,31.0,320.72M,No,42.71,39.31,42.95,40.25,42.09,497
1396,KVTOYS.BO,300.95,267.25,12.61,17.3,YES,YES,,45.00K,Consumer Durables,Recreational Products,61.0,84.0,75.0,64.0,12.6536,10.7857,11.34K,8.04K,363.9,180.0,1.89B,No,273.09,286.44,,286.94,261.99,186
877,DEEP.NS,46.08,40.98,12.45,6.28,,,,446.43K,Process Industries,Chemicals: Specialty,75.0,,,,2.7536,2.7114,21.67K,30.67K,49.17,34.2,1.11B,No,,,,,,19
520,APOLLOFI.BO,561.9,502.3,11.87,6.66,YES,YES,YES,12.80K,Finance,Finance/Rental/Leasing,85.0,98.0,94.0,82.0,26.5429,23.9,0.98K,1.68K,602.0,299.0,2.10B,No,398.71,366.44,372.1,381.3,364.2,497
579,SMSPHARMA.NS,463.45,417.45,11.02,1.18,YES,YES,YES,10400.04K,Health Technology,Pharmaceuticals: Major,83.0,92.0,80.0,51.0,20.0464,19.8393,404.92K,697.54K,469.0,242.25,43.40B,No,376.91,381.56,368.42,385.3,388.63,500
422,DIGJAMLMTD.NS,68.42,61.84,10.64,6.52,YES,YES,YES,1282.16K,Process Industries,Textiles,87.0,96.0,91.0,86.0,3.6307,3.4236,31.54K,78.41K,73.19,36.03,1.37B,No,52.33,48.34,46.73,49.77,46.4,498
406,RACLGEAR.NS,1756.7,1588.2,10.61,5.35,YES,YES,YES,1142.82K,Producer Manufacturing,Auto Parts: Oem,88.0,92.0,86.0,68.0,89.1357,89.1072,41.19K,41.77K,1856.0,900.1,20.74B,No,1527.4,1415.31,1270.6,1443.96,1356.83,440
220,AFLTD.BO,82.95,75.2,10.31,1.25,YES,YES,,84.00K,Producer Manufacturing,Auto Parts: Oem,93.0,96.0,95.0,,4.2043,3.1264,31.69K,42.60K,84.0,40.85,1.12B,No,58.87,58.43,,59.96,,76
821,ACCELERATE.BO,127.27,115.44,10.25,36.03,YES,YES,YES,2.56K,Commercial Services,Miscellaneous Commercial Services,76.0,92.0,80.0,3.0,2.6629,0.2307,0.57K,2.11K,198.95,67.0,437.56M,No,103.17,101.61,123.26,103.66,136.08,497
832,EFORU.BO,109.2,99.2,10.08,0.0,YES,YES,YES,0.00K,Distribution Services,Wholesale Distributors,76.0,64.0,40.0,51.0,0.9893,0.1179,5.75K,5.75K,109.2,43.82,822.00M,No,96.67,95.0,84.05,95.81,90.6,496
495,DHOOTTRANS.NS,1728.7,1571.6,10.0,0.0,YES,,,5861.89K,Producer Manufacturing,Electrical Products,85.0,,,,106.125,103.8607,6903.98K,2821.38K,1728.7,1131.0,353.60B,No,1501.6,,,,,20
894,BGDL.BO,140.1,127.4,9.97,58.83,YES,YES,YES,277.82K,Consumer Durables,Homebuilding,74.0,98.0,87.0,83.0,14.9921,9.3764,61.31K,306.31K,340.3,78.2,14.19B,No,111.79,99.31,111.27,103.83,104.02,497
476,DLTNCBL.BO,727.5,661.9,9.91,11.71,YES,YES,YES,80.60K,Producer Manufacturing,Electrical Products,86.0,94.0,96.0,88.0,40.1357,36.0964,11.58K,13.79K,824.0,336.0,6.29B,No,599.23,501.72,497.79,522.83,459.06,497
