RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
146,KALYANI.BO,1047.5,872.95,20.0,0.0,YES,YES,YES,71.50K,Process Industries,Containers/Packaging,95.0,94.0,94.0,95.0,64.0714,54.95,12.21K,13.88K,1047.5,438.65,7.52B,No,819.82,759.41,593.58,796.57,646.95,498
829,DTIL.NS,183.22,152.69,19.99,7.88,YES,YES,YES,450.99K,Process Industries,Agricultural Commodities/Milling,76.0,96.0,86.0,76.0,8.9243,7.9571,7.00K,13.12K,198.9,102.0,1.93B,No,137.79,137.52,142.7,140.68,137.34,499
457,RAMBHAJO.NS,255.69,213.2,19.93,0.06,YES,,,12226.52K,Consumer Durables,Other Consumer Specialties,86.0,95.0,,,15.2957,15.0307,649.46K,482.58K,255.84,161.6,,No,188.98,,,,,41
998,APL.BO,96.05,82.36,16.62,14.05,YES,YES,YES,215.00K,Distribution Services,Medical Distributors,71.0,97.0,85.0,64.0,4.0164,3.4121,16.82K,17.70K,111.75,60.0,817.61M,No,80.46,76.58,79.85,77.01,77.96,277
686,WEL.NS,155.92,134.02,16.34,15.04,YES,YES,YES,16976.64K,Electronic Technology,Electronic Equipment/Instruments,80.0,96.0,95.0,58.0,10.9471,10.8114,685.83K,1617.92K,183.53,75.01,20.89B,No,133.89,114.6,126.38,120.48,114.83,501
1320,DHUNINV.NS,1115.9,959.8,16.26,29.06,YES,YES,YES,63.61K,Process Industries,Chemicals: Specialty,63.0,93.0,85.0,59.0,72.0393,70.0786,2.14K,4.82K,1573.1,667.1,6.80B,No,957.33,921.96,980.61,948.45,895.07,499
594,VOEPL.NS,579.55,498.75,16.2,2.34,YES,,,2738.59K,Health Technology,Medical Specialties,82.0,89.0,,,32.6214,32.4821,124.46K,92.42K,593.45,428.65,19.85B,No,498.24,,,,,41
1310,MTL.BO,115.08,99.41,15.76,9.57,YES,YES,,79.20K,Retail Trade,Electronics/Appliance Stores,63.0,91.0,78.0,,6.0464,5.8257,16.45K,3.84K,127.26,76.0,1.20B,No,90.28,90.24,,92.03,,88
995,TARMAT.NS,62.54,54.23,15.32,15.37,YES,YES,YES,511.50K,Industrial Services,Engineering & Construction,71.0,90.0,77.0,66.0,5.37,5.3693,29.99K,134.13K,73.9,46.26,1.57B,No,53.56,51.45,52.71,52.2,53.63,500
732,OAL.NS,401.25,349.35,14.86,2.94,YES,YES,YES,651.98K,Process Industries,Chemicals: Specialty,79.0,72.0,77.0,83.0,17.15,16.9714,27.45K,12.07K,413.4,228.0,13.50B,No,363.19,350.85,307.6,354.82,312.47,500
522,RGL.NS,152.58,132.87,14.83,4.04,YES,YES,YES,39921.96K,Consumer Durables,Other Consumer Specialties,84.0,93.0,91.0,82.0,8.4421,8.1664,729.97K,1484.99K,159.0,85.0,16.39B,No,123.64,120.04,114.92,124.06,112.06,501
51,INDSWFTLAB.NS,367.48,324.38,13.29,1.67,YES,YES,YES,7364.04K,Health Technology,Pharmaceuticals: Major,97.0,98.0,98.0,97.0,23.5036,21.1193,1558.46K,3090.99K,373.72,87.15,31.96B,No,283.76,244.02,154.44,257.44,181.15,500
452,ARIES.NS,503.7,446.75,12.75,2.74,YES,YES,YES,1074.70K,Process Industries,Chemicals: Agricultural,86.0,97.0,89.0,84.0,29.6179,28.9607,39.49K,143.23K,517.9,285.35,6.55B,No,394.73,362.07,346.97,375.99,356.72,499
