Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
114,MPKSTEELS.BO,96.0,90.3,6.31,37.17,1705,NO,NO,NO,17.60K,Non-Energy Minerals,Steel,50.0,2.0,6.0,29.0,6.9893,5.9107,17.80K,4.40K,152.8,73.65,977.37M,No,108.8,115.98,116.51,115.38,118.14,206
115,IOLCP.NS,163.41,153.74,6.29,9.01,176,YES,YES,YES,3839.77K,Process Industries,Chemicals: Specialty,93.0,45.0,95.0,95.0,7.6443,7.555,5631.52K,1399.14K,179.6,67.19,47.97B,No,155.84,143.89,100.03,145.11,104.84,500
116,KHAITANLTD.NS,155.3,146.18,6.24,2.88,575,YES,YES,YES,39.23K,Consumer Durables,Electronics/Appliances,82.0,91.0,74.0,90.0,7.7836,7.3136,2.02K,1.09K,159.9,85.0,779.75M,No,132.83,132.25,114.32,133.17,116.93,498
117,UML.BO,57.9,54.51,6.22,52.15,2319,YES,YES,NO,8.00K,Retail Trade,Electronics/Appliance Stores,32.0,80.0,62.0,25.0,1.1564,0.4607,14.72K,10.40K,121.0,41.75,823.34M,No,51.22,51.03,64.34,51.44,54.99,247
118,ACML.BO,32.0,30.15,6.14,44.7,2908,YES,NO,NO,3.00K,Retail Trade,Food Retail,15.0,23.0,38.0,24.0,0.4129,0.1321,4.69K,1.30K,57.87,29.5,468.28M,No,31.97,32.9,37.51,32.94,34.4,498
119,HINDZINC.NS,596.95,562.9,6.05,18.56,1167,YES,YES,YES,13487.26K,Non-Energy Minerals,Other Metals/Minerals,65.0,84.0,34.0,14.0,13.1286,12.3429,4413.97K,3232.23K,733.0,414.55,2522.30B,No,536.24,551.9,568.33,546.83,579.55,500
120,DEVSON.BO,243.1,229.25,6.04,2.21,875,,,,274.80K,Process Industries,Chemicals: Specialty,73.0,,,,,,394.30K,226.80K,248.6,186.35,3.30B,No,,,,,,14
121,MTL.BO,94.45,89.1,6.0,25.78,2623,YES,YES,,103.20K,Retail Trade,Electronics/Appliance Stores,23.0,83.0,18.0,,4.2686,2.8371,26.09K,8.52K,127.26,79.4,987.15M,No,91.0,91.62,,90.78,,72
122,VALENCIA.BO,49.8,47.0,5.96,48.71,3200,YES,NO,NO,4.50K,Consumer Non-Durables,Beverages: Non-Alcoholic,7.0,3.0,4.0,9.0,1.7586,0.4864,6.57K,2.85K,97.1,42.25,988.05M,No,49.16,58.06,66.11,55.88,60.61,497
123,FORBESCO.BO,297.85,281.15,5.94,35.63,2990,YES,NO,NO,9.75K,Producer Manufacturing,Industrial Machinery,13.0,65.0,18.0,5.0,13.125,12.275,3.96K,6.79K,462.75,242.2,3.84B,No,276.19,298.58,333.29,295.71,328.45,497
124,CUPID.NS,252.11,237.99,5.93,0.74,23,YES,YES,YES,48715.34K,Consumer Non-Durables,Household/Personal Care,98.0,90.0,97.0,98.0,9.5571,9.1671,29224.58K,24145.95K,254.0,31.82,339.00B,No,218.73,186.32,110.53,197.69,130.16,499
125,RSL.NS,150.45,142.11,5.87,3.12,744,YES,YES,,892.24K,Non-Energy Minerals,Steel,77.0,87.0,65.0,,5.8729,5.81,453.28K,529.50K,155.3,101.7,12.57B,No,134.3,131.09,,133.21,,95
126,BLSE.NS,319.15,301.45,5.87,0.27,193,YES,YES,YES,1120.59K,Technology Services,Internet Software/Services,93.0,90.0,94.0,93.0,13.7779,13.2786,784.46K,1207.88K,320.0,124.3,28.93B,No,278.62,250.96,199.7,260.93,200.81,499
127,KANSAINER.NS,210.38,198.92,5.76,20.31,2339,YES,YES,NO,1565.58K,Process Industries,Industrial Specialties,31.0,56.0,58.0,28.0,6.8621,6.6979,523.51K,265.43K,264.0,157.91,170.15B,No,200.45,207.66,214.77,206.7,204.23,498
128,RRKABEL.NS,2793.0,2641.1001,5.75,0.78,173,YES,YES,YES,1214.70K,Producer Manufacturing,Electrical Products,94.0,92.0,93.0,94.0,122.45,115.6929,739.21K,1081.12K,2815.0,1165.0,315.90B,No,2430.07,2317.25,1687.27,2391.21,1822.76,498
129,PNTKYOR.BO,37.73,35.7,5.69,33.81,2317,YES,YES,NO,0.43K,Process Industries,Chemicals: Specialty,32.0,68.0,8.0,27.0,2.745,2.4164,0.50K,0.21K,57.0,28.49,236.67M,No,35.51,36.55,40.52,36.15,37.88,496
130,TRUALT.NS,461.55,436.7,5.69,14.84,1650,YES,NO,YES,734.61K,Process Industries,Chemicals: Specialty,51.0,55.0,39.0,68.0,21.3,20.8464,451.94K,687.89K,542.0,310.2,39.58B,No,430.54,463.33,433.41,460.77,435.65,209
131,JENBURPH.BO,1162.05,1100.05,5.64,12.03,1639,YES,YES,YES,8.92K,Health Technology,Pharmaceuticals: Major,52.0,67.0,52.0,53.0,41.525,41.3714,1.91K,1.49K,1321.0,944.0,5.13B,No,1089.21,1119.39,1097.82,1121.77,1082.06,497
132,VIRAT.BO,360.0,340.8,5.63,59.24,3328,YES,NO,NO,2.41K,Consumer Non-Durables,Apparel/Footwear,3.0,25.0,2.0,9.0,25.4286,24.25,1.86K,1.66K,883.2,293.15,5.23B,No,338.64,383.52,465.97,372.04,416.33,496
133,SOTL.NS,679.0,643.0,5.6,1.01,205,YES,YES,YES,862.08K,Process Industries,Chemicals: Specialty,93.0,89.0,96.0,93.0,37.1857,34.3679,676.18K,877.45K,685.9,285.8,46.55B,No,608.57,564.31,418.82,589.68,439.55,499
134,AGARWALEYE.NS,521.05,493.5,5.58,8.27,1039,YES,YES,YES,627.05K,Health Services,Medical/Nursing Services,69.0,81.0,73.0,70.0,18.7393,18.3393,86.26K,73.46K,568.0,401.0,165.19B,No,487.56,474.66,473.72,477.4,456.9,371
135,INDCTST.BO,54.89,52.0,5.56,27.93,1590,YES,YES,YES,0.50K,Producer Manufacturing,Trucks/Construction/Farm Machinery,53.0,14.0,67.0,54.0,2.1907,2.07,0.73K,0.20K,76.16,43.55,220.51M,No,51.19,53.04,52.56,54.3,52.05,497
136,TALBROAUTO.NS,438.3,415.25,5.55,0.84,345,YES,YES,YES,529.21K,Producer Manufacturing,Industrial Machinery,89.0,75.0,85.0,91.0,17.6607,16.7893,353.16K,116.19K,442.0,219.9,27.06B,No,404.42,386.28,305.64,393.19,316.84,499
137,NURECA.NS,343.95,326.05,5.49,1.16,658,YES,YES,YES,30.97K,Health Technology,Medical Specialties,80.0,97.0,80.0,66.0,17.9093,16.6443,36.84K,95.41K,348.0,204.0,3.44B,No,289.85,259.36,272.22,265.54,269.12,498
138,TENNIND.NS,580.7,550.55,5.48,11.61,1385,YES,YES,,2220.12K,Producer Manufacturing,Auto Parts: Oem,59.0,40.0,22.0,61.0,16.3929,16.1821,770.63K,643.55K,657.0,438.05,,No,558.44,573.89,,573.76,565.09,178
139,OSWALAGRO.NS,41.06,38.93,5.47,56.03,3265,YES,NO,NO,110.40K,Finance,Real Estate Development,5.0,45.0,13.0,15.0,1.7607,1.7443,27.19K,26.09K,93.39,33.4,5.52B,No,39.46,41.65,50.91,41.04,45.11,499
140,KGVL.BO,53.0,50.25,5.47,33.75,2185,YES,YES,YES,2.40K,Finance,Financial Conglomerates,36.0,65.0,27.0,63.0,0.6964,0.215,0.65K,0.36K,80.0,39.0,369.84M,No,47.94,51.71,51.65,51.34,49.31,452
141,JAINEX.BO,125.5,119.0,5.46,40.31,2589,YES,YES,NO,3.91K,Consumer Durables,Tools & Hardware,24.0,71.0,54.0,42.0,10.3214,9.6357,0.54K,0.77K,210.25,95.55,281.69M,No,118.92,119.53,131.19,121.21,119.79,497
142,NOVUS.BO,143.4,136.0,5.44,26.46,2130,YES,YES,,249.00K,Technology Services,Packaged Software,37.0,69.0,18.0,,5.9643,4.5464,38.00K,19.60K,195.0,126.95,2.23B,No,132.85,138.39,,139.41,,90
143,VARROC.NS,717.6,680.75,5.41,2.29,664,YES,YES,YES,1320.88K,Producer Manufacturing,Auto Parts: Oem,79.0,81.0,87.0,75.0,22.2286,22.0822,140.97K,148.11K,734.4,462.0,109.65B,No,663.33,629.91,587.82,640.02,571.25,499
144,MPSLTD.NS,2873.7,2726.1001,5.41,0.56,312,YES,YES,YES,74.82K,Consumer Services,Publishing: Books/Magazines,90.0,96.0,96.0,86.0,154.9214,138.3214,70.22K,292.65K,2890.0,1336.1,48.78B,No,2366.9,2051.36,1900.59,2153.61,1828.2,497
145,MODTHREAD.NS,50.64,48.05,5.39,18.32,1272,YES,YES,YES,1.65K,Process Industries,Textiles,62.0,76.0,68.0,70.0,2.885,2.6536,1.60K,1.00K,62.0,35.61,1.76B,No,47.77,46.56,45.44,46.89,45.87,497
146,SUVEN.NS,326.55,309.85,5.39,11.98,228,NO,YES,YES,916.88K,Health Technology,Pharmaceuticals: Major,92.0,66.0,94.0,96.0,17.8071,17.3643,2069.62K,753.22K,371.0,124.11,92.27B,No,327.3,294.41,204.68,299.42,216.75,499
147,KERNEX.NS,2549.2,2419.1001,5.38,0.69,134,YES,YES,YES,298.72K,Electronic Technology,Computer Communications,95.0,88.0,97.0,95.0,110.2214,108.1714,322.61K,131.60K,2567.0,850.0,42.84B,No,2223.63,2094.04,1418.9,2148.63,1521.42,500
148,IFBIND.NS,1443.0,1369.4,5.37,28.56,1044,YES,YES,YES,283.89K,Consumer Durables,Electronics/Appliances,69.0,88.0,78.0,76.0,45.4857,44.8,166.52K,63.05K,2019.8,883.2,58.47B,No,1345.91,1299.39,1334.66,1315.87,1189.76,500
149,SPARC.NS,218.35,207.27,5.35,24.45,419,NO,NO,YES,2185.58K,Health Technology,Pharmaceuticals: Major,87.0,3.0,90.0,91.0,9.645,9.53,6264.72K,1242.19K,289.0,108.0,70.86B,No,228.4,228.01,161.23,227.96,171.0,500
150,SAPPHIRE.NS,202.52,192.3,5.31,41.79,2187,YES,YES,NO,10530.03K,Consumer Services,Restaurants,36.0,75.0,65.0,55.0,9.0814,8.9286,1332.14K,2178.99K,347.9,139.91,65.16B,No,185.49,182.67,206.22,183.26,185.09,500
151,ADCOUNTY.BO,89.46,85.0,5.25,68.28,3357,NO,NO,NO,48.80K,Commercial Services,Advertising/Marketing Services,2.0,12.0,2.0,5.0,5.155,4.8864,34.61K,51.68K,282.0,80.0,2.01B,No,90.38,98.22,127.38,96.65,113.8,269
152,ACESEPP.BO,73.59,69.92,5.25,52.17,2581,YES,YES,,114.59K,Technology Services,Data Processing Services,24.0,98.0,22.0,1.0,7.7593,7.7586,12.05K,13.28K,153.85,25.51,,No,57.07,46.25,,47.49,87.74,151
153,AXTEL.BO,470.9,447.4,5.25,10.8,1769,YES,YES,YES,20.97K,Producer Manufacturing,Industrial Machinery,48.0,77.0,60.0,47.0,18.2607,17.5321,12.52K,4.10K,527.9,335.0,7.61B,No,435.23,444.46,437.19,444.81,429.56,496
154,CENTUPLE.BO,39.56,37.59,5.24,72.6,3107,YES,YES,NO,7.37K,Distribution Services,Medical Distributors,9.0,68.0,37.0,0.0,2.9536,2.8479,5.20K,1.50K,144.4,28.22,216.33M,No,36.31,38.88,69.05,38.46,58.01,496
155,NGLFINE.NS,3428.2,3258.1001,5.22,0.58,136,YES,YES,YES,6.83K,Health Technology,Pharmaceuticals: Major,95.0,72.0,90.0,94.0,155.2,153.5285,19.24K,7.78K,3448.2,1175.5,21.18B,No,3208.11,3036.28,2158.61,3128.21,2510.13,499
156,RITES.NS,227.35,216.14,5.19,19.06,1907,YES,YES,YES,2932.54K,Commercial Services,Miscellaneous Commercial Services,44.0,71.0,47.0,40.0,5.33,5.2029,4197.96K,459.24K,280.9,175.0,109.27B,No,219.77,213.7,221.02,216.05,213.02,499
157,IRONWOOD.BO,53.6,50.96,5.18,14.65,757,YES,YES,YES,8.01K,Consumer Services,Other Consumer Services,77.0,33.0,84.0,63.0,4.7636,4.7443,18.84K,17.09K,62.8,32.27,899.44M,No,52.42,48.05,46.42,48.4,46.62,497
158,SAFFRON.BO,27.44,26.09,5.17,73.65,2587,YES,NO,NO,3.27K,Finance,Real Estate Development,24.0,16.0,12.0,36.0,1.9286,1.8471,3.43K,4.11K,104.13,22.11,197.16M,No,26.96,28.92,37.11,28.23,30.16,496
159,SHRIKRISH.NS,42.29,40.25,5.07,24.48,1810,YES,YES,,1.27K,Finance,Real Estate Development,47.0,31.0,45.0,,2.0629,1.9629,4.75K,0.99K,56.0,35.0,,No,40.61,41.7,,41.9,,73
160,HBESD.NS,78.0,74.25,5.05,18.67,1357,YES,YES,,0.23K,Consumer Services,Hotels/Resorts/Cruise Lines,60.0,72.0,18.0,,3.6193,3.4793,5.54K,1.99K,95.9,61.05,,No,75.33,75.39,,76.15,,75
161,NATFIT.BO,155.4,148.0,5.0,33.87,1744,YES,YES,NO,8.91K,Producer Manufacturing,Metal Fabrication,48.0,65.0,64.0,49.0,6.4536,5.9857,12.56K,4.17K,235.0,133.6,1.41B,No,154.65,154.28,164.1,154.85,157.39,496
162,HMEML.BO,52.5,50.0,5.0,25.85,1552,YES,YES,YES,17.60K,Distribution Services,Wholesale Distributors,54.0,66.0,54.0,63.0,1.6857,1.125,10.99K,7.36K,70.8,36.47,719.21M,No,48.33,50.92,51.55,50.87,48.47,372
163,YORKEXP.BO,59.85,57.0,5.0,24.24,1799,YES,YES,NO,0.60K,Process Industries,Textiles,47.0,83.0,41.0,49.0,1.9986,0.87,0.18K,0.28K,79.0,47.1,201.26M,No,53.0,54.76,59.85,54.49,58.75,496
