Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
44,DIAMINESQ.NS,262.79,239.82,9.58,37.25,2246,YES,YES,YES,237.40K,Process Industries,Chemicals: Major Diversified,34.0,50.0,46.0,51.0,11.67,11.6114,8.28K,3.12K,418.8,208.01,2.64B,No,254.68,250.83,256.0,253.19,250.28,496
45,NISMGMT.BO,48.1,43.9,9.57,55.46,3284,YES,YES,NO,2.40K,Commercial Services,Miscellaneous Commercial Services,4.0,53.0,16.0,8.0,2.2671,1.2721,6.22K,4.32K,108.0,36.2,952.38M,No,46.45,47.5,63.31,47.55,53.68,229
46,TECHNVISN.NS,4825.7,4407.8999,9.48,22.14,2765,YES,YES,,1.49K,Technology Services,Data Processing Services,19.0,95.0,17.0,,354.7142,316.1357,0.94K,4.52K,6198.0,3222.8,,No,4072.04,4605.49,,4616.95,,73
47,MMP.NS,329.35,301.05,9.4,1.58,852,YES,YES,YES,382.60K,Non-Energy Minerals,Other Metals/Minerals,74.0,92.0,72.0,75.0,11.7464,11.0643,44.91K,47.71K,334.65,185.2,8.37B,No,286.72,277.23,259.16,281.27,258.87,497
48,UNIPARTS.NS,801.65,732.95,9.37,1.27,221,YES,YES,YES,1466.64K,Producer Manufacturing,Auto Parts: Oem,92.0,92.0,93.0,93.0,31.0643,30.7964,222.55K,126.97K,812.0,335.0,36.16B,No,705.31,670.42,534.45,687.28,556.84,499
49,SIMANDHAR.BO,162.85,149.05,9.26,10.0,36,YES,YES,,0.00K,Distribution Services,Wholesale Distributors,97.0,90.0,65.0,89.0,12.0107,7.475,2.56K,6.80K,180.95,21.5,497.82M,No,142.72,146.88,,146.33,133.14,153
50,NEXXUS.BO,81.85,75.0,9.13,41.54,3190,YES,YES,NO,1.20K,Non-Energy Minerals,Construction Materials,7.0,84.0,3.0,24.0,1.73,0.0629,2.77K,0.60K,140.0,64.23,568.89M,No,69.98,74.21,93.79,73.6,87.09,456
51,SMLMAH.NS,5917.5,5425.0,9.08,1.18,216,YES,YES,YES,517.63K,Consumer Durables,Motor Vehicles,92.0,97.0,93.0,89.0,361.3072,326.8714,129.75K,461.31K,5987.9,2719.0,85.64B,No,4443.34,4123.87,3885.34,4349.91,4139.91,500
52,MRTX.BO,366.95,336.45,9.07,24.17,748,NO,,,160.00K,Electronic Technology,Electronic Components,77.0,18.0,,,21.0464,20.8286,248.38K,110.00K,483.9,283.1,6.42B,No,369.02,,,,,42
53,MUTHOOTCAP.NS,261.19,239.64,8.99,13.8,1449,YES,YES,YES,117.31K,Finance,Finance/Rental/Leasing,57.0,91.0,77.0,63.0,12.0736,11.8671,26.56K,21.15K,303.0,175.25,4.30B,No,224.33,211.19,232.17,216.8,214.7,498
