RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
767,APOLLOFI.BO,502.3,418.6,20.0,7.98,YES,YES,YES,6.49K,Finance,Finance/Rental/Leasing,78.0,97.0,91.0,67.0,20.2071,19.9,0.89K,1.03K,545.85,299.0,1.87B,No,387.57,362.16,371.44,375.34,362.21,497
920,LADDERUP.NS,61.93,51.61,20.0,0.0,,,,9.33K,Finance,Investment Managers,74.0,,,,4.5264,4.05,0.85K,1.25K,61.93,42.7,656.61M,No,,,,,,18
511,MOLBIO.NS,1509.4,1257.9,19.99,0.0,,,,11329.69K,Health Technology,Medical Specialties,85.0,,,,95.0607,92.2286,3592.50K,1750.58K,1509.4,926.35,173.94B,No,,,,,,19
862,ADON.BO,102.94,85.79,19.99,0.0,YES,,,402.00K,Distribution Services,Food Distributors,75.0,91.0,,,4.4936,3.9557,251.96K,49.80K,102.94,75.25,2.37B,No,85.27,,,86.45,,49
915,GRAVISSHO.NS,35.59,29.66,19.99,0.0,,,,491.93K,Consumer Services,Hotels/Resorts/Cruise Lines,74.0,,,,2.1964,1.8729,29.39K,48.89K,35.59,27.9,2.51B,No,,,,,,18
703,MARBLE.BO,144.45,120.4,19.98,17.22,YES,YES,YES,2414.84K,Distribution Services,Wholesale Distributors,80.0,88.0,93.0,81.0,10.5893,9.1857,48.13K,149.08K,174.5,83.9,3.76B,No,119.01,122.73,120.05,121.94,108.17,497
619,DIGJAMLMTD.NS,61.84,51.54,19.98,0.0,YES,YES,YES,732.31K,Process Industries,Textiles,82.0,92.0,88.0,80.0,2.9743,2.7671,20.11K,5.40K,61.84,36.03,1.24B,No,51.33,47.87,46.59,49.11,46.18,498
1298,NIRMITEE.BO,130.0,108.7,19.6,0.0,YES,YES,YES,1.80K,Commercial Services,Miscellaneous Commercial Services,64.0,82.0,66.0,36.0,4.3429,0.0643,1.32K,8.46K,130.0,79.0,468.15M,No,110.28,113.11,121.97,113.62,119.42,497
999,AMPL.BO,35.46,29.81,18.95,10.0,YES,YES,YES,739.90K,Finance,Investment Managers,72.0,87.0,79.0,62.0,1.7464,1.6057,256.59K,128.23K,39.4,24.36,2.18B,No,29.7,31.48,30.08,31.55,30.18,497
1332,AEGEUS.BO,145.15,123.0,18.01,16.46,YES,,,243.60K,Producer Manufacturing,Industrial Machinery,63.0,,,,12.8107,12.2821,219.00K,98.04K,173.75,111.0,1.22B,No,140.63,,,,,23
482,CFEL.NS,44.92,38.65,16.22,3.15,,,,1071.86K,Process Industries,Textiles,86.0,,,,2.7593,2.625,26.13K,33.62K,46.38,28.16,1.12B,No,,,,,,17
88,SUGSLLOYD.BO,269.8,235.0,14.81,2.18,YES,YES,YES,194.00K,Utilities,Alternative Power Generation,96.0,97.0,98.0,97.0,16.9429,15.6036,64.50K,48.40K,275.8,82.5,6.26B,No,208.09,171.33,127.47,178.66,137.67,253
567,MEDICAPQ.NS,35.22,30.74,14.57,4.29,,,,493.54K,Health Technology,Pharmaceuticals: Major,83.0,,,,2.795,2.6829,8.51K,12.11K,36.8,20.33,439.19M,No,,,,,,18
474,FOSECOC.BO,1996.8,1764.0,13.2,2.6,YES,YES,YES,38.56K,Producer Manufacturing,Miscellaneous Manufacturing,86.0,92.0,94.0,81.0,98.6964,97.5214,4.94K,8.84K,2050.0,1155.0,11.18B,No,1692.83,1514.53,1415.5,1557.96,1394.02,497
1284,MRTX.BO,365.25,324.25,12.64,24.52,YES,YES,,374.00K,Electronic Technology,Electronic Components,64.0,77.0,48.0,,21.3643,20.9464,165.47K,134.00K,483.9,283.1,6.39B,No,325.45,349.94,,353.06,,69
1207,PANORAMA.NS,52.92,47.56,11.27,5.84,,,,1538.58K,Retail Trade,Specialty Stores,66.0,,,,3.9979,3.9464,357.99K,382.51K,56.2,40.0,,No,,,,,,18
1339,DEEP.NS,40.98,36.89,11.09,4.48,,,,209.62K,Process Industries,Chemicals: Specialty,63.0,,,,2.355,2.3129,10.61K,10.12K,42.9,34.2,,No,,,,,,18
53,NOVARTIND.NS,2428.2,2186.3999,11.06,6.2,YES,YES,,2292.76K,Health Technology,Pharmaceuticals: Major,97.0,97.0,96.0,,116.95,111.5214,51.82K,152.17K,2588.8,672.25,59.95B,No,1636.55,1605.44,,1641.52,,106
206,MANINDS.NS,876.45,792.55,10.59,7.16,YES,YES,YES,8837.15K,Producer Manufacturing,Industrial Machinery,93.0,97.0,95.0,94.0,49.4607,47.2214,683.57K,865.93K,944.0,302.05,65.74B,No,724.4,619.14,492.79,645.88,542.23,500
1155,ACCELERATE.BO,121.21,109.95,10.24,39.08,YES,YES,NO,0.64K,Commercial Services,Miscellaneous Commercial Services,67.0,85.0,64.0,2.0,1.8321,0.0686,0.58K,2.11K,198.95,67.0,416.73M,No,101.05,100.76,122.75,102.48,135.69,496
589,EFORU.BO,109.2,99.2,10.08,0.0,YES,YES,YES,0.00K,Distribution Services,Wholesale Distributors,83.0,84.0,61.0,64.0,1.7036,0.1179,5.76K,5.76K,109.2,43.82,822.00M,No,97.17,95.2,84.1,96.81,90.94,497
457,SRGFFL.BO,36.31,32.99,10.06,6.66,YES,YES,YES,30.00K,Finance,Finance/Rental/Leasing,86.0,95.0,96.0,67.0,2.2093,2.2057,2.58K,7.80K,38.9,17.3,195.18M,No,28.9,26.1,25.75,27.62,24.95,497
1449,MANGALAM.NS,34.88,31.71,10.0,56.12,YES,YES,YES,284.79K,Health Technology,Pharmaceuticals: Major,60.0,93.0,79.0,49.0,2.4,2.3936,35.33K,34.54K,79.49,22.8,552.09M,No,30.01,28.44,30.32,28.95,29.43,499
674,DLTNCBL.BO,661.9,601.75,10.0,19.67,YES,YES,YES,39.02K,Producer Manufacturing,Electrical Products,80.0,96.0,94.0,83.0,41.6393,38.3214,10.99K,11.23K,824.0,336.0,5.72B,No,592.48,495.85,497.68,516.27,456.87,497
286,CFL.BO,67.77,61.61,10.0,0.0,YES,YES,YES,50.93K,Process Industries,Industrial Specialties,91.0,95.0,80.0,82.0,1.6279,1.1879,4.73K,22.82K,67.77,20.5,596.90M,No,51.6,50.05,50.15,51.07,50.82,498
180,NEXUSSURGL.BO,35.22,32.02,9.99,0.51,YES,YES,YES,23.59K,Distribution Services,Medical Distributors,94.0,98.0,96.0,92.0,3.4086,3.0129,7.77K,32.23K,35.4,13.26,192.72M,No,22.91,20.68,18.81,21.77,20.19,497
51,PARMESHWAR.BO,342.85,311.7,9.99,0.0,YES,YES,YES,179.00K,Non-Energy Minerals,Other Metals/Minerals,97.0,98.0,95.0,97.0,23.8643,20.9107,20.59K,48.70K,342.85,64.71,5.25B,No,261.57,219.48,169.98,228.28,185.51,413
948,MERCURYEV.NS,41.61,37.83,9.99,0.0,YES,YES,,3794.18K,Distribution Services,Wholesale Distributors,73.0,88.0,87.0,,2.4336,2.3957,226.62K,686.53K,41.61,30.16,7.90B,No,37.92,36.5,,36.99,,73
1288,BGDL.BO,127.4,115.85,9.97,62.56,YES,YES,YES,257.23K,Consumer Durables,Homebuilding,64.0,96.0,83.0,76.0,15.1536,10.4414,57.41K,280.99K,340.3,78.2,12.90B,No,109.15,98.36,111.4,102.56,103.6,497
1160,NOVATEOR.BO,35.1,32.0,9.69,0.0,YES,YES,YES,6.00K,Health Technology,Medical Specialties,67.0,72.0,57.0,53.0,0.2821,0.0,0.14K,0.90K,35.1,20.08,212.43M,No,32.75,32.81,30.51,32.99,32.24,495
1085,TGIF.BO,109.0,100.1,8.89,1.8,YES,YES,YES,3.60K,Process Industries,Agricultural Commodities/Milling,69.0,76.0,71.0,62.0,5.3371,4.8857,3.00K,4.08K,111.0,66.5,282.05M,No,101.97,101.76,91.87,101.95,94.71,498
1274,INFORTEC.BO,89.0,82.0,8.54,17.59,YES,YES,YES,0.11K,Technology Services,Information Technology Services,64.0,77.0,56.0,49.0,4.9729,4.8293,0.31K,0.42K,108.0,65.1,371.05M,No,83.05,81.88,81.65,81.83,82.96,497
366,KRISHNACAP.BO,53.0,49.0,8.16,10.58,YES,YES,YES,0.05K,Finance,Investment Banks/Brokers,89.0,89.0,17.0,91.0,2.215,1.6557,3.46K,4.41K,59.27,18.16,167.40M,No,42.96,46.74,39.23,46.95,45.67,496
477,VSSL.NS,392.0,362.75,8.06,7.51,YES,YES,YES,8298.60K,Non-Energy Minerals,Steel,86.0,87.0,90.0,85.0,18.3429,18.1393,174.43K,100.22K,423.85,206.4,37.90B,No,357.38,323.42,280.27,332.43,283.81,499
323,AFLTD.BO,75.2,69.75,7.81,2.32,YES,YES,,81.00K,Producer Manufacturing,Auto Parts: Oem,90.0,92.0,93.0,,3.79,2.9121,31.12K,37.50K,76.99,40.85,1.02B,No,57.6,57.8,,59.18,,75
