RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
481,INFINITY.BO,507.35,399.0,27.16,0.31,YES,YES,YES,20.80K,Technology Services,Packaged Software,85.0,94.0,89.0,74.0,21.3179,13.7857,2.68K,3.12K,508.95,294.0,2.77B,No,399.29,389.92,381.1,400.97,383.63,219
257,ISTRNETWK.BO,54.99,45.55,20.72,23.78,YES,YES,YES,179.68K,Commercial Services,Miscellaneous Commercial Services,92.0,81.0,79.0,79.0,3.9221,3.4957,25.88K,42.12K,72.15,14.76,4.00B,No,46.18,47.58,47.37,48.58,46.32,496
793,LAMBODHARA.NS,142.03,118.08,20.28,12.33,YES,YES,YES,423.66K,Process Industries,Textiles,77.0,92.0,88.0,74.0,7.2221,6.3386,27.87K,17.27K,162.0,81.8,1.47B,No,114.21,113.43,112.11,116.75,108.6,498
607,INTSTOIL.BO,47.59,39.57,20.27,2.88,YES,YES,YES,53.94K,Transportation,Trucking,82.0,88.0,89.0,85.0,3.77,3.6164,4.21K,5.55K,49.0,28.0,237.58M,No,39.33,39.78,35.06,40.62,36.21,496
928,RAMBHAJO.NS,213.2,177.41,20.17,11.9,YES,,,9924.08K,Consumer Durables,Other Consumer Specialties,73.0,75.0,,,12.4164,10.2836,600.22K,311.24K,242.0,161.6,,No,184.22,,,,,39
955,SHANTIGEAR.NS,557.9,464.25,20.17,5.76,YES,YES,YES,1481.75K,Producer Manufacturing,Auto Parts: Oem,72.0,94.0,83.0,71.0,23.4107,18.9286,51.66K,211.86K,592.0,384.0,42.81B,No,414.17,428.86,449.22,440.56,447.54,498
103,PARMESHWAR.BO,244.1,203.75,19.8,5.75,YES,YES,YES,93.00K,Non-Energy Minerals,Other Metals/Minerals,96.0,93.0,79.0,93.0,9.2393,6.0464,11.32K,15.80K,259.0,64.71,3.74B,No,195.46,193.72,155.68,197.98,171.49,400
972,SHIVAM.BO,93.75,80.0,17.19,28.11,NO,NO,YES,22.50K,Non-Energy Minerals,Construction Materials,72.0,26.0,17.0,47.0,3.4857,2.8179,6.80K,7.80K,130.4,57.4,1.59B,No,97.09,103.1,92.7,99.82,105.0,496
635,ARCHIDPLY.NS,114.33,97.98,16.69,8.37,YES,YES,YES,516.87K,Producer Manufacturing,Building Products,81.0,96.0,90.0,79.0,6.4121,5.07,20.14K,42.59K,124.78,60.0,2.29B,No,90.24,84.69,84.29,88.1,82.23,498
547,MAKERSL.NS,215.51,186.88,15.32,8.68,,,,76.86K,Health Technology,Pharmaceuticals: Major,84.0,,,,,,9.02K,9.02K,236.0,150.0,1.27B,No,,,,,,5
1294,RATNAMANI.NS,2711.5,2354.3999,15.17,18.94,YES,YES,YES,1008.03K,Non-Energy Minerals,Steel,63.0,81.0,60.0,73.0,125.5928,102.3214,41.26K,58.03K,3345.0,1936.5,190.05B,No,2349.26,2492.38,2411.05,2480.51,2472.92,498
