RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
322,ANTELOPUS.NS,951.15,792.65,20.0,0.0,YES,YES,YES,12445.60K,Energy Minerals,Integrated Oil,90.0,83.0,63.0,91.0,41.0964,39.225,142.79K,83.66K,951.15,357.0,33.44B,No,809.03,822.19,640.13,827.7,716.15,501
428,SRIKPRIND.NS,30.42,25.35,20.0,0.0,,,,221.53K,Non-Energy Minerals,Construction Materials,87.0,,,,,,9.06K,9.79K,30.42,19.4,,No,,,,,,12
610,ICDSLTD.NS,59.06,49.22,19.99,5.23,YES,YES,YES,122.07K,Finance,Finance/Rental/Leasing,82.0,97.0,87.0,81.0,3.3321,3.1221,1.34K,3.75K,62.32,36.4,769.36M,No,42.15,41.2,43.27,42.49,43.61,499
185,PAR.NS,168.25,140.6,19.67,0.28,YES,YES,YES,1506.03K,Process Industries,Chemicals: Specialty,94.0,98.0,97.0,91.0,8.0086,7.5357,35.10K,100.45K,168.72,78.05,2.07B,No,107.12,99.57,94.33,104.83,95.2,499
1384,COCHMAL.BO,152.4,131.7,15.72,12.11,YES,YES,YES,0.49K,Industrial Services,Oilfield Services/Equipment,61.0,79.0,59.0,61.0,13.8179,11.075,0.21K,0.45K,173.4,110.2,270.04M,No,139.27,137.9,138.78,137.9,136.68,498
87,BODALCHEM.NS,145.45,126.76,14.74,4.24,YES,YES,YES,30270.44K,Process Industries,Industrial Specialties,96.0,98.0,97.0,97.0,8.0529,7.2057,521.03K,2489.74K,151.89,42.81,18.32B,No,84.62,73.0,61.38,78.48,67.17,500
1390,SAHLIBHFI.NS,86.36,75.58,14.26,3.51,YES,YES,,1697.29K,Finance,Finance/Rental/Leasing,61.0,79.0,65.0,,5.4129,5.0936,23.18K,80.22K,89.5,66.6,2.67B,No,75.45,77.57,,78.1,,102
77,TBZ.NS,418.25,366.8,14.03,2.73,YES,YES,YES,27941.50K,Consumer Durables,Other Consumer Specialties,96.0,96.0,98.0,97.0,22.4036,20.8107,2267.03K,3217.81K,430.0,110.5,27.91B,No,283.99,257.27,181.27,273.81,191.17,501
305,ZIMLAB.NS,133.95,117.94,13.57,2.15,YES,YES,YES,680.39K,Health Technology,Pharmaceuticals: Generic,90.0,89.0,80.0,93.0,7.485,7.485,57.84K,70.43K,136.9,59.31,7.17B,No,118.41,118.47,90.1,119.4,97.65,500
906,XPROINDIA.NS,1285.6,1135.8,13.19,18.36,YES,YES,YES,1517.26K,Process Industries,Industrial Specialties,74.0,51.0,67.0,83.0,54.3714,54.3714,94.38K,68.80K,1574.8,788.05,30.17B,No,1132.91,1284.19,1089.64,1299.95,1143.32,501
308,IFCI.NS,98.32,87.26,12.67,1.18,YES,YES,YES,428006.09K,Finance,Finance/Rental/Leasing,90.0,93.0,79.0,89.0,4.2807,4.2807,58519.48K,48803.30K,99.49,46.23,264.90B,No,81.65,77.29,63.74,79.23,68.83,501
