RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
3417,DHANLAXMI.NS,55.0,26.95,104.08,0.0,YES,YES,YES,,Process Industries,Agricultural Commodities/Milling,5.0,54.0,6.0,23.0,1.1679,0.9786,26.52K,12.40K,55.0,20.05,,No,25.03,27.44,30.05,26.71,27.78,406
1304,SANDESH.NS,1187.75,989.8,20.0,17.43,YES,YES,YES,15.35K,Consumer Services,Publishing: Newspapers,63.0,91.0,65.0,65.0,38.6643,25.7464,0.53K,0.34K,1438.5,811.0,8.99B,No,990.18,978.31,1028.93,991.98,995.14,497
1288,COCHINM.BO,313.1,260.95,19.98,5.98,YES,YES,YES,153.03K,Non-Energy Minerals,Other Metals/Minerals,63.0,94.0,65.0,61.0,11.8321,8.7786,4.71K,4.56K,333.0,197.1,2.45B,No,252.92,250.58,260.53,254.93,255.95,497
3214,MEAPL.BO,30.95,25.8,19.96,37.96,YES,YES,NO,95.60K,Finance,Investment Banks/Brokers,11.0,41.0,2.0,28.0,1.8921,1.8429,38.98K,11.25K,49.89,23.21,478.18M,No,28.23,29.61,34.01,29.35,33.74,497
160,SICAGEN.NS,61.72,51.51,19.82,0.15,YES,YES,,268.11K,Distribution Services,Wholesale Distributors,94.0,80.0,67.0,,2.7321,2.7321,14.96K,9.46K,61.81,24.35,2.44B,No,51.43,53.16,,53.28,,80
2436,PSPL.BO,58.0,48.43,19.76,30.94,YES,YES,YES,2.00K,Transportation,Air Freight/Couriers,32.0,85.0,42.0,68.0,0.8979,0.2036,0.47K,0.50K,83.99,46.7,172.52M,No,49.92,52.84,57.48,53.49,55.41,345
940,PVP.NS,33.14,27.71,19.6,15.91,YES,YES,YES,10493.56K,Technology Services,Information Technology Services,73.0,90.0,60.0,56.0,1.5914,1.575,940.04K,301.33K,39.41,18.49,8.63B,No,28.32,29.14,30.67,29.51,28.99,499
2938,VPL.BO,36.84,31.01,18.8,33.02,YES,YES,NO,7.20K,Process Industries,Agricultural Commodities/Milling,18.0,35.0,27.0,27.0,0.6343,0.1571,0.79K,0.60K,55.0,30.1,228.02M,No,33.05,33.64,37.69,33.18,34.33,495
2290,GMMPFAUDLR.NS,1005.15,857.1,17.27,24.12,YES,YES,YES,3998.83K,Producer Manufacturing,Industrial Machinery,36.0,93.0,64.0,41.0,35.575,34.9714,125.36K,83.88K,1324.7,735.0,45.19B,No,819.06,796.79,952.2,814.29,876.84,499
135,SOTL.NS,781.95,679.0,15.16,4.03,YES,YES,YES,6004.44K,Process Industries,Chemicals: Specialty,95.0,96.0,97.0,95.0,43.75,35.4179,641.57K,877.45K,814.8,285.8,53.61B,No,619.76,571.42,420.69,599.28,442.75,499
2522,KJMCFIN.BO,59.2,51.6,14.73,37.68,YES,YES,YES,10.14K,Finance,Investment Banks/Brokers,30.0,83.0,63.0,59.0,3.7064,3.3464,0.78K,0.80K,95.0,41.21,277.33M,No,53.88,53.93,57.35,54.97,52.36,497
157,DECNGOLD.NS,228.34,199.03,14.73,2.83,YES,YES,,16807.00K,Non-Energy Minerals,Precious Metals,94.0,87.0,96.0,,9.4664,9.1993,2599.00K,1087.73K,235.0,114.8,,No,197.66,191.32,,195.41,,76
2331,SFSL.BO,77.8,67.83,14.7,45.77,NO,NO,NO,19.50K,Producer Manufacturing,Industrial Conglomerates,35.0,33.0,9.0,19.0,3.1,3.1,3.02K,8.70K,143.46,63.0,162.45M,No,79.73,80.15,94.26,80.2,88.98,495
517,SIGIND.NS,70.03,61.4,14.06,4.07,YES,YES,YES,637.56K,Process Industries,Chemicals: Specialty,84.0,98.0,89.0,85.0,3.7971,3.615,14.44K,36.32K,73.0,40.66,2.06B,No,49.2,48.76,50.31,49.82,48.95,497
