RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1160,ISFT.NS,95.16,75.22,26.51,20.08,YES,YES,YES,414.67K,Retail Trade,Internet Retail,67.0,89.0,75.0,71.0,6.0843,5.1336,60.16K,134.77K,119.07,54.05,1.55B,No,86.74,81.69,81.45,82.88,77.7,497
1199,ALKALI.NS,87.66,72.23,21.36,18.36,YES,YES,YES,133.80K,Process Industries,Chemicals: Specialty,66.0,94.0,53.0,81.0,6.8679,6.075,15.62K,76.11K,107.38,46.8,892.60M,No,72.09,73.15,72.9,72.33,71.18,497
590,ASTAR.NS,807.35,672.8,20.0,0.0,YES,,,13.85K,Commercial Services,Miscellaneous Commercial Services,83.0,,,,35.4607,25.7357,0.15K,0.21K,807.35,485.0,12.92B,No,603.86,,,,,23
1043,TCMLMTD.BO,56.42,47.17,19.61,30.35,YES,YES,YES,21.26K,Process Industries,Chemicals: Specialty,70.0,95.0,79.0,72.0,3.5814,3.1936,4.64K,12.03K,81.0,36.53,421.90M,No,44.78,43.99,49.25,44.52,45.11,496
1004,NGIL.NS,38.04,32.34,17.63,13.33,NO,NO,YES,33.42K,Consumer Non-Durables,Food: Specialty/Candy,72.0,33.0,57.0,84.0,2.5193,2.2607,29.04K,15.71K,43.89,22.01,667.15M,No,38.32,39.23,33.62,39.28,35.91,497
1445,IECEDU.BO,25.75,21.91,17.53,44.72,YES,YES,YES,97.00K,Commercial Services,Miscellaneous Commercial Services,60.0,87.0,61.0,12.0,3.6779,3.5786,13.05K,58.69K,46.58,19.5,392.94M,No,24.61,22.9,25.08,23.25,25.47,496
209,TIMEX.NS,714.2,611.1,16.87,2.03,YES,YES,,6651.31K,Consumer Durables,Other Consumer Specialties,93.0,93.0,89.0,,33.7964,33.6572,406.74K,367.77K,729.0,323.0,72.10B,No,634.74,588.08,,599.53,,106
1304,EARKART.BO,151.95,131.3,15.73,42.87,YES,YES,YES,1.00K,Health Technology,Medical Specialties,63.0,88.0,74.0,65.0,6.7607,3.0571,1.27K,2.20K,265.95,104.35,2.09B,No,125.37,138.05,144.85,139.04,138.06,239
580,PATELSAI.BO,384.3,332.75,15.49,8.5,YES,YES,YES,21.00K,Producer Manufacturing,Industrial Machinery,83.0,94.0,84.0,86.0,16.0893,8.0143,11.66K,19.43K,420.0,180.1,2.10B,No,290.24,315.1,283.37,314.57,304.2,496
1247,SVGLOBAL.NS,147.92,128.26,15.33,14.4,YES,,,6.68K,Finance,Real Estate Development,65.0,,,,16.7736,14.7507,15.90K,34.15K,172.81,114.3,,No,135.99,,,,,23
