RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
446,BPLPHARMA.NS,1898.0,1581.7,20.0,0.0,YES,,,35.20K,Health Technology,Pharmaceuticals: Major,87.0,92.0,,,79.5286,77.9143,1.94K,2.09K,1898.0,1201.1,,No,1551.63,,,,,28
311,MACHLTD.BO,192.1,160.65,19.58,3.47,YES,YES,YES,171.00K,Commercial Services,Miscellaneous Commercial Services,90.0,90.0,90.0,85.0,9.2393,8.7929,14.79K,10.38K,199.0,90.0,4.04B,No,164.72,162.21,134.1,165.59,143.96,497
645,MNIL.BO,45.57,39.13,16.46,15.61,YES,YES,YES,26.68K,Finance,Real Estate Development,81.0,94.0,87.0,48.0,4.9857,4.9857,13.40K,37.00K,54.0,20.01,1.17B,No,36.37,33.99,38.63,35.11,38.14,497
810,MRTX.BO,437.75,377.15,16.07,9.54,YES,YES,,427.00K,Electronic Technology,Electronic Components,77.0,95.0,50.0,,28.8071,28.2679,146.35K,159.40K,483.9,283.1,7.65B,No,358.67,349.66,,361.4,,79
314,SHANTIGOLD.NS,325.68,283.62,14.83,2.22,YES,YES,YES,36403.97K,Consumer Durables,Other Consumer Specialties,90.0,92.0,91.0,88.0,16.2429,15.8593,1919.88K,2856.90K,333.09,155.0,24.99B,No,259.78,243.46,215.16,250.36,220.83,289
394,UGARSUGAR.NS,64.03,55.77,14.81,3.95,YES,YES,YES,13696.60K,Process Industries,Agricultural Commodities/Milling,88.0,88.0,94.0,86.0,3.9471,3.9386,774.30K,1886.22K,66.66,33.75,7.20B,No,54.86,49.85,42.43,51.27,43.94,501
359,MAWANASUG.NS,149.64,130.7,14.49,8.76,YES,YES,YES,2561.23K,Consumer Non-Durables,Food: Specialty/Candy,89.0,76.0,92.0,87.0,6.9064,6.855,309.41K,185.67K,164.0,75.08,5.85B,No,137.08,127.7,102.18,130.5,110.44,501
1066,TGVSL.NS,124.78,109.31,14.15,2.32,YES,,,10384.03K,Process Industries,Chemicals: Specialty,70.0,90.0,,,4.255,4.1979,175.19K,168.43K,127.74,101.01,13.36B,No,107.21,,,,,29
758,GODAVARI.BO,125.18,109.87,13.93,7.45,YES,YES,YES,55.91K,Health Technology,Pharmaceuticals: Major,78.0,93.0,62.0,74.0,9.0421,8.5879,6.20K,4.95K,135.25,69.7,1.37B,No,109.29,107.63,103.1,109.99,111.69,497
1248,PRIMO.NS,25.28,22.29,13.41,6.02,YES,YES,YES,1372.37K,Process Industries,Chemicals: Specialty,65.0,90.0,58.0,76.0,1.6243,1.5986,196.37K,266.91K,26.9,16.1,6.13B,No,21.81,22.59,22.35,23.1,22.74,358
1010,UTTAMSUGAR.NS,293.15,260.0,12.75,18.41,YES,YES,YES,2804.54K,Process Industries,Agricultural Commodities/Milling,71.0,28.0,84.0,68.0,12.9821,12.9714,285.24K,162.57K,359.3,181.1,11.18B,No,276.62,269.32,242.28,270.52,247.87,501
1178,RISHITECH.BO,47.46,42.13,12.65,14.47,YES,YES,YES,29.91K,Process Industries,Containers/Packaging,67.0,94.0,71.0,65.0,2.35,2.2071,2.42K,3.54K,55.49,32.0,350.78M,No,40.24,40.06,40.44,40.87,39.34,497
326,ACCORDTS.BO,86.04,76.66,12.24,2.78,YES,YES,,582.00K,Producer Manufacturing,Electrical Products,90.0,96.0,92.0,89.0,4.2507,3.7579,98.52K,128.70K,88.5,45.0,1.77B,No,66.5,62.81,,64.64,60.27,143
943,KMSUGAR.NS,32.46,29.06,11.7,11.07,YES,YES,YES,1179.80K,Process Industries,Agricultural Commodities/Milling,73.0,64.0,82.0,66.0,1.2986,1.2786,294.66K,143.26K,36.5,23.0,2.99B,No,30.14,29.78,27.51,29.93,28.19,501
141,ANTELOPUS.NS,1261.7,1130.95,11.56,2.26,YES,YES,YES,7875.10K,Energy Minerals,Integrated Oil,95.0,98.0,94.0,94.0,99.2143,98.6214,1351.39K,1552.11K,1290.9,357.0,44.36B,No,1069.23,922.31,698.83,934.84,776.56,501
1191,SSDL.NS,73.31,66.3,10.57,19.16,YES,YES,YES,427.40K,Distribution Services,Wholesale Distributors,67.0,94.0,84.0,68.0,4.9421,4.4957,63.59K,152.83K,90.69,46.15,2.90B,No,60.98,58.24,62.48,59.4,58.82,500
